Regulator	Target	MI
miR-885-5p	CSTB	0.09466038399829202
miR-885-5p	miR-122-5p	0.3979013629315409
miR-885-5p	PRL	0.11640824635543368
miR-885-5p	SELE	0.1366981307906121
miR-885-5p	SIRT2	0.1604958852476841
miR-885-5p	IL6	0.13564737851344333
miR-885-5p	FABP4	0.11778221847662262
miR-885-5p	ADA	0.14906783083966868
miR-20b-5p	DKK1	0.14037917208587292
miR-20b-5p	let-7b-5p	0.6729420632113037
miR-20b-5p	TNFRSF1A	0.09785680009234365
miR-20b-5p	miR-93-5p	0.6427844474761821
miR-20b-5p	CCL3	0.14899309845472608
miR-20b-5p	miR-19b-3p	0.9773080221569668
miR-20b-5p	let-7d-5p	0.48143208993152076
miR-20b-5p	LEP	0.0907813349459472
miR-28-5p	CD274	0.09044878488008212
miR-28-5p	CD40	0.1511883200573756
miR-28-5p	CXCL9	0.12753859870929052
miR-28-5p	TGFB1	0.09652283517883475
miR-28-5p	TGFA	0.12427011908100116
miR-28-5p	miR-126-5p	0.23335021177840876
miR-28-5p	FGF5	0.1332436052121766
miR-28-5p	miR-27b-3p	0.2634691425096136
miR-28-5p	CASP8	0.19134395109869473
miR-28-5p	CDCP1	0.09716995540717033
miR-28-5p	PLAU	0.16782623552351073
miR-28-5p	SLAMF1	0.09036757734723189
miR-122-5p	SPON1	0.11199445902279859
miR-122-5p	miR-885-5p	0.3979013629315409
miR-122-5p	RNY5-5p	0.20741543712285626
miR-122-5p	TGFA	0.09540261244085535
miR-122-5p	miR-145-5p	0.24174766338520115
miR-122-5p	CDCP1	0.09549762599585865
miR-122-5p	miR-375	0.14706156134168324
miR-126-3p	IL1RN	0.185458462395391
miR-126-3p	CXCL1	0.19207616684285966
miR-126-3p	miR-126-5p	0.5011983790523988
miR-126-3p	miR-21-5p	0.6909849142865214
miR-126-3p	PLAU	0.294279924159599
miR-126-3p	IL1RL1	0.1098441106851249
miR-126-3p	miR-24-3p	0.9006629460355793
miR-126-3p	miR-29a-3p	0.5380490681766359
miR-126-3p	miR-26a-5p	0.5847112705141679
miR-126-3p	TEK	0.13503975324431927
miR-320a	MPO	0.16784095222886375
miR-320a	CDCP1	0.10852242457302985
miR-320a	RETN	0.11613355712302997
miR-320a	miR-93-5p	0.6673665875069235
miR-320a	miR-222-3p	0.5078328468073234
miR-320a	miR-375	0.172715547537317
miR-126-5p	miR-28-5p	0.224240268859365
miR-126-5p	miR-126-3p	0.501198379052398
miR-126-5p	IL6R	0.15790240832259883
miR-126-5p	IL10	0.15243281229996875
miR-126-5p	F3	0.10116311196151706
miR-21-5p	CXCL5	0.27453170149897055
miR-21-5p	miR-150-5p	0.30116531777482525
