Regulator	Target	MI
miR-885-5p	CSF1	0.2068460546428197
miR-885-5p	GDF15	0.17667149834447216
miR-885-5p	miR-122-5p	0.7478696069051258
miR-885-5p	F3	0.18216982576663643
miR-885-5p	SELE	0.25905457894110917
miR-885-5p	MMP10	0.0945542389425853
miR-885-5p	LGALS3	0.12833384233818634
miR-885-5p	TNFSF10	0.10565940093459503
miR-885-5p	miR-19b-3p	0.14066051386247835
miR-885-5p	FGF21	0.15423186343036743
miR-885-5p	HBEGF	0.092114291485907
miR-20b-5p	miR-145-5p	0.6241148680264841
miR-20b-5p	miR-93-5p	0.6765092150812073
miR-20b-5p	miR-19b-3p	0.9733210285036451
miR-20b-5p	CCL25	0.1956871772900799
miR-20b-5p	DKK1	0.10100695032900564
miR-20b-5p	let-7b-5p	0.8011874937452843
miR-20b-5p	PECAM1	0.10026224375156456
miR-28-5p	NT-pro-BNP	0.14634466333638319
miR-28-5p	CCL13	0.10868617485769239
miR-28-5p	CD40	0.1191745078511186
miR-28-5p	CXCL8	0.15062084379753404
miR-28-5p	CSF1	0.10114645484247387
miR-28-5p	TGFA	0.10131424159794555
miR-28-5p	PRL	0.11712110941787301
miR-28-5p	MPO	0.1274292028687345
miR-28-5p	CXCL16	0.141792947933304
miR-28-5p	DNER	0.11365439288255708
miR-28-5p	CCL2	0.12531487756903648
miR-28-5p	S100A12	0.15283917545709347
miR-28-5p	VEGFD	0.14132773894332562
miR-28-5p	F3	0.12482034360170946
miR-28-5p	PGF	0.10427987029633634
miR-28-5p	VEGFA	0.1192306133173
miR-28-5p	IL6	0.19449106805839467
miR-28-5p	GAL	0.21296998365423647
miR-28-5p	miR-16-5p	0.15304278015039596
miR-122-5p	HGF	0.14694759014814363
miR-122-5p	miR-885-5p	0.7478696069051267
miR-122-5p	F2R	0.11479524700059329
miR-122-5p	RNY5-5p	0.26247130195541146
miR-122-5p	PLAUR	0.1223306246147482
miR-122-5p	TNFRSF10B	0.14941479120130374
miR-122-5p	ADM	0.10193579282622167
miR-122-5p	TNFRSF11B	0.1520601660871721
miR-122-5p	MPO	0.1658400433182896
miR-122-5p	TNFRSF1A	0.16245017575636833
miR-122-5p	NPPB	0.3237188873520749
miR-122-5p	miR-192-5p	0.2019548985834927
miR-122-5p	FAS	0.09234457100453053
miR-122-5p	STAMBP	0.23598070172277819
miR-122-5p	HAVCR1	0.11489408721779526
miR-122-5p	miR-150-5p	0.1691450972339137
miR-122-5p	miR-16-5p	0.17032993589304368
miR-126-3p	FGF5	0.11881537111384066
miR-126-3p	IKBKG	0.44644612230286285
miR-126-3p	miR-324-5p	0.3073297676887057
miR-126-3p	STAMBP	0.4427002677030982
miR-126-3p	HBEGF	0.11122093084620399
miR-126-3p	CCL11	0.2192027159488834
miR-126-3p	miR-320a	0.6743522676240339
miR-126-3p	miR-24-3p	1.0356284999393983
miR-126-3p	CCL2	0.15015182825656836
miR-126-3p	BDNF	0.12010151975585259
miR-126-3p	CD5	0.17120429271205406
miR-126-3p	XPNPEP2	0.1811344336741989
miR-320a	CXCL16	0.09519818532621382
miR-320a	PGF	0.1480666017784964
miR-320a	miR-150-5p	0.29639020575357566
miR-320a	miR-126-3p	0.6878911839813098
miR-320a	AGRP	0.10919237715195784
miR-126-5p	miR-24-3p	0.45955521178052283
miR-126-5p	IL15RA	0.1813155207481083
miR-126-5p	miR-223-5p	0.33389513116272873
miR-126-5p	miR-375	0.14465209821609992
miR-21-5p	MMP7	0.10651552359084615
miR-21-5p	miR-24-3p	0.7243123507065494
miR-21-5p	NTF3	0.17790717656866928
miR-21-5p	miR-197-3p	0.4308023981579723
miR-21-5p	IL10RA	0.14996465046866625
miR-21-5p	TNFSF12	0.1206836588308624
miR-145-5p	miR-143-3p	0.2401002975657036
miR-145-5p	LGALS3	0.10045884946797212
miR-145-5p	GAL	0.1334475490775624
miR-145-5p	miR-99b-5p	0.5192143750976017
miR-145-5p	CCL13	0.14899345613782966
miR-145-5p	miR-20b-5p	0.6241148680264823
miR-145-5p	let-7d-5p	0.520417776869845
miR-145-5p	CXCL11	0.1579336651509049
miR-143-3p	miR-145-5p	0.2401002975657045
miR-143-3p	CCL8	0.09596480906522231
miR-143-3p	CCL7	0.13054081441749776
miR-143-3p	OLR1	0.12018743302487689
miR-143-3p	HAVCR1	0.161611795644526
miR-143-3p	IL18	0.0979856302191422
miR-143-3p	VEGFD	0.11131539475371977
miR-143-3p	CD6	0.15637582089388946
miR-143-3p	IL7	0.1513324393702744
miR-143-3p	REN	0.10376002434250609
miR-143-3p	ADA	0.10211428158605074
miR-143-3p	CD244	0.09384742052176254
miR-574-3p	CSTB	0.18818709635502007
miR-574-3p	PLAT	0.18420259430741392
miR-574-3p	CCL3	0.23077504371445734
miR-574-3p	miR-223-3p	0.5736757584841206
miR-191-5p	CXCL6	0.1168162909604149
miR-191-5p	CXCL5	0.3284780919414567
miR-191-5p	RNY4-3p	0.7746681307996734
miR-191-5p	miR-92a-3p	0.5421901098783737
miR-191-5p	SRC	0.5007677486797366
miR-191-5p	miR-24-3p	0.802451767988865
miR-191-5p	CCL20	0.1290728327360009
miR-191-5p	RNY4-5p	0.707764913187332
miR-191-5p	miR-223-5p	0.5063152935936586
miR-191-5p	REN	0.11237428998682475
miR-24-3p	miR-126-5p	0.47024136093134405
miR-24-3p	miR-21-5p	0.7243123507065494
miR-24-3p	AXIN1	0.4980853593367831
miR-24-3p	miR-223-3p	0.9915444972440888
miR-24-3p	PDGFB	0.4338025299023487
miR-24-3p	miR-126-3p	1.048006545773137
miR-24-3p	SULT1A1	0.3058377359020188
miR-24-3p	miR-191-5p	0.802451767988865
miR-27b-3p	CSTB	0.1345339453074743
miR-27b-3p	TGFA	0.21043029043511208
miR-27b-3p	NPPB	0.10852952258094106
miR-27b-3p	FGF23	0.13151856600617595
miR-27b-3p	let-7d-5p	0.2989731571419947
miR-27b-3p	miR-192-5p	0.22237834392500577
miR-27b-3p	FGF19	0.16415725785030943
miR-27b-3p	miR-99b-5p	0.23333617353035319
miR-486-5p	ADM	0.11090056015748395
miR-486-5p	miR-93-5p	0.7712138874310766
miR-486-5p	IL6	0.1396136454895176
miR-486-5p	GDNF	0.11449007871603989
miR-486-5p	IL18R1	0.23770056186059207
miR-486-5p	miR-16-5p	0.6713886718014139
miR-93-5p	miR-20b-5p	0.6765092150812073
miR-93-5p	miR-486-5p	0.7712138874310766
miR-93-5p	miR-223-3p	0.8897970101999171
miR-93-5p	miR-92a-3p	0.5376356980103933
miR-93-5p	CHI3L1	0.1310439540653432
miR-222-3p	THBD	0.18803726680660482
miR-222-3p	F2R	0.28589165938028316
miR-222-3p	miR-130a-3p	0.6347071812878227
miR-222-3p	RNASE3	0.14762137743018577
miR-222-3p	miR-223-3p	0.7972572629701631
miR-222-3p	miR-19b-3p	0.9540363532482461
miR-222-3p	TNFRSF10B	0.12265113790482918
miR-222-3p	FABP4	0.14277428971284944
miR-222-3p	miR-16-5p	0.6772821190547287
miR-29a-3p	SPON1	0.12273940908438163
miR-29a-3p	OLR1	0.1982034259877592
miR-29a-3p	miR-140-5p	0.5218628521527906
miR-29a-3p	miR-192-5p	0.17405178118147902
miR-29a-3p	TNFRSF11B	0.17748879485916635
miR-29a-3p	RETN	0.16753013275999162
miR-29a-3p	CST5	0.10028379432813228
miR-29a-3p	FGF23	0.16084684612070443
miR-29a-3p	TNFRSF9	0.12351938349723923
miR-19b-3p	CSF1	0.23647480815676047
miR-19b-3p	miR-30b-5p	0.9010279632365616
miR-19b-3p	miR-885-5p	0.14066051386247747
miR-19b-3p	miR-20b-5p	0.9733210285036442
