Regulator	Target	MI
miR-885-5p	PLAU	0.10674630177263023
miR-885-5p	FST	0.11255483538533095
miR-885-5p	miR-122-5p	0.37399480113681083
miR-885-5p	STAMBP	0.1125790442929544
miR-20b-5p	PLAT	0.1726538293980715
miR-20b-5p	MMP7	0.18116496967043538
miR-20b-5p	let-7b-5p	0.6995073145791393
miR-20b-5p	miR-93-5p	0.6482260951337402
miR-20b-5p	miR-19b-3p	0.8921641386102621
miR-20b-5p	FGF23	0.1051466324851491
miR-20b-5p	TNFRSF10B	0.13236762036342054
miR-20b-5p	FABP4	0.14478542844392361
miR-28-5p	LGALS3	0.10697904819380533
miR-28-5p	CD40	0.09729779494445356
miR-28-5p	IL6	0.09595867602094366
miR-28-5p	miR-92a-3p	0.1743529022331325
miR-28-5p	TGFA	0.13556284975334076
miR-28-5p	CCL19	0.08960477999293204
miR-122-5p	IL10	0.21369452933138966
miR-122-5p	NPPB	0.14499078347811878
miR-122-5p	NT-pro-BNP	0.12408530793660688
miR-122-5p	CSTB	0.098754464742151
miR-122-5p	miR-192-5p	0.2661172596240622
miR-122-5p	CCL11	0.12396353368609603
miR-122-5p	miR-93-5p	0.20543137810349688
miR-122-5p	miR-885-5p	0.37399480113680994
miR-122-5p	CCL4	0.09620080183252888
miR-122-5p	RNY5-5p	0.13869803423901406
miR-122-5p	CXCL5	0.1325259614982297
miR-126-3p	miR-21-5p	0.5900278600588731
miR-126-3p	miR-24-3p	0.9482527884713887
miR-126-3p	CTSD	0.21403931070971272
miR-126-3p	SIRT2	0.33787343036988826
miR-126-3p	IL6	0.13632342117121432
miR-126-3p	miR-30b-5p	0.638681820527097
miR-320a	CCL11	0.11401886026632546
miR-320a	CXCL8	0.13710333350541415
miR-320a	miR-126-5p	0.3999393498378252
miR-320a	miR-486-5p	0.4097681538862732
miR-320a	miR-93-5p	0.888616161529816
miR-320a	miR-324-5p	0.30988021794878406
miR-320a	FST	0.2218563083054379
miR-320a	miR-150-5p	0.31485807731380966
miR-320a	CD244	0.09296352940430008
miR-126-5p	miR-320a	0.3999393498378252
miR-126-5p	TNFSF10	0.10263502774177713
miR-126-5p	HGF	0.11392595758946378
miR-126-5p	FGF19	0.09896058383309825
miR-21-5p	PECAM1	0.15995828356437158
miR-21-5p	RNY5-5p	0.244995058561142
miR-21-5p	miR-126-3p	0.5900278600588731
miR-21-5p	CXCL11	0.15854279915051972
