Regulator	Target	MI
miR-885-5p	TNFSF14	0.10229898403786919
miR-885-5p	miR-122-5p	0.6173037228330438
miR-885-5p	F3	0.14394261287186527
miR-885-5p	CCL8	0.12415215671264868
miR-885-5p	miR-223-3p	0.22841039969541832
miR-885-5p	FGF19	0.1361401401936888
miR-885-5p	LEP	0.23742157869049496
miR-885-5p	miR-375	0.15415255152919283
miR-885-5p	LTA	0.10730635692159574
miR-885-5p	CHI3L1	0.12720572278882258
miR-20b-5p	DNER	0.13337252626753848
miR-20b-5p	NGF	0.2292312813600832
miR-20b-5p	PGF	0.16528338511538365
miR-20b-5p	PECAM1	0.1501448397525209
miR-20b-5p	TNFRSF11B	0.17257959898230624
miR-20b-5p	KLK6	0.10263843397612593
miR-20b-5p	miR-19b-3p	1.0493722450076666
miR-20b-5p	CD5	0.23498614848624122
miR-20b-5p	miR-375	0.20901687695990034
miR-28-5p	CCL11	0.09852506706116415
miR-28-5p	F2R	0.19024404731184852
miR-28-5p	RNY5-5p	0.11171340393423179
miR-28-5p	NGF	0.2033494708216219
miR-28-5p	SULT1A1	0.10159705227685123
miR-28-5p	miR-27b-3p	0.18003721486384094
miR-28-5p	PLAU	0.10728204492869686
miR-28-5p	PAPPA	0.09602810858261268
miR-28-5p	EIF4EBP1	0.1288858251541143
miR-28-5p	FAS	0.10035490993853013
miR-28-5p	miR-99b-5p	0.2853921500812229
miR-28-5p	CCL28	0.11091786503419154
miR-28-5p	IL17C	0.1240183583067136
miR-122-5p	CSTB	0.11426705377235002
miR-122-5p	miR-885-5p	0.6175857056135312
miR-122-5p	F2R	0.16106590036378599
miR-122-5p	RNY5-5p	0.181201647600453
miR-122-5p	PRL	0.18871449296969978
miR-122-5p	PGF	0.1182255884142851
miR-122-5p	TNFRSF1A	0.09918946680301932
miR-122-5p	miR-143-3p	0.17987109707487114
miR-122-5p	IL1RL1	0.1777897949192333
miR-122-5p	ESM1	0.11273292262560375
miR-122-5p	miR-192-5p	0.3020164390163842
miR-122-5p	HAVCR1	0.0942004993067469
miR-126-3p	PDGFB	0.38996853347005533
miR-126-3p	miR-126-5p	0.5470102971819726
miR-126-3p	TNFSF14	0.125612651676426
miR-126-3p	miR-26a-5p	0.615514272399408
miR-126-3p	miR-223-3p	1.0264356204696155
miR-320a	miR-24-3p	0.6642283973451866
miR-320a	RNY4-3p	0.519685547720135
miR-320a	GDNF	0.10921391864472163
miR-320a	miR-92a-3p	0.4831135271373457
miR-320a	STAMBP	0.29965537069601034
miR-320a	TEK	0.1423957734534227
miR-126-5p	miR-126-3p	0.5470102971819726
miR-126-5p	EIF4EBP1	0.12370038863415456
miR-126-5p	IL10	0.16707695363124841
miR-126-5p	RNY4-3p	0.5090513099206095
miR-126-5p	IL6	0.10175376529660518
miR-126-5p	miR-92a-3p	0.37166006073172575
miR-21-5p	miR-24-3p	0.567547622065411
miR-21-5p	NTF3	0.10049219838317303
miR-21-5p	GH1	0.12876489164913618
miR-21-5p	AGRP	0.16093780375214894
miR-145-5p	CXCL9	0.13992426090224352
miR-145-5p	CXCL8	0.1380651530579371
miR-145-5p	miR-574-3p	0.5204755553642864
miR-145-5p	ESM1	0.1160577571839232
miR-145-5p	miR-26a-5p	0.6457884567481207
miR-143-3p	IL1RN	0.093299247766927
miR-143-3p	SELPLG	0.09725707051405497
miR-143-3p	miR-122-5p	0.18944150844289442
