Regulator	Target	MI
miR-885-5p	CSF1	0.16359847891315393
miR-885-5p	miR-28-5p	0.09908910952984673
miR-885-5p	miR-122-5p	0.35144394602111984
miR-885-5p	TNFRSF1A	0.10907560905160008
miR-885-5p	GH1	0.28067477555263665
miR-885-5p	FABP4	0.11497045387743743
miR-885-5p	miR-222-3p	0.1887964535245974
miR-885-5p	DNER	0.10523103410731682
miR-885-5p	IL12B	0.09512188633469343
miR-885-5p	IL6R	0.10543939191384588
miR-20b-5p	miR-21-5p	0.45649777403407565
miR-20b-5p	miR-93-5p	0.7550579572680984
miR-20b-5p	miR-19b-3p	0.9384052413016448
miR-20b-5p	miR-26a-5p	0.8440184820823129
miR-20b-5p	DKK1	0.23210008768028523
miR-20b-5p	CCL28	0.16488900832274211
miR-28-5p	CXCL9	0.14602732186333878
miR-28-5p	GDF15	0.10058777011869857
miR-28-5p	miR-885-5p	0.09908910952984673
miR-28-5p	FLT3LG	0.1156933941228333
miR-28-5p	CXCL1	0.11067172078950716
miR-28-5p	miR-27b-3p	0.164930744899058
miR-28-5p	CDCP1	0.11147700647812098
miR-28-5p	PAPPA	0.19528734936965986
miR-28-5p	DNER	0.1780492504363771
miR-28-5p	CCL2	0.11802418171473938
miR-28-5p	miR-99b-5p	0.1445451244519056
miR-28-5p	HAVCR1	0.08892114638563342
miR-28-5p	CTSD	0.1239081657886274
miR-122-5p	CD274	0.15906708028296723
miR-122-5p	SPON1	0.12453342313594984
miR-122-5p	RNY4-3p	0.1113391580763956
miR-122-5p	RNY4-5p	0.1109359988039822
miR-122-5p	TNFSF12	0.171725145094082
miR-122-5p	miR-885-5p	0.35144394602111984
miR-122-5p	RNY5-5p	0.2769995082137573
miR-122-5p	VEGFD	0.10950613443900803
miR-122-5p	F3	0.13430989156122486
miR-122-5p	CX3CL1	0.09296462437940001
miR-126-3p	PLAT	0.2029777348144135
miR-126-3p	miR-126-5p	0.5112892202342794
miR-126-3p	miR-24-3p	0.9165234479960054
miR-126-3p	miR-150-5p	0.20562179730826013
miR-320a	NT-pro-BNP	0.09015861552054183
miR-320a	HSPB1	0.2530658099637213
miR-320a	MPO	0.12924884818006266
miR-320a	miR-24-3p	0.579508136352147
miR-320a	miR-27b-3p	0.2425445071389145
miR-320a	SELE	0.12308828025336283
