Regulator	Target	MI
miR-885-5p	CSTB	0.12866595572243256
miR-885-5p	CXCL8	0.11952445960017055
miR-885-5p	miR-122-5p	0.5001062526591697
miR-885-5p	RETN	0.10665036759332303
miR-885-5p	CXCL10	0.11430514037811879
miR-885-5p	miR-140-5p	0.1947705718199959
miR-885-5p	MB	0.22389176529624866
miR-885-5p	PECAM1	0.12777991732355165
miR-885-5p	TEK	0.16577746864255527
miR-20b-5p	miR-145-5p	0.6266815401081027
miR-20b-5p	FGF5	0.20314992845935365
miR-20b-5p	miR-143-3p	0.2802016996715615
miR-20b-5p	F2R	0.16342412479975454
miR-20b-5p	let-7b-5p	0.6550886980810153
miR-20b-5p	miR-19b-3p	1.005123960428115
miR-20b-5p	CCL25	0.239363147003818
miR-20b-5p	miR-26a-5p	0.7283619624574991
miR-28-5p	SELPLG	0.12238130349334053
miR-28-5p	miR-122-5p	0.1440272377022458
miR-28-5p	CXCL16	0.13345711895921308
miR-28-5p	miR-143-3p	0.15775705366318515
miR-28-5p	miR-27b-3p	0.24207335798810004
miR-28-5p	RNY4-3p	0.20920829939459296
miR-28-5p	BDNF	0.09364016851354418
miR-28-5p	RNY4-5p	0.21809336298739268
miR-28-5p	FLT3LG	0.10199533356516
miR-28-5p	LIFR	0.1333239754988904
miR-28-5p	CHI3L1	0.09422336285599009
miR-122-5p	TGFB1	0.09755456317059963
miR-122-5p	MUC16	0.16209313926622837
miR-122-5p	miR-885-5p	0.5001062526591706
miR-122-5p	RNY5-5p	0.24197067188032406
miR-122-5p	miR-28-5p	0.1440272377022458
miR-122-5p	PLAT	0.12985780974531025
miR-122-5p	LGALS3	0.10264148295780462
miR-122-5p	miR-24-3p	0.19992596392291873
miR-122-5p	miR-192-5p	0.28336759286184865
miR-122-5p	miR-375	0.17104406187564258
miR-122-5p	REN	0.1363819409721323
miR-122-5p	HAVCR1	0.10701181860939624
miR-122-5p	IL6R	0.15331158223965335
miR-122-5p	IL17A	0.13867786450151076
miR-126-3p	NT-pro-BNP	0.126488818416429
miR-126-3p	PLAU	0.19845847011706486
miR-126-3p	HGF	0.10435819315319694
miR-126-3p	SIRT2	0.4007312210014655
miR-126-3p	STAMBP	0.3833059358062991
miR-126-3p	miR-24-3p	0.9045590283783111
miR-126-3p	TEK	0.1672443341045593
miR-320a	CD274	0.08931080536354497
miR-320a	MPO	0.15487454644547594
miR-320a	miR-24-3p	0.7521309267800831
miR-320a	miR-92a-3p	0.3978304772362442
miR-126-5p	TGFA	0.1741008945479292
miR-126-5p	miR-21-5p	0.4845791341290413
miR-126-5p	CX3CL1	0.19487343609673236
miR-126-5p	EIF4EBP1	0.09329857316032175
miR-126-5p	TNFSF11	0.122955073145115
miR-126-5p	IL18	0.11978456189211428
miR-126-5p	IL17C	0.1182968084663667
miR-21-5p	miR-126-5p	0.4845791341290413
miR-21-5p	CXCL16	0.13719496015303445
miR-21-5p	miR-24-3p	0.6834853775192933
miR-21-5p	CCL7	0.1445848547787847
miR-21-5p	SELE	0.12924027581095565
miR-145-5p	NPPB	0.15931555319472412
miR-145-5p	CTSL	0.16921188626534622
miR-145-5p	IL18	0.1414037244973212
miR-145-5p	MMP10	0.18553048784329462
miR-145-5p	miR-20b-5p	0.6266815401081018
miR-145-5p	TGFA	0.1144284762289951
miR-145-5p	GH1	0.1751498989484075
miR-145-5p	CD5	0.12721680595260043
miR-143-3p	miR-28-5p	0.17468807380251317
miR-143-3p	ADM	0.14578367453857588
miR-143-3p	HGF	0.0957013437870673
miR-143-3p	MMP3	0.12842334694266633
miR-143-3p	NGF	0.1093791351190454
miR-143-3p	DKK1	0.10785088692640699
miR-143-3p	PGF	0.18812538051241923
miR-143-3p	CDCP1	0.13174271674041993
miR-143-3p	GAL	0.09726848371396724
miR-143-3p	CCL13	0.11654359856532892
miR-143-3p	miR-20b-5p	0.2802016996715606
miR-143-3p	IL1RL1	0.1862685552779686
miR-143-3p	GDF15	0.1829946952115531
miR-143-3p	IL10RB	0.12992202282359777
miR-143-3p	FAS	0.09492183223059314
miR-143-3p	PTX3	0.14795558813240195
miR-143-3p	CCL28	0.13823016099940677
miR-574-3p	IL12B	0.12956701714990349
miR-574-3p	KLK6	0.14756444488519005
miR-574-3p	miR-19b-3p	0.5705105730961053
miR-574-3p	CD244	0.1301557231019821
miR-191-5p	HSPB1	0.33340049854392717
miR-191-5p	miR-24-3p	0.70181903851344
miR-191-5p	RNY4-3p	0.7933075975994104
miR-191-5p	MMP1	0.15512478796619789
miR-191-5p	miR-324-5p	0.2935617128000656
miR-191-5p	RNY4-5p	0.6933574078888229
miR-191-5p	miR-92a-3p	0.46494569586327206
miR-24-3p	IL1RN	0.19807666357920617
miR-24-3p	SRC	0.48917433024570656
miR-24-3p	PDGFB	0.35626891671624783
miR-24-3p	miR-122-5p	0.19992596392291873
miR-24-3p	miR-126-3p	0.9045590283783111
miR-24-3p	miR-320a	0.7521309267800822
miR-24-3p	miR-21-5p	0.6834853775192942
miR-24-3p	miR-574-3p	0.5764604180940776
miR-24-3p	miR-191-5p	0.7018190385134409
miR-24-3p	miR-222-3p	0.8112010228373707
miR-24-3p	miR-223-3p	1.1767095368321892
miR-24-3p	miR-150-5p	0.2543293095322188
miR-27b-3p	CXCL9	0.11479278136250937
miR-27b-3p	miR-28-5p	0.2227832169871231
miR-27b-3p	RETN	0.10152063291567615
miR-27b-3p	S100A12	0.1269509235281392
miR-27b-3p	OSM	0.1021794023036966
miR-27b-3p	miR-130a-3p	0.27581708953337625
miR-27b-3p	CXCL10	0.13529491762100765
miR-27b-3p	XPNPEP2	0.10349500948566881
miR-486-5p	miR-93-5p	0.49221537867234577
miR-486-5p	IL6	0.1290468685930577
miR-486-5p	REN	0.17824966080554194
miR-486-5p	miR-16-5p	0.6124405823625327
miR-93-5p	CASP8	0.2608009642061333
miR-93-5p	miR-486-5p	0.49221537867234577
miR-93-5p	FST	0.14959421237003223
miR-93-5p	F3	0.12217037476000403
miR-93-5p	miR-223-3p	0.9672792905245844
miR-93-5p	TNFRSF11B	0.22356035014707398
miR-93-5p	miR-19b-3p	0.7116379804564872
miR-93-5p	miR-197-3p	0.506927436970007
miR-93-5p	CD6	0.12558238675578615
miR-93-5p	LEP	0.15864373051350533
miR-222-3p	MB	0.13252891468792427
miR-222-3p	RNASE3	0.127975003858106
miR-222-3p	miR-140-5p	0.6910302643083188
miR-222-3p	miR-24-3p	0.8002450436524899
miR-222-3p	miR-29a-3p	0.558551345649601
miR-222-3p	CCL19	0.14245517752396175
miR-222-3p	miR-26a-5p	0.7360691579255798
miR-29a-3p	PRL	0.16594176119016257
miR-29a-3p	IL16	0.1487088107070127
miR-29a-3p	TNFRSF1B	0.1473822424234692
miR-29a-3p	miR-192-5p	0.24133089183849066
miR-29a-3p	GAL	0.15605608592937692
miR-29a-3p	miR-222-3p	0.558551345649601
miR-29a-3p	CCL28	0.15497439713654337
miR-19b-3p	PLAUR	0.19531253486944866
miR-19b-3p	miR-30b-5p	0.7566667427578402
miR-19b-3p	CSTB	0.09660842564993644
miR-19b-3p	miR-20b-5p	1.0131202408293625
miR-19b-3p	AGER	0.22865422783451894
miR-19b-3p	CCL8	0.09863071862855488
miR-19b-3p	miR-93-5p	0.7116379804564863
miR-19b-3p	CCL23	0.12795667035419456
miR-19b-3p	miR-221-3p	0.7284537354747807
miR-19b-3p	miR-16-5p	0.5934555365092411
miR-197-3p	RNY5-5p	0.1376051432426184
miR-197-3p	miR-93-5p	0.506927436970007
miR-197-3p	TGFB1	0.13115236090026272
miR-197-3p	MUC16	0.22195663848213965
miR-197-3p	IL7	0.1722878851181191
miR-197-3p	IL18R1	0.09823889723697121
miR-26a-5p	miR-130a-3p	0.6631986139159087
miR-26a-5p	NGF	0.11503229723189623
miR-26a-5p	PGF	0.21030084214049793
miR-26a-5p	miR-30b-5p	0.8528178148288816
miR-26a-5p	miR-20b-5p	0.7283619624574982
miR-26a-5p	miR-222-3p	0.7236911120918403
miR-26a-5p	FGF23	0.15899546595897274
miR-26a-5p	TNFRSF9	0.1574327761043799
miR-26a-5p	miR-221-3p	0.8727322998898641
miR-324-5p	CCL13	0.09894035909524579
miR-324-5p	CSF1	0.19397593986301942
miR-324-5p	miR-191-5p	0.2935617128000656
miR-324-5p	CCL2	0.14893453493484188
miR-324-5p	CCL20	0.11582522851827459
miR-324-5p	IL10RB	0.17047254032047832
miR-324-5p	IL10RA	0.12910215404791536
miR-324-5p	IL18R1	0.17903921487722219
miR-130a-3p	CXCL6	0.09263297655613112
miR-130a-3p	SPON1	0.09430570896433821
miR-130a-3p	PLAT	0.09148243267338607
miR-130a-3p	DNER	0.16834515582950704
miR-130a-3p	MMP7	0.09359229315642636
miR-130a-3p	AXIN1	0.4345666053153021
miR-130a-3p	miR-27b-3p	0.2846608430013564
miR-130a-3p	miR-26a-5p	0.6631986139159096
miR-221-3p	CXCL5	0.3159822248612496
miR-221-3p	TNFSF10	0.14533027012510313
miR-221-3p	IKBKG	0.4547175991365471
miR-221-3p	PECAM1	0.12692334275089312
miR-221-3p	miR-99b-5p	0.5914547608889267
miR-221-3p	CCL4	0.11701874397276413
miR-221-3p	miR-19b-3p	0.7284537354747798
miR-221-3p	EGF	0.5312441303830866
miR-221-3p	miR-26a-5p	0.8676341427634267
miR-221-3p	CXCL11	0.1007806569313594
miR-221-3p	CD40LG	0.38940351909550497
let-7b-5p	CXCL9	0.104230018734353
let-7b-5p	miR-20b-5p	0.6550886980810144
let-7b-5p	CCL3	0.1098007991794141
let-7b-5p	HAVCR1	0.16968495346627144
let-7b-5p	VEGFD	0.12547307288693244
let-7b-5p	IL17C	0.13149649964206933
let-7b-5p	miR-16-5p	0.6161054550536136
let-7d-5p	CSF1	0.166276512643579
let-7d-5p	CXCL1	0.3666873242636308
let-7d-5p	LGALS3	0.10499422247510637
let-7d-5p	THBD	0.09596462521682536
let-7d-5p	DKK1	0.2166793529753459
let-7d-5p	miR-30b-5p	0.5450804955926829
let-7d-5p	miR-223-3p	0.5967299657570022
let-7d-5p	CST5	0.16061655957288945
let-7d-5p	SULT1A1	0.26324422350982335
let-7d-5p	SLAMF1	0.16083050537767374
let-7d-5p	miR-221-3p	0.5503597491874368
miR-140-5p	ESM1	0.18607367148435738
miR-140-5p	CCL11	0.1050812656993747
miR-140-5p	miR-885-5p	0.17047126624424536
miR-140-5p	miR-222-3p	0.6910302643083188
miR-192-5p	CD274	0.200993678577297
miR-192-5p	miR-122-5p	0.28336759286184865
miR-192-5p	CTSL	0.1576884841151447
miR-192-5p	miR-29a-3p	0.24133089183849066
miR-192-5p	DNER	0.2509985493194602
miR-192-5p	PLAUR	0.09424931181740259
miR-192-5p	IL6	0.10329986399890334
miR-192-5p	TEK	0.15333534452338515
miR-30b-5p	TNFRSF1A	0.16700783067557623
miR-30b-5p	PAPPA	0.22944789211773742
miR-30b-5p	miR-19b-3p	0.7577280341629242
miR-30b-5p	miR-26a-5p	0.8557507909191813
miR-30b-5p	let-7d-5p	0.543670581690253
miR-223-3p	miR-24-3p	1.1767095368321892
miR-223-3p	miR-93-5p	0.9672792905245853
miR-223-3p	RNY4-5p	0.6714321291168259
miR-223-3p	KLK11	0.12084165716158157
miR-223-3p	let-7d-5p	0.5967299657570022
miR-223-3p	KITLG	0.16684853570068992
miR-223-3p	miR-223-5p	0.39366372370400704
miR-223-5p	IL6R	0.10576696666305274
miR-223-5p	IL10	0.12946051488975474
miR-223-5p	RNY4-3p	0.5578819407499873
miR-223-5p	miR-223-3p	0.39366372370400704
miR-223-5p	miR-92a-3p	0.4433403054516756
miR-375	IL1RN	0.14027688898979473
miR-375	SELPLG	0.19215029271293638
miR-375	miR-122-5p	0.17104406187564347
miR-375	PTX3	0.164840709801644
miR-375	TEK	0.23381998504612156
miR-92a-3p	RNY4-3p	0.5104867002136322
miR-92a-3p	miR-320a	0.41503334069049913
miR-92a-3p	miR-191-5p	0.46494569586327206
miR-92a-3p	RNY4-5p	0.5139287236616044
miR-92a-3p	miR-223-5p	0.4433403054516747
miR-99b-5p	SELPLG	0.1353309778547649
miR-99b-5p	HAVCR1	0.15727007886940836
miR-99b-5p	IL10	0.19542397365988773
miR-99b-5p	IL10RB	0.1051051304614603
miR-99b-5p	miR-221-3p	0.5859858121277677
miR-99b-5p	IL6	0.10846319059321097
miR-99b-5p	ADA	0.1420540072605112
miR-99b-5p	HBEGF	0.18136790018076976
miR-150-5p	IL10RA	0.0936294163144833
miR-150-5p	OSM	0.09668489445190165
miR-150-5p	miR-24-3p	0.25432930953221966
miR-150-5p	AGRP	0.11755824258314451
miR-150-5p	CTSD	0.1342099503748697
miR-16-5p	miR-486-5p	0.605417816951415
miR-16-5p	EIF4EBP1	0.20446606873559148
miR-16-5p	miR-19b-3p	0.5934555365092411
miR-16-5p	SELE	0.14212974650047716
miR-16-5p	let-7b-5p	0.6057829322495989
