Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.10953896739072455
miR-885-5p	IL18	0.15561575928947136
miR-885-5p	miR-122-5p	0.574384325414286
miR-885-5p	THBD	0.15834762043745076
miR-885-5p	miR-192-5p	0.26952402671064846
miR-885-5p	FABP4	0.11273717642483305
miR-885-5p	CCL7	0.266088032721278
miR-885-5p	LTA	0.09104766065365055
miR-885-5p	CHI3L1	0.16434233317103253
miR-885-5p	CD244	0.12687549226914996
miR-20b-5p	miR-222-3p	0.6973002326592344
miR-20b-5p	miR-19b-3p	1.0819448665561255
miR-20b-5p	let-7b-5p	0.5908110044951895
miR-28-5p	CXCL9	0.17454790310015778
miR-28-5p	TNFRSF9	0.10634171455481134
miR-28-5p	OSM	0.10065958896156602
miR-28-5p	TGFA	0.09166369105535654
miR-28-5p	CXCL1	0.09967390546531085
miR-28-5p	KLK6	0.12686817788519278
miR-28-5p	miR-27b-3p	0.1506972343327435
miR-28-5p	CDCP1	0.09721832859157953
miR-28-5p	miR-93-5p	0.18448461913718361
miR-28-5p	CCL3	0.11015871116597875
miR-122-5p	SPON1	0.1347998686194094
miR-122-5p	miR-885-5p	0.574384325414286
miR-122-5p	RNY5-5p	0.31473998334076825
miR-122-5p	CXCL1	0.18575543380106474
miR-122-5p	RETN	0.12619612221281074
miR-122-5p	KLK6	0.1074785475107971
miR-122-5p	miR-143-3p	0.2711793217363754
miR-122-5p	OLR1	0.10846013863954873
miR-122-5p	PLAUR	0.12124454318211342
miR-122-5p	RNASE3	0.2668017965670968
miR-122-5p	MMP10	0.14266202715654952
miR-122-5p	IL7	0.13592025202026292
miR-122-5p	FAS	0.10778607360080628
miR-126-3p	miR-126-5p	0.5254839100669075
miR-126-3p	miR-24-3p	0.7743640127373457
miR-126-3p	SLAMF1	0.09902966626513443
miR-126-3p	PGF	0.15472297922041278
miR-126-3p	CD40LG	0.27762464796541675
miR-320a	IL27	0.18595064990725696
miR-320a	PLAT	0.17771333610915896
miR-320a	miR-122-5p	0.1772144969550764
miR-320a	CASP8	0.19634163982367348
miR-320a	miR-486-5p	0.4524608941625292
miR-320a	miR-24-3p	0.8195652781970058
miR-320a	TGFB1	0.14404854072956663
miR-320a	TNFSF12	0.203471993754067
miR-320a	GH1	0.17432019307822433
miR-320a	LEP	0.12572205812046722
miR-320a	PTX3	0.16749629216099482
miR-320a	REN	0.16137834855142685
miR-126-5p	miR-126-3p	0.5254839100669075
miR-126-5p	DKK1	0.19859911245980832
miR-126-5p	IL17C	0.1133521359269496
miR-21-5p	PRL	0.1268224856719824
miR-21-5p	miR-223-3p	0.700027059937276
miR-21-5p	RNY5-5p	0.2035322955604295
miR-21-5p	TNFRSF11B	0.09407749814186683
miR-21-5p	TNFSF14	0.15442992130775224
miR-21-5p	KLK11	0.1930270584905367
miR-145-5p	miR-143-3p	0.3752995597530733
miR-145-5p	FST	0.20980810516511195
miR-145-5p	FLT3LG	0.1577388935654147
miR-145-5p	CSTB	0.31206389972999027
miR-145-5p	SELPLG	0.0957364366963116
miR-145-5p	SULT1A1	0.19273585910872626
miR-145-5p	CCL23	0.09241843450507048
miR-145-5p	miR-26a-5p	0.5501822573665329
miR-143-3p	CXCL8	0.1196616186115751
miR-143-3p	miR-122-5p	0.2711793217363754
miR-143-3p	miR-145-5p	0.3675024978348178
miR-143-3p	ESM1	0.1829496672699955
miR-143-3p	FGF23	0.13139656257444177
miR-143-3p	GDF15	0.1604544354432189
miR-143-3p	HGF	0.1625451214507958
miR-143-3p	TNFRSF9	0.09323573989629175
miR-143-3p	IL18	0.127596540674765
miR-143-3p	MMP12	0.09255181231620124
miR-143-3p	CD244	0.14618468237626203
miR-574-3p	miR-222-3p	0.602668160144785
miR-574-3p	miR-192-5p	0.23523309710456441
miR-574-3p	CD6	0.102665665717943
miR-574-3p	miR-375	0.2075411358640391
miR-191-5p	CXCL1	0.22130867176358215
miR-191-5p	FGF5	0.13900668304301078
miR-191-5p	miR-24-3p	0.6107387729947984
miR-191-5p	ESM1	0.13633733459966635
