Regulator	Target	MI
miR-885-5p	miR-122-5p	0.5798638738965192
miR-885-5p	PGF	0.09902717425245644
miR-885-5p	FGF19	0.25253991610877424
miR-885-5p	miR-222-3p	0.16782931526625067
miR-20b-5p	CSTB	0.11946337785449757
miR-20b-5p	miR-19b-3p	0.9604112302548788
miR-20b-5p	MUC16	0.11786806118211945
miR-20b-5p	CCL20	0.11973634979054015
miR-20b-5p	let-7b-5p	0.5975629820106017
miR-20b-5p	let-7d-5p	0.5583039871423265
miR-20b-5p	LTA	0.10987114845496304
miR-20b-5p	AGRP	0.09866249076142442
miR-28-5p	SPON1	0.09749456072544316
miR-28-5p	CCL7	0.12827275230050272
miR-28-5p	PAPPA	0.12112056677559035
miR-28-5p	miR-375	0.13955780218843739
miR-28-5p	AGRP	0.10020517533991935
miR-28-5p	PTX3	0.11444982827053707
miR-28-5p	CCL28	0.1050209101490216
miR-28-5p	miR-16-5p	0.15048103278625824
miR-122-5p	CXCL6	0.08958304270583017
miR-122-5p	miR-885-5p	0.5798638738965183
miR-122-5p	RNY5-5p	0.1807592359139738
miR-122-5p	TNFRSF10B	0.10929552528976227
miR-122-5p	RNASE3	0.12225214019947117
miR-122-5p	SELE	0.110554113238023
miR-122-5p	miR-192-5p	0.23768097536066968
miR-122-5p	miR-375	0.11037151084010421
miR-122-5p	miR-92a-3p	0.12725223727326185
miR-122-5p	IL12B	0.11182973454534917
miR-122-5p	PTX3	0.12758382815874025
miR-126-3p	PLAT	0.15120552631914919
miR-126-3p	miR-126-5p	0.4525301912972335
miR-126-3p	miR-21-5p	0.6014506895581828
miR-126-3p	AXIN1	0.3918156560125352
miR-126-3p	CCL13	0.1257322471662965
miR-126-3p	miR-320a	0.5801389155069936
miR-126-3p	miR-24-3p	1.0658755493973224
miR-126-3p	miR-29a-3p	0.4355107738112336
miR-126-3p	RNY4-5p	0.4976119691110439
miR-126-3p	CD40LG	0.33907310113684463
miR-320a	CASP8	0.3065513479760211
miR-320a	STAMBP	0.35939661157062464
miR-320a	miR-126-3p	0.5801389155069945
miR-320a	PTX3	0.14407855822167015
miR-320a	TEK	0.12246073906544197
miR-126-5p	SPON1	0.13588519208820493
miR-126-5p	miR-126-3p	0.4525301912972344
miR-126-5p	FGF5	0.10040534918648092
miR-126-5p	CCL8	0.12001201916389892
miR-126-5p	SLAMF1	0.14194013056093802
miR-126-5p	CCL25	0.10202418420553716
miR-21-5p	PDGFB	0.3752444036424043
miR-21-5p	TNFRSF11B	0.10445235689645127
miR-21-5p	miR-126-3p	0.6014506895581828
miR-21-5p	TNFSF10	0.10827758641856189
miR-21-5p	MMP10	0.19668568365305905
miR-21-5p	FGF19	0.15320750290416374
miR-145-5p	CXCL5	0.3386198093546833
miR-145-5p	SULT1A1	0.1794210505449616
miR-145-5p	miR-19b-3p	0.6983776397615795
miR-145-5p	miR-130a-3p	0.5984990788428544
miR-145-5p	CXCL11	0.207432270392796
miR-145-5p	miR-375	0.10236393943601652
miR-145-5p	HBEGF	0.15603608310184125
miR-143-3p	CCL11	0.08920254149362616
miR-143-3p	SELPLG	0.1876513094726775
miR-143-3p	CSF1	0.10839063128234638
miR-143-3p	miR-27b-3p	0.26076122491117903
miR-143-3p	miR-19b-3p	0.36996790238274
miR-143-3p	HAVCR1	0.1112410179494363
miR-143-3p	IL6R	0.08927229379183199
miR-143-3p	GDF15	0.17782140669870206
miR-143-3p	HGF	0.1663375491591239
miR-143-3p	PLAUR	0.13346807424049079
miR-143-3p	IL16	0.10526630253109381
miR-143-3p	VEGFA	0.1263380844262283
miR-143-3p	XPNPEP2	0.09669001871090366
miR-574-3p	miR-19b-3p	0.571537193341225
miR-191-5p	CXCL1	0.1908795407166446
miR-191-5p	DNER	0.14988396025868944
miR-191-5p	IKBKG	0.3902915711494268
miR-191-5p	RNY4-3p	0.6420931108553694
miR-191-5p	MMP1	0.12773584745577082
miR-191-5p	miR-130a-3p	0.49837508108322837
miR-191-5p	miR-92a-3p	0.6053495565805669
miR-191-5p	miR-24-3p	0.5808957021392631
miR-191-5p	CCL23	0.17727461869794237
miR-191-5p	RNY4-5p	0.7033952451230814
miR-24-3p	SRC	0.43069957124152936
miR-24-3p	HSPB1	0.28710404606928197
miR-24-3p	miR-126-3p	1.0658755493973224
miR-24-3p	CST5	0.15322208135665605
miR-24-3p	miR-191-5p	0.5808957021392631
miR-24-3p	miR-93-5p	0.8638435614755542
miR-24-3p	miR-140-5p	0.605015270934202
miR-24-3p	FABP4	0.1003906082517192
miR-24-3p	miR-223-3p	0.972130387574329
miR-27b-3p	CXCL6	0.13293386867945056
miR-27b-3p	IL1RN	0.09149282166105266
miR-27b-3p	miR-143-3p	0.24580408423525402
miR-27b-3p	CASP8	0.11732392272205594
miR-27b-3p	IL15RA	0.11658489969433372
miR-27b-3p	TNFRSF10B	0.16968982383852627
miR-27b-3p	KLK11	0.10262443822730738
miR-27b-3p	let-7d-5p	0.35521007581911057
miR-27b-3p	TNFRSF1A	0.14027608970503724
miR-27b-3p	AGRP	0.13918802923809093
miR-486-5p	IL1RN	0.12117578540946283
miR-486-5p	CCL7	0.11682119474392305
miR-486-5p	miR-93-5p	0.691920798183383
miR-486-5p	FGF23	0.13452932443156218
miR-486-5p	MMP10	0.11980523990332426
miR-486-5p	TNFRSF1A	0.10631512858935999
miR-486-5p	miR-99b-5p	0.3634652672261538
miR-486-5p	REN	0.10215698839281462
miR-486-5p	miR-16-5p	0.6347284908774613
miR-93-5p	RNY5-5p	0.1873774143122846
miR-93-5p	miR-24-3p	0.8638435614755533
miR-93-5p	miR-486-5p	0.691920798183383
miR-93-5p	S100A12	0.09337540104608522
miR-93-5p	miR-19b-3p	0.6424582887459094
miR-93-5p	SIRT2	0.4197633490117809
miR-93-5p	GAL	0.15898541280295486
miR-222-3p	miR-885-5p	0.16782931526625067
miR-222-3p	NPPB	0.12092139166029092
miR-222-3p	miR-30b-5p	0.7579898027502319
miR-29a-3p	IL16	0.09597063858304367
miR-29a-3p	miR-192-5p	0.181288490299095
miR-29a-3p	CHI3L1	0.1567008983873821
miR-29a-3p	miR-126-3p	0.4355107738112345
miR-29a-3p	KLK11	0.12172820844817345
miR-29a-3p	XPNPEP2	0.10236488718532843
miR-29a-3p	IL17C	0.109593329545139
miR-19b-3p	miR-20b-5p	0.9604112302548797
miR-19b-3p	miR-145-5p	0.6983776397615795
miR-19b-3p	miR-143-3p	0.3562055370562929
miR-19b-3p	miR-574-3p	0.571537193341225
miR-19b-3p	miR-93-5p	0.6424582887459085
miR-19b-3p	IL15RA	0.09510471617085248
miR-19b-3p	miR-26a-5p	0.8111675742775191
miR-19b-3p	miR-99b-5p	0.43155714204547735
miR-19b-3p	miR-16-5p	0.5532853028253051
miR-197-3p	CSF1	0.12313245989979915
miR-197-3p	PLAU	0.12901486696633047
miR-197-3p	TGFB1	0.14329818216487933
miR-197-3p	RNY4-3p	0.41008352688849214
miR-197-3p	TNFSF14	0.13849209446932953
miR-197-3p	NGF	0.1004769521676332
miR-197-3p	miR-223-3p	0.6604185708401813
miR-197-3p	STAMBP	0.3502946766841495
miR-26a-5p	NT-pro-BNP	0.18502449768947926
miR-26a-5p	CX3CL1	0.10514581951500102
miR-26a-5p	miR-19b-3p	0.8111675742775191
miR-26a-5p	miR-221-3p	0.8111183687362491
miR-26a-5p	RNASE3	0.12394638736342678
miR-26a-5p	miR-30b-5p	0.952778415544107
miR-324-5p	LGALS3	0.09159660989688234
