Regulator	Target	MI
miR-885-5p	CSTB	0.10701092796260614
miR-885-5p	miR-192-5p	0.0901012994895698
miR-885-5p	CCL8	0.12549659604961771
miR-885-5p	miR-324-5p	0.11216202526054797
miR-885-5p	miR-223-5p	0.10695542181548401
miR-885-5p	NTF3	0.12061592159968981
miR-885-5p	RNY5-5p	0.27461520262238004
miR-885-5p	CHI3L1	0.1008697584356959
miR-885-5p	miR-122-5p	0.4581595227117674
miR-20b-5p	CD40	0.09600761742036923
miR-20b-5p	IL1RN	0.10884199725976718
miR-20b-5p	miR-19b-3p	1.093775466984379
miR-20b-5p	OSM	0.18169981691796622
miR-20b-5p	IL6	0.15951833048784891
miR-20b-5p	miR-140-5p	0.6430043450325869
miR-20b-5p	LTA	0.16497706842398507
miR-20b-5p	miR-92a-3p	0.4908462440007906
miR-20b-5p	miR-99b-5p	0.34350599260911174
miR-20b-5p	AGRP	0.11886060328827153
miR-20b-5p	STAMBP	0.31852836277593877
miR-28-5p	CSTB	0.14004440519042927
miR-28-5p	FST	0.09189023893773562
miR-28-5p	OSM	0.09928216294442471
miR-28-5p	TGFA	0.0942895600103899
miR-28-5p	TNFRSF1B	0.10807598228693394
miR-28-5p	MMP10	0.11110507420516313
miR-28-5p	VEGFA	0.1434463773719079
miR-28-5p	NPPB	0.13237615663840074
miR-28-5p	CXCL10	0.11925601613502224
miR-28-5p	miR-191-5p	0.1398643798932797
miR-28-5p	miR-27b-3p	0.1139218942252187
miR-28-5p	CCL3	0.18288605997840435
miR-28-5p	S100A12	0.09878408608784195
miR-122-5p	CD40	0.10202944099233324
miR-122-5p	miR-885-5p	0.4581595227117683
miR-122-5p	TNFRSF10B	0.09283959448260415
miR-122-5p	CXCL1	0.16785290466574754
miR-122-5p	IL27	0.13346315796579145
miR-122-5p	RNASE3	0.1510643846625772
miR-122-5p	miR-126-5p	0.14434856643710603
miR-122-5p	F3	0.08971058853697134
miR-122-5p	IL6	0.11899499287019122
miR-122-5p	KITLG	0.14602652756880552
miR-122-5p	CCL4	0.11099947116386755
miR-122-5p	CCL2	0.09890629176416965
miR-122-5p	S100A12	0.22812216367561078
miR-122-5p	PTX3	0.13059533475576757
miR-126-3p	CXCL1	0.24014514326840253
miR-126-3p	miR-126-5p	0.25541745090371126
miR-126-3p	CXCL5	0.24789198233507292
miR-126-3p	ESM1	0.12902962618963887
miR-126-3p	AXIN1	0.33564871357826576
miR-126-3p	TNFRSF1B	0.21670134232550087
miR-126-3p	miR-320a	0.523042527360138
miR-126-3p	miR-24-3p	0.8788705931939544
miR-126-3p	miR-27b-3p	0.259045926255709
miR-126-3p	miR-29a-3p	0.48976296798946883
miR-126-3p	MUC16	0.10153921126752774
miR-126-3p	XPNPEP2	0.17548093493977301
