Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.16218623506403063
miR-885-5p	miR-192-5p	0.22663460660477064
miR-885-5p	CHI3L1	0.1185348191459914
miR-885-5p	REN	0.14898845190711363
miR-885-5p	miR-122-5p	0.5405483621659126
miR-885-5p	miR-145-5p	0.15115901542020893
miR-20b-5p	CD40	0.15875579827229203
miR-20b-5p	ADM	0.1240901876125653
miR-20b-5p	CXCL1	0.24228958436451276
miR-20b-5p	miR-324-5p	0.37244935719977335
miR-20b-5p	MMP3	0.13471469722400364
miR-20b-5p	TGFA	0.14043563832746564
miR-20b-5p	miR-93-5p	0.7211106666269158
miR-20b-5p	miR-222-3p	0.8551852567217377
miR-20b-5p	CCL3	0.16489788113787718
miR-20b-5p	EIF4EBP1	0.17694920964582828
miR-20b-5p	miR-19b-3p	1.055226615103047
miR-20b-5p	miR-26a-5p	0.7533606014974907
miR-20b-5p	CCL28	0.0977038678252562
miR-20b-5p	IL17C	0.12290300365667228
miR-28-5p	IL27	0.11199226627244929
miR-28-5p	miR-24-3p	0.26271188387483946
miR-122-5p	TNFSF14	0.09267529763186388
miR-122-5p	miR-885-5p	0.5405483621659135
miR-122-5p	RNY5-5p	0.4754161465420701
miR-122-5p	miR-221-3p	0.24710076989759422
miR-122-5p	F3	0.12719048744739236
miR-122-5p	PGF	0.11061388437920616
miR-122-5p	TNFRSF1A	0.1093158612307672
miR-122-5p	GDNF	0.09289633853637547
miR-122-5p	MB	0.09761452112706426
miR-122-5p	TNFSF11	0.11754101593959376
miR-126-3p	PLAT	0.13853769704959618
miR-126-3p	miR-126-5p	0.48565709636473997
miR-126-3p	IL18	0.11338322088840425
miR-126-3p	IL16	0.2456521392571629
miR-126-3p	miR-223-3p	0.9579653076635104
miR-126-3p	LTA	0.17410515932826698
miR-126-3p	SRC	0.5298272022011616
miR-126-3p	miR-26a-5p	0.6812369240622829
miR-126-3p	CD40LG	0.3723789353991096
miR-320a	miR-24-3p	0.8385231004620683
miR-320a	TNFSF14	0.11340792086482399
miR-320a	miR-192-5p	0.2479806569837839
miR-320a	miR-223-5p	0.5293907356746033
miR-126-5p	miR-126-3p	0.48565709636474086
miR-126-5p	CXCL16	0.10229711716683898
miR-126-5p	IL15RA	0.12166287817601518
miR-126-5p	CCL20	0.18132774635854432
miR-126-5p	GDF15	0.20396616630219366
miR-126-5p	HGF	0.12186466671062934
miR-126-5p	CDCP1	0.14028747059813718
miR-21-5p	miR-24-3p	0.6349017492467866
miR-21-5p	miR-27b-3p	0.345993716887917
miR-21-5p	NTF3	0.10948890239729536
miR-21-5p	SELE	0.1838896340170333
miR-21-5p	miR-223-5p	0.6117238386653199
miR-21-5p	IL18R1	0.15651279686149167
miR-145-5p	FGF5	0.11755929941180998
miR-145-5p	NPPB	0.162030362750202
miR-145-5p	let-7b-5p	0.57578406943954
miR-145-5p	miR-99b-5p	0.40583704208443816
miR-145-5p	miR-885-5p	0.15115901542020893
miR-145-5p	miR-197-3p	0.4993802167937842
miR-145-5p	miR-26a-5p	0.6226106931073856
miR-145-5p	AGRP	0.09196015626437593
miR-143-3p	RETN	0.13976908451133685
miR-143-3p	miR-29a-3p	0.3025171964767077
miR-143-3p	NTF3	0.11218357369789
miR-143-3p	CCL28	0.09969227656485558
miR-143-3p	IL18R1	0.1566457408193367
miR-574-3p	CCL13	0.11174265270521211
miR-574-3p	miR-19b-3p	0.7290103460634514
miR-191-5p	CXCL9	0.20027890501754797
miR-191-5p	HSPB1	0.2806709963835612
miR-191-5p	CTSL	0.11895393287640488
miR-191-5p	RNY4-3p	0.7499321607071963
miR-191-5p	AXIN1	0.48957453892204494
miR-191-5p	TNFRSF1B	0.11969220631616917
