Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.11513962482017615
miR-885-5p	CCL11	0.11583406852685396
miR-885-5p	GDF15	0.19989059311299684
miR-885-5p	FST	0.22611293557449397
miR-885-5p	IL10RA	0.09207426831847432
miR-885-5p	miR-122-5p	0.5453540498509026
miR-885-5p	RETN	0.14227395528933773
miR-885-5p	miR-24-3p	0.2379351908338867
miR-885-5p	miR-27b-3p	0.20014577768568742
miR-885-5p	PTX3	0.15785106873341181
miR-20b-5p	CTSL	0.10944935193441019
miR-20b-5p	miR-19b-3p	1.0358110419271407
miR-20b-5p	CCL25	0.13424388305629442
miR-20b-5p	TNFRSF1B	0.13725078801209012
miR-20b-5p	IL6	0.18958563261222672
miR-28-5p	CCL13	0.21793888934921135
miR-28-5p	VEGFA	0.10537121289962581
miR-28-5p	miR-143-3p	0.14013942678948244
miR-28-5p	miR-27b-3p	0.15934387992997223
miR-28-5p	FABP4	0.13996728022802785
miR-28-5p	CCL7	0.16233267674095853
miR-28-5p	LEP	0.16261164803043737
miR-28-5p	PAPPA	0.09805493505292429
miR-28-5p	miR-375	0.12970356061028365
miR-28-5p	PECAM1	0.10508902310856438
miR-28-5p	FGF23	0.10766929013059201
miR-122-5p	IL10	0.1181719990633896
miR-122-5p	CD274	0.1468348392493466
miR-122-5p	CSTB	0.20842185720549544
miR-122-5p	CXCL8	0.10517746898249136
miR-122-5p	miR-885-5p	0.5453540498509026
miR-122-5p	RNY5-5p	0.4162255294053221
miR-122-5p	OSM	0.15451407378418658
miR-122-5p	PRL	0.1197849195616012
miR-122-5p	miR-140-5p	0.16375164279364007
miR-122-5p	DNER	0.1415204776255079
miR-122-5p	CCL3	0.10589555635045844
miR-122-5p	EIF4EBP1	0.18214063137930214
miR-122-5p	miR-150-5p	0.12543105558747314
miR-126-3p	NT-pro-BNP	0.12807386540909604
miR-126-3p	CXCL1	0.24389067133921127
miR-126-3p	HGF	0.11266783405047587
miR-126-3p	miR-150-5p	0.28910269987898296
miR-126-3p	miR-24-3p	0.9720576972241197
miR-320a	ADM	0.13438148911406333
miR-320a	miR-24-3p	0.5130606002999167
miR-126-5p	TNFRSF11B	0.20126979058984862
miR-126-5p	miR-24-3p	0.47968881652371387
miR-126-5p	TNFSF14	0.13475370015001964
