Regulator	Target	MI
miR-885-5p	miR-122-5p	0.4328243926747115
miR-885-5p	miR-126-3p	0.1999206614568232
miR-885-5p	PGF	0.14377746787593004
miR-885-5p	GH1	0.18019117060587586
miR-20b-5p	NT-pro-BNP	0.13518821653402302
miR-20b-5p	miR-19b-3p	0.9057476120509111
miR-20b-5p	CTSD	0.0973047244219627
miR-20b-5p	FLT3LG	0.10281874205108288
miR-20b-5p	TEK	0.21936823181814447
miR-28-5p	IL10RA	0.10532858068480344
miR-28-5p	MMP3	0.19989646483942725
miR-28-5p	OSM	0.15909690158210577
miR-28-5p	CXCL5	0.2623480350003886
miR-28-5p	MMP12	0.14350974848927045
miR-28-5p	miR-192-5p	0.13909399790835675
miR-28-5p	PAPPA	0.13853051682631534
miR-28-5p	miR-223-5p	0.2524002402711556
miR-28-5p	LTA	0.13201674853904066
miR-28-5p	miR-92a-3p	0.2508351328040366
miR-28-5p	HAVCR1	0.10350260570766867
miR-28-5p	CCL28	0.12364872928279702
miR-122-5p	CXCL6	0.12935256052814825
miR-122-5p	RNY4-3p	0.15745529345472953
miR-122-5p	miR-324-5p	0.19597734304122305
miR-122-5p	HGF	0.10958560868964717
miR-122-5p	miR-885-5p	0.4328243926747115
miR-122-5p	RNY5-5p	0.3509993295377356
miR-122-5p	PLAUR	0.11302100335867404
miR-122-5p	CXCL11	0.12795117686642854
miR-122-5p	miR-192-5p	0.3370479149712251
miR-122-5p	miR-27b-3p	0.10331077352794438
miR-122-5p	FABP4	0.12233063273715139
miR-122-5p	PECAM1	0.09016998758282835
miR-126-3p	miR-21-5p	0.6190249972363358
miR-126-3p	miR-574-3p	0.5686100807712684
miR-126-3p	CDCP1	0.10283166445716496
miR-126-3p	miR-223-3p	1.0784871644056073
miR-126-3p	miR-885-5p	0.1926558919241126
miR-126-3p	RNY5-5p	0.22104814283593122
miR-126-3p	miR-320a	0.6702123080227285
miR-126-3p	miR-24-3p	1.0432709218112803
miR-126-3p	BDNF	0.09021968005986558
miR-126-3p	IL10RB	0.11957972782929271
miR-126-3p	miR-221-3p	0.6016481025892064
miR-126-3p	CXCL10	0.1581891555528081
miR-126-3p	CD40LG	0.35225621575811683
miR-320a	CSTB	0.09175093289651937
miR-320a	miR-126-3p	0.6502121314177254
miR-320a	miR-93-5p	0.615410158697526
miR-320a	REN	0.11525090031204144
miR-320a	IL17C	0.2851054064527876
miR-320a	IL18R1	0.14085611890256367
miR-126-5p	miR-24-3p	0.5840671648827795
miR-126-5p	ESM1	0.12887835016191662
miR-126-5p	MMP7	0.1209726543890488
miR-126-5p	TGFB1	0.12646692283219618
miR-126-5p	miR-324-5p	0.30748599504664753
miR-126-5p	OSM	0.12699234897677947
miR-21-5p	miR-126-3p	0.6190249972363358
miR-21-5p	miR-29a-3p	0.5253968533612294
miR-21-5p	TNFSF14	0.15066686044074107
miR-145-5p	PLAT	0.13262231177069506
miR-145-5p	RNASE3	0.11287543845413328
miR-145-5p	PGF	0.09534081937097483
miR-145-5p	miR-30b-5p	0.7054771921610401
miR-145-5p	CST5	0.11501318554685813
miR-145-5p	TNFRSF9	0.15727635234782245
miR-145-5p	IL6	0.1185921302592785
miR-143-3p	CCL7	0.1004958067996613
miR-143-3p	TNFRSF1B	0.12672670866996505
miR-143-3p	miR-192-5p	0.22304754947867433
miR-143-3p	miR-375	0.1003844807677634
miR-143-3p	PECAM1	0.10520547945913172
miR-143-3p	miR-99b-5p	0.25723630653175444
miR-574-3p	CD40	0.10295070462627542
