Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.09855239807855565
miR-885-5p	RNY5-5p	0.24738387381832272
miR-885-5p	miR-122-5p	0.4216726584207491
miR-885-5p	miR-21-5p	0.18807759250639133
miR-885-5p	CX3CL1	0.09292775117787144
miR-885-5p	FGF5	0.18478551300387558
miR-885-5p	GH1	0.09013276103205836
miR-885-5p	miR-192-5p	0.10765725514509317
miR-885-5p	CCL3	0.13423874835131144
miR-885-5p	CCL19	0.1193466883557095
miR-885-5p	CTSD	0.16806833950984146
miR-885-5p	IL6R	0.12752625763987968
miR-20b-5p	ADM	0.17646114822718673
miR-20b-5p	miR-145-5p	0.6408323767289152
miR-20b-5p	miR-143-3p	0.3289094714960523
miR-20b-5p	miR-130a-3p	0.8659695599101225
miR-20b-5p	DKK1	0.10700816779534605
miR-20b-5p	let-7b-5p	0.8093054596238272
miR-20b-5p	CCL11	0.09603351935248217
miR-20b-5p	miR-24-3p	0.7260076698799889
miR-20b-5p	miR-19b-3p	1.0525107026090463
miR-28-5p	NT-pro-BNP	0.09111480388634874
miR-28-5p	TGFB1	0.1187312176625861
miR-28-5p	FST	0.1065238677079714
miR-28-5p	TGFA	0.11647983600737533
miR-28-5p	miR-122-5p	0.1356151789127953
miR-28-5p	SELE	0.11237176703200813
miR-28-5p	NPPB	0.1218308534969843
miR-28-5p	CXCL11	0.10596160683589151
miR-28-5p	GAL	0.0896418438668114
miR-28-5p	LEP	0.10480307515264098
miR-28-5p	S100A12	0.13608523489066293
miR-28-5p	REN	0.10088697637369215
miR-28-5p	FGF21	0.11036960422644437
miR-28-5p	miR-16-5p	0.1420456819893543
miR-122-5p	miR-885-5p	0.42167265842074997
miR-122-5p	miR-28-5p	0.14420903213381564
miR-122-5p	TNFRSF11B	0.16928468645504502
miR-122-5p	IL10RA	0.10406397548366009
miR-122-5p	AXIN1	0.16166939741516106
miR-122-5p	RNASE3	0.10867530781440227
miR-122-5p	let-7b-5p	0.1499234962028302
miR-122-5p	miR-375	0.17520210625025712
miR-122-5p	miR-150-5p	0.20737895458155986
miR-122-5p	ADA	0.09352467577568024
miR-122-5p	IL18R1	0.12654594594274204
miR-122-5p	HBEGF	0.19062357023369003
miR-126-3p	miR-320a	0.6960053844369245
miR-126-3p	MUC16	0.17893536221735395
miR-126-3p	miR-26a-5p	0.610409634528505
miR-126-3p	TNFRSF1B	0.1971855392340407
miR-126-3p	miR-140-5p	0.6279183398629264
miR-126-3p	miR-223-3p	1.0147507498932118
miR-320a	miR-486-5p	0.5121344326830286
miR-320a	SIRT2	0.39522757674538767
miR-320a	miR-93-5p	0.7160169200784177
