Regulator	Target	MI
miR-885-5p	FABP4	0.1783055039242578
miR-885-5p	MUC16	0.10724968001199287
miR-885-5p	miR-223-5p	0.2064991301836141
miR-885-5p	F2R	0.12117954785643725
miR-885-5p	EIF4EBP1	0.08965294271412994
miR-885-5p	miR-221-3p	0.1613681679621468
miR-885-5p	miR-122-5p	0.31911303600851326
miR-885-5p	KLK11	0.10779270057036872
miR-20b-5p	miR-19b-3p	1.0337478417217927
miR-28-5p	miR-223-5p	0.1703597688836327
miR-28-5p	DNER	0.09329407039781401
miR-28-5p	CCL2	0.13689110228714352
miR-28-5p	miR-99b-5p	0.18760348627469536
miR-28-5p	REN	0.08925010523811672
miR-28-5p	IL17C	0.09288596726225062
miR-122-5p	NT-pro-BNP	0.12418347141920538
miR-122-5p	SPON1	0.11869718911178317
miR-122-5p	TNFSF12	0.10031337495718429
miR-122-5p	miR-885-5p	0.31911303600851326
miR-122-5p	RNY5-5p	0.34229333809793605
miR-122-5p	PLAT	0.17907877886417456
miR-122-5p	miR-145-5p	0.124919601654776
miR-122-5p	miR-192-5p	0.14588404382217135
miR-122-5p	CCL8	0.1887792599468634
miR-122-5p	IL18R1	0.09690821696931096
miR-126-3p	miR-126-5p	0.51470329047772
miR-126-3p	SULT1A1	0.21492738778878628
miR-126-3p	miR-24-3p	1.0227931485841077
miR-126-3p	miR-26a-5p	0.636017887855111
miR-126-3p	HGF	0.09900775492578884
miR-126-3p	miR-223-3p	1.307336287682542
miR-126-3p	XPNPEP2	0.10737678868147427
miR-320a	miR-24-3p	0.6645414682549005
miR-320a	miR-486-5p	0.43647015623675234
miR-320a	RNY4-3p	0.47276152656695913
miR-320a	FST	0.17253855383822092
miR-320a	SIRT2	0.3731837812141352
miR-320a	miR-150-5p	0.23556010360115476
miR-126-5p	miR-126-3p	0.51470329047772
miR-126-5p	CCL4	0.11784764590365882
miR-126-5p	SLAMF1	0.13729635152441144
miR-21-5p	RNY5-5p	0.20083988786273377
miR-21-5p	miR-24-3p	0.5825095455632932
miR-21-5p	S100A12	0.11458105633099613
miR-21-5p	miR-197-3p	0.579330434599326
miR-21-5p	FGF23	0.17108208599294716
miR-21-5p	IL6	0.12458287056403261
miR-145-5p	CD40	0.14221044209293687
miR-145-5p	CSF1	0.14374252050002134
miR-145-5p	miR-122-5p	0.12675828109129572
miR-145-5p	miR-19b-3p	0.5515424805745797
miR-145-5p	CCL23	0.16609762499712044
miR-145-5p	TNFRSF9	0.1070233024343743
miR-145-5p	CXCL11	0.10559729827702835
miR-143-3p	IL10RB	0.09439156546549032
miR-143-3p	MMP1	0.11870006766594177
miR-143-3p	let-7b-5p	0.23089771704140283
miR-143-3p	miR-192-5p	0.18008665637554433
miR-143-3p	IL18R1	0.1142162710623218
miR-574-3p	TNFSF10	0.14114696180983977
miR-574-3p	RNY4-3p	0.4234130389039148
miR-574-3p	GAL	0.10493032498878652
miR-574-3p	miR-223-3p	0.5378435844014922
miR-191-5p	miR-24-3p	0.6515960005616313
miR-191-5p	RNY4-3p	0.7392940960640697
miR-191-5p	RNY4-5p	0.7478157938697292
miR-191-5p	let-7d-5p	0.4825835406959511
miR-191-5p	PTX3	0.1386080339678495
miR-24-3p	miR-21-5p	0.5825095455632932
miR-24-3p	CX3CL1	0.1418412928802848
miR-24-3p	PLAU	0.16624859299919859
miR-24-3p	PDGFB	0.4270139475234318
miR-24-3p	miR-126-3p	1.0227931485841077
miR-24-3p	miR-320a	0.6645414682549022
miR-24-3p	miR-191-5p	0.6702960997709262
miR-24-3p	EGF	0.4142174291388967
miR-24-3p	TNFRSF10B	0.10519370964060393
miR-27b-3p	ESM1	0.1330772506263047
miR-27b-3p	miR-223-3p	0.3907248883893022
miR-27b-3p	FAS	0.14319953957653286
miR-27b-3p	TEK	0.11372709295188876
miR-27b-3p	ADA	0.10108845398135102
miR-27b-3p	HBEGF	0.1192788752700702
miR-486-5p	miR-320a	0.42416576841616127
