Regulator	Target	MI
miR-885-5p	CSTB	0.09888577866808923
miR-885-5p	miR-122-5p	0.4949199414596457
miR-885-5p	VEGFA	0.13255862530079998
miR-885-5p	THBD	0.10501391678966598
miR-885-5p	FABP4	0.20689893103769919
miR-885-5p	CCL7	0.16921991424069915
miR-885-5p	miR-375	0.1188803862580663
miR-885-5p	miR-99b-5p	0.1353329783501236
miR-885-5p	ADA	0.10155713088156837
miR-20b-5p	miR-93-5p	0.7504604146859508
miR-20b-5p	DNER	0.13828046874701538
miR-20b-5p	miR-19b-3p	1.092079723171702
miR-20b-5p	MMP3	0.11286117584066968
miR-20b-5p	let-7b-5p	0.7500635712676438
miR-20b-5p	IL6	0.26957869586867833
miR-20b-5p	PTX3	0.10885013225164109
miR-28-5p	CCL13	0.10176917404937225
miR-28-5p	PLAT	0.12476974430414334
miR-28-5p	miR-122-5p	0.12804423921243124
miR-28-5p	VEGFA	0.10757709411624639
miR-28-5p	FABP4	0.11641310772724722
miR-28-5p	XPNPEP2	0.09207581553425026
miR-28-5p	miR-223-5p	0.17577614339690317
miR-28-5p	DNER	0.12212811683652802
miR-122-5p	miR-885-5p	0.4949199414596457
miR-122-5p	F2R	0.13192602789544505
miR-122-5p	RNY5-5p	0.14390893433981944
miR-122-5p	PLAUR	0.16005148312598028
miR-122-5p	FLT3LG	0.10259768854898876
miR-122-5p	TNFRSF10B	0.1853993923897379
miR-122-5p	miR-28-5p	0.12804423921243124
miR-122-5p	KLK11	0.11055400557150286
miR-122-5p	MMP10	0.11629489898983802
miR-122-5p	FGF5	0.12236505694493172
miR-122-5p	miR-192-5p	0.13503492483122237
miR-122-5p	CASP8	0.1220611142001351
miR-126-3p	miR-126-5p	0.5776471468076325
miR-126-3p	MMP7	0.08895361857054951
miR-126-3p	SIRT2	0.39789531469871875
miR-126-3p	miR-150-5p	0.2985153754181278
miR-126-3p	HBEGF	0.15159656663558696
miR-126-3p	PDGFB	0.4377752823399854
miR-126-3p	miR-24-3p	0.9590416288565393
miR-320a	SRC	0.5201833406055085
miR-320a	PLAT	0.0939575153120833
miR-320a	miR-24-3p	0.692498067958657
miR-320a	IL6R	0.12129974815763234
miR-320a	TNFSF14	0.10639814916029167
miR-320a	miR-16-5p	0.47979966650096184
miR-126-5p	miR-126-3p	0.5776471468076325
miR-126-5p	FABP4	0.13281230739597127
miR-21-5p	TGFA	0.17358580368327114
miR-21-5p	miR-24-3p	0.7591895723438498
miR-21-5p	miR-26a-5p	0.6452441040021739
miR-145-5p	ADM	0.13390991649968154
miR-145-5p	miR-143-3p	0.2656018104790645
miR-145-5p	TNFRSF1B	0.14907044244003753
miR-145-5p	miR-29a-3p	0.5064778560753584
miR-145-5p	CCL3	0.1721138405921563
miR-145-5p	SLAMF1	0.12213303575351908
miR-145-5p	CCL23	0.15969955811460856
miR-145-5p	MUC16	0.09930041990435878
miR-145-5p	miR-26a-5p	0.6367789418544705
miR-145-5p	TNFRSF9	0.13019837403772794
miR-143-3p	PRL	0.1042817523660311
miR-143-3p	AGER	0.09051736105026453
miR-143-3p	miR-145-5p	0.2656018104790645
miR-143-3p	S100A12	0.1346170060205747
miR-143-3p	HGF	0.10707044273301936
miR-143-3p	F3	0.09882871409819582
miR-143-3p	GH1	0.18083177272894702
miR-143-3p	miR-192-5p	0.22346390602336275
miR-574-3p	CXCL5	0.2612974659344882
miR-574-3p	IL12B	0.13117656051246307
miR-574-3p	CTSD	0.102212079648897
miR-574-3p	MMP1	0.09146299646972622
miR-574-3p	CD274	0.15420170292570834
miR-574-3p	CST5	0.1550981189720133
miR-574-3p	miR-222-3p	0.5780483759337507
miR-574-3p	miR-29a-3p	0.5082374599509336
miR-574-3p	CCL25	0.25161661976891203
miR-191-5p	RNY4-3p	0.7602538539333974
miR-191-5p	miR-223-3p	0.7093532965454594
miR-191-5p	miR-92a-3p	0.47845639440585686
miR-191-5p	BDNF	0.10247308465810967
miR-191-5p	RNY4-5p	0.791048324638103
miR-191-5p	miR-223-5p	0.4079945733146575
miR-24-3p	miR-21-5p	0.7591895723438498
miR-24-3p	miR-223-3p	1.144659192357306
miR-24-3p	miR-126-3p	0.9590416288565384
miR-24-3p	miR-320a	0.692498067958657
miR-24-3p	miR-29a-3p	0.4945209629018441
miR-24-3p	NTF3	0.12016741876879689
miR-24-3p	EGF	0.43644519493472433
miR-24-3p	KLK11	0.11652005205874705
miR-24-3p	let-7d-5p	0.5529269668850603
miR-27b-3p	PLAT	0.12689369990762867
miR-27b-3p	PRL	0.09267279465991152
miR-27b-3p	let-7d-5p	0.22575512822249522
miR-27b-3p	CCL8	0.09002678943830666
miR-27b-3p	PAPPA	0.09528785835797304
miR-486-5p	CXCL9	0.3385608217605478
miR-486-5p	CCL11	0.14638659396523757
miR-486-5p	CCL8	0.3035988082617962
miR-486-5p	miR-93-5p	0.42802963953109785
miR-486-5p	CCL4	0.13377322991129414
miR-486-5p	TNFSF11	0.12698800692316947
miR-486-5p	SELE	0.0919506058750219
miR-486-5p	miR-92a-3p	0.38692854400967036
miR-486-5p	CCL28	0.10503286621599006
miR-486-5p	miR-16-5p	0.5484537836733256
miR-93-5p	miR-486-5p	0.42802963953109696
miR-93-5p	FST	0.10347841578518491
miR-93-5p	MMP12	0.1481666021412753
miR-93-5p	miR-223-3p	0.6435914366120645
miR-93-5p	miR-20b-5p	0.7524496515759163
miR-93-5p	miR-197-3p	0.598719177731236
miR-93-5p	VEGFD	0.12210681689759184
miR-93-5p	CD244	0.13189245429733898
miR-93-5p	IL17A	0.0988904492352809
miR-222-3p	miR-574-3p	0.5647330145156308
miR-222-3p	PLAUR	0.11560206730343214
miR-222-3p	RNASE3	0.13343763365815775
miR-222-3p	PGF	0.09419592382015907
miR-222-3p	miR-140-5p	0.7964859361069836
miR-222-3p	miR-30b-5p	0.7557440356016665
miR-222-3p	PECAM1	0.13309282841208248
miR-222-3p	TNFRSF10B	0.12508712590303261
miR-222-3p	miR-375	0.1729753170728756
miR-29a-3p	CSF1	0.14790469261055872
miR-29a-3p	miR-145-5p	0.5064778560753593
miR-29a-3p	miR-574-3p	0.5082374599509336
miR-29a-3p	PLAU	0.1387264460935249
miR-29a-3p	HGF	0.1570415989627607
miR-29a-3p	IL16	0.1620804444170485
miR-29a-3p	MMP10	0.2643593079595643
miR-29a-3p	miR-140-5p	0.5086684724060717
miR-29a-3p	CHI3L1	0.12376247360123749
miR-29a-3p	CSTB	0.12973876705967147
miR-29a-3p	miR-24-3p	0.4945209629018441
miR-29a-3p	GH1	0.1571034696787379
miR-29a-3p	CD5	0.09173324048081533
miR-29a-3p	CCL28	0.1374358487009344
miR-19b-3p	CX3CL1	0.17803604909312654
miR-19b-3p	IL10	0.24510989318184428
miR-19b-3p	miR-130a-3p	0.6756457477121671
miR-19b-3p	SIRT2	0.40734892400645073
miR-19b-3p	TNFRSF1A	0.1658912047870995
miR-19b-3p	miR-30b-5p	0.7884782076223287
miR-19b-3p	miR-20b-5p	1.073458436009858
miR-19b-3p	FGF19	0.18265260550337548
miR-19b-3p	miR-16-5p	0.7736703358685331
miR-197-3p	NT-pro-BNP	0.16951656779129376
miR-197-3p	CTSL	0.09391195541881014
miR-197-3p	miR-93-5p	0.6032533692967013
miR-197-3p	F2R	0.1270773565838832
miR-197-3p	OSM	0.10261970068550408
miR-197-3p	TEK	0.14539579676342917
miR-26a-5p	miR-21-5p	0.6452441040021739
miR-26a-5p	miR-145-5p	0.6367789418544696
miR-26a-5p	MB	0.2110182038395534
miR-26a-5p	OLR1	0.11247830558759464
miR-26a-5p	miR-30b-5p	0.9911708443447012
miR-26a-5p	CDCP1	0.12326010602922643
miR-26a-5p	miR-223-3p	0.6761902235191659
miR-26a-5p	miR-99b-5p	0.49794293876779605
miR-26a-5p	KLK6	0.13574494570813478
miR-26a-5p	IL1RL1	0.2187148741460163
miR-26a-5p	CCL2	0.13600907593037803
miR-26a-5p	miR-221-3p	0.7250431422405699
miR-26a-5p	KITLG	0.1434125352839679
miR-324-5p	CXCL9	0.24791219784024499
miR-324-5p	NPPB	0.09005155416744781
miR-324-5p	DNER	0.13830970206938176
miR-324-5p	FLT3LG	0.11593585070196966
miR-324-5p	NGF	0.1374937244921819
miR-324-5p	TNFSF12	0.13353672992878884
miR-324-5p	miR-16-5p	0.3481122438452875
miR-130a-3p	MPO	0.09962058064420098
miR-130a-3p	miR-27b-3p	0.23126956579367697
miR-130a-3p	miR-19b-3p	0.6756457477121671
miR-221-3p	CXCL8	0.16763557806643536
miR-221-3p	CXCL1	0.29829363780775786
miR-221-3p	CASP8	0.19423030474701175
miR-221-3p	IKBKG	0.4816668129080144
miR-221-3p	AXIN1	0.3706587652345146
