Regulator	Target	MI
miR-885-5p	miR-122-5p	0.5548774885666772
miR-885-5p	THBD	0.16075346479270092
miR-885-5p	CCL8	0.10487489752339663
miR-885-5p	FABP4	0.09038951796043104
miR-885-5p	FGF19	0.20120670914695626
miR-885-5p	CCL4	0.10326690198244126
miR-20b-5p	NT-pro-BNP	0.10062578239351883
miR-20b-5p	miR-145-5p	0.5192802662006413
miR-20b-5p	DKK1	0.10956981804340593
miR-20b-5p	let-7b-5p	0.7775071535160327
miR-20b-5p	SIRT2	0.3633614412755932
miR-20b-5p	miR-30b-5p	0.7903709911038836
miR-20b-5p	miR-92a-3p	0.5430089411311432
miR-20b-5p	miR-150-5p	0.38128733165078277
miR-20b-5p	miR-93-5p	0.6635768997768592
miR-20b-5p	miR-19b-3p	0.946182886386528
miR-20b-5p	MUC16	0.14884539838033373
miR-20b-5p	CCL20	0.1728980698882756
miR-20b-5p	IL17C	0.12198147446015284
miR-28-5p	NPPB	0.11122864780899544
miR-28-5p	miR-221-3p	0.2151116691717858
miR-28-5p	miR-375	0.21104757087714354
miR-28-5p	miR-92a-3p	0.23599589651019315
miR-122-5p	NT-pro-BNP	0.10280051289113512
miR-122-5p	miR-885-5p	0.5548774885666772
miR-122-5p	RNY5-5p	0.3148518564561833
miR-122-5p	PLAT	0.12039222347012402
miR-122-5p	miR-143-3p	0.1753754787968118
miR-122-5p	LGALS3	0.1094220182716894
miR-122-5p	CTSD	0.10304819908390073
miR-122-5p	miR-192-5p	0.28912114570094793
miR-122-5p	miR-92a-3p	0.2767103107243374
miR-126-3p	IL16	0.1074689820042396
miR-126-3p	miR-140-5p	0.5432555222301643
miR-126-3p	miR-320a	0.733552523946428
miR-126-3p	miR-24-3p	0.9116720099703066
miR-126-3p	miR-29a-3p	0.4747064748308958
miR-126-3p	EGF	0.37918811485690984
miR-126-3p	IL10RA	0.14857225329570234
miR-126-3p	IL7	0.1353259698224969
miR-320a	IL27	0.10278119917423201
miR-320a	miR-126-5p	0.4230018294174043
miR-320a	miR-21-5p	0.5964331724632617
miR-320a	ESM1	0.19889010214115377
miR-320a	SRC	0.5410679988872023
miR-320a	miR-126-3p	0.7333996453132405
miR-320a	EIF4EBP1	0.15810477507253307
miR-320a	IL17A	0.1523305198129501
miR-126-5p	miR-320a	0.429852963458524
miR-126-5p	THBD	0.1369586961437328
miR-126-5p	miR-191-5p	0.5067190104046801
miR-126-5p	KITLG	0.1127994160768333
miR-126-5p	LTA	0.09107415755074744
miR-21-5p	CXCL5	0.289552478355966
miR-21-5p	MMP12	0.133116869375991
miR-21-5p	CCL13	0.11492680063636485
miR-21-5p	TGFA	0.12843425594852587
miR-21-5p	KLK6	0.15184651591720666
miR-21-5p	miR-26a-5p	0.5348478173537554
miR-145-5p	miR-20b-5p	0.5342374068765663
miR-145-5p	CXCL5	0.21070497983530778
miR-145-5p	miR-143-3p	0.2831851786884352
miR-145-5p	miR-191-5p	0.45835477595284857
miR-145-5p	CCL23	0.16496330171810047
miR-145-5p	FLT3LG	0.14386191734829445
miR-145-5p	CDCP1	0.1434737446751626
miR-145-5p	GAL	0.09652250565588716
miR-145-5p	IL18R1	0.16782724872478294
miR-143-3p	miR-145-5p	0.282926318591012
miR-143-3p	DNER	0.15687640262474556
miR-143-3p	HAVCR1	0.09989339597176716
miR-143-3p	TNFSF12	0.13487307180722574
miR-143-3p	REN	0.1648498357206405
miR-574-3p	CSTB	0.15565910345640166
miR-574-3p	miR-145-5p	0.40470746884081965
miR-574-3p	MMP7	0.11970725891788803
miR-574-3p	TNFSF14	0.2355106885804652
miR-574-3p	miR-140-5p	0.5624823959257492
miR-191-5p	HSPB1	0.32347775724398886
miR-191-5p	CXCL1	0.2096206039238524
miR-191-5p	miR-126-5p	0.506719010404681
miR-191-5p	miR-145-5p	0.4817099512063132
miR-191-5p	IKBKG	0.45467805929002214
miR-191-5p	RNY4-3p	0.7761332529908893
miR-191-5p	PGF	0.1267156416664097
miR-191-5p	miR-223-3p	0.7483050632394086
miR-191-5p	miR-92a-3p	0.5363027620242429
miR-191-5p	STAMBP	0.337230620699442
miR-191-5p	SULT1A1	0.2325760808358508
miR-191-5p	NTF3	0.13912904264293946
miR-191-5p	RNY4-5p	0.7981272556126413
miR-24-3p	ADM	0.15321044117049265
miR-24-3p	CASP8	0.20549593877161598
miR-24-3p	miR-223-3p	0.9678591368216987
miR-24-3p	miR-126-3p	0.893136181241398
miR-24-3p	miR-93-5p	0.765146404272139
miR-24-3p	miR-197-3p	0.6478322260454377
miR-24-3p	miR-221-3p	0.6697710341003109
miR-24-3p	AGRP	0.12331891221998248
miR-27b-3p	miR-223-3p	0.3193710383311279
miR-27b-3p	miR-150-5p	0.24805167989860344
miR-486-5p	CST5	0.17484811938255085
miR-486-5p	PLAU	0.1579768657808973
miR-486-5p	miR-93-5p	0.5911759129417433
miR-486-5p	LIFR	0.11704275205745862
miR-486-5p	PAPPA	0.10020830238561818
miR-486-5p	REN	0.22015179239550786
miR-486-5p	miR-16-5p	0.6167317689558374
miR-93-5p	miR-486-5p	0.5899956350505509
miR-93-5p	miR-20b-5p	0.6310468824449078
miR-93-5p	CCL7	0.16112642470980454
miR-93-5p	XPNPEP2	0.20805411310429367
miR-222-3p	F2R	0.23783046808700004
miR-222-3p	MMP3	0.1311347758287944
miR-222-3p	miR-30b-5p	0.7500672648027322
miR-222-3p	miR-223-3p	0.6026854823436736
miR-222-3p	miR-99b-5p	0.3845745703773362
miR-222-3p	miR-29a-3p	0.4346770005237497
miR-222-3p	GDF15	0.1688459137920164
miR-29a-3p	F3	0.12853206600928502
miR-29a-3p	PAPPA	0.10190218967156461
miR-29a-3p	HBEGF	0.1082565540912066
miR-29a-3p	miR-126-3p	0.45771940839291414
miR-29a-3p	miR-222-3p	0.42795502200088453
miR-29a-3p	IL6	0.23370681365869217
miR-19b-3p	miR-20b-5p	0.9435493115814619
miR-19b-3p	TNFSF11	0.11695444321547832
miR-19b-3p	CCL19	0.1184241959104888
miR-19b-3p	miR-130a-3p	0.5855065496470413
miR-19b-3p	CXCL10	0.11860369225967382
miR-19b-3p	PTX3	0.16733621965363632
miR-19b-3p	miR-16-5p	0.689320505802935
miR-197-3p	miR-24-3p	0.6478322260454368
miR-197-3p	NGF	0.129097139967441
miR-197-3p	miR-223-5p	0.3788771484802904
miR-26a-5p	CD40	0.14170989792994515
miR-26a-5p	IL1RN	0.08941547633275437
miR-26a-5p	PLAT	0.1325874612978346
miR-26a-5p	miR-21-5p	0.5348478173537563
miR-26a-5p	HGF	0.13839856340053913
miR-26a-5p	miR-30b-5p	0.9792996872866944
miR-26a-5p	miR-223-3p	0.5907273316086012
miR-26a-5p	RETN	0.0899242526733195
miR-26a-5p	miR-221-3p	0.7394145375484511
miR-324-5p	CXCL8	0.13692845265518816
miR-324-5p	MB	0.12086098608424489
miR-324-5p	TNFSF10	0.10453654751245356
miR-324-5p	IL10RA	0.1059101475078732
miR-324-5p	miR-30b-5p	0.3283451579201131
miR-130a-3p	miR-223-3p	0.5125853515951855
miR-130a-3p	CD274	0.08939496092054533
miR-130a-3p	SRC	0.459809878703191
miR-130a-3p	miR-19b-3p	0.5855065496470404
miR-221-3p	CXCL6	0.08998279411496757
miR-221-3p	miR-28-5p	0.2026949247642884
miR-221-3p	IL12B	0.08943877382658005
miR-221-3p	AXIN1	0.47912972937217635
miR-221-3p	MMP10	0.19381570156414973
miR-221-3p	IL1RL1	0.13901020495850513
miR-221-3p	miR-24-3p	0.6710135042310261
miR-221-3p	EGF	0.4153173452481589
miR-221-3p	miR-26a-5p	0.7394145375484502
miR-221-3p	TNFRSF9	0.10578049285070801
miR-221-3p	let-7d-5p	0.6566839522725516
let-7b-5p	miR-20b-5p	0.7775071535160327
let-7b-5p	FGF23	0.17969908963581727
let-7b-5p	VEGFA	0.13757331825233887
let-7b-5p	miR-192-5p	0.22351464729437165
let-7d-5p	CSF1	0.12244160828905226
let-7d-5p	IL15RA	0.10917975420173942
let-7d-5p	SRC	0.46699797863425196
let-7d-5p	PDGFB	0.3451898936961646
let-7d-5p	SLAMF1	0.17046699947288246
let-7d-5p	miR-221-3p	0.6863502115004012
let-7d-5p	CD5	0.19507099623409552
