Regulator	Target	MI
miR-885-5p	CSTB	0.16429491803076957
miR-885-5p	IL1RN	0.1294030556707284
miR-885-5p	MMP3	0.15674053777358754
miR-885-5p	PLAUR	0.13458983149007686
miR-885-5p	IL27	0.11726282507359276
miR-885-5p	miR-122-5p	0.4396358922900854
miR-885-5p	KLK11	0.12068708635053671
miR-885-5p	FGF5	0.17850373152622367
miR-885-5p	miR-143-3p	0.24121291759211783
miR-885-5p	miR-192-5p	0.2051039962356187
miR-885-5p	SLAMF1	0.0925351087596118
miR-20b-5p	CD40	0.2999738201970583
miR-20b-5p	IL1RN	0.14520880929920388
miR-20b-5p	OLR1	0.09636990839007531
miR-20b-5p	PLAUR	0.1695721545642881
miR-20b-5p	let-7b-5p	0.6560637228795532
miR-20b-5p	MMP12	0.17831026521344917
miR-20b-5p	miR-99b-5p	0.4978137032275125
miR-20b-5p	miR-93-5p	0.7928865977449853
miR-20b-5p	S100A12	0.17467491777714184
miR-20b-5p	miR-19b-3p	1.0583256570540884
miR-20b-5p	CCL20	0.20041039907032676
miR-20b-5p	OSM	0.11737752708496707
miR-20b-5p	let-7d-5p	0.5775182695977117
miR-20b-5p	VEGFA	0.24977484302611153
miR-28-5p	CD40	0.19823272317047014
miR-28-5p	CXCL9	0.1884030748803518
miR-28-5p	CCL11	0.1576579728779537
miR-28-5p	CXCL8	0.1090303858498034
miR-28-5p	MMP3	0.1490406360153358
miR-28-5p	TGFA	0.23673179658559018
miR-28-5p	PLAT	0.11807602171936527
miR-28-5p	NGF	0.09556041433452833
miR-28-5p	FGF5	0.10903995881502393
miR-28-5p	miR-27b-3p	0.21511179446357165
miR-28-5p	miR-375	0.26963580215580496
miR-28-5p	CD244	0.12514880592529565
miR-28-5p	miR-16-5p	0.18680759287175785
miR-122-5p	CCL13	0.1113130917708034
miR-122-5p	miR-885-5p	0.4396358922900854
miR-122-5p	RNY5-5p	0.1936967706199484
miR-122-5p	MB	0.10643854486378945
miR-122-5p	CCL4	0.09617299203802698
miR-122-5p	DNER	0.16102961360008727
miR-122-5p	IL12B	0.12160375183500793
miR-122-5p	KITLG	0.11645879298539885
miR-122-5p	IL7	0.20137159815271133
miR-122-5p	miR-223-5p	0.2821705992918453
miR-122-5p	IL17C	0.13104314626503033
miR-126-3p	miR-21-5p	0.6584539264174438
miR-126-3p	HAVCR1	0.12555727435367192
miR-126-3p	RNY4-3p	0.622515467938638
miR-126-3p	AXIN1	0.484776875850911
miR-126-3p	miR-30b-5p	0.6300769166405669
miR-126-3p	miR-223-3p	1.179362579394839
miR-126-3p	miR-150-5p	0.45281945779202815
miR-126-3p	miR-320a	0.7872416178651411
miR-126-3p	CCL25	0.18984537213683783
miR-126-3p	KITLG	0.1459917673486668
miR-126-3p	IL7	0.24077053929093584
miR-320a	miR-486-5p	0.5244304167890101
miR-320a	TNFSF10	0.1201305139316764
miR-320a	FST	0.11580013639923337
miR-320a	PAPPA	0.09222220637701994
miR-320a	miR-126-3p	0.7707375567534891
miR-320a	LEP	0.16165322585434172
miR-126-5p	SPON1	0.10838201023312877
miR-126-5p	EIF4EBP1	0.18034630786592132
miR-126-5p	TNFSF12	0.15899908990961542
miR-126-5p	F3	0.14057459267245154
miR-126-5p	miR-223-3p	0.5356991217804943
miR-126-5p	CD5	0.11662781773636688
miR-21-5p	miR-126-3p	0.6584539264174438
miR-21-5p	GH1	0.10174434390866427
miR-145-5p	miR-143-3p	0.35936331218130313
miR-145-5p	miR-30b-5p	0.6176776523106131
miR-145-5p	SRC	0.4353910698981842
miR-145-5p	CCL4	0.09317913139331413
miR-145-5p	VEGFD	0.10662904338326218
miR-145-5p	XPNPEP2	0.22181088535674487
miR-143-3p	CD274	0.14576449925083246
miR-143-3p	miR-145-5p	0.35964529496178876
miR-143-3p	CTSL	0.12180492028931944
miR-143-3p	FGF21	0.17497138622634445
miR-143-3p	TGFB1	0.1689137564398342
miR-143-3p	IL10RB	0.10050060310987252
