Regulator	Target	MI
miR-885-5p	TNFSF12	0.09474667684778026
miR-885-5p	OSM	0.12328647530665737
miR-885-5p	LIFR	0.11584301440185563
miR-885-5p	PLAT	0.19509059070007861
miR-885-5p	miR-122-5p	0.36993048127744377
miR-885-5p	miR-27b-3p	0.1422230473799182
miR-885-5p	CCL8	0.12880850637478147
miR-885-5p	CD6	0.13206242557433967
miR-885-5p	CHI3L1	0.11051046046922597
miR-885-5p	CCL28	0.13769686603033993
miR-885-5p	CTSD	0.13524136423596733
miR-20b-5p	TNFSF10	0.1271817411477194
miR-20b-5p	IL6R	0.11261856357360767
miR-20b-5p	MMP7	0.12015684297916174
miR-20b-5p	CCL3	0.13265153017380005
miR-20b-5p	miR-19b-3p	0.9947890562481989
miR-28-5p	FGF5	0.09852209332620543
miR-28-5p	CSTB	0.11198186091310625
miR-28-5p	KITLG	0.17269605177077008
miR-28-5p	miR-486-5p	0.11701509284795364
miR-28-5p	MB	0.09031800632186471
miR-28-5p	HSPB1	0.11737440480051475
miR-28-5p	PRL	0.14459951896791257
miR-28-5p	HAVCR1	0.10461848132645635
miR-28-5p	let-7d-5p	0.1119433337548914
miR-28-5p	VEGFA	0.11244309449346002
miR-122-5p	NT-pro-BNP	0.13846082476877974
miR-122-5p	miR-324-5p	0.09316453858997953
miR-122-5p	RNY4-5p	0.19581316567149898
miR-122-5p	miR-885-5p	0.36993048127744377
miR-122-5p	MMP3	0.09248022683640578
miR-122-5p	RNY5-5p	0.339691104819539
miR-122-5p	FLT3LG	0.0929900995075501
miR-122-5p	TNFRSF10B	0.18819747690860655
miR-122-5p	CXCL1	0.10350764065847873
miR-122-5p	VEGFD	0.17068775874306574
miR-122-5p	RETN	0.11719409619498755
miR-122-5p	F3	0.1748126605367304
miR-122-5p	miR-145-5p	0.17931312820768053
miR-122-5p	CXCL10	0.1551360605746419
miR-122-5p	GH1	0.09598681617269111
miR-122-5p	FGF21	0.1423838943499387
miR-122-5p	SLAMF1	0.15948862514858142
miR-126-3p	PLAT	0.14557424203188507
miR-126-3p	miR-126-5p	0.5853128402163863
miR-126-3p	CTSD	0.1965659874285386
miR-126-3p	miR-150-5p	0.3354884995174139
miR-126-3p	miR-24-3p	0.8169014503891363
miR-126-3p	miR-222-3p	0.5792522643256852
miR-126-3p	EGF	0.44482917424510404
miR-126-3p	KLK11	0.15684228553273005
miR-320a	SPON1	0.13971985142696042
miR-320a	ADM	0.13099337631397212
miR-320a	miR-130a-3p	0.42883755388943356
miR-320a	LIFR	0.1368826777927028
miR-320a	miR-92a-3p	0.48140890329288943
miR-320a	miR-93-5p	0.6351723081859957
miR-320a	MUC16	0.10050272128992344
miR-320a	RNY4-5p	0.511067216666282
miR-126-5p	miR-126-3p	0.5853128402163863
miR-126-5p	FLT3LG	0.11752480370962903
miR-126-5p	F3	0.1498522361025314
miR-126-5p	PAPPA	0.12452429762077077
miR-21-5p	NT-pro-BNP	0.10109821733256918
miR-21-5p	miR-140-5p	0.47170150963641877
miR-21-5p	IL1RL1	0.12009163537461642
miR-21-5p	miR-24-3p	0.6172095487115996
miR-21-5p	TNFSF14	0.1257631090854403
miR-21-5p	miR-223-5p	0.47919604704919383
miR-21-5p	REN	0.1795404521606283
miR-145-5p	miR-122-5p	0.17931312820768053
miR-145-5p	miR-143-3p	0.18788310314369916
miR-145-5p	IL10	0.1080941042631327
miR-145-5p	DKK1	0.11003369986366618
miR-145-5p	SRC	0.41746018664568574
miR-145-5p	IL1RL1	0.10056246428542881
miR-145-5p	miR-191-5p	0.394892128497502
miR-145-5p	CCL23	0.13953867302752787
miR-145-5p	miR-26a-5p	0.6312541923180239
miR-145-5p	CXCL11	0.15912409193439636
miR-145-5p	GDNF	0.11508270400583065
miR-145-5p	LEP	0.19058635180048888
miR-143-3p	miR-145-5p	0.18788310314369916
miR-143-3p	FGF5	0.13923292672109078
miR-143-3p	MUC16	0.12613037697832485
miR-143-3p	FST	0.11653596511454012
miR-143-3p	OSM	0.10765143104738595
miR-143-3p	IL16	0.10596453236313863
miR-143-3p	KITLG	0.10569829328761049
miR-143-3p	FABP4	0.11392993651099559
miR-143-3p	CCL28	0.1306249954085814
miR-574-3p	CSTB	0.12341372672269113
miR-574-3p	TNFRSF11B	0.11027676454944757
miR-574-3p	NPPB	0.1228326690176127
miR-574-3p	miR-140-5p	0.5046270202763772
miR-574-3p	IL18R1	0.11951996947758126
miR-191-5p	CXCL5	0.21887385009167737
miR-191-5p	miR-145-5p	0.394892128497502
miR-191-5p	CASP8	0.18615430818244327
miR-191-5p	OLR1	0.15296335478307466
miR-191-5p	RNY4-3p	0.5443678781250751
miR-191-5p	MMP1	0.1167882783606835
miR-191-5p	AXIN1	0.5015532770096947
miR-191-5p	SIRT2	0.3675954975830713
miR-191-5p	miR-223-3p	0.5881163079473639
miR-191-5p	SULT1A1	0.16157466441847035
miR-191-5p	NTF3	0.1618678828262068
miR-191-5p	RNY4-5p	0.6368403953287389
miR-191-5p	SELE	0.14548875340511191
miR-191-5p	CD40LG	0.29099941914864935
miR-191-5p	PTX3	0.16020903790031849
miR-24-3p	CXCL9	0.09381333823633042
miR-24-3p	miR-126-3p	0.8169014503891363
miR-24-3p	miR-320a	0.6368130430443566
miR-24-3p	miR-21-5p	0.6172095487115996
miR-24-3p	MB	0.14781801958054253
miR-24-3p	miR-223-3p	0.8395578114738136
miR-24-3p	STAMBP	0.3279943783330497
miR-27b-3p	SRC	0.2618403216611762
miR-27b-3p	miR-885-5p	0.1422230473799173
miR-27b-3p	miR-20b-5p	0.25406128083721136
miR-27b-3p	CTSL	0.15888873683818616
miR-27b-3p	F2R	0.11521745113913351
miR-27b-3p	FLT3LG	0.14152867589307583
miR-27b-3p	miR-30b-5p	0.2505280132948542
miR-27b-3p	FAS	0.1467263829317167
miR-27b-3p	AGRP	0.12592909541432018
miR-27b-3p	TEK	0.2066260712179453
miR-27b-3p	HBEGF	0.12431151400279106
miR-486-5p	CXCL6	0.1070546655011908
miR-486-5p	miR-28-5p	0.09395089786339206
miR-486-5p	EIF4EBP1	0.16609884227342953
miR-486-5p	IL12B	0.1205480375015906
miR-486-5p	IL16	0.09323803861239721
miR-486-5p	let-7b-5p	0.4718462478391867
miR-486-5p	TNFRSF1A	0.1456844622737492
miR-486-5p	miR-92a-3p	0.49119914284747246
miR-93-5p	miR-223-3p	0.8959139654892656
miR-93-5p	miR-99b-5p	0.36031274633635757
miR-93-5p	SELPLG	0.09518301993887324
miR-93-5p	PDGFB	0.4437186876039494
miR-93-5p	miR-19b-3p	0.7337333258613787
miR-93-5p	CCL19	0.11713063943989699
miR-93-5p	GDF15	0.15580449551022912
miR-93-5p	ADA	0.09045246241458571
miR-222-3p	F2R	0.13473699003218353
miR-222-3p	miR-140-5p	0.7402314210874144
miR-222-3p	miR-192-5p	0.14544822775615973
miR-222-3p	miR-126-3p	0.5792522643256843
miR-29a-3p	miR-222-3p	0.4425992829097751
miR-29a-3p	let-7d-5p	0.44664832383330655
miR-19b-3p	MPO	0.10051445964732686
miR-19b-3p	PLAUR	0.132106536036253
miR-19b-3p	miR-130a-3p	0.722193318318995
miR-19b-3p	let-7b-5p	0.6779650643211186
miR-19b-3p	PECAM1	0.20919476178987662
miR-19b-3p	miR-20b-5p	0.9947890562481989
miR-19b-3p	CCL8	0.22354454606573526
miR-19b-3p	miR-93-5p	0.7337333258613787
miR-19b-3p	miR-29a-3p	0.45240809471958965
miR-19b-3p	SLAMF1	0.1542771588192009
miR-19b-3p	miR-26a-5p	0.8126773191285563
miR-19b-3p	miR-221-3p	0.7045507691701394
miR-19b-3p	CXCL10	0.14762702655033344
miR-19b-3p	CD6	0.2695219483908282
miR-19b-3p	IL17C	0.2121653404211843
miR-19b-3p	miR-16-5p	0.71080682365585
miR-197-3p	IL1RN	0.10376801024241722
miR-197-3p	CXCL16	0.18011452495242253
miR-197-3p	MMP10	0.13035997768059904
miR-197-3p	PGF	0.12147017852887299
miR-197-3p	miR-223-3p	0.6192574644418185
miR-197-3p	IL7	0.1488156024457279
miR-26a-5p	CX3CL1	0.12946011006290803
miR-26a-5p	miR-145-5p	0.6312541923180239
miR-26a-5p	LGALS3	0.20569258843796412
miR-26a-5p	miR-30b-5p	0.8261017279097045
miR-26a-5p	CCL2	0.13753457749280518
miR-26a-5p	miR-19b-3p	0.8126773191285563
miR-26a-5p	CCL25	0.09858004995628367
miR-26a-5p	TNFRSF9	0.2164316472937129
miR-26a-5p	let-7d-5p	0.5282080535900322
miR-26a-5p	VEGFA	0.18025007395384307
miR-324-5p	CXCL8	0.09474153200011504
miR-324-5p	TNFRSF11B	0.12810802888490969
miR-324-5p	miR-122-5p	0.09316453858997864
miR-324-5p	CXCL16	0.15065402604953526
miR-324-5p	KLK6	0.17054960999915458
miR-324-5p	SULT1A1	0.21101772572701716
miR-324-5p	NTF3	0.09371425262094579
miR-324-5p	IL6R	0.1962984861984669
miR-324-5p	MMP7	0.093204980552966
miR-324-5p	IL10RA	0.1727738934632166
miR-324-5p	LIFR	0.20255423554558583
miR-324-5p	VEGFD	0.10524448219260485
miR-324-5p	NGF	0.15772237875408557
miR-324-5p	SELE	0.10624908358889229
miR-324-5p	SIRT2	0.19638358989000082
miR-324-5p	miR-30b-5p	0.38578776432809914
miR-324-5p	PTX3	0.15639991028916445
miR-130a-3p	CD274	0.09556850323437516
miR-130a-3p	HSPB1	0.34091877616691324
miR-130a-3p	miR-19b-3p	0.7221933183189941
miR-130a-3p	IL15RA	0.11809852510527818
miR-130a-3p	TNFSF12	0.1411559086349925
miR-130a-3p	MMP12	0.1730013269769275
miR-221-3p	CXCL6	0.12053080485090728
miR-221-3p	CSF1	0.1944852523386027
miR-221-3p	miR-19b-3p	0.7045507691701394
miR-221-3p	AXIN1	0.4000214016521024
miR-221-3p	RNASE3	0.1824497838752821
miR-221-3p	FGF19	0.09966987190087462
let-7b-5p	RNY5-5p	0.16164697735633027
let-7b-5p	IL27	0.10233288707001176
let-7b-5p	ESM1	0.16630397676299324
let-7b-5p	miR-486-5p	0.4718462478391867
let-7b-5p	CDCP1	0.10476100156331469
let-7d-5p	SRC	0.4660440671500865
let-7d-5p	miR-28-5p	0.12731946374459913
let-7d-5p	CXCL1	0.18591337115655815
let-7d-5p	CST5	0.09132667835754393
let-7d-5p	miR-29a-3p	0.44579843170477496
let-7d-5p	IKBKG	0.46995774074651475
let-7d-5p	miR-26a-5p	0.5282080535900322
let-7d-5p	miR-223-3p	0.6155251301981268
let-7d-5p	AGRP	0.12188552112720341
miR-140-5p	AGER	0.09313263694773344
miR-140-5p	miR-21-5p	0.47170150963641966
miR-140-5p	miR-574-3p	0.5046270202763772
miR-140-5p	CCL7	0.12289160117110942
miR-140-5p	miR-222-3p	0.7402314210874152
miR-140-5p	miR-30b-5p	0.753872328647482
miR-140-5p	miR-223-3p	0.5641152335362776
miR-140-5p	miR-375	0.17352185641576323
miR-140-5p	CD244	0.1028595622255839
miR-192-5p	SELPLG	0.11683600044408493
miR-192-5p	CSF1	0.16222881710719061
miR-192-5p	TGFA	0.17513554920834196
miR-192-5p	RETN	0.11178625614220827
miR-192-5p	miR-222-3p	0.14544822775615973
miR-192-5p	CCL4	0.11226824042996952
miR-192-5p	TNFSF10	0.09377033800040646
miR-192-5p	HAVCR1	0.11988597374970578
miR-192-5p	CTSD	0.12434654231596376
miR-192-5p	PLAUR	0.10885047792668345
miR-192-5p	LIFR	0.11061093729282767
miR-192-5p	TNFRSF1B	0.12267585073017351
miR-192-5p	TNFRSF1A	0.15644093305314755
miR-30b-5p	miR-27b-3p	0.2505280132948542
miR-30b-5p	miR-26a-5p	0.8261017279097045
miR-30b-5p	miR-324-5p	0.3857877643281
miR-30b-5p	IL18	0.14583310465899402
miR-30b-5p	TNFRSF1B	0.1725996913811496
miR-30b-5p	miR-140-5p	0.753872328647482
miR-223-3p	PRL	0.1599703221863802
miR-223-3p	DNER	0.10605059410359186
miR-223-3p	miR-140-5p	0.5641152335362776
miR-223-3p	RETN	0.09100871695432566
miR-223-3p	miR-191-5p	0.588116307947363
miR-223-3p	miR-24-3p	0.8395578114738145
miR-223-3p	miR-93-5p	0.8959139654892665
miR-223-3p	miR-197-3p	0.6332328757735821
miR-223-3p	let-7d-5p	0.6155251301981268
miR-223-3p	GH1	0.14924908857964603
miR-223-3p	miR-223-5p	0.47758461062646695
miR-223-5p	miR-21-5p	0.4923009573684487
miR-223-5p	FGF21	0.09038822254860612
miR-223-5p	RNY4-3p	0.35367111949291274
miR-223-5p	BDNF	0.10275552647477859
miR-223-5p	RNY4-5p	0.4783754529256097
miR-223-5p	miR-223-3p	0.47758461062646784
miR-375	miR-140-5p	0.17352185641576323
miR-375	TNFSF14	0.23021751676788593
miR-375	CCL4	0.17419918831259906
miR-375	RNY5-5p	0.10398960919534694
miR-375	EIF4EBP1	0.13740733216006618
miR-375	PTX3	0.11639829077282293
miR-375	RNASE3	0.1283800176996195
miR-92a-3p	miR-320a	0.48140890329288943
miR-92a-3p	miR-486-5p	0.49119914284747157
miR-92a-3p	RNY4-3p	0.6471441012454475
miR-92a-3p	RNY4-5p	0.6376983826045137
miR-92a-3p	RNASE3	0.12586670105035314
miR-92a-3p	FABP4	0.10584602142589183
miR-92a-3p	CD5	0.10949267938895701
miR-99b-5p	CD40	0.16777709778362304
miR-99b-5p	THBD	0.11046668277341087
miR-99b-5p	miR-93-5p	0.3603127463363567
miR-99b-5p	OSM	0.09432071355531502
miR-99b-5p	IL6	0.12410022642593166
miR-99b-5p	miR-16-5p	0.34192988246242084
miR-150-5p	TNFSF12	0.10766952281277398
miR-150-5p	TGFA	0.09368100477467323
miR-150-5p	miR-126-3p	0.3354884995174139
miR-150-5p	CD5	0.1133483866052476
miR-150-5p	IL17C	0.1313152455453359
miR-16-5p	miR-19b-3p	0.71080682365585
miR-16-5p	BDNF	0.09799608168794727
miR-16-5p	PGF	0.16061819171573255
miR-16-5p	miR-99b-5p	0.34192988246242084
