Regulator	Target	MI
miR-885-5p	miR-192-5p	0.22028934717414028
miR-885-5p	TGFB1	0.14138935382955697
miR-885-5p	SRC	0.1291927008070024
miR-885-5p	miR-122-5p	0.5613144290191769
miR-885-5p	miR-126-5p	0.20491756058805688
miR-885-5p	DKK1	0.17699301175227422
miR-885-5p	CXCL5	0.18166730432884748
miR-20b-5p	CXCL6	0.1265495071068541
miR-20b-5p	miR-93-5p	0.5850752303591333
miR-20b-5p	miR-19b-3p	0.9117818388397634
miR-20b-5p	let-7b-5p	0.644963938440398
miR-20b-5p	PGF	0.15867292497924268
miR-20b-5p	miR-30b-5p	0.8052482617844117
miR-20b-5p	REN	0.09969340275545413
miR-28-5p	FST	0.10736248239904622
miR-28-5p	TGFA	0.12207367573308048
miR-28-5p	miR-221-3p	0.14145544519650954
miR-28-5p	VEGFA	0.11516273992376291
miR-28-5p	CXCL10	0.11245628924762574
miR-28-5p	miR-27b-3p	0.20235567323591042
miR-28-5p	EIF4EBP1	0.13483866349196294
miR-28-5p	IL17C	0.09671998036960083
miR-122-5p	NT-pro-BNP	0.21635686717071412
miR-122-5p	CXCL6	0.1098336530405506
miR-122-5p	SPON1	0.15607734976451404
miR-122-5p	HGF	0.10466673301136442
miR-122-5p	TNFSF12	0.1548414059182175
miR-122-5p	miR-885-5p	0.561314429019176
miR-122-5p	RNY5-5p	0.361039541212806
miR-122-5p	OSM	0.09372271040633162
miR-122-5p	CXCL1	0.16396917751799656
miR-122-5p	IL7	0.14705172103470066
miR-122-5p	FGF19	0.1351121613623798
miR-122-5p	IL6R	0.0967797520241982
miR-126-3p	miR-126-5p	0.4661304601721685
miR-126-3p	DNER	0.12518821188010776
miR-126-3p	MMP1	0.11904634455986063
miR-126-3p	CD274	0.08980498178408425
miR-126-3p	miR-24-3p	0.8623450733713547
miR-126-3p	miR-222-3p	0.5723118333283264
miR-126-3p	let-7d-5p	0.528341959617201
miR-320a	miR-93-5p	0.7080585157615991
miR-320a	CTSD	0.10892600320865231
miR-320a	CCL25	0.09735492361855513
miR-320a	miR-92a-3p	0.4731013038907994
miR-320a	STAMBP	0.31619554926403737
miR-126-5p	miR-885-5p	0.20491756058805688
miR-126-5p	miR-126-3p	0.4661304601721685
miR-126-5p	LEP	0.12556079414540644
miR-126-5p	FAS	0.1292658571423484
miR-21-5p	CSTB	0.09433683332286513
miR-21-5p	miR-24-3p	0.6165635336575708
miR-145-5p	HGF	0.12851157230124244
miR-145-5p	CDCP1	0.13301326971918126
miR-145-5p	miR-26a-5p	0.600728563005533
miR-145-5p	XPNPEP2	0.10711792712467627
miR-145-5p	CD244	0.1784930402805749
miR-143-3p	CCL23	0.12720615035334681
miR-143-3p	PLAUR	0.12052516847802863
miR-143-3p	LIFR	0.13926615712870483
miR-143-3p	NGF	0.1819264169998016
miR-143-3p	miR-99b-5p	0.26929259595265176
miR-574-3p	MB	0.09424193464013086
miR-574-3p	miR-222-3p	0.4976090857579196
miR-574-3p	GDF15	0.12273543102938067
miR-574-3p	HBEGF	0.1438359383375607
miR-191-5p	SRC	0.4510601603231823
miR-191-5p	PDGFB	0.41360770850561757
miR-191-5p	NTF3	0.15777110174037912
miR-191-5p	RNY4-3p	0.7822311940101105
miR-191-5p	RNY4-5p	0.7811757640126826
miR-191-5p	AXIN1	0.37650350718726955
miR-191-5p	miR-130a-3p	0.43493436448624667
miR-191-5p	SIRT2	0.32632551762788875
miR-191-5p	miR-223-3p	0.5502061655145587
miR-191-5p	miR-223-5p	0.41427528735793384
miR-191-5p	miR-92a-3p	0.5644367469210589
miR-24-3p	miR-21-5p	0.6165635336575708
miR-24-3p	TNFSF11	0.0907993104395608
miR-24-3p	IKBKG	0.4006182086918262
miR-24-3p	miR-223-3p	0.8822041148725335
miR-24-3p	miR-126-3p	0.8623450733713547
miR-24-3p	miR-320a	0.6289792650786907
miR-24-3p	miR-197-3p	0.6043423623051218
miR-24-3p	EGF	0.3980558562378702
miR-24-3p	miR-26a-5p	0.5918355535119852
