Regulator	Target	MI
miR-885-5p	CSTB	0.10606072424585022
miR-885-5p	miR-122-5p	0.4125408211043782
miR-885-5p	CXCL5	0.15594279033077818
miR-885-5p	miR-24-3p	0.14026141318631602
miR-885-5p	CCL7	0.14769122721709405
miR-885-5p	CTSL	0.10230992799673366
miR-885-5p	EIF4EBP1	0.16526270161531187
miR-885-5p	STAMBP	0.15594043379344846
miR-20b-5p	DKK1	0.13407268616881485
miR-20b-5p	miR-30b-5p	0.8850212872745074
miR-20b-5p	CCL4	0.12459536810422911
miR-20b-5p	miR-19b-3p	1.035152000147205
miR-20b-5p	FGF23	0.18898306665002718
miR-20b-5p	OSM	0.13356577553116988
miR-28-5p	SELPLG	0.12040954784866731
miR-28-5p	CSF1	0.11450610267448802
miR-28-5p	CX3CL1	0.10999257165615184
miR-28-5p	miR-27b-3p	0.25100676789710885
miR-28-5p	miR-93-5p	0.1937762535376315
miR-28-5p	IL6R	0.1020668103618858
miR-28-5p	TNFSF12	0.09913120141625065
miR-28-5p	F2R	0.2100742199097576
miR-28-5p	LIFR	0.12843378508094272
miR-28-5p	NGF	0.10431048151113664
miR-28-5p	DKK1	0.1217266087139679
miR-28-5p	VEGFA	0.10451950994524495
miR-28-5p	CXCL11	0.11161948809932642
miR-28-5p	AGRP	0.09349612912801764
miR-122-5p	CCL23	0.11084788807345003
miR-122-5p	MMP7	0.15849245858025007
miR-122-5p	TGFB1	0.14680959871885602
miR-122-5p	miR-26a-5p	0.15921729457500078
miR-122-5p	miR-885-5p	0.4125408211043782
miR-122-5p	RNY5-5p	0.19874719534668372
miR-122-5p	TNFRSF11B	0.13676432430916474
miR-122-5p	miR-192-5p	0.24365663818954353
miR-126-3p	miR-126-5p	0.5525799623730601
miR-126-3p	CXCL5	0.4434637223140463
miR-126-3p	FGF5	0.18242892605701666
miR-126-3p	THBD	0.16021381473374774
miR-126-3p	ESM1	0.21320120145080956
miR-126-3p	CASP8	0.3429868237432325
miR-126-3p	miR-486-5p	0.4714369663775786
miR-126-3p	MMP7	0.2077007534217694
miR-126-3p	F3	0.13977057970952966
miR-126-3p	SIRT2	0.44502081716008757
miR-126-3p	miR-30b-5p	0.6437312955432173
miR-126-3p	miR-223-3p	0.9671047855956694
miR-126-3p	miR-29a-3p	0.6031705213786491
miR-126-3p	IL6	0.1344586159074055
miR-126-3p	XPNPEP2	0.17181012911254
miR-320a	CXCL1	0.2572137357195947
miR-320a	MPO	0.09568448109317718
miR-320a	miR-150-5p	0.29097636660995896
miR-320a	miR-24-3p	0.7495762040873091
miR-320a	CCL2	0.10397536342223201
miR-320a	GDNF	0.1237086503346374
miR-320a	TEK	0.11405853222436235
miR-126-5p	CTSL	0.11548787394130056
miR-126-5p	FST	0.11921139592773144
miR-126-5p	CDCP1	0.13397313164434532
miR-126-5p	miR-126-3p	0.552579962373061
miR-126-5p	AGER	0.16441628730355617
miR-126-5p	IL17C	0.11255339783256435
miR-21-5p	SPON1	0.1497961916004149
miR-21-5p	miR-223-3p	0.7057115889308987
miR-21-5p	PDGFB	0.5136699848115072
miR-21-5p	miR-27b-3p	0.3401206083945434
miR-21-5p	CCL8	0.1359095670816819
miR-21-5p	IL7	0.14717964912960113
miR-145-5p	miR-26a-5p	0.5912948620516634
miR-143-3p	CSTB	0.13976722070507996
miR-143-3p	RETN	0.1508181372798676
miR-143-3p	ESM1	0.11954955320082838
miR-143-3p	miR-26a-5p	0.29206970002139165
miR-143-3p	HGF	0.1348285757850345
miR-143-3p	TNFRSF9	0.15441957061533973
miR-143-3p	FLT3LG	0.18189497061035542
miR-143-3p	XPNPEP2	0.14608024788223073
miR-143-3p	IL18R1	0.10106747351185863
miR-574-3p	miR-192-5p	0.1933331595501775
miR-574-3p	miR-30b-5p	0.598974232950348
miR-574-3p	miR-24-3p	0.5582473018301544
miR-574-3p	miR-29a-3p	0.5920140631667055
miR-574-3p	EIF4EBP1	0.14824188804866623
miR-574-3p	TGFB1	0.14847533443892136
miR-574-3p	VEGFD	0.13651609878608273
miR-191-5p	CXCL9	0.17705187590135996
miR-191-5p	IKBKG	0.5133316441570983
miR-191-5p	RNY4-3p	0.7132067603787284
miR-191-5p	TNFRSF1B	0.17257673916783745
miR-191-5p	miR-92a-3p	0.4908057156680199
miR-191-5p	CHI3L1	0.12794101533977997
miR-191-5p	miR-24-3p	0.7060111068720873
miR-191-5p	CCL20	0.19052450702807366
miR-191-5p	RNY4-5p	0.8391521308369034
miR-24-3p	miR-21-5p	0.6962110047074548
miR-24-3p	miR-574-3p	0.5582473018301544
miR-24-3p	IL12B	0.16928179367449303
miR-24-3p	AXIN1	0.614396997206037
miR-24-3p	miR-223-3p	1.026055798226933
miR-24-3p	RNY5-5p	0.2702117405963085
miR-24-3p	miR-320a	0.7778418519614796
miR-24-3p	miR-191-5p	0.7399175281041614
miR-24-3p	miR-197-3p	0.644625206809958
miR-24-3p	RNY4-5p	0.7161751984688918
miR-24-3p	miR-221-3p	0.6959959224151104
miR-24-3p	KLK11	0.11924001593641442
miR-24-3p	let-7d-5p	0.6936693927484532
miR-24-3p	CD40LG	0.5231735391846213
miR-24-3p	FGF19	0.15722774862823208
miR-27b-3p	IL1RN	0.1253315101274337
miR-27b-3p	miR-28-5p	0.25100676789710885
miR-27b-3p	PRL	0.12748975113148386
miR-27b-3p	miR-21-5p	0.3407485109227846
miR-27b-3p	CXCL5	0.2933013358537213
miR-27b-3p	MB	0.11857834361167541
miR-27b-3p	EIF4EBP1	0.1196825790604823
miR-27b-3p	CCL19	0.16629870668657087
miR-27b-3p	IL15RA	0.15004876470852668
miR-27b-3p	BDNF	0.14062734509084418
miR-27b-3p	FST	0.1460824572478776
miR-27b-3p	TNFRSF10B	0.2063013300853811
miR-27b-3p	SELE	0.10868834245863113
miR-27b-3p	MMP10	0.10099718284118442
miR-27b-3p	CD5	0.109994205640497
miR-27b-3p	CHI3L1	0.1053201523453291
miR-27b-3p	IL17C	0.17473494858056782
miR-27b-3p	IL18R1	0.14474611577880037
miR-27b-3p	HBEGF	0.18010808509689102
miR-486-5p	CCL11	0.11697280954785949
miR-486-5p	miR-126-3p	0.4714369663775777
miR-486-5p	KLK6	0.1413634650004747
miR-486-5p	CCL25	0.15780205689794702
miR-486-5p	miR-92a-3p	0.4723615529146459
miR-93-5p	HSPB1	0.4341373222199465
miR-93-5p	miR-28-5p	0.1937762535376315
miR-93-5p	PGF	0.20408094786454356
miR-93-5p	miR-223-3p	0.7801483256122621
miR-93-5p	miR-92a-3p	0.6140723904169922
miR-93-5p	TGFA	0.22997968216292985
miR-93-5p	CST5	0.24709353709103876
miR-93-5p	miR-19b-3p	0.7869507847133299
miR-93-5p	FGF21	0.15750811207372628
miR-93-5p	CCL23	0.09900559137927001
miR-93-5p	IL10RA	0.14330456999805818
miR-93-5p	FAS	0.12245894337233665
miR-222-3p	IL6R	0.16232220137853925
miR-222-3p	miR-324-5p	0.3306424614997683
miR-222-3p	miR-140-5p	0.7969007719590362
miR-222-3p	miR-30b-5p	0.7548750773087018
miR-222-3p	SLAMF1	0.165158726261585
miR-222-3p	miR-16-5p	0.6656254102380093
miR-29a-3p	miR-574-3p	0.5920140631667055
miR-29a-3p	CTSD	0.14211697461784567
miR-29a-3p	MMP1	0.1579977935082475
miR-29a-3p	PLAUR	0.20583324260860714
miR-29a-3p	PAPPA	0.12024421605751812
miR-29a-3p	miR-126-3p	0.6031705213786491
miR-29a-3p	CCL3	0.19819050236500857
miR-29a-3p	SELE	0.10827649975697984
miR-19b-3p	CD40	0.21211925773403806
miR-19b-3p	OLR1	0.1414630526365821
miR-19b-3p	let-7b-5p	0.8640866633559758
miR-19b-3p	miR-20b-5p	1.0401606346523193
miR-19b-3p	miR-93-5p	0.8003744784310873
miR-19b-3p	S100A12	0.14835270010939983
miR-19b-3p	LEP	0.20103360955344574
miR-197-3p	PLAU	0.14854313165230693
miR-197-3p	MMP12	0.143145484073969
miR-197-3p	CCL13	0.18237451381856395
miR-197-3p	miR-24-3p	0.6446252068099589
miR-26a-5p	ADM	0.1534914367168403
miR-26a-5p	miR-122-5p	0.1592172945749999
miR-26a-5p	miR-145-5p	0.5912948620516634
miR-26a-5p	miR-143-3p	0.29206970002139343
miR-26a-5p	HAVCR1	0.14335740653523743
miR-26a-5p	miR-130a-3p	0.676525530760606
miR-26a-5p	miR-30b-5p	0.8861294198805076
miR-26a-5p	SELPLG	0.1685582896001474
miR-26a-5p	KLK6	0.17726788843098262
miR-26a-5p	MUC16	0.14820149000284566
miR-26a-5p	TNFRSF10B	0.19531372066500197
miR-26a-5p	miR-221-3p	0.7194924727901029
miR-26a-5p	FABP4	0.24296539439195008
miR-324-5p	ADM	0.15747949346698586
miR-324-5p	MPO	0.0971967086313068
miR-324-5p	CXCL5	0.26132814253793324
miR-324-5p	CXCL16	0.15573063150389643
