Regulator	Target	MI
miR-885-5p	CCL7	0.11358579073340191
miR-885-5p	RNY5-5p	0.2239514354564882
miR-885-5p	IL18	0.11562146706685095
miR-885-5p	miR-122-5p	0.3602361705329651
miR-885-5p	IL6R	0.0978067271313936
miR-885-5p	miR-21-5p	0.2272698453729367
miR-20b-5p	miR-19b-3p	0.988176520363254
miR-20b-5p	FGF23	0.14497476451986913
miR-20b-5p	miR-324-5p	0.38215489368471545
miR-20b-5p	let-7b-5p	0.6687525269805148
miR-20b-5p	let-7d-5p	0.49331377237168894
miR-20b-5p	GAL	0.13578623214544816
miR-28-5p	NT-pro-BNP	0.1337365739330867
miR-28-5p	CXCL9	0.09275795629735217
miR-28-5p	CXCL1	0.11900660958616349
miR-28-5p	PLAT	0.1123567199236879
miR-28-5p	AGER	0.1301028022495725
miR-28-5p	MPO	0.10871909234008292
miR-28-5p	miR-27b-3p	0.11923136424819702
miR-28-5p	CASP8	0.18265741315658968
miR-28-5p	miR-222-3p	0.17302526791799977
miR-28-5p	CCL4	0.09242586816781362
miR-28-5p	TNFSF10	0.11028143137003177
miR-28-5p	IKBKG	0.14262070487830858
miR-28-5p	NGF	0.1502031423431891
miR-28-5p	F3	0.12502087571307108
miR-28-5p	VEGFA	0.1435666312942221
miR-28-5p	CXCL10	0.11679989832320814
miR-28-5p	CDCP1	0.19550801430563602
miR-28-5p	CCL28	0.09920155746535286
miR-122-5p	NT-pro-BNP	0.1381683633276145
miR-122-5p	KITLG	0.09831788804461361
miR-122-5p	SPON1	0.11559427643492981
miR-122-5p	miR-192-5p	0.12859364541924556
miR-122-5p	TNFSF12	0.22911293222561202
miR-122-5p	miR-885-5p	0.3602361705329642
miR-122-5p	TNFSF10	0.09319666649838254
miR-122-5p	HSPB1	0.09303554956237026
miR-126-3p	NT-pro-BNP	0.17223943410096876
miR-126-3p	FLT3LG	0.10115953648122833
miR-126-3p	miR-223-3p	0.871277279070207
miR-126-3p	TNFSF14	0.14578209927358898
miR-126-3p	miR-375	0.17395630992331768
miR-320a	miR-24-3p	0.6525369659133391
miR-320a	RNY4-3p	0.6182583381621036
miR-320a	miR-92a-3p	0.5923575716836655
miR-320a	HBEGF	0.08914843150992091
miR-126-5p	CSTB	0.17711353387904172
miR-126-5p	SELPLG	0.16391472273482321
miR-126-5p	miR-21-5p	0.39920410060342437
miR-126-5p	S100A12	0.10814433535821344
miR-126-5p	TNFRSF1A	0.10263891301018191
miR-21-5p	miR-126-5p	0.3992041006034235
miR-21-5p	CASP8	0.2473158916699587
miR-21-5p	miR-150-5p	0.3273644425168998
miR-21-5p	miR-885-5p	0.22726984537293582
miR-21-5p	miR-24-3p	0.7111347676943636
miR-21-5p	CCL20	0.1544942152532558
miR-21-5p	miR-26a-5p	0.5793993813983036
miR-21-5p	RNY4-5p	0.48369822859284284
miR-145-5p	CXCL8	0.10049389537336495
miR-145-5p	PLAT	0.13342663989884418
miR-145-5p	NPPB	0.14734193959116215
miR-145-5p	miR-143-3p	0.3314620923030507
miR-145-5p	IL18	0.09385345219634811
miR-145-5p	LIFR	0.10987252690427507
miR-145-5p	miR-19b-3p	0.5192364763271513
miR-143-3p	CSTB	0.1218741730113484
miR-143-3p	IL1RN	0.13107546173296303
miR-143-3p	HGF	0.18232231712786984
miR-143-3p	miR-145-5p	0.32787530119039054
miR-143-3p	NTF3	0.09700459241926218
miR-143-3p	PECAM1	0.0967778156729171
miR-574-3p	miR-29a-3p	0.43572758565325476
miR-574-3p	CCL25	0.16059316527120515
miR-574-3p	OSM	0.12638898783257968
miR-574-3p	F3	0.14146962836990795
miR-574-3p	SELE	0.12967782801036964
miR-574-3p	CXCL10	0.11860272963121243
miR-574-3p	miR-140-5p	0.5906370185932248
miR-574-3p	miR-192-5p	0.2560684269163511
miR-574-3p	CD6	0.16242327041615834
miR-574-3p	miR-223-5p	0.2476078885554962
miR-574-3p	PECAM1	0.1362713890918057
miR-191-5p	IL1RN	0.13090306963550713
miR-191-5p	HSPB1	0.40405111571864794
miR-191-5p	RNY4-3p	0.6637218289917834
miR-191-5p	RNY4-5p	0.703808135998325
miR-191-5p	SIRT2	0.3665919418899213
miR-191-5p	CDCP1	0.15375843030159153
miR-191-5p	miR-223-3p	0.5856296977660262
miR-191-5p	LEP	0.11821491492890157
miR-191-5p	miR-223-5p	0.37885349525126344
miR-191-5p	FAS	0.10806598413952528
miR-191-5p	STAMBP	0.4091537760746071
miR-24-3p	ADM	0.14164077627683191
miR-24-3p	miR-21-5p	0.6940574026313264
miR-24-3p	LGALS3	0.11103459281998251
miR-24-3p	IKBKG	0.4649366583897878
miR-24-3p	miR-223-3p	1.0334585897563597
miR-24-3p	miR-320a	0.6088250325404507
miR-24-3p	SULT1A1	0.17375231847997163
miR-24-3p	miR-93-5p	0.8532180475404498
miR-24-3p	miR-29a-3p	0.4668554874262725
miR-24-3p	miR-197-3p	0.5649182063755465
miR-24-3p	TNFSF12	0.17848118631349497
miR-24-3p	CD40LG	0.2984520876355239
miR-27b-3p	CCL13	0.11600322924955364
miR-27b-3p	miR-28-5p	0.11923136424819791
miR-27b-3p	RETN	0.11265196032883118
miR-27b-3p	CX3CL1	0.12328078606841686
miR-27b-3p	KLK11	0.09087363809198656
miR-27b-3p	miR-223-3p	0.2903792338481441
miR-486-5p	TNFRSF1A	0.13849069758963228
miR-486-5p	miR-92a-3p	0.45381822487591794
miR-486-5p	CHI3L1	0.13769537779754426
miR-486-5p	miR-16-5p	0.501575633788776
miR-93-5p	miR-24-3p	0.8532180475404489
miR-93-5p	miR-19b-3p	0.6848830342185463
miR-93-5p	FGF21	0.0944695729603211
miR-93-5p	GDF15	0.2577064236366571
miR-222-3p	miR-28-5p	0.17302526791800066
miR-222-3p	CXCL16	0.14312487236508797
miR-222-3p	FGF5	0.13897659848309107
miR-222-3p	F2R	0.24056875719870785
miR-222-3p	miR-140-5p	0.8538860751151285
miR-222-3p	miR-223-3p	0.6295074706119248
miR-222-3p	PAPPA	0.10918278728397901
miR-222-3p	PDGFB	0.32295269853165376
miR-222-3p	CCL3	0.18784706416179553
miR-222-3p	miR-19b-3p	0.8055386513315632
miR-222-3p	CCL19	0.12799107883141758
miR-222-3p	CCL23	0.16275452840521432
miR-29a-3p	miR-574-3p	0.43572758565325476
miR-29a-3p	miR-24-3p	0.48328820351685753
miR-29a-3p	HAVCR1	0.12052074904917731
miR-29a-3p	TNFRSF9	0.09616547625921967
miR-29a-3p	TNFRSF1B	0.10451479731924707
miR-29a-3p	VEGFA	0.1740545093220609
miR-19b-3p	miR-20b-5p	0.9881765203632531
miR-19b-3p	miR-93-5p	0.6899811913449838
miR-19b-3p	miR-222-3p	0.8151090626995865
miR-19b-3p	miR-30b-5p	0.8357866768156468
miR-197-3p	miR-24-3p	0.5617922244141891
