Regulator	Target	MI
miR-885-5p	FGF5	0.12437583329387625
miR-885-5p	PAPPA	0.10517155915615817
miR-885-5p	RNY4-5p	0.11239486663672782
miR-885-5p	EIF4EBP1	0.08992833759248597
miR-885-5p	miR-20b-5p	0.11222835100542916
miR-885-5p	miR-122-5p	0.5172053903457172
miR-20b-5p	miR-885-5p	0.11222835100542916
miR-20b-5p	miR-93-5p	0.6490290520014117
miR-20b-5p	miR-19b-3p	0.8257782366628819
miR-20b-5p	MMP7	0.13035154719770503
miR-20b-5p	miR-26a-5p	0.7592407061569659
miR-28-5p	PLAUR	0.13449446711073154
miR-28-5p	TGFA	0.12287638756251162
miR-28-5p	TNFRSF11B	0.12991353736606648
miR-28-5p	CX3CL1	0.09878237709873083
miR-28-5p	let-7d-5p	0.21441835766360917
miR-28-5p	NPPB	0.15233656753328884
miR-28-5p	CDCP1	0.09624460963715276
miR-28-5p	miR-375	0.18015186684844764
miR-28-5p	DNER	0.08969322311151551
miR-28-5p	CCL2	0.09306753878640706
miR-28-5p	S100A12	0.11790583285502443
miR-122-5p	CCL13	0.0912297872900627
miR-122-5p	CSTB	0.20993201138446782
miR-122-5p	miR-26a-5p	0.0978719316194745
miR-122-5p	HGF	0.15080325783409076
miR-122-5p	miR-375	0.16184832103256674
miR-122-5p	miR-885-5p	0.5192720014951524
miR-122-5p	DNER	0.12413877058456446
miR-122-5p	LTA	0.17151403962010825
miR-122-5p	VEGFD	0.11120435948917962
miR-122-5p	F3	0.12256240228062953
miR-126-3p	CXCL1	0.3092926466758641
miR-126-3p	miR-126-5p	0.4331641297492448
miR-126-3p	miR-24-3p	0.966289635539126
miR-126-3p	miR-223-3p	1.0013158970894107
miR-320a	FGF5	0.10620412891986408
miR-320a	miR-93-5p	0.7049652828904795
miR-320a	KITLG	0.12837346836550978
miR-126-5p	miR-126-3p	0.4331641297492448
miR-126-5p	miR-21-5p	0.459217458788558
miR-126-5p	MUC16	0.1268938762057994
miR-126-5p	CD6	0.10382457401265288
miR-21-5p	miR-126-5p	0.4815214368711933
miR-21-5p	GH1	0.17326437940271688
miR-21-5p	miR-223-3p	0.7118001597475985
miR-145-5p	TGFA	0.09366134494213618
miR-145-5p	miR-143-3p	0.2199510696171041
miR-145-5p	RNY4-3p	0.42656726629857644
