Regulator	Target	MI
miR-885-5p	F2R	0.15069783915510637
miR-885-5p	miR-20b-5p	0.17649957825273876
miR-885-5p	miR-28-5p	0.23011332241523696
miR-885-5p	PLAT	0.1052742533500961
miR-885-5p	miR-122-5p	0.5795804093784032
miR-885-5p	THBD	0.10788971189525487
miR-885-5p	miR-192-5p	0.28360808649905334
miR-885-5p	MB	0.10266459679849937
miR-20b-5p	IL15RA	0.2266639013828664
miR-20b-5p	HGF	0.11187788847259217
miR-20b-5p	NGF	0.23670479362230612
miR-20b-5p	let-7b-5p	0.8134326357229718
miR-20b-5p	miR-30b-5p	0.7858854635332646
miR-20b-5p	miR-885-5p	0.17466089881621905
miR-20b-5p	miR-24-3p	0.6192316568563738
miR-20b-5p	miR-19b-3p	1.0816635760284923
miR-20b-5p	FGF23	0.25157362624134727
miR-20b-5p	IL6	0.19520000699073492
miR-20b-5p	CD40LG	0.2998129841035473
miR-28-5p	CCL13	0.10198756884189564
miR-28-5p	CD274	0.13196237543492995
miR-28-5p	CCL11	0.1392278710220891
miR-28-5p	miR-885-5p	0.23011332241523696
miR-28-5p	CXCL1	0.15788307508939248
miR-28-5p	miR-27b-3p	0.17540453364209974
miR-28-5p	CASP8	0.2006103851433565
miR-28-5p	CCL7	0.19452033914993905
miR-28-5p	DNER	0.17782263032756962
miR-28-5p	CCL2	0.12563210072794817
miR-28-5p	HAVCR1	0.09564956156967686
miR-28-5p	NGF	0.10088728827302074
miR-28-5p	KITLG	0.1130333767572651
miR-28-5p	TEK	0.13012028388037766
miR-28-5p	IL17C	0.13988482154425697
miR-28-5p	CD244	0.13575113791021476
miR-122-5p	NT-pro-BNP	0.17348511090611307
miR-122-5p	CSF1	0.15532701165037643
miR-122-5p	TNFSF12	0.11269391764319714
miR-122-5p	miR-885-5p	0.5795804093784032
miR-122-5p	RNY5-5p	0.33664617420528664
miR-122-5p	TNFRSF1B	0.09992428302514256
miR-122-5p	FGF5	0.12382361646167972
miR-122-5p	CCL3	0.1091816850768561
miR-122-5p	AGRP	0.09818231469127525
miR-126-3p	NT-pro-BNP	0.15653588505808713
miR-126-3p	HSPB1	0.28436074063103245
miR-126-3p	TNFRSF1B	0.12380079250128428
miR-126-3p	PGF	0.22275391126622246
miR-126-3p	TNFRSF1A	0.22334724316293908
miR-126-3p	STAMBP	0.3625994765936511
miR-126-3p	CSTB	0.15675210175677812
miR-126-3p	miR-24-3p	0.9603909854982753
miR-126-3p	CCL20	0.11385540025714125
miR-126-3p	IL10RA	0.13376653632990454
miR-126-3p	TNFSF12	0.08990149012722348
miR-126-3p	TNFRSF10B	0.1297353164999171
miR-320a	miR-21-5p	0.5911012462150707
miR-320a	miR-93-5p	0.7819644172041329
miR-126-5p	SPON1	0.1002573383580172
miR-126-5p	miR-93-5p	0.36956661172298766
miR-126-5p	IL12B	0.19526354676997748
miR-126-5p	CDCP1	0.13298923786801975
miR-126-5p	FAS	0.1254824769373366
miR-21-5p	PDGFB	0.4556001828579337
miR-21-5p	miR-320a	0.5911012462150707
miR-21-5p	CXCL5	0.23150907525004438
miR-21-5p	miR-24-3p	0.6198130519667613
miR-21-5p	miR-26a-5p	0.5936737680929198
miR-21-5p	CD40LG	0.2579815841861288
miR-145-5p	HSPB1	0.26027925224093007
miR-145-5p	PLAT	0.1552438768511486
miR-145-5p	miR-143-3p	0.3045583797099667
miR-145-5p	MMP7	0.09243220086913784
miR-145-5p	IL18	0.15627755045223246
miR-145-5p	miR-140-5p	0.5597884602074981
miR-145-5p	CCL13	0.1173787246652731
miR-145-5p	IL1RL1	0.14260031153034003
miR-145-5p	CCL7	0.11500285458068671
miR-145-5p	EIF4EBP1	0.19660210780010434
miR-145-5p	CCL23	0.14042220618298007
miR-145-5p	BDNF	0.09216928221407183
miR-145-5p	let-7d-5p	0.4375734180252042
miR-143-3p	CCL25	0.09592256960700585
miR-143-3p	CSTB	0.1523266828493739
miR-143-3p	miR-145-5p	0.28952009100564347
miR-143-3p	NPPB	0.1281249434751066
miR-143-3p	KITLG	0.08946093456832838
miR-143-3p	XPNPEP2	0.09697762408172927
miR-574-3p	TNFSF11	0.10191257788225361
miR-574-3p	RNY4-3p	0.3316861547272918
miR-574-3p	miR-130a-3p	0.48422596261248874
miR-574-3p	miR-192-5p	0.22591729972252939
miR-191-5p	CXCL5	0.2545410882253156
miR-191-5p	SULT1A1	0.13900978231094818
miR-191-5p	RNY4-3p	0.6963676717324176
miR-191-5p	EGF	0.36025421770396093
miR-191-5p	MMP1	0.24195701697307204
miR-191-5p	RNY4-5p	0.7101399511537396
miR-191-5p	AXIN1	0.5571736634219624
miR-191-5p	miR-130a-3p	0.5070593789148674
miR-191-5p	SELE	0.1285378910579622
miR-191-5p	CD40LG	0.2761617520749864
miR-191-5p	miR-223-3p	0.6819195128441091
miR-191-5p	miR-223-5p	0.316282203078293
miR-24-3p	miR-21-5p	0.6198130519667613
miR-24-3p	IKBKG	0.5106900999529929
miR-24-3p	SIRT2	0.273848096796681
miR-24-3p	miR-223-3p	1.0582582677289816
miR-24-3p	miR-20b-5p	0.6192316568563738
miR-24-3p	miR-126-3p	0.9287926484085398
miR-24-3p	IL18R1	0.11501426605244358
