Regulator	Target	MI
miR-885-5p	miR-122-5p	0.4295436511061874
miR-885-5p	miR-222-3p	0.14898298137789112
miR-885-5p	CCL3	0.1477236449856738
miR-885-5p	CCL23	0.18825942774704796
miR-885-5p	TGFB1	0.12683948049687022
miR-885-5p	GDF15	0.16822367869572208
miR-885-5p	OSM	0.18509216071895196
miR-885-5p	F3	0.12380330525507777
miR-885-5p	SIRT2	0.16324420367923498
miR-885-5p	CXCL10	0.09108873007664098
miR-885-5p	FABP4	0.09122780767584793
miR-885-5p	LEP	0.2306616929666072
miR-885-5p	STAMBP	0.16052031731326633
miR-20b-5p	NPPB	0.13161241307198512
miR-20b-5p	MMP7	0.1263081019033665
miR-20b-5p	let-7b-5p	0.8687651007642216
miR-20b-5p	GAL	0.1745797100906259
miR-20b-5p	miR-92a-3p	0.553123135769062
miR-20b-5p	TGFA	0.1270655474633271
miR-20b-5p	miR-19b-3p	0.8856088599146572
miR-20b-5p	miR-26a-5p	0.7184775680722035
miR-28-5p	miR-27b-3p	0.2160686139936825
miR-28-5p	CASP8	0.14605206031347517
miR-28-5p	miR-122-5p	0.1613910598826882
miR-28-5p	PGF	0.1332012039849877
miR-28-5p	VEGFA	0.09533853684824312
miR-122-5p	CD40	0.08940735824491775
miR-122-5p	SPON1	0.10665582659966066
miR-122-5p	CSF1	0.13827281442214545
miR-122-5p	TNFSF12	0.14439229580595736
miR-122-5p	miR-885-5p	0.4168592872596415
miR-122-5p	F2R	0.12262527996065486
miR-122-5p	RNY5-5p	0.39088411532357714
miR-122-5p	miR-28-5p	0.1613910598826882
miR-122-5p	RNASE3	0.1064242119042973
miR-122-5p	MMP10	0.09261035045448462
miR-122-5p	miR-143-3p	0.22002458140677472
miR-122-5p	CD5	0.11503898211537678
miR-122-5p	CCL19	0.10468826637574846
miR-122-5p	miR-150-5p	0.17032939353598042
miR-126-3p	miR-21-5p	0.683430001531451
miR-126-3p	PLAUR	0.16176981171246574
miR-126-3p	miR-24-3p	1.0267788855529574
miR-126-3p	let-7d-5p	0.6007732092594633
miR-126-3p	miR-375	0.1370626367054708
miR-320a	IL16	0.31850114821969466
miR-320a	HBEGF	0.12292512236872621
miR-320a	miR-24-3p	0.6686573224782242
miR-320a	miR-222-3p	0.5815586135063144
miR-320a	EGF	0.462323406871441
miR-320a	GH1	0.1264313149585803
miR-320a	CXCL11	0.12335365470714255
miR-320a	TEK	0.12333525067310624
miR-126-5p	CXCL1	0.22747537907586413
