Regulator	Target	MI
miR-885-5p	CXCL9	0.18321124813942458
miR-885-5p	EGF	0.20147310074351044
miR-885-5p	F2R	0.11779281189277846
miR-885-5p	miR-122-5p	0.32668023694168813
miR-885-5p	SELE	0.12345238994990382
miR-885-5p	LGALS3	0.1505717481446993
miR-885-5p	miR-192-5p	0.21510448833141016
miR-885-5p	CCL8	0.20208749678075755
miR-885-5p	CDCP1	0.1161939369257432
miR-885-5p	PTX3	0.09960991882219705
miR-885-5p	REN	0.09983002699906329
miR-885-5p	miR-150-5p	0.15864777495323334
miR-885-5p	HBEGF	0.2295770434599822
miR-20b-5p	FGF5	0.1886261110165055
miR-20b-5p	miR-130a-3p	0.7508464330338143
miR-20b-5p	IL16	0.13798329319482683
miR-20b-5p	RNASE3	0.15213679228611543
miR-20b-5p	PECAM1	0.14329479333818096
miR-20b-5p	miR-19b-3p	0.9971335667132939
miR-20b-5p	EGF	0.37028552559296646
miR-28-5p	CCL13	0.09992962186498566
miR-28-5p	IL15RA	0.10622201448402535
miR-28-5p	CXCL9	0.11100007412266333
miR-28-5p	CSF1	0.15430808474993363
miR-28-5p	IL10RB	0.13360059617981612
miR-28-5p	TGFA	0.13645759160478743
miR-28-5p	miR-21-5p	0.3847736395131678
miR-28-5p	CXCL16	0.13107100557613904
miR-28-5p	GH1	0.1230424107361241
miR-28-5p	KITLG	0.09455710913794668
miR-28-5p	NTF3	0.21489269319842208
miR-28-5p	LTA	0.09052558588370019
miR-28-5p	REN	0.2127073684441676
miR-28-5p	IL17A	0.12796559911580907
miR-122-5p	CXCL8	0.15049319455947874
miR-122-5p	miR-885-5p	0.32668023694168813
miR-122-5p	RNY5-5p	0.13929125651026375
miR-122-5p	PLAT	0.21332389343707003
miR-122-5p	SULT1A1	0.15033301144416988
miR-122-5p	CCL4	0.1476250828932537
miR-122-5p	CCL3	0.15137526304858984
miR-122-5p	IL12B	0.16855399042262764
miR-122-5p	CCL23	0.15094839832877227
miR-122-5p	TNFRSF10B	0.174920724425772
miR-122-5p	miR-221-3p	0.13379634460612078
miR-122-5p	RNASE3	0.104823542086808
miR-122-5p	F3	0.12072238614437847
miR-122-5p	TNFRSF1A	0.11902984783883053
miR-122-5p	LEP	0.14699910417476225
miR-122-5p	LTA	0.14234191719457723
miR-122-5p	FAS	0.10337125045798867
miR-122-5p	AGRP	0.1251385898372206
miR-126-3p	ESM1	0.145293185000968
miR-126-3p	MMP3	0.13771026920544038
