Regulator	Target	MI
miR-885-5p	CD40	0.10846618629040261
miR-885-5p	OSM	0.16870936602061626
miR-885-5p	miR-122-5p	0.46658324713229504
miR-885-5p	SELE	0.10376176848446672
miR-885-5p	CXCL11	0.1471922497097662
miR-885-5p	miR-192-5p	0.34018128963909433
miR-885-5p	miR-223-3p	0.1626158035857017
miR-20b-5p	IL1RN	0.09634836874716157
miR-20b-5p	PRL	0.11289597224378767
miR-20b-5p	CX3CL1	0.10348819742176829
miR-20b-5p	IL15RA	0.15984863572886976
miR-20b-5p	TNFRSF11B	0.12064727766252581
miR-20b-5p	miR-93-5p	0.6900143905735137
miR-20b-5p	miR-19b-3p	0.8245696400279208
miR-20b-5p	miR-26a-5p	0.669846792532443
miR-20b-5p	CCL28	0.15424495096378532
miR-28-5p	CCL25	0.08928042672925596
miR-28-5p	NT-pro-BNP	0.09688895353169347
miR-28-5p	CXCL8	0.10090686574450647
miR-28-5p	FST	0.1590604565912983
miR-28-5p	TGFA	0.10752250428894694
miR-28-5p	VEGFD	0.10079380732090648
miR-28-5p	TNFRSF1B	0.0916946755220911
miR-28-5p	CXCL5	0.14904835477815492
miR-28-5p	CDCP1	0.18313005324367815
miR-28-5p	miR-92a-3p	0.215015614798034
miR-28-5p	CCL2	0.11263955746509335
miR-28-5p	miR-99b-5p	0.14123883982434204
miR-28-5p	IL17A	0.09480972566707546
miR-122-5p	NT-pro-BNP	0.09676608697283307
miR-122-5p	HGF	0.22813609003548585
miR-122-5p	miR-885-5p	0.46658324713229504
miR-122-5p	RNY5-5p	0.3040646977114303
miR-122-5p	PLAUR	0.12585821367481387
miR-122-5p	CXCL1	0.16891982599635114
miR-122-5p	PLAT	0.12842709392101703
miR-122-5p	TNFRSF11B	0.0907886869331751
miR-122-5p	PGF	0.09656961081386228
miR-122-5p	miR-145-5p	0.16620978542707743
miR-122-5p	CDCP1	0.10306692413943974
miR-122-5p	IL7	0.1253553434313348
miR-122-5p	DNER	0.18492629289224105
miR-122-5p	miR-92a-3p	0.2247677720507415
miR-126-3p	miR-126-5p	0.3716887318032258
miR-126-3p	ESM1	0.2429964692550799
miR-126-3p	IL16	0.2220910645931724
miR-126-3p	miR-223-3p	0.9989809096027455
miR-126-3p	miR-150-5p	0.37932032607809596
miR-126-3p	SRC	0.4957018513431244
miR-126-3p	SULT1A1	0.3027610540947201
miR-126-3p	miR-24-3p	0.9113287850107037
miR-126-3p	let-7d-5p	0.52790787219537
miR-126-3p	miR-375	0.20559733761927212
miR-320a	PDGFB	0.39244317747353996
miR-320a	PLAT	0.16224229328983686
miR-320a	CXCL16	0.15921769142373776
miR-320a	VEGFA	0.11139041366848446
miR-320a	miR-223-3p	0.6826440003223571
miR-320a	LEP	0.11074472324849172
miR-126-5p	CCL13	0.1674980581841714
miR-126-5p	miR-126-3p	0.3716887318032258
miR-126-5p	miR-143-3p	0.21113119538053216
miR-126-5p	CASP8	0.1979254081158084
miR-126-5p	NTF3	0.14528872301487095
miR-126-5p	CCL3	0.09770968255230272
miR-126-5p	LEP	0.10928923516640054
miR-126-5p	FAS	0.13588238684640874
miR-21-5p	MMP10	0.13209852855162652
miR-21-5p	CCL11	0.14034176044900182
miR-21-5p	miR-24-3p	0.669337625617465
miR-21-5p	miR-222-3p	0.518352382411603
miR-21-5p	miR-197-3p	0.5144011047631416
miR-145-5p	miR-122-5p	0.16620978542707654
miR-145-5p	miR-143-3p	0.25906179779554783
miR-145-5p	RNASE3	0.17137110997193528
miR-145-5p	TNFRSF1B	0.11743542860437728
miR-145-5p	DKK1	0.10290315579005416
miR-145-5p	miR-30b-5p	0.5927901128534874
miR-145-5p	miR-191-5p	0.47366602299985416
miR-145-5p	CCL25	0.11654256117615347
miR-145-5p	CD244	0.20012191868813378
miR-143-3p	SELPLG	0.12064530243768168
miR-143-3p	TGFA	0.10062053481217159
miR-143-3p	miR-126-5p	0.21113119538053216
miR-143-3p	miR-145-5p	0.24585143839101065
miR-143-3p	CCL7	0.12990057180420944
miR-143-3p	OLR1	0.11830364478701494
miR-143-3p	FGF23	0.13479486568345056
miR-143-3p	VEGFD	0.13645418763404749
