Regulator	Target	MI
miR-885-5p	IL10	0.10444104962266287
miR-885-5p	CXCL9	0.1791473441126561
miR-885-5p	CCL11	0.1383292037838304
miR-885-5p	OSM	0.16054203707553594
miR-885-5p	CXCL1	0.11724730806813533
miR-885-5p	miR-122-5p	0.5627454495752966
miR-885-5p	SELE	0.09286186061423596
miR-885-5p	miR-145-5p	0.17813916136336339
miR-885-5p	miR-143-3p	0.11092029449797458
miR-885-5p	GH1	0.08971905390257628
miR-885-5p	CCL8	0.20906514397238052
miR-885-5p	OLR1	0.14751053626401767
miR-20b-5p	LIFR	0.12485818083397149
miR-20b-5p	TNFRSF1B	0.1765850902531847
miR-20b-5p	RETN	0.09793052168399896
miR-20b-5p	miR-24-3p	0.6490656606128136
miR-20b-5p	miR-19b-3p	1.0675738919952087
miR-20b-5p	IL10RA	0.21353095051123283
miR-20b-5p	CCL28	0.12359120296295067
miR-28-5p	TGFA	0.10061629318413168
miR-28-5p	RETN	0.09744432015361948
miR-28-5p	FGF5	0.10847068213130306
miR-28-5p	miR-29a-3p	0.19859120296331678
miR-28-5p	TNFSF11	0.1419880269075975
miR-28-5p	KITLG	0.11933575509645333
miR-28-5p	CDCP1	0.12752821330923148
miR-28-5p	miR-375	0.1372353131313515
miR-28-5p	miR-16-5p	0.22752435215768685
miR-122-5p	NT-pro-BNP	0.13752510503826088
miR-122-5p	CCL23	0.1898818949024621
miR-122-5p	CSF1	0.0976311236291938
miR-122-5p	miR-885-5p	0.5627454495752966
miR-122-5p	RNY5-5p	0.24577214104648704
miR-122-5p	TNFRSF10B	0.10638707831609828
miR-122-5p	miR-221-3p	0.16365132556616846
miR-122-5p	VEGFD	0.164842855220237
miR-122-5p	DKK1	0.1157951203706773
miR-122-5p	F3	0.1076209796899743
miR-122-5p	KLK11	0.17843484578372237
miR-122-5p	FGF5	0.1392399400919082
miR-122-5p	miR-192-5p	0.2781206871928843
miR-122-5p	DNER	0.1922689994894986
miR-122-5p	FAS	0.13490710123173244
miR-122-5p	AGRP	0.1201071826912603
miR-122-5p	PTX3	0.1590364951345764
miR-122-5p	IL6R	0.11210095230268458
miR-126-3p	TNFSF10	0.17156309988694218
miR-126-3p	CTSD	0.10904326837147327
miR-126-3p	MMP7	0.10485990980693671
