Regulator	Target	MI
miR-885-5p	MMP7	0.11961646476809218
miR-885-5p	SELPLG	0.09724248287838488
miR-885-5p	MUC16	0.1273196491819153
miR-885-5p	IL18	0.10284898355310101
miR-885-5p	miR-122-5p	0.250264719213658
miR-885-5p	PRL	0.18734303356895232
miR-885-5p	MMP12	0.208723170808506
miR-885-5p	miR-143-3p	0.2709194030576052
miR-885-5p	miR-27b-3p	0.1807996406869412
miR-885-5p	CCL8	0.1980997403634479
miR-885-5p	CCL7	0.12375196639185937
miR-885-5p	NTF3	0.1240002107709115
miR-885-5p	CHI3L1	0.09332981042147992
miR-885-5p	HAVCR1	0.09884639714880006
miR-20b-5p	miR-21-5p	0.715129830286485
miR-20b-5p	NGF	0.20235992633287125
miR-20b-5p	DKK1	0.20644934754394662
miR-20b-5p	let-7b-5p	0.8085722333200689
miR-20b-5p	STAMBP	0.4645250412828199
miR-20b-5p	miR-126-3p	0.7463426979050665
miR-20b-5p	miR-19b-3p	1.1641494084709905
miR-28-5p	CCL13	0.1343651448011487
miR-28-5p	TGFA	0.09624715040955412
miR-28-5p	NPPB	0.10103226086208572
miR-28-5p	miR-574-3p	0.35108810985326677
miR-28-5p	miR-27b-3p	0.25889033882107615
miR-28-5p	CCL19	0.09558970863774263
miR-28-5p	HAVCR1	0.1618985401413564
miR-28-5p	CCL25	0.15945973622321574
miR-28-5p	TGFB1	0.15306728346100051
miR-28-5p	IL16	0.16633930959181864
miR-28-5p	LIFR	0.13141092670061205
miR-28-5p	CXCL10	0.1275914995523344
miR-28-5p	FABP4	0.15446811213725375
miR-28-5p	CHI3L1	0.19707288428782554
miR-28-5p	miR-99b-5p	0.3073801040730748
miR-122-5p	NT-pro-BNP	0.2047678597739191
miR-122-5p	SPON1	0.16308359133170036
miR-122-5p	miR-885-5p	0.250264719213658
miR-122-5p	RNY5-5p	0.2475934564242257
miR-122-5p	S100A12	0.0899664933399249
miR-122-5p	IL10	0.10520026638070501
miR-122-5p	PECAM1	0.08972130110657606
miR-122-5p	miR-92a-3p	0.24323318312822195
miR-126-3p	SIRT2	0.5309097132767322
miR-126-3p	miR-223-3p	1.1376199953816943
miR-126-3p	miR-20b-5p	0.7463426979050674
miR-126-3p	miR-320a	0.6959386347149685
miR-320a	NT-pro-BNP	0.14754916039742572
miR-320a	CASP8	0.3078779715632596
miR-320a	RNY4-3p	0.6616962921294007
miR-320a	TNFRSF1B	0.11438564706446819
miR-320a	MMP10	0.15466286926579276
miR-320a	miR-126-3p	0.6959386347149685
miR-320a	miR-93-5p	0.7294299322759867
miR-320a	SELE	0.1271446812664916
miR-126-5p	CSF1	0.24636026458829896
miR-126-5p	RNY4-3p	0.4457133251705123
miR-126-5p	GAL	0.09980339725803766
miR-126-5p	PECAM1	0.10531266702440245
miR-126-5p	miR-93-5p	0.4936922930935239
miR-126-5p	SLAMF1	0.13955493325991064
miR-126-5p	FGF19	0.1401778541710268
miR-21-5p	miR-143-3p	0.4639269652005362
miR-21-5p	IKBKG	0.6266379758179719
miR-21-5p	PDGFB	0.5646556492307395
miR-21-5p	miR-20b-5p	0.715129830286485
miR-21-5p	miR-24-3p	0.7375763781081854
miR-21-5p	NTF3	0.1578511748030449
miR-21-5p	miR-197-3p	0.5230072626685827
miR-21-5p	GH1	0.1028324404746801
miR-145-5p	MPO	0.1154758094600945
miR-145-5p	ESM1	0.1420359750961957
miR-145-5p	miR-192-5p	0.22369410352825625
miR-145-5p	miR-30b-5p	0.6735652998753006
miR-145-5p	IL1RL1	0.15078190517915235
miR-145-5p	CXCL11	0.2451431268446731
miR-143-3p	miR-21-5p	0.4639269652005362
miR-143-3p	CXCL5	0.31083257910299533
miR-143-3p	miR-885-5p	0.2709194030576052
miR-143-3p	EIF4EBP1	0.13564507724936004
miR-143-3p	CD6	0.154444457585603
miR-143-3p	PTX3	0.10425705468242974
miR-574-3p	miR-28-5p	0.35108810985326677
miR-574-3p	PLAT	0.16564281177413953
miR-574-3p	TNFRSF1A	0.15999656410402174
miR-574-3p	miR-150-5p	0.32627202193301486
miR-574-3p	miR-221-3p	0.6801026997275326
miR-574-3p	IL7	0.1399673053628412
miR-191-5p	CXCL6	0.23479796978540346
miR-191-5p	CXCL5	0.28226148039812404
miR-191-5p	IKBKG	0.6019053582775191
miR-191-5p	RNY4-3p	0.8078376029374281
miR-191-5p	HGF	0.16495316395703075
miR-191-5p	MMP3	0.15865441129619828
miR-191-5p	AXIN1	0.5899804237915385
miR-191-5p	CDCP1	0.16799882123236642
miR-191-5p	miR-223-3p	0.854451423096183
miR-191-5p	miR-92a-3p	0.6238104482994462
miR-191-5p	TGFB1	0.16895663371188174
miR-191-5p	EGF	0.5117862414188847
miR-191-5p	RNY4-5p	0.9625217234369083
miR-191-5p	miR-223-5p	0.6628582326867187
miR-24-3p	HSPB1	0.3346528781044782
miR-24-3p	miR-21-5p	0.7375763781081863
miR-24-3p	miR-223-3p	1.2337742747155662
miR-24-3p	HBEGF	0.25283504264566936
miR-24-3p	SULT1A1	0.40909161432323504
miR-24-3p	CCL8	0.1523640712902674
miR-24-3p	miR-93-5p	0.8853738937010398
miR-24-3p	CCL3	0.11384333660118617
miR-24-3p	miR-221-3p	0.7632487166543713
miR-27b-3p	miR-28-5p	0.25889033882107615
miR-27b-3p	ESM1	0.1403834313019514
miR-27b-3p	CTSL	0.09990759586264808
miR-27b-3p	FLT3LG	0.19456001477888485
miR-27b-3p	TNFRSF1B	0.16612985880940823
miR-27b-3p	F3	0.16898817038898617
miR-27b-3p	miR-30b-5p	0.399424045063709
miR-27b-3p	miR-885-5p	0.1807996406869412
miR-27b-3p	KLK11	0.14970450575933913
miR-486-5p	miR-93-5p	0.5581754694144063
miR-486-5p	TNFSF11	0.10632146886488858
miR-486-5p	PGF	0.09297563598265501
miR-486-5p	MMP12	0.1557567416751393
miR-486-5p	miR-16-5p	0.6626480658686615
miR-93-5p	CXCL9	0.19236292931872256
miR-93-5p	CXCL1	0.34362863607088734
miR-93-5p	miR-126-5p	0.4936922930935239
miR-93-5p	FGF5	0.12691623058301715
miR-93-5p	miR-486-5p	0.5903423081022332
miR-93-5p	CD274	0.15407931273948616
miR-93-5p	miR-320a	0.7294299322759867
miR-93-5p	miR-24-3p	0.8853738937010407
miR-93-5p	miR-19b-3p	0.8754246324659247
miR-93-5p	IL10RA	0.2556313924411393
miR-93-5p	XPNPEP2	0.11156790364485225
miR-93-5p	LEP	0.16354463178879364
miR-93-5p	CCL28	0.17160816968362624
miR-222-3p	MB	0.16875766393583813
miR-222-3p	F2R	0.26033455380740644
miR-222-3p	miR-140-5p	0.9049332045679623
miR-222-3p	miR-19b-3p	0.8821150088293264
miR-29a-3p	FST	0.14404423013923573
miR-29a-3p	miR-140-5p	0.6112451200728373
miR-29a-3p	KITLG	0.1359340806495002
miR-19b-3p	miR-130a-3p	0.7008790794389306
miR-19b-3p	miR-30b-5p	0.9507241483962661
miR-19b-3p	CSTB	0.11514077346130858
miR-19b-3p	miR-20b-5p	1.1641494084709922
miR-19b-3p	TNFRSF11B	0.10356656236952144
miR-19b-3p	miR-93-5p	0.8754246324659256
miR-19b-3p	miR-222-3p	0.8821150088293264
miR-19b-3p	IL6	0.22153903370070882
miR-19b-3p	FABP4	0.1218124873535622
miR-19b-3p	miR-16-5p	0.7678742858799623
miR-197-3p	CCL11	0.10131091942744419
miR-197-3p	miR-21-5p	0.5066014122411282
miR-197-3p	KLK6	0.10400290475306839
miR-197-3p	FAS	0.15935432365851643
miR-26a-5p	LGALS3	0.11314746915702845
miR-26a-5p	IL15RA	0.254858071271042
miR-26a-5p	miR-30b-5p	0.8909882937923914
miR-26a-5p	miR-99b-5p	0.5259665995634011
miR-26a-5p	SRC	0.5155516779208966
miR-26a-5p	AGER	0.0911166316634926
miR-26a-5p	miR-221-3p	0.8717015575451637
miR-26a-5p	miR-375	0.23415538473302266
miR-324-5p	CSF1	0.2031176832790491
miR-324-5p	DNER	0.161333377156212
miR-324-5p	MMP7	0.15646663544449257
miR-324-5p	miR-130a-3p	0.44908285566340833
miR-324-5p	CCL11	0.16180315470919737
miR-324-5p	TGFA	0.09040065705608846
miR-324-5p	KLK6	0.21514054130806137
miR-324-5p	CCL2	0.1360448543642807
miR-324-5p	GDNF	0.2544386569342638
miR-324-5p	CD5	0.10381199935862195
miR-324-5p	IL17C	0.102464443615637
miR-324-5p	IL18R1	0.13341541688227387
miR-130a-3p	miR-324-5p	0.4490828556634092
miR-130a-3p	S100A12	0.2231305412283886
miR-130a-3p	miR-19b-3p	0.7008790794389306
miR-221-3p	CD40	0.12814775866736117
miR-221-3p	CXCL1	0.36215677016842385
miR-221-3p	CX3CL1	0.17061534391330824
miR-221-3p	miR-574-3p	0.6801026997275308
miR-221-3p	FLT3LG	0.15388107768003323
miR-221-3p	LIFR	0.1663502710338287
miR-221-3p	PDGFB	0.5110351631093781
miR-221-3p	miR-24-3p	0.7632487166543704
miR-221-3p	IL10RB	0.15905749385035328
miR-221-3p	miR-26a-5p	0.8717015575451637
let-7b-5p	CXCL8	0.19557657253692717
let-7b-5p	GAL	0.10071222518964085
let-7b-5p	miR-20b-5p	0.8085722333200698
let-7b-5p	CXCL10	0.17551280840787964
let-7d-5p	IL6R	0.1400917836675406
let-7d-5p	miR-30b-5p	0.6931741053690565
let-7d-5p	miR-223-3p	0.6959867962713373
let-7d-5p	RNY4-5p	0.705197499180291
let-7d-5p	CD40LG	0.4170152844364736
let-7d-5p	REN	0.09998195435774093
miR-140-5p	miR-30b-5p	0.8538425951655073
miR-140-5p	miR-222-3p	0.9049332045679623
miR-140-5p	miR-29a-3p	0.577428317200555
miR-140-5p	CCL25	0.14052288143924496
miR-140-5p	AGRP	0.09965595974282948
miR-192-5p	IL10	0.11158457951728185
miR-192-5p	CD274	0.1353922077806402
miR-192-5p	CCL23	0.10915661402457832
miR-192-5p	TGFB1	0.1426472017842082
