Regulator	Target	MI
miR-885-5p	TNFSF12	0.13906664529448065
miR-885-5p	miR-122-5p	0.49241716865540663
miR-885-5p	TNFRSF1B	0.1469426618522709
miR-885-5p	VEGFA	0.2880914140615429
miR-885-5p	SULT1A1	0.11385232177613425
miR-885-5p	miR-192-5p	0.19575968882236694
miR-885-5p	miR-27b-3p	0.276580129422193
miR-885-5p	miR-375	0.1787360841477179
miR-885-5p	CHI3L1	0.11759761860425666
miR-885-5p	CCL19	0.10947309168842878
miR-20b-5p	CX3CL1	0.18886751480856656
miR-20b-5p	DKK1	0.12313144165144507
miR-20b-5p	let-7b-5p	0.8674501319247749
miR-20b-5p	miR-19b-3p	0.9975311290357096
miR-20b-5p	FGF21	0.12076339102514311
miR-28-5p	CXCL8	0.1860197287928882
miR-28-5p	TGFA	0.21969371345354194
miR-28-5p	let-7b-5p	0.1773763796646941
miR-28-5p	CXCL16	0.1679070684026156
miR-28-5p	VEGFA	0.12320144043341053
miR-28-5p	miR-27b-3p	0.25558459999315897
miR-28-5p	REN	0.09284724014806311
miR-28-5p	CD244	0.08897378576179449
miR-122-5p	CSTB	0.12365022549122529
miR-122-5p	CSF1	0.1175871706231364
miR-122-5p	RNY4-3p	0.15486527268147743
miR-122-5p	miR-885-5p	0.4924171686554075
miR-122-5p	RNY5-5p	0.2823719538590437
miR-122-5p	TNFRSF10B	0.15249256364571284
miR-122-5p	CXCL1	0.09215893469876413
miR-122-5p	RNASE3	0.09789958639657037
miR-122-5p	FGF5	0.13579987480297984
miR-122-5p	KITLG	0.10345505277742806
miR-122-5p	CCL4	0.12114599610351551
miR-122-5p	S100A12	0.19986118083818472
miR-122-5p	miR-99b-5p	0.11389550923442648
miR-122-5p	miR-150-5p	0.2045811986847088
miR-126-3p	miR-126-5p	0.6066523884507182
miR-126-3p	HAVCR1	0.1083714212988216
miR-126-3p	SELPLG	0.17067828101957794
miR-126-3p	miR-24-3p	1.0376032961923043
miR-126-3p	miR-27b-3p	0.3364766686430558
miR-126-3p	miR-29a-3p	0.5151702032138283
miR-126-3p	CD40LG	0.3870792646614696
miR-320a	miR-191-5p	0.6385451682496592
miR-320a	miR-93-5p	0.6367259660105686
miR-320a	miR-222-3p	0.4768079592719321
miR-320a	TNFSF12	0.08936041385037985
miR-320a	miR-150-5p	0.3597996125657801
miR-320a	ADA	0.11176293510022983
miR-126-5p	RNY5-5p	0.2509478166406103
miR-126-5p	miR-126-3p	0.6066523884507173
miR-126-5p	DNER	0.14621730301330338
miR-126-5p	OSM	0.1266348409180944
miR-126-5p	miR-92a-3p	0.4888585086926529
miR-126-5p	FAS	0.14898230970449422
miR-21-5p	CDCP1	0.12072034393601694
miR-21-5p	miR-24-3p	0.6272859444270527
miR-145-5p	ADM	0.12715038790252908
miR-145-5p	IL27	0.11411428379831356
miR-145-5p	FST	0.18902703380895236
miR-145-5p	miR-140-5p	0.6654029484867339
miR-145-5p	GAL	0.09311846649031352
miR-145-5p	CCL23	0.13220434192089847
miR-145-5p	FABP4	0.11100655072678745
miR-145-5p	LEP	0.11483129619019028
miR-143-3p	AGER	0.11955112882370234
miR-143-3p	miR-192-5p	0.19359600298145807
miR-143-3p	miR-19b-3p	0.29625834929754813
miR-574-3p	MMP7	0.13016920759181705
miR-574-3p	TNFSF14	0.12153971879477687
miR-574-3p	miR-30b-5p	0.6471744426860546
miR-574-3p	HBEGF	0.15520295192013567
miR-191-5p	CXCL1	0.1883798902995517
miR-191-5p	CXCL5	0.2736507205144241
miR-191-5p	RNY4-3p	0.8658606581826502
miR-191-5p	MMP1	0.09469750025834589
miR-191-5p	SIRT2	0.39215002821080436
miR-191-5p	miR-223-3p	0.6535267089559973
miR-191-5p	miR-320a	0.6385451682496592
miR-191-5p	RNY4-5p	0.8425430872096333
miR-191-5p	let-7d-5p	0.6640685853172092
miR-24-3p	SRC	0.44667975698714013
miR-24-3p	miR-126-3p	1.0376032961923052
miR-24-3p	miR-21-5p	0.6272859444270527
miR-24-3p	IKBKG	0.45394865686121744
miR-24-3p	EGF	0.40606633724517405
miR-24-3p	TNFRSF1B	0.10942987181691688
miR-24-3p	let-7d-5p	0.5652751914258092
miR-24-3p	miR-223-3p	1.0215561362536105
miR-24-3p	miR-223-5p	0.4247207017300445
miR-27b-3p	miR-885-5p	0.28577974915549387
miR-27b-3p	miR-28-5p	0.25558459999315897
miR-27b-3p	miR-126-3p	0.3364766686430558
miR-27b-3p	PRL	0.19574540997520096
miR-27b-3p	miR-324-5p	0.20274913567230968
miR-486-5p	TGFA	0.10639882213634433
miR-486-5p	MPO	0.09507377527710315
miR-486-5p	OLR1	0.14770861274861335
miR-486-5p	GDF15	0.13090749040840954
miR-486-5p	MMP1	0.09165262832893184
miR-486-5p	miR-324-5p	0.18002376120563746
miR-486-5p	LIFR	0.11396521634185408
miR-486-5p	SELE	0.10669576397882086
miR-486-5p	miR-16-5p	0.46611488336467044
miR-93-5p	miR-320a	0.6367259660105686
