Regulator	Target	MI
miR-885-5p	miR-143-3p	0.11563194761321949
miR-885-5p	MMP7	0.12188753667898578
miR-885-5p	GDF15	0.10076848455485266
miR-885-5p	miR-222-3p	0.14444711367175156
miR-885-5p	LIFR	0.10310602864152596
miR-885-5p	miR-122-5p	0.486478520957097
miR-20b-5p	miR-19b-3p	1.0312503478762105
miR-20b-5p	ADA	0.15457175550105262
miR-28-5p	CXCL9	0.09293883641394807
miR-28-5p	IL10RB	0.1264364447813433
miR-28-5p	FLT3LG	0.10503397459503105
miR-28-5p	miR-122-5p	0.14103023367199263
miR-28-5p	miR-21-5p	0.23345458330074997
miR-28-5p	CX3CL1	0.1315127545089929
miR-28-5p	CDCP1	0.10422280757020186
miR-28-5p	CCL7	0.15824033610403632
miR-28-5p	CCL3	0.13728250968030498
miR-28-5p	FGF23	0.09896858873422154
miR-28-5p	IL17C	0.16640193203753828
miR-122-5p	SPON1	0.09006040542850968
miR-122-5p	miR-885-5p	0.4864785209570961
miR-122-5p	RNY5-5p	0.19205650400508745
miR-122-5p	miR-28-5p	0.14103023367199263
miR-122-5p	CXCL1	0.18795694558260578
miR-122-5p	GH1	0.10321967733567572
miR-122-5p	miR-192-5p	0.4648354469508149
miR-122-5p	miR-30b-5p	0.14632636178784697
miR-122-5p	CCL8	0.09716186114325254
miR-122-5p	STAMBP	0.1963056005848678
miR-122-5p	CCL28	0.14637903615680425
miR-122-5p	IL18R1	0.09485346690107388
miR-126-3p	PDGFB	0.4243633143624628
miR-126-3p	miR-320a	0.7606544854714903
miR-126-3p	miR-126-5p	0.42791526429838456
miR-126-3p	miR-21-5p	0.741584723301397
miR-126-3p	miR-24-3p	1.2359723986432165
miR-126-3p	miR-27b-3p	0.36851122816509463
miR-126-3p	miR-29a-3p	0.5372188257612063
miR-126-3p	IL16	0.11620414945113478
miR-126-3p	miR-223-3p	0.9880185819543046
miR-126-3p	miR-150-5p	0.2581463205579304
miR-320a	CASP8	0.26945202754397446
miR-320a	TNFSF14	0.09740396699356335
miR-320a	miR-223-3p	0.7694095660243052
miR-320a	miR-92a-3p	0.6545103144359379
miR-126-5p	miR-126-3p	0.42791526429838367
miR-126-5p	EGF	0.3286827909002401
miR-21-5p	miR-28-5p	0.23345458330074997
miR-21-5p	TNFSF11	0.13668774266246153
miR-21-5p	TGFA	0.10466593154230885
miR-21-5p	miR-126-3p	0.7415847233013979
miR-21-5p	CD6	0.1738107135288791
miR-145-5p	miR-143-3p	0.3347417673228055
miR-145-5p	miR-24-3p	0.5712219120111932
miR-145-5p	F2R	0.14111830112314205
miR-145-5p	miR-30b-5p	0.5888629770123552
miR-143-3p	HGF	0.12461535639946675
miR-143-3p	miR-885-5p	0.11563194761321949
miR-143-3p	miR-145-5p	0.33474176732280636
miR-143-3p	SULT1A1	0.15018964839391025
miR-143-3p	LEP	0.15220313362261884
miR-574-3p	miR-222-3p	0.7286954459476638
miR-574-3p	miR-29a-3p	0.5787192578136517
miR-574-3p	miR-192-5p	0.2486197706611888
miR-191-5p	MB	0.12113739201314733
miR-191-5p	CTSD	0.13393231854555143
miR-191-5p	RNY4-3p	0.7270392061262836
miR-191-5p	EGF	0.3678310991163869
miR-191-5p	miR-324-5p	0.26876923992723256
miR-191-5p	RNY4-5p	0.8487436827098271
miR-191-5p	AXIN1	0.3891162299922044
miR-191-5p	miR-223-3p	0.7099820506227958
miR-191-5p	miR-92a-3p	0.5505526424552114
miR-191-5p	TEK	0.11167115010661632
miR-24-3p	HSPB1	0.23140239058987522
miR-24-3p	miR-145-5p	0.5712219120111941
miR-24-3p	FST	0.10267386482649687
miR-24-3p	RNY5-5p	0.29935781868563804
miR-24-3p	miR-126-3p	1.2359723986432156
miR-24-3p	MUC16	0.12965825123276709
miR-24-3p	miR-221-3p	0.6573773375802325
miR-24-3p	let-7d-5p	0.6851378511703254
miR-24-3p	miR-223-5p	0.5707818662835118
miR-27b-3p	miR-126-3p	0.36851122816509463
miR-27b-3p	TNFRSF1A	0.112671912323278
miR-27b-3p	GAL	0.11725084923723905
miR-486-5p	RNY5-5p	0.28928303380199605
miR-486-5p	EIF4EBP1	0.1485161045904544
miR-486-5p	miR-92a-3p	0.5214187651264917
miR-486-5p	miR-150-5p	0.28899785379334286
miR-486-5p	miR-16-5p	0.5900999858081803
miR-93-5p	CXCL6	0.1062812288498467
miR-93-5p	miR-19b-3p	0.6635306117178175
miR-93-5p	PGF	0.14533937059755342
miR-93-5p	miR-223-3p	0.9065247147087891
miR-93-5p	STAMBP	0.4071812434133175
miR-222-3p	miR-574-3p	0.7286954459476647
miR-222-3p	miR-140-5p	0.7885889753014368
miR-222-3p	miR-885-5p	0.14444711367175156
miR-222-3p	miR-19b-3p	0.8782169799004684
miR-222-3p	AGRP	0.12621239300150666
miR-222-3p	miR-16-5p	0.6692847431536775
miR-29a-3p	miR-126-3p	0.5372188257612045
miR-29a-3p	miR-574-3p	0.5787192578136517
miR-29a-3p	CCL20	0.15242877523577825
miR-29a-3p	PTX3	0.09976611141804792
miR-19b-3p	miR-20b-5p	1.055899566887696
miR-19b-3p	CX3CL1	0.21139601547466746
miR-19b-3p	miR-93-5p	0.6635306117178184
miR-19b-3p	miR-222-3p	0.8532186406844158
miR-19b-3p	let-7b-5p	0.7548354243619979
miR-19b-3p	SIRT2	0.3478174572608159
miR-19b-3p	miR-30b-5p	0.8721971183821218
miR-197-3p	IL27	0.13293699915172486
miR-197-3p	F3	0.17367807110664124
miR-197-3p	miR-223-3p	0.644315821911646
miR-26a-5p	PRL	0.13067940108067333
miR-26a-5p	SULT1A1	0.19013837954564394
miR-26a-5p	miR-221-3p	0.7930570648703918
miR-26a-5p	miR-30b-5p	0.906591473419887
miR-26a-5p	IL17A	0.09801325411739992
miR-324-5p	CD40	0.10074160016513733
miR-324-5p	CSF1	0.137229708243507
miR-324-5p	miR-122-5p	0.1414699401841677
miR-324-5p	PLAU	0.09669699335883486
miR-324-5p	IKBKG	0.31607285919804173
miR-324-5p	HGF	0.09583636909440951
miR-324-5p	IL10RA	0.2509418332374054
miR-324-5p	MMP3	0.09358612980057313
miR-324-5p	miR-30b-5p	0.269946055470907
miR-324-5p	PAPPA	0.11707103217355463
miR-324-5p	CD244	0.10300959439511814
miR-130a-3p	miR-20b-5p	0.5497761945710264
miR-130a-3p	CXCL5	0.1782935819691822
miR-130a-3p	HAVCR1	0.13383487739474198
