Regulator	Target	MI
miR-885-5p	CCL25	0.09880916101968396
miR-885-5p	SPON1	0.1254756411093032
miR-885-5p	miR-122-5p	0.6100135924125398
miR-885-5p	MPO	0.10377525438532054
miR-885-5p	FABP4	0.12146310316470554
miR-885-5p	miR-93-5p	0.20357421157551236
miR-885-5p	miR-29a-3p	0.15157161668957997
miR-885-5p	CCL4	0.14570039914004518
miR-885-5p	REN	0.09404684872783875
miR-20b-5p	NPPB	0.0936774737335071
miR-20b-5p	miR-143-3p	0.3196215566709668
miR-20b-5p	miR-29a-3p	0.4566439872247212
miR-20b-5p	miR-19b-3p	1.0313303836326533
miR-20b-5p	let-7d-5p	0.47077102719807407
miR-20b-5p	miR-16-5p	0.6666597570130577
miR-28-5p	MUC16	0.11922194904283145
miR-28-5p	MMP1	0.09333135305432982
miR-28-5p	MMP3	0.10965606308622089
miR-28-5p	RNY5-5p	0.14433277968073188
miR-28-5p	RETN	0.23621485364882044
miR-28-5p	ESM1	0.15912118504538153
miR-28-5p	PAPPA	0.10360025922507532
miR-28-5p	miR-375	0.257830835028269
miR-28-5p	miR-92a-3p	0.19548137310324343
miR-28-5p	miR-150-5p	0.13271052447340193
miR-28-5p	IL17A	0.23058569759781467
miR-122-5p	miR-26a-5p	0.1613330394196817
miR-122-5p	HGF	0.18964352467322598
miR-122-5p	miR-885-5p	0.6100135924125389
miR-122-5p	RNY5-5p	0.2021353335887337
miR-122-5p	PLAUR	0.1644183088308857
miR-122-5p	TNFRSF10B	0.1376803613009896
miR-122-5p	CXCL16	0.155536003768578
miR-122-5p	TNFRSF1A	0.22747536556138925
miR-122-5p	miR-143-3p	0.2826068566540201
miR-122-5p	KITLG	0.10873678709196177
miR-122-5p	miR-192-5p	0.16136218855203488
miR-122-5p	CD6	0.10738982548910503
miR-122-5p	miR-92a-3p	0.2415585267024669
miR-122-5p	miR-150-5p	0.10289781554722666
miR-122-5p	HBEGF	0.10690832430713382
miR-126-3p	miR-126-5p	0.3546807074225953
miR-126-3p	HGF	0.12876035319581902
miR-126-3p	miR-223-3p	0.9149469989475874
miR-126-3p	PECAM1	0.16946962687063216
miR-126-3p	miR-150-5p	0.4119840675827806
miR-126-3p	CSTB	0.27506793406089614
miR-126-3p	CCL3	0.16180238011013515
miR-126-3p	miR-26a-5p	0.5556243354292381
miR-126-3p	IL7	0.1515437966014277
miR-320a	miR-24-3p	0.7204113577963218
miR-320a	CCL7	0.10741643631050124
miR-320a	miR-486-5p	0.38074918154240134
miR-320a	RNY4-3p	0.4099037767246019
miR-126-5p	CXCL6	0.12636046048335636
miR-126-5p	TGFA	0.14439871617468203
miR-126-5p	miR-126-3p	0.3546807074225953
miR-126-5p	CXCL16	0.10033692849832043
miR-126-5p	S100A12	0.13728853573784328
miR-126-5p	CTSD	0.16825190886150132
miR-126-5p	CCL25	0.09168312124343014
miR-126-5p	TNFSF12	0.23516827356762704
miR-126-5p	OSM	0.11856405648772039
miR-126-5p	LIFR	0.10538494904958995
miR-126-5p	VEGFA	0.10209935137918347
miR-126-5p	LEP	0.14280346113894637
miR-126-5p	miR-92a-3p	0.3817215244754024
miR-21-5p	SELPLG	0.13279713148879235
miR-21-5p	miR-93-5p	0.5844409758551077
