Regulator	Target	MI
miR-885-5p	CCL8	0.12386755773064895
miR-885-5p	CCL7	0.0892116894361834
miR-885-5p	OLR1	0.12070180085675108
miR-885-5p	IL16	0.1329464108657037
miR-885-5p	miR-122-5p	0.5239003322636124
miR-885-5p	miR-197-3p	0.13320418806308076
miR-885-5p	SELE	0.1470357895687746
miR-885-5p	CXCL16	0.11529007036197125
miR-20b-5p	TNFRSF11B	0.13958023284330068
miR-20b-5p	miR-126-3p	0.6926004366144873
miR-20b-5p	MPO	0.13754023627855538
miR-20b-5p	FGF5	0.12763895529714908
miR-20b-5p	miR-19b-3p	1.1285921161773187
miR-20b-5p	miR-26a-5p	0.7609780868032692
miR-20b-5p	let-7b-5p	0.7050430368676723
miR-20b-5p	IL17C	0.0946861090787241
miR-20b-5p	miR-16-5p	0.6858914030699879
miR-28-5p	TGFB1	0.12916186558133802
miR-28-5p	IL10RB	0.09121785182502773
miR-28-5p	VEGFA	0.10038420293330752
miR-28-5p	miR-27b-3p	0.18554637374011484
miR-28-5p	CASP8	0.11212294610918505
miR-28-5p	CDCP1	0.1791345432668603
miR-28-5p	S100A12	0.10254130897811198
miR-28-5p	ADA	0.148311686215437
miR-28-5p	IL17A	0.09770981885921959
miR-122-5p	CSTB	0.14638924761637462
miR-122-5p	SRC	0.09753326616767488
miR-122-5p	HGF	0.11318388203660223
miR-122-5p	miR-885-5p	0.5239003322636124
miR-122-5p	RNY5-5p	0.277837891100873
miR-122-5p	PLAUR	0.1379671639443787
miR-122-5p	ADM	0.154644453707955
miR-122-5p	CXCL1	0.11915867522437029
miR-122-5p	RNASE3	0.10205479930818129
miR-122-5p	TNFRSF1A	0.1391642558335544
miR-122-5p	GH1	0.1639890878156418
miR-122-5p	MB	0.10981454190508533
miR-122-5p	FGF19	0.1245649811545384
miR-122-5p	miR-92a-3p	0.14166160908326653
miR-122-5p	miR-150-5p	0.14256009903865596
miR-126-3p	PDGFB	0.3449448035461442
miR-126-3p	miR-20b-5p	0.6926004366144873
miR-126-3p	HSPB1	0.24815216271334073
miR-126-3p	miR-24-3p	0.9049168987835872
miR-126-3p	let-7d-5p	0.47491672516736205
miR-126-3p	miR-223-3p	0.9125177169587806
miR-126-3p	miR-150-5p	0.32722604730293803
miR-320a	miR-24-3p	0.5522917892892121
miR-320a	miR-222-3p	0.4352582742836679
miR-320a	RNY4-3p	0.35558495124986234
miR-320a	miR-192-5p	0.18757443034490073
miR-126-5p	CCL13	0.09476775089725997
miR-126-5p	TNFSF12	0.10932181702545929
miR-126-5p	F3	0.15720042588616767
miR-126-5p	miR-21-5p	0.26534132664509436
miR-21-5p	miR-126-5p	0.26534132664509436
miR-21-5p	miR-24-3p	0.5858596198602237
miR-21-5p	CCL8	0.1585823839082643
miR-21-5p	SELE	0.12191679460389349
miR-21-5p	VEGFA	0.12928865612347717
miR-21-5p	LEP	0.16062729690319788
miR-145-5p	SELPLG	0.18020788755123096
miR-145-5p	IL27	0.17253643943351893
miR-145-5p	DKK1	0.1450204986335999
miR-145-5p	miR-30b-5p	0.5205550717897447
miR-143-3p	SULT1A1	0.12828452730802642
miR-143-3p	IL15RA	0.10713388354501241
miR-143-3p	ESM1	0.12985659216769108
miR-143-3p	IL7	0.11052431185419032
miR-143-3p	FST	0.11320665652254203
miR-143-3p	PAPPA	0.1964051708400829
miR-143-3p	miR-19b-3p	0.13945762376733573
miR-143-3p	RNASE3	0.1544859780014729
miR-143-3p	miR-145-5p	0.1526050938371828
miR-574-3p	MB	0.14299183070667
miR-574-3p	miR-222-3p	0.38942931069302666
miR-574-3p	PGF	0.16827675603575898
miR-191-5p	SRC	0.38629202247661354
miR-191-5p	RNY4-3p	0.7307761815988298
miR-191-5p	RNY4-5p	0.9534383160548439
miR-191-5p	miR-130a-3p	0.3751685836347196
miR-191-5p	SIRT2	0.27942017052784696
miR-191-5p	TNFRSF1A	0.177798345689113
miR-191-5p	miR-223-3p	0.5700250593912841
miR-191-5p	miR-223-5p	0.4752190157025762
miR-191-5p	miR-92a-3p	0.40965821117919976
miR-24-3p	SPON1	0.11504463595457004
miR-24-3p	miR-126-3p	0.9049168987835872
miR-24-3p	miR-320a	0.5470045549421751
miR-24-3p	miR-21-5p	0.5858596198602237
miR-24-3p	CXCL5	0.23152093027824527
miR-24-3p	miR-93-5p	0.8436796070973687
miR-24-3p	miR-197-3p	0.5192754031632001
miR-24-3p	EGF	0.3472504646222241
miR-24-3p	TNFRSF1B	0.16290789880127665
miR-24-3p	CD40LG	0.3575210123050896
miR-27b-3p	miR-28-5p	0.18554637374011396
miR-27b-3p	miR-222-3p	0.3348459484359365
miR-27b-3p	TNFRSF10B	0.1299968203600521
miR-27b-3p	TNFRSF1A	0.18528499026229106
miR-27b-3p	FAS	0.10546902151669002
miR-27b-3p	IL18R1	0.1716970564414817
miR-486-5p	ADM	0.13460498605794324
miR-486-5p	PRL	0.11218262114569022
miR-486-5p	KLK6	0.09588596245751013
miR-486-5p	miR-93-5p	0.6703157826243347
miR-486-5p	REN	0.10045798560082542
miR-486-5p	IL18R1	0.12549672881435203
miR-486-5p	miR-16-5p	0.6519178764718356
miR-93-5p	miR-24-3p	0.8436796070973687
miR-93-5p	miR-486-5p	0.6703157826243347
miR-93-5p	miR-19b-3p	0.63749229640195
miR-93-5p	IL10	0.14301440846491698
miR-93-5p	FST	0.09103364257636137
miR-93-5p	DKK1	0.1754016577312072
miR-93-5p	IL6	0.11123437763731747
miR-93-5p	miR-223-3p	0.8253236264159787
miR-93-5p	miR-92a-3p	0.4476012354478689
miR-93-5p	STAMBP	0.3379862673756149
miR-93-5p	CD244	0.10136017939047992
miR-222-3p	miR-574-3p	0.3894293106930258
miR-222-3p	MMP1	0.15622843066530034
miR-222-3p	F2R	0.12109711208680629
miR-222-3p	NGF	0.10903839794301007
miR-222-3p	HBEGF	0.15409668860884818
miR-222-3p	CD274	0.11467427227492966
miR-222-3p	miR-27b-3p	0.3348459484359365
miR-222-3p	miR-19b-3p	0.7768483847780949
miR-222-3p	IL17A	0.12484325938603735
miR-29a-3p	IL1RL1	0.11642080163105817
miR-29a-3p	CCL2	0.16297497552421092
