Regulator	Target	MI
miR-885-5p	CCL13	0.09406025514095084
miR-885-5p	CCL11	0.09276991906554422
miR-885-5p	TGFA	0.17186806346927685
miR-885-5p	miR-122-5p	0.5826435912233965
miR-885-5p	miR-192-5p	0.2537894849120361
miR-885-5p	CCL7	0.12000810626344993
miR-885-5p	CTSL	0.13523188311617051
miR-885-5p	NTF3	0.17681956458846493
miR-885-5p	TNFSF10	0.13779598175091845
miR-885-5p	CCL2	0.12900015812191512
miR-20b-5p	CXCL6	0.09543347433504135
miR-20b-5p	PECAM1	0.19923050802210174
miR-20b-5p	miR-93-5p	0.7319963724548595
miR-20b-5p	miR-19b-3p	1.0706818808917742
miR-20b-5p	GDF15	0.1711653233793653
miR-20b-5p	miR-221-3p	0.6993204210703725
miR-20b-5p	IL6	0.2056495286349591
miR-20b-5p	miR-375	0.16069507550293505
miR-20b-5p	REN	0.19319041213712307
miR-28-5p	CD40	0.10587481789719
miR-28-5p	CCL11	0.1819082213494223
miR-28-5p	TGFA	0.12010183465920754
miR-28-5p	PLAT	0.13147976844272513
miR-28-5p	TNFRSF1B	0.12680457877165097
miR-28-5p	CXCL10	0.1880494160106041
miR-28-5p	CDCP1	0.10818049594425361
miR-28-5p	CCL3	0.16234491510606386
miR-28-5p	miR-99b-5p	0.17895758802952066
miR-122-5p	NT-pro-BNP	0.09327807811662936
miR-122-5p	miR-885-5p	0.5826435912233974
miR-122-5p	RNY5-5p	0.29011793138067343
miR-122-5p	PLAT	0.10952468331372245
miR-122-5p	miR-145-5p	0.17194048701480202
miR-122-5p	FGF5	0.14753258073248254
miR-122-5p	THBD	0.14759399528512418
miR-122-5p	IL12B	0.1720555505844441
miR-122-5p	FGF21	0.15349916284675658
miR-122-5p	IL10	0.1374728577368396
miR-122-5p	RNY4-3p	0.1936557151387266
miR-122-5p	F2R	0.17772522292084858
miR-122-5p	TNFRSF10B	0.1502125874198681
miR-122-5p	KITLG	0.236949873657748
miR-122-5p	XPNPEP2	0.13954074691960816
miR-122-5p	PTX3	0.20830007329145594
miR-122-5p	ADA	0.13348548408160887
miR-122-5p	HBEGF	0.12704719131480147
miR-126-3p	CSF1	0.19386685001999826
miR-126-3p	miR-126-5p	0.4437130629424999
miR-126-3p	miR-21-5p	0.7932064600035584
miR-126-3p	CTSD	0.09633862146052952
miR-126-3p	IL18	0.14568858116782213
miR-126-3p	miR-140-5p	0.5449699827051067
miR-126-3p	STAMBP	0.4174304262742181
miR-126-3p	SRC	0.510462815540162
miR-126-3p	SULT1A1	0.2582681411803591
miR-126-3p	miR-24-3p	1.0025071792826337
miR-126-3p	miR-26a-5p	0.7258456012136163
miR-126-3p	FABP4	0.14479892752868118
miR-126-3p	TEK	0.1488533509365899
miR-320a	ESM1	0.17923856633251667
miR-320a	miR-486-5p	0.49873900776685787
miR-320a	miR-24-3p	0.7089128784983991
miR-320a	miR-27b-3p	0.2402640687283526
miR-320a	SELE	0.17782019636698276
miR-126-5p	miR-126-3p	0.443713062942499
miR-126-5p	TGFB1	0.16208341992601838
miR-126-5p	CCL20	0.13278840360858624
miR-21-5p	CASP8	0.2191541869997069
miR-21-5p	miR-92a-3p	0.5128288705756541
miR-21-5p	PDGFB	0.37850628407874876
miR-21-5p	miR-126-3p	0.7932064600035584
miR-21-5p	NTF3	0.20253017898889691
miR-21-5p	RNY4-5p	0.5625576387433258
miR-21-5p	OSM	0.20521851326984564
miR-21-5p	GH1	0.17617844015997175
miR-21-5p	GDNF	0.19880371105556716
miR-21-5p	IL7	0.18326198441129815
miR-21-5p	miR-223-5p	0.537837130584264
miR-145-5p	CXCL8	0.1677983921973425
miR-145-5p	miR-122-5p	0.18140597335764763
miR-145-5p	IL6R	0.10747490874210897
miR-145-5p	IL15RA	0.17155554028173015
miR-145-5p	miR-140-5p	0.749477938024425
miR-145-5p	CSTB	0.158824334321511
