Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.20289033996798356
miR-885-5p	IL1RN	0.0940596213978857
miR-885-5p	EGF	0.11208376483187177
miR-885-5p	TNFRSF9	0.11299849720798605
miR-885-5p	HSPB1	0.10408700597662701
miR-885-5p	miR-122-5p	0.534178362825072
miR-885-5p	miR-143-3p	0.18483267602182973
miR-885-5p	miR-574-3p	0.15297565435859362
miR-885-5p	GH1	0.1384558713313293
miR-885-5p	miR-375	0.21680984893193944
miR-20b-5p	TGFA	0.10471519672808327
miR-20b-5p	miR-93-5p	0.7680673230340416
miR-20b-5p	miR-222-3p	0.8767317084088235
miR-20b-5p	miR-19b-3p	1.1660910550095531
miR-20b-5p	let-7b-5p	0.775289601194685
miR-28-5p	NPPB	0.09677393170791415
miR-28-5p	CXCL9	0.09130137572622843
miR-28-5p	miR-27b-3p	0.21197892909349836
miR-28-5p	CDCP1	0.12014219531046777
miR-28-5p	MMP3	0.09235212272453008
miR-28-5p	OLR1	0.10367522714732136
miR-28-5p	IL27	0.12468333561633305
miR-122-5p	CXCL8	0.08957702736218476
miR-122-5p	miR-885-5p	0.534178362825072
miR-122-5p	RNY5-5p	0.19987132177348688
miR-122-5p	TNFRSF10B	0.13870996139721825
miR-122-5p	IL27	0.1100775381949628
miR-122-5p	miR-126-3p	0.11774220114612266
miR-122-5p	NGF	0.145182508676319
miR-122-5p	F3	0.09693266753544005
miR-122-5p	miR-192-5p	0.42377451504451713
miR-122-5p	CCL8	0.09033881126820997
miR-122-5p	PTX3	0.14161899138890188
miR-126-3p	NT-pro-BNP	0.18047510830672842
miR-126-3p	HSPB1	0.31039974517386515
miR-126-3p	PLAT	0.13567282411232906
miR-126-3p	miR-122-5p	0.11774220114612266
miR-126-3p	NPPB	0.17847559413926284
miR-126-3p	AXIN1	0.473185177243872
miR-126-3p	SIRT2	0.38926360830526363
miR-126-3p	CSTB	0.11006603488399236
miR-126-3p	miR-320a	0.7192833585276661
miR-126-3p	miR-24-3p	1.096538056090667
miR-126-3p	RNY4-5p	0.5904820098145009
miR-320a	miR-21-5p	0.71162666633104
miR-320a	ESM1	0.12366598929752648
miR-320a	miR-486-5p	0.561330645800747
miR-320a	RNY4-3p	0.5270961939996219
miR-320a	HGF	0.10241912213173698
miR-320a	miR-126-3p	0.719283358527667
miR-320a	miR-93-5p	0.6554116168872142
miR-320a	IL7	0.139950986857154
miR-126-5p	HAVCR1	0.1134053886122981
miR-126-5p	SLAMF1	0.09938832526883346
miR-126-5p	TGFB1	0.09918895870227828
miR-126-5p	TNFSF14	0.11744712776023558
miR-126-5p	KITLG	0.19111803110990788
miR-126-5p	miR-223-5p	0.35340230529974637
miR-21-5p	miR-320a	0.7029954999296972
miR-21-5p	TNFSF11	0.12401660312564466
miR-21-5p	CD6	0.1661874845397966
miR-145-5p	MMP3	0.18322514269993118
miR-145-5p	IL18	0.1402877130689859
miR-145-5p	F3	0.22305380692964327
miR-145-5p	miR-30b-5p	0.5943263785528572
miR-145-5p	CCL2	0.11157513705530864
miR-145-5p	CCL25	0.13637973762019673
miR-145-5p	miR-375	0.09620736065765545
miR-143-3p	miR-885-5p	0.18483267602182973
miR-143-3p	TNFRSF11B	0.10134303534863598
miR-143-3p	TNFSF10	0.15329704839657055
miR-143-3p	miR-99b-5p	0.24485369293348214
miR-574-3p	CSF1	0.16798477396277267
miR-574-3p	F2R	0.1326042276770938
miR-574-3p	PGF	0.13341516395750297
miR-574-3p	miR-30b-5p	0.47836094548307173
miR-574-3p	miR-885-5p	0.15297565435859362
miR-574-3p	miR-191-5p	0.470972633955272
miR-574-3p	CCL20	0.14092761009669807
miR-574-3p	TNFRSF10B	0.1372485144574318
miR-574-3p	VEGFA	0.1315588793089315
miR-191-5p	miR-574-3p	0.470972633955272
miR-191-5p	CASP8	0.2506764934106336
miR-191-5p	RNY4-3p	0.6351947288182673
miR-191-5p	MMP12	0.2202680208616048
miR-191-5p	miR-92a-3p	0.6423285979495237
miR-191-5p	SRC	0.3431994150674509
miR-191-5p	SULT1A1	0.15988554796743681
miR-191-5p	miR-24-3p	0.7153852589267657
miR-191-5p	IL10RB	0.11523890146784233
miR-191-5p	RNY4-5p	0.7998554148858945
miR-191-5p	VEGFD	0.11629672377988509
miR-191-5p	let-7d-5p	0.5421706079335777
miR-191-5p	FGF19	0.17027805658201522
miR-191-5p	IL17A	0.09824211294785012
miR-24-3p	SELPLG	0.15763819592729433
miR-24-3p	RNY5-5p	0.28925976643016327
miR-24-3p	miR-126-3p	1.096538056090667
miR-24-3p	miR-191-5p	0.7153852589267666
miR-24-3p	miR-197-3p	0.7024966033973019
miR-24-3p	EGF	0.4436698788278193
miR-24-3p	DKK1	0.20989901935981514
miR-24-3p	miR-223-3p	1.1660120575991098
miR-27b-3p	miR-28-5p	0.2153810216018348
miR-27b-3p	LGALS3	0.11493777353009449
miR-27b-3p	CHI3L1	0.1303806495060984
miR-27b-3p	HBEGF	0.11789924771030158
miR-27b-3p	CCL13	0.11143911536455864
miR-27b-3p	AGER	0.19317842128350815
miR-27b-3p	IL1RL1	0.12985820240326174
miR-27b-3p	CCL4	0.12237916974675578
miR-27b-3p	miR-197-3p	0.30003637302392594
miR-27b-3p	PTX3	0.11910815269616126
miR-486-5p	ADM	0.17878015633598565
miR-486-5p	miR-320a	0.561330645800747
miR-486-5p	EIF4EBP1	0.19627845201814775
miR-486-5p	IL10	0.12096898781516785
miR-486-5p	CCL23	0.11229115186637806
miR-486-5p	TNFSF12	0.10883990348578365
miR-486-5p	PLAUR	0.10223180207864235
miR-486-5p	miR-92a-3p	0.5307558167789805
miR-486-5p	miR-16-5p	0.594944944174177
miR-93-5p	miR-20b-5p	0.7680673230340416
miR-93-5p	miR-320a	0.6461231882996783
