Regulator	Target	MI
miR-885-5p	CXCL6	0.12575159671172909
miR-885-5p	TGFA	0.14643698014219364
miR-885-5p	miR-122-5p	0.3982023059339417
miR-885-5p	IL1RL1	0.12792267479228947
miR-885-5p	CCL8	0.18052637167822638
miR-885-5p	CCL19	0.11277944723856326
miR-885-5p	FST	0.12133277171345558
miR-885-5p	F3	0.1984398872777815
miR-885-5p	SELE	0.1632404260381648
miR-885-5p	TNFRSF1A	0.14227597956029658
miR-885-5p	miR-192-5p	0.27645802794329377
miR-885-5p	CD6	0.10874253243948129
miR-885-5p	CHI3L1	0.09534928553761368
miR-885-5p	STAMBP	0.14357864472649773
miR-885-5p	IL17C	0.16538644525669977
miR-885-5p	ADA	0.10763986181237062
miR-885-5p	IL18R1	0.12013421334524832
miR-885-5p	miR-16-5p	0.1658644235231712
miR-20b-5p	let-7b-5p	0.7143369346028825
miR-20b-5p	IL1RL1	0.10710925197896426
miR-20b-5p	miR-24-3p	0.7219086001416759
miR-20b-5p	miR-93-5p	0.7731152178584777
miR-20b-5p	miR-222-3p	0.7692394032065266
miR-20b-5p	miR-19b-3p	1.018069989977053
miR-20b-5p	CCL20	0.10032837030701192
miR-28-5p	RNY4-3p	0.12824788781063123
miR-28-5p	RNY4-5p	0.22976993296516746
miR-28-5p	FLT3LG	0.11112402451136649
miR-28-5p	CXCL1	0.115422594360167
miR-28-5p	IL27	0.09245305464966158
miR-28-5p	VEGFD	0.1260219086677914
miR-28-5p	RNASE3	0.10521986975054443
miR-28-5p	CXCL5	0.12096141992018516
miR-28-5p	TNFRSF1A	0.1080403036069022
miR-28-5p	FGF5	0.13949036258455028
miR-28-5p	miR-27b-3p	0.11504664911545426
miR-28-5p	FGF19	0.1283133300519248
miR-28-5p	CCL3	0.22254088945077122
miR-28-5p	TNFSF11	0.20363679106947608
miR-28-5p	CCL28	0.17164879804441124
miR-28-5p	IL6R	0.1256910156476696
miR-28-5p	IL17A	0.10509776868755161
miR-122-5p	miR-885-5p	0.39820230593394257
miR-122-5p	RNY5-5p	0.22941142454772123
miR-122-5p	FGF5	0.17574976924788732
miR-122-5p	miR-143-3p	0.14648446142040772
miR-122-5p	EIF4EBP1	0.12536352722992117
miR-122-5p	HAVCR1	0.09382825123651894
miR-122-5p	CCL20	0.13615089376163514
miR-122-5p	LIFR	0.10085966836446847
miR-122-5p	VEGFA	0.15578006933116662
miR-122-5p	miR-223-3p	0.21686208593092804
miR-122-5p	PAPPA	0.2044549539853504
miR-122-5p	LTA	0.12389388871395202
miR-122-5p	TEK	0.2150302036564673
miR-126-3p	CXCL1	0.24758860944819183
miR-126-3p	miR-21-5p	0.7796241504081189
miR-126-3p	miR-150-5p	0.5158592538380216
miR-126-3p	PDGFB	0.4910702111745726
miR-126-3p	miR-24-3p	1.093071448245392
miR-126-3p	miR-222-3p	0.8406027722429181
miR-126-3p	TNFRSF10B	0.13949899465361515
miR-126-3p	AGRP	0.10371097603825152
miR-320a	IL16	0.1960132243346573
miR-320a	miR-223-3p	0.8154860989565336
miR-320a	miR-92a-3p	0.682561196869993
miR-320a	IL17A	0.10764633730307605
miR-126-5p	CXCL16	0.125948350834447
miR-126-5p	miR-486-5p	0.4993185776857718
miR-126-5p	miR-24-3p	0.7839724896230322
miR-21-5p	miR-126-3p	0.7796241504081198
miR-21-5p	miR-27b-3p	0.3372057563521471
miR-145-5p	CXCL8	0.15462711390183514
miR-145-5p	CSF1	0.15683422057346874
miR-145-5p	CXCL16	0.13339658998127035
miR-145-5p	miR-143-3p	0.19547276372709543
miR-145-5p	miR-574-3p	0.5029038191645414
miR-145-5p	NGF	0.10966347177895663
miR-145-5p	miR-93-5p	0.4931584133769391
miR-145-5p	miR-221-3p	0.6404853377313398
miR-145-5p	GH1	0.19004979836617952
miR-143-3p	NT-pro-BNP	0.2197125876637278
miR-143-3p	miR-122-5p	0.1464844614204086
miR-143-3p	AGER	0.13632198555717423
miR-143-3p	MPO	0.14834289640908604
miR-143-3p	miR-145-5p	0.19547276372709543
miR-143-3p	CCL7	0.11239952530933017
miR-143-3p	GDF15	0.14652575030510118
miR-143-3p	HGF	0.09365171389514781
miR-143-3p	IL6	0.17370464594074697
miR-143-3p	CHI3L1	0.12721361327269776
