Regulator	Target	MI
miR-885-5p	FGF5	0.09984366641744913
miR-885-5p	GH1	0.11232735499267132
miR-885-5p	THBD	0.15926989401750813
miR-885-5p	CCL8	0.09093536523949819
miR-885-5p	SELPLG	0.12965182125094987
miR-885-5p	F2R	0.1031398351092383
miR-885-5p	miR-122-5p	0.5010072767827465
miR-885-5p	F3	0.2284970024861428
miR-20b-5p	miR-21-5p	0.47807684710702514
miR-20b-5p	miR-93-5p	0.6736531296245296
miR-20b-5p	miR-19b-3p	1.0959896799722424
miR-20b-5p	TGFB1	0.15658884573398346
miR-20b-5p	RNY4-5p	0.3792163523511096
miR-20b-5p	MMP3	0.16933694589520076
miR-20b-5p	let-7b-5p	0.6853857693251344
miR-20b-5p	MMP10	0.1641749023710819
miR-28-5p	CD40	0.10049053577531986
miR-28-5p	TGFA	0.0986602471423712
miR-28-5p	miR-126-5p	0.170090287097465
miR-28-5p	VEGFA	0.10727079588922361
miR-28-5p	SULT1A1	0.1261335772531167
miR-28-5p	CCL3	0.15300485364956717
miR-28-5p	miR-99b-5p	0.17891657062860844
miR-122-5p	NT-pro-BNP	0.14399911393702158
miR-122-5p	TNFSF14	0.09545280313456406
miR-122-5p	miR-885-5p	0.5144007998761841
miR-122-5p	RNY5-5p	0.3780472585687775
miR-122-5p	PLAUR	0.1292940933751856
miR-122-5p	TNFRSF10B	0.19987895257988875
miR-122-5p	CXCL1	0.20616660164595935
miR-122-5p	miR-192-5p	0.28626197018386
miR-122-5p	DNER	0.21477387003982784
miR-122-5p	miR-92a-3p	0.16923194379832385
miR-122-5p	FAS	0.10174375460863594
miR-126-3p	NPPB	0.10225004501674029
miR-126-3p	HGF	0.11385786505353046
miR-126-3p	miR-223-3p	0.8704184412344338
miR-126-3p	miR-150-5p	0.3562209457912351
miR-126-3p	TNFRSF11B	0.09396760240938473
miR-126-3p	RNY4-5p	0.45858797512983074
miR-320a	LGALS3	0.11352324530478075
miR-320a	miR-24-3p	0.6365988612404818
miR-320a	miR-27b-3p	0.21568919246634088
miR-320a	TNFSF14	0.2009408484535955
miR-320a	miR-192-5p	0.19498994389468471
miR-126-5p	SPON1	0.13246548864103946
miR-126-5p	miR-28-5p	0.170090287097465
miR-126-5p	miR-26a-5p	0.40975675791061494
miR-126-5p	TNFSF12	0.1774385499074338
miR-126-5p	IL18	0.12227213694260897
miR-126-5p	LEP	0.09649901055120491
miR-21-5p	NT-pro-BNP	0.10355846648864286
miR-21-5p	RNY5-5p	0.2388987663139126
miR-21-5p	miR-20b-5p	0.47807684710702514
miR-21-5p	CXCL5	0.15868570242514934
miR-21-5p	XPNPEP2	0.10067682476390338
miR-145-5p	CXCL5	0.1550444520781653
miR-145-5p	miR-191-5p	0.3723528452868372
miR-145-5p	miR-19b-3p	0.5780011250063417
miR-145-5p	TNFRSF9	0.10630781603091233
miR-145-5p	let-7d-5p	0.4635733144874452
miR-145-5p	miR-99b-5p	0.27226254491681345
miR-145-5p	STAMBP	0.31947184520533867
miR-143-3p	CXCL5	0.11754689921747907
miR-143-3p	miR-140-5p	0.19103525023220236
miR-143-3p	miR-192-5p	0.17129226852418533
miR-143-3p	GAL	0.14225636324260815
miR-143-3p	PTX3	0.10677524690949003
miR-143-3p	CD244	0.12765908052555108
miR-574-3p	miR-140-5p	0.5262566480960738
miR-574-3p	miR-223-3p	0.5420388852486724
miR-191-5p	miR-145-5p	0.3723528452868381
miR-191-5p	miR-24-3p	0.5836474191282006
miR-191-5p	CASP8	0.12369480032453062
miR-191-5p	CCL25	0.11498415119095284
miR-191-5p	MUC16	0.09193280404572235
miR-191-5p	RNY4-3p	0.7617853146620464
miR-191-5p	FST	0.14697228158015463
miR-191-5p	RNY4-5p	0.803042195868116
miR-191-5p	AXIN1	0.3130921102628479
miR-191-5p	KLK11	0.20196145794454434
miR-191-5p	SIRT2	0.2843011218640008
miR-191-5p	CD40LG	0.21035063664031295
miR-191-5p	CDCP1	0.17213153453652197
miR-191-5p	miR-92a-3p	0.5514321320110067
miR-191-5p	TEK	0.16825184349876743
miR-24-3p	CD274	0.09148628532690406
miR-24-3p	PDGFB	0.45630343152717234
miR-24-3p	TGFA	0.12000186333178853
miR-24-3p	miR-320a	0.6512651738912609
miR-24-3p	SULT1A1	0.18020596354181695
miR-24-3p	miR-191-5p	0.5836474191282015
miR-24-3p	DNER	0.17042206937617355
miR-24-3p	IKBKG	0.37626864424234885
miR-24-3p	FGF23	0.16585367018885133
miR-24-3p	EGF	0.4041366097954917
miR-24-3p	let-7d-5p	0.6015101257522106
miR-24-3p	CD6	0.1310748681298879
miR-24-3p	miR-223-3p	0.9083952474283139
miR-27b-3p	IL18	0.1339282405904756
miR-27b-3p	FLT3LG	0.10226132192160708
miR-27b-3p	miR-320a	0.21568919246634088
miR-27b-3p	HBEGF	0.1620134199389236
miR-486-5p	miR-93-5p	0.4230138419380216
miR-486-5p	EIF4EBP1	0.09039463723043006
miR-486-5p	CTSD	0.15295020398596115
miR-486-5p	REN	0.1482296064368862
miR-486-5p	miR-16-5p	0.5634926289665607
miR-93-5p	CXCL9	0.09176636724602094
miR-93-5p	miR-20b-5p	0.6736531296245296
miR-93-5p	HSPB1	0.2158492178228979
miR-93-5p	miR-486-5p	0.4230138419380216
miR-93-5p	GDF15	0.12054678093752802
miR-93-5p	IL10RA	0.11434164407118885
miR-93-5p	TNFRSF10B	0.12808905808139315
