Regulator	Target	MI
miR-885-5p	IL1RL1	0.12159186676786682
miR-885-5p	CXCL9	0.11297004393974674
miR-885-5p	TGFB1	0.09010277670387268
miR-885-5p	MB	0.10211216768144027
miR-885-5p	FGF19	0.1100595913667064
miR-885-5p	miR-122-5p	0.464560485241134
miR-20b-5p	IL1RN	0.10344071807203292
miR-20b-5p	let-7b-5p	0.7289457894695657
miR-20b-5p	miR-30b-5p	0.8671449875213542
miR-20b-5p	LTA	0.1423500235798123
miR-20b-5p	miR-93-5p	0.7125883935378772
miR-20b-5p	miR-19b-3p	0.9366324378631354
miR-28-5p	TNFSF12	0.10017748351883426
miR-28-5p	MMP3	0.09009414352413181
miR-28-5p	TGFA	0.09778222916775725
miR-28-5p	NGF	0.11734606453125984
miR-28-5p	TNFRSF1B	0.14710722188424086
miR-28-5p	TNFRSF1A	0.1957229239844409
miR-28-5p	miR-27b-3p	0.2010394941316047
miR-28-5p	CD40LG	0.14048558142221346
miR-28-5p	PLAU	0.13966950739029027
miR-28-5p	FGF19	0.08998566688320331
miR-28-5p	NTF3	0.09020360889626655
miR-122-5p	NT-pro-BNP	0.22941824033228642
miR-122-5p	CSTB	0.09549530263550654
miR-122-5p	SPON1	0.11195899933181241
miR-122-5p	TNFSF12	0.14351380403178027
miR-122-5p	miR-885-5p	0.464560485241134
miR-122-5p	RNY5-5p	0.2077816093631526
miR-122-5p	TNFRSF10B	0.17183992621083366
miR-122-5p	F3	0.16670713349804167
miR-122-5p	MMP10	0.09075960519831838
miR-122-5p	TNFRSF1A	0.1919246465059059
miR-122-5p	NPPB	0.12070851443733233
miR-122-5p	miR-192-5p	0.20690564993579041
miR-122-5p	miR-375	0.138009488509641
miR-122-5p	S100A12	0.13914129496478278
miR-126-3p	miR-126-5p	0.5180723752236815
miR-126-3p	miR-21-5p	0.6473694222337194
miR-126-3p	CTSL	0.09539633774765566
miR-126-3p	AXIN1	0.46355687606186
miR-126-3p	TNFRSF1B	0.21486132777156186
miR-126-3p	miR-223-3p	0.9998057263546611
miR-126-3p	miR-150-5p	0.24212939074245554
miR-126-3p	miR-191-5p	0.5771499422301103
miR-126-3p	miR-24-3p	1.0735541298883051
miR-126-3p	miR-27b-3p	0.31922217202164926
miR-126-3p	miR-19b-3p	0.6751187913832215
miR-126-3p	miR-197-3p	0.5609126379664318
miR-126-3p	KITLG	0.09512323445014914
miR-126-3p	CD6	0.17650193993049612
miR-126-3p	XPNPEP2	0.10691639741199577
miR-320a	miR-486-5p	0.4619391745720476
miR-320a	HAVCR1	0.11996600212784347
miR-320a	IL15RA	0.14106338080578862
miR-320a	FST	0.11028423796924969
miR-320a	CCL11	0.19921072818776242
miR-320a	miR-24-3p	0.5557159459776706
miR-126-5p	miR-126-3p	0.5180723752236824
miR-126-5p	FGF23	0.10690832996207611
miR-126-5p	CDCP1	0.10691010385531818
miR-21-5p	ADM	0.1532492300389281
miR-21-5p	FGF5	0.12355630334121859
miR-21-5p	THBD	0.12337739628633315
miR-21-5p	SELPLG	0.11144747438438696
miR-21-5p	SRC	0.44577636577764324
miR-21-5p	miR-126-3p	0.6473694222337185
miR-21-5p	SLAMF1	0.16434023684589416
miR-21-5p	VEGFA	0.16547665488616126
miR-145-5p	PRL	0.17458527278896607
miR-145-5p	CCL23	0.0999549307571419
miR-145-5p	BDNF	0.10609444414827518
miR-145-5p	miR-26a-5p	0.5658924066124698
miR-143-3p	CXCL9	0.19140941893702568
miR-143-3p	SPON1	0.09665235574078768
miR-143-3p	IL10RA	0.09563590714759229
miR-143-3p	KLK11	0.12609562332922142
miR-143-3p	TNFRSF1A	0.12235545172221052
miR-143-3p	CCL7	0.16938965775143178
miR-143-3p	miR-223-3p	0.28060857897294955
miR-143-3p	IL7	0.1052483029655491
miR-143-3p	OLR1	0.09985919452669911
miR-143-3p	TEK	0.11799472085873841
miR-574-3p	CSF1	0.13345669387507808
miR-574-3p	miR-30b-5p	0.5182457762765118
miR-574-3p	CCL25	0.12691443446081152
miR-574-3p	CXCL10	0.162435565204607
miR-191-5p	HSPB1	0.3343804184368313
miR-191-5p	CXCL1	0.32977068894399864
miR-191-5p	LGALS3	0.09161910052428457
miR-191-5p	IL6R	0.1337136174573086
miR-191-5p	IL10	0.11830033019268082
miR-191-5p	RNY4-3p	0.6547878500055466
miR-191-5p	F2R	0.16624248890432636
miR-191-5p	RNASE3	0.12988596542969244
miR-191-5p	miR-92a-3p	0.5344028514377523
miR-191-5p	STAMBP	0.43275413906102234
miR-191-5p	RNY5-5p	0.32437106868250787
miR-191-5p	miR-126-3p	0.5771499422301112
miR-191-5p	RNY4-5p	0.7955440305907358
miR-191-5p	let-7d-5p	0.5541331142173291
miR-191-5p	CXCL11	0.18114260952465688
miR-24-3p	IKBKG	0.4916577419879129
miR-24-3p	MMP3	0.133294708273076
miR-24-3p	PECAM1	0.13892396302919607
miR-24-3p	PDGFB	0.47563693889864034
miR-24-3p	miR-126-3p	1.073554129888306
miR-24-3p	miR-320a	0.5922465331780362
miR-24-3p	CCL19	0.15862908416875232
miR-24-3p	RNY4-5p	0.6111319358666272
miR-24-3p	CD244	0.16591846202590332
miR-27b-3p	miR-28-5p	0.2010394941316047
miR-27b-3p	miR-126-3p	0.31922217202164926
miR-27b-3p	PRL	0.12136322001021238
miR-27b-3p	S100A12	0.1880701022838256
miR-27b-3p	IL18R1	0.14279513983025804
miR-27b-3p	HBEGF	0.1493108589407921
miR-486-5p	miR-320a	0.45960185701399237
miR-486-5p	IL18	0.18046647167419216
miR-486-5p	TNFRSF1A	0.12264318252355455
miR-486-5p	miR-16-5p	0.5819608067478175
miR-93-5p	FLT3LG	0.10997386191580105
miR-93-5p	miR-223-3p	0.8250303637514733
miR-93-5p	miR-92a-3p	0.6175367378808332
miR-93-5p	miR-20b-5p	0.7125883935378763
miR-93-5p	miR-16-5p	0.6236258443832909
miR-222-3p	CXCL9	0.1427382300092619
miR-222-3p	TNFSF10	0.13361940958987706
miR-222-3p	let-7b-5p	0.6214420913440843
miR-222-3p	MMP10	0.09041108953409083
miR-222-3p	miR-140-5p	0.7524605838433676
miR-222-3p	miR-30b-5p	0.6989142705357629
miR-222-3p	PAPPA	0.12188836582497764
miR-222-3p	CCL3	0.13681472080952606
miR-222-3p	miR-16-5p	0.5675830439068221
miR-29a-3p	DNER	0.13706518385324973
miR-29a-3p	IKBKG	0.4233836069921315
miR-29a-3p	IL16	0.11266933428816639
miR-29a-3p	miR-140-5p	0.49663508863420436
miR-29a-3p	MUC16	0.20006430120235574
miR-19b-3p	MMP7	0.1115371609425937
miR-19b-3p	miR-99b-5p	0.4960198263900093
miR-19b-3p	miR-20b-5p	0.9366324378631354
miR-19b-3p	miR-126-3p	0.6751187913832206
miR-19b-3p	miR-221-3p	0.8191696895157872
miR-197-3p	miR-126-3p	0.5609126379664318
miR-197-3p	CCL7	0.12581922119092503
miR-197-3p	LEP	0.10888652985413305
miR-197-3p	FAS	0.15767643807396947
miR-26a-5p	miR-145-5p	0.5658924066124698
miR-26a-5p	NPPB	0.10112438130181367
miR-26a-5p	miR-130a-3p	0.6625353527931521
miR-26a-5p	SIRT2	0.4114930855621468
miR-26a-5p	miR-30b-5p	0.9709627912521741
miR-26a-5p	GAL	0.08894964498033975
miR-26a-5p	CCL2	0.09792672851247541
miR-26a-5p	TNFRSF9	0.09361066919101901
miR-26a-5p	miR-221-3p	0.8213022685408848
miR-26a-5p	IL7	0.12864198649051062
miR-324-5p	CCL11	0.15230310980109962
miR-324-5p	TNFRSF11B	0.20118187305456736
miR-324-5p	HGF	0.12884300189069187
miR-324-5p	TNFSF12	0.18407708140174428
miR-324-5p	miR-130a-3p	0.505852021114837
miR-324-5p	LIFR	0.13267216388368563
miR-324-5p	let-7b-5p	0.36817085951575823
miR-324-5p	PGF	0.20495229392513625
miR-324-5p	GH1	0.11641012934735073
miR-130a-3p	IL27	0.21283317342336705
miR-130a-3p	miR-324-5p	0.505852021114837
miR-130a-3p	miR-192-5p	0.21894047901474423
miR-130a-3p	AGER	0.1170998446990561
miR-130a-3p	KLK6	0.12675619041879926
miR-130a-3p	CCL20	0.15088233273183516
miR-130a-3p	miR-26a-5p	0.6625353527931512
miR-130a-3p	TNFRSF10B	0.13028716325567125
miR-130a-3p	SELE	0.23552473360302972
miR-130a-3p	TEK	0.24970437977299298
