Regulator	Target	MI
miR-885-5p	SPON1	0.09713927772336994
miR-885-5p	miR-192-5p	0.23533870684455938
miR-885-5p	RNY4-5p	0.12295996733675274
miR-885-5p	miR-375	0.14969600841350594
miR-885-5p	OSM	0.10326121092900475
miR-885-5p	miR-122-5p	0.4758066932798002
miR-885-5p	ADA	0.12658424222635656
miR-20b-5p	OLR1	0.13002649562396051
miR-20b-5p	STAMBP	0.37033516185204984
miR-20b-5p	CCL8	0.09586116485743634
miR-20b-5p	miR-93-5p	0.5831500180134164
miR-20b-5p	miR-19b-3p	0.8143054159778407
miR-20b-5p	TEK	0.17812897593834265
miR-28-5p	NGF	0.13458851790945126
miR-28-5p	VEGFA	0.09115767440649591
miR-28-5p	miR-143-3p	0.27557109177024586
miR-28-5p	LGALS3	0.09006989660716425
miR-28-5p	miR-191-5p	0.15741637427078548
miR-28-5p	ESM1	0.09046879139237429
miR-28-5p	DNER	0.17934984563307932
miR-28-5p	CCL3	0.15553733365012512
miR-28-5p	CTSD	0.10810406246864535
miR-122-5p	NT-pro-BNP	0.1306801630822516
miR-122-5p	miR-143-3p	0.10957224320895698
miR-122-5p	CSTB	0.1768529373513088
miR-122-5p	miR-885-5p	0.4758066932798002
miR-122-5p	RNY5-5p	0.20238740231627705
miR-122-5p	miR-92a-3p	0.12931003500661475
miR-122-5p	AGRP	0.10219923382444662
miR-122-5p	CXCL1	0.11377551686921983
miR-122-5p	MMP10	0.1082274246405639
miR-126-3p	CSF1	0.1475086312083942
miR-126-3p	SIRT2	0.3664656334401464
miR-126-3p	miR-140-5p	0.6421991241709124
miR-126-3p	CCL11	0.14676329280708966
miR-126-3p	miR-320a	0.6156735061732475
miR-126-3p	miR-24-3p	0.9614156699254925
miR-126-3p	let-7d-5p	0.6713348794388105
miR-320a	miR-126-3p	0.6156735061732457
miR-320a	FGF5	0.12887195967554455
miR-320a	FST	0.13524080369260272
miR-320a	miR-192-5p	0.14122348031192633
miR-320a	miR-92a-3p	0.509628092142953
miR-320a	STAMBP	0.33860643993624784
miR-126-5p	RNY5-5p	0.23681427909933817
miR-126-5p	miR-21-5p	0.4757809154013408
miR-126-5p	LTA	0.12697572865331797
miR-126-5p	IL18R1	0.13459601614213934
miR-21-5p	SRC	0.4558373799617996
miR-21-5p	CXCL1	0.281899996264535
