Regulator	Target	MI
miR-885-5p	miR-192-5p	0.15173233779321915
miR-885-5p	CCL8	0.1543494621170023
miR-885-5p	miR-122-5p	0.5613376889828494
miR-885-5p	miR-145-5p	0.094051499004145
miR-20b-5p	NGF	0.2022951494913814
miR-20b-5p	miR-93-5p	0.7278853573769197
miR-20b-5p	miR-19b-3p	0.9517647967984368
miR-20b-5p	REN	0.09945117082239108
miR-20b-5p	CCL28	0.0933841821470418
miR-20b-5p	miR-16-5p	0.6702578033012898
miR-28-5p	CCL25	0.14369919865487102
miR-28-5p	VEGFD	0.16512195174769317
miR-28-5p	AGER	0.11581204691413749
miR-28-5p	miR-27b-3p	0.14237103244941895
miR-28-5p	IL7	0.11589073284368467
miR-28-5p	miR-93-5p	0.2098525831025011
miR-28-5p	PAPPA	0.18985297444319027
miR-28-5p	CCL3	0.10580053026713276
miR-28-5p	EIF4EBP1	0.14909155015969144
miR-28-5p	CCL28	0.10846783462344245
miR-28-5p	CTSD	0.17912537849416044
miR-122-5p	CD5	0.17433842713481162
miR-122-5p	miR-885-5p	0.5613376889828494
miR-122-5p	CCL4	0.11730078195759042
miR-122-5p	RNY5-5p	0.25854382283555033
miR-122-5p	miR-21-5p	0.19126859884199732
miR-126-3p	IL1RN	0.14836601444141717
miR-126-3p	CXCL1	0.33287371724441517
miR-126-3p	TNFSF10	0.10090140766534361
miR-126-3p	miR-324-5p	0.36194378602742017
miR-126-3p	IL16	0.10178331884278613
miR-126-3p	miR-150-5p	0.27879215176994787
miR-126-3p	miR-24-3p	1.1353455819104088
miR-126-3p	CCL23	0.12103380880571457
miR-126-3p	TNFRSF9	0.10242368177697259
miR-126-3p	LEP	0.1262127591000901
miR-126-3p	miR-223-5p	0.4861650231367953
miR-126-3p	AGRP	0.13334496806660479
miR-320a	miR-24-3p	0.6685568718120516
miR-320a	F3	0.1571613640030991
miR-126-5p	miR-191-5p	0.617348583018579
miR-126-5p	HBEGF	0.14523183009107932
miR-21-5p	miR-122-5p	0.19126859884199732
miR-21-5p	miR-223-3p	0.7675064499739888
miR-21-5p	STAMBP	0.3584783254967876
miR-21-5p	SELPLG	0.10928545347959773
miR-21-5p	PDGFB	0.3653298601047448
miR-21-5p	miR-26a-5p	0.6972034584830045
miR-21-5p	TNFRSF10B	0.12007737739568025
miR-21-5p	FAS	0.11054078385819643
miR-145-5p	miR-885-5p	0.094051499004145
miR-145-5p	ADM	0.1302615940063827
miR-145-5p	IL12B	0.14793023272154127
miR-145-5p	CCL25	0.09871090322439446
miR-145-5p	miR-26a-5p	0.6318955487236044
miR-145-5p	MMP3	0.18907021991277873
miR-143-3p	RETN	0.10098082623552873
miR-143-3p	MMP12	0.0912517515664959
miR-143-3p	XPNPEP2	0.09311424646819066
miR-143-3p	miR-93-5p	0.21345885186412783
miR-574-3p	CX3CL1	0.11368813335931716
miR-574-3p	KLK6	0.11434398652406585
miR-574-3p	miR-93-5p	0.5391214871743166
miR-574-3p	miR-222-3p	0.6184866707538736
miR-574-3p	CTSD	0.09107702417460306
miR-574-3p	miR-26a-5p	0.6202541158665715
miR-574-3p	LTA	0.13115805717816542
miR-191-5p	miR-126-5p	0.6173485830185781
miR-191-5p	CASP8	0.1716172205089812
miR-191-5p	RNY4-3p	0.7067710848054496
miR-191-5p	SIRT2	0.38399227601921737
miR-191-5p	miR-223-3p	0.6945908515792141
miR-191-5p	PAPPA	0.09884106396602643
miR-191-5p	miR-92a-3p	0.5470124764740438
miR-191-5p	BDNF	0.15344811467294583
miR-191-5p	RNY4-5p	0.8693480061207755
miR-24-3p	IKBKG	0.5334328847929521
miR-24-3p	AXIN1	0.5274113885218812
miR-24-3p	miR-130a-3p	0.5168554560500258
miR-24-3p	miR-223-3p	1.244584330652418
miR-24-3p	CD274	0.12025587884487621
miR-24-3p	RNY5-5p	0.3325457398399774
miR-24-3p	miR-126-3p	1.1353455819104088
miR-24-3p	SULT1A1	0.2775117357215482
miR-24-3p	miR-197-3p	0.7717107047250904
miR-24-3p	SLAMF1	0.1313445451778712
miR-24-3p	OSM	0.09917172060775936
miR-24-3p	let-7d-5p	0.6001341565917331
miR-27b-3p	TGFA	0.11108267528993832
miR-27b-3p	miR-28-5p	0.14237103244941895
miR-27b-3p	KLK11	0.12837086482975923
miR-27b-3p	CXCL10	0.12200377629238268
miR-27b-3p	miR-223-3p	0.3402282777967054
miR-486-5p	CXCL6	0.19051309376990755
miR-486-5p	CST5	0.09423114310429792
miR-486-5p	miR-93-5p	0.4249925648039552
miR-486-5p	miR-324-5p	0.25012474616726177
miR-486-5p	CD6	0.1039234122901167
miR-486-5p	miR-16-5p	0.5875523071429987
miR-93-5p	miR-20b-5p	0.7278853573769197
miR-93-5p	miR-28-5p	0.209852583102502
miR-93-5p	miR-143-3p	0.21345885186412783
miR-93-5p	miR-574-3p	0.5391214871743166
miR-93-5p	THBD	0.12845792681616075
miR-93-5p	miR-486-5p	0.4249925648039561
miR-93-5p	MMP10	0.16999079672962125
miR-93-5p	miR-223-3p	0.8789061789867043
miR-93-5p	TEK	0.13736760346612442
miR-222-3p	CSTB	0.10519435743316663
miR-222-3p	PRL	0.09855726878348214
miR-222-3p	CXCL5	0.288963400272479
miR-222-3p	miR-574-3p	0.6184866707538736
miR-222-3p	miR-19b-3p	0.766959741069221
miR-222-3p	F2R	0.14510156764768034
miR-222-3p	let-7b-5p	0.6765547749454637
miR-222-3p	miR-30b-5p	0.7714618098226182
miR-222-3p	IL17C	0.12259924429986135
miR-222-3p	miR-16-5p	0.687663567575564
miR-29a-3p	miR-320a	0.4477712580332831
miR-29a-3p	CST5	0.1255666687431658
miR-29a-3p	miR-19b-3p	0.6979067151962202
miR-29a-3p	FGF23	0.1119229911500943
miR-29a-3p	TNFRSF1B	0.125214911749147
miR-29a-3p	let-7d-5p	0.4514694019703622
miR-29a-3p	miR-192-5p	0.3216218444566348
miR-29a-3p	miR-223-5p	0.6111359922802979
miR-29a-3p	CHI3L1	0.15833021382617307
miR-19b-3p	miR-20b-5p	0.9517647967984368
miR-19b-3p	miR-222-3p	0.7669597410692202
miR-19b-3p	miR-29a-3p	0.7020853633378854
miR-19b-3p	miR-26a-5p	0.712972892036019
miR-19b-3p	miR-92a-3p	0.5523802704641767
miR-197-3p	IL27	0.1944520938491694
miR-197-3p	miR-24-3p	0.7717107047250895
miR-197-3p	TNFSF11	0.1276112905905311
miR-197-3p	TNFSF14	0.2896163125881346
miR-26a-5p	CXCL6	0.11880528082012543
miR-26a-5p	HSPB1	0.3000041063315102
miR-26a-5p	PLAT	0.16202826236646306
miR-26a-5p	miR-21-5p	0.6972034584830045
miR-26a-5p	miR-145-5p	0.6318955487236044
miR-26a-5p	miR-574-3p	0.6202541158665715
miR-26a-5p	IL15RA	0.1452144710358123
miR-26a-5p	miR-30b-5p	0.9819167315430457
miR-26a-5p	CCL13	0.09704576767445872
miR-26a-5p	miR-19b-3p	0.7129728920360199
miR-26a-5p	CCL20	0.10899240973214841
miR-26a-5p	miR-221-3p	0.8003261758814384
miR-26a-5p	CXCL10	0.12748523596683636
miR-324-5p	CD40	0.1836523737450939
miR-324-5p	CSF1	0.14979982739307918
miR-324-5p	TNFRSF11B	0.10762815970607509
miR-324-5p	miR-126-3p	0.36194378602742105
miR-324-5p	miR-486-5p	0.25012474616726177
miR-324-5p	CCL2	0.0923069657105291
