Regulator	Target	MI	pvalue
miR-26a-5p	miR-221-3p	0.7939803280035738	0.0
miR-486-5p	miR-93-5p	0.521688705117859	0.0
miR-191-5p	SIRT2	0.37748383294881643	0.0
miR-27b-3p	KLK11	0.13931878892767507	0.019120768117974585
miR-222-3p	miR-140-5p	0.770733206713077	0.0
miR-191-5p	HSPB1	0.3220830436664201	2.7745805653012212E-11
miR-29a-3p	miR-150-5p	0.3176535108175771	4.339388370233621E-5
miR-126-3p	miR-126-5p	0.48800003485133	0.0
miR-19b-3p	miR-20b-5p	1.0053600020614935	0.0
miR-26a-5p	miR-130a-3p	0.7112210924434242	4.339388370233621E-5
miR-21-5p	miR-24-3p	0.6733735350231587	0.0
miR-126-3p	miR-21-5p	0.6526967020677865	0.0
miR-30b-5p	DKK1	0.1819944290136507	0.004503347265718105
miR-375	RNY5-5p	0.16512617139486604	2.1401936991427561E-4
miR-223-3p	miR-222-3p	0.6515657719438306	0.0
miR-221-3p	miR-19b-3p	0.7388286884534744	0.0010065161030077263
miR-24-3p	miR-21-5p	0.6778903076525044	0.0
miR-191-5p	CXCL1	0.26116574169858686	0.019120768117974585
miR-486-5p	miR-16-5p	0.5928296657880817	0.0
miR-320a	miR-486-5p	0.47308720640049234	1.8852919225764708E-10
miR-191-5p	IKBKG	0.4708153099296542	1.559482886825947E-6
miR-150-5p	miR-126-3p	0.3505900273256765	0.0
miR-93-5p	miR-24-3p	0.8502286758875857	7.114309141798003E-13
miR-126-3p	AXIN1	0.46320529204572586	0.019120768117974585
miR-16-5p	let-7b-5p	0.7098613440456956	0.0
miR-222-3p	let-7b-5p	0.6965147447382055	4.741615899916951E-8
miR-30b-5p	miR-145-5p	0.6106405993844876	4.268585485078802E-12
let-7d-5p	SULT1A1	0.2786481809255147	2.774374250336109E-7
miR-19b-3p	miR-222-3p	0.8122478958249161	0.0
miR-145-5p	CXCL11	0.16013545424868128	4.268585485078802E-12
miR-222-3p	F2R	0.18442652370886622	1.8852919225764708E-10
miR-126-3p	miR-24-3p	0.989888052702923	0.0
miR-92a-3p	miR-320a	0.5708681643839039	0.019120768117974585
miR-192-5p	miR-574-3p	0.2609624326624868	1.8852919225764708E-10
miR-221-3p	CXCL1	0.26882063923893645	4.741615899916951E-8
miR-324-5p	PTX3	0.15617051916546518	1.2350440670161333E-9
miR-221-3p	miR-26a-5p	0.7934928778436333	0.0
miR-122-5p	RNY5-5p	0.28381692734465747	0.0
miR-150-5p	miR-223-3p	0.3211593143678548	0.0010065161030077263
miR-192-5p	CD274	0.14296109780511984	4.339388370233621E-5
miR-191-5p	miR-130a-3p	0.49216669503471766	0.019120768117974585
miR-222-3p	miR-223-3p	0.6505731240500158	0.0
let-7d-5p	miR-223-3p	0.6128100439831919	4.741615899916951E-8
miR-19b-3p	SIRT2	0.36037245047641797	4.339388370233621E-5
miR-324-5p	PLAU	0.14672580241896974	0.0
miR-320a	miR-93-5p	0.7074445329765471	0.0
miR-191-5p	SRC	0.46387317952600177	2.774374250336109E-7
miR-24-3p	IKBKG	0.4921774174781313	7.114309141798003E-13
miR-192-5p	IL10RA	0.14041033767127475	0.019120768117974585
miR-24-3p	miR-221-3p	0.660463461014598	1.2350440670161333E-9
miR-191-5p	miR-223-5p	0.48355480034094533	7.114309141798003E-13
miR-28-5p	miR-99b-5p	0.20757802374244413	8.407341231198018E-6
