Regulator	Target	MI
SPON1	PRAP1	0.3260355896098961
SPON1	AGER	0.24454134885205647
SPON1	MMP7	0.2935888137615379
SPON1	APOA4	0.1639895152062527
SPON1	VEGFD	0.15072803292631765
PGLYRP2	IGHG1	0.22793507269492164
PGLYRP2	ALB	0.3716654463775484
PGLYRP2	IGHM	0.30658332370599695
PGLYRP2	SERPINA7	0.3672108677100274
PGLYRP2	ITIH4	0.40483167210611803
C4BPA	FCN3	0.48380115625680453
C4BPA	CLU	0.5194734404739147
C4BPA	IGHG2	0.2757609351147208
C4BPA	SERPING1	0.40383982705099086
C4BPA	CFI	0.550982427635744
C4BPA	C2	0.4914147943639833
C4BPA	SERPINA6	0.4781718252457807
C4BPA	TEK	0.09556218508595737
SLC4A1	HBA1	0.2487588818179649
SLC4A1	ITIH4	0.3652657496483984
TNFSF10	DNER	0.2582230931820204
TNFSF10	PLAUR	0.27024020076678656
TNFSF10	APOA4	0.14861564090335744
TNFSF10	CMA1	0.3167498874811665
IL12B	GAL	0.10462055816416171
IL12B	CD5L	0.13933147350819652
IL12B	IL10RB	0.4087028341703176
IL12B	CXCL11	0.2905751574567157
TNFSF11	OLR1	0.10860145213802674
TNFSF11	CCL8	0.1323225748688177
TNFSF11	BDNF	0.11561388600033151
TNFSF11	CMA1	0.24540809264090147
TNFSF11	KLK11	0.13281245134819653
TNFSF11	TEK	0.1716129595823821
TNFSF11	SHBG	0.10442440643823847
IL15RA	IL24	0.13273197652570445
IL15RA	JCHAIN	0.10725632951373498
IL15RA	IL20RA	0.14816709493542746
IL15RA	SLAMF1	0.34663522450772444
IL15RA	IL10RB	0.3456174879050842
IL15RA	IL10RA	0.13922464215323505
IL15RA	IL17A	0.19926535550403113
IL1R1	CXCL8	0.1605614422332744
IL1R1	HGF	0.31550145837243626
IL1R1	FGF21	0.2216422600928718
SERPINF1	LPA	0.2294150891249913
SERPINF1	CFH	0.33694253562944176
SERPINF1	CD5	0.18176970938713222
SERPINF2	VTN	0.4172550668020518
SERPINF2	ITIH1	0.4789593946839439
SERPINF2	ERVMER34-1	0.41429532520465084
FLT3LG	PLAUR	0.22427132783069226
FLT3LG	C2	0.13261981465382533
FLT3LG	IL10RB	0.27086391506114804
RNASE3	F13A1	0.12500178921775795
RNASE3	OLR1	0.3896896179110785
RNASE3	LEP	0.10274164444149925
DKK1	CD274	0.7612944211048598
PRAP1	SPON1	0.3260355896098943
PRAP1	NPPB	0.14535802985961066
PRAP1	FGF23	0.3549844842137384
PRAP1	TNFRSF10B	0.48006876312394287
PRAP1	IL27	0.3483350680257642
PRAP1	OLR1	0.2896753169131552
PRAP1	IL16	0.24755561379583657
PRAP1	MMP12	0.303427694414526
AZGP1	RBP4	0.28140889925453916
AZGP1	C2	0.2778760956680886
AZGP1	AMBP	0.3166512572375755
AZGP1	MMP3	0.17118921209178684
AZGP1	APOA4	0.4255739603771209
AZGP1	KITLG	0.15287152027246176
AZGP1	APOC2	0.29358265606279055
AZGP1	IL17C	0.1544377451334693
RBP4	AZGP1	0.28727712377370995
RBP4	SERPING1	0.24668726995865153
RBP4	IGHM	0.2518882934169291
RBP4	ORM1	0.2790473544270924
RBP4	TTR	0.35425181436253794
RBP4	APOC3	0.312869255571675
RBP4	PF4	0.2953490827369869
PAPPA	THRB	0.20578183175104137
PAPPA	PLAUR	0.17197800397953777
PAPPA	PGF	0.1753285143917358
PAPPA	CCL2	0.19589987795487307
SERPING1	LPA	0.25498611533612436
SERPING1	KNG1	0.49213717418537506
SERPING1	APOM	0.3992950854314694
SERPING1	SERPINC1	0.5224467279838612
SERPING1	APOL1	0.3034540284924354
CFB	CFH	0.6058094007953381
CFB	C2	0.545572386108649
CFB	C3	0.4566003386925983
CFB	C5	0.5733743192288969
CFB	APOM	0.30501331224550565
CFB	BDNF	0.10520694254769314
CFB	PSPHP1	0.44379961671326384
CFB	MMP12	0.19476052757768958
CFB	C1S	0.4705915267023606
CFB	CCL3	0.1775275383210566
CFH	CCL4L1	0.13695943065349603
CFH	PLAT	0.19500443731021466
CFH	CFB	0.6103233544585924
CFH	CFI	0.7484209844170895
CFH	KNG1	0.3660344238647184
CFH	VTN	0.4307914374231272
CFH	APOB	0.3873717908076948
CFH	MRS2	0.5216457979326918
CFH	SERPINA3	0.43072762290624933
CFH	GSN	0.29159582729709044
CFH	FABP4	0.2000846204944109
CFH	KLKB1	0.3717323332413942
CFI	C4BPA	0.5416074162484383
CFI	CFH	0.7416372361907504
CFI	ORM1	0.39608167701323094
CFI	C8A	0.45592290430908644
CFI	ERVMER34-1	0.5709122949076457
CFI	SERPIND1	0.49527488678175047
CFI	APOC2	0.36442387018383826
IL20RA	IL15RA	0.14521518336327777
IL20RA	AMBP	0.07582276213370243
IL20RA	LIF	0.12747265687404052
IL20RA	IL2	0.11528886704716967
IL20RA	IL22RA1	0.1127539524043284
PDGFB	CCL7	0.1292064098670016
PDGFB	MBL2	0.09340553763979287
PDGFB	IL1A	0.1182269234340696
PDGFB	CCL28	0.17373357843488257
TGFA	CCL4L1	0.2409094529976361
TGFA	ESM1	0.15729125064736138
TGFA	CDCP1	0.23342564065115212
TGFA	CCL13	0.26778975845850095
TGFA	NTF3	0.26572160028892267
TGFA	CCL25	0.2977652329080538
TGFA	CCL23	0.3628904086535112
TGFA	TGFB1	0.3387030486665674
TGFA	IL10RB	0.39625344166815246
TGFA	OSM	0.3422932097112845
TGFA	GDNF	0.35151325543314105
TGFA	CCL28	0.36522743695134263
A1BG	IL6R	0.14024245581285566
A1BG	KNG1	0.5109242998845795
A1BG	C2	0.5903292419745041
A1BG	ITIH4	0.43878824905351177
A1BG	C1S	0.41371588764183187
A1BG	CPN2	0.48442267213795986
A1BG	KLKB1	0.464616990759553
HPR	APOM	0.30151111123548535
HPR	IGHM	0.24386210374595318
HPR	HBD	0.2507988591280528
HPR	PLG	0.32653329145833077
HPR	APOL1	0.7617202990915715
HPR	XPNPEP2	0.09853346540119112
C2	CLU	0.5034402661883179
C2	FLT3LG	0.134653951480729
C2	CFB	0.545572386108649
C2	A1BG	0.5908790610442427
C2	IGHA1	0.3901324898816494
C2	MRS2	0.4605945209217799
C2	SERPINA7	0.46838386267114185
C2	ERVMER34-1	0.4440516767084297
KLK6	PGF	0.27091795028284427
KLK6	GAL	0.16545996156231624
KLK6	AGER	0.1831726466893162
KLK6	GSN	0.1592416259524665
C3	CFB	0.4580297465183012
C3	TNFRSF9	0.1533157607256843
C3	FGG	0.47215346470559716
C3	ITIH4	0.45052007843175623
SULT1A1	STAMBP	0.7730440210154992
SULT1A1	CCL28	0.2275149560035281
C5	CFB	0.5680030706894428
C5	APOE	0.39769506766009677
C5	FGA	0.45157886746691656
C5	SELPLG	0.14189063577133787
APOM	APOA1	0.302096671827913
APOM	SERPING1	0.4071941986002443
APOM	CFB	0.31422032711854886
APOM	ITIH2	0.31195784491416667
APOM	HPR	0.29631603609220925
APOM	CPN2	0.3627655436618502
APOM	FASN	0.12821660257762613
APOM	FGF19	0.13283628109244283
APOM	APOC1	0.4422410689284675
C6	THRB	0.4187211777156037
C6	C8A	0.4230912351491787
C6	FGA	0.42474820931729074
C6	SAA4	0.35869869497832063
C6	AMBP	0.4283264191941276
C6	PSPHP1	0.4502058702165179
C7	FGF5	0.1217540490189295
C7	HGF	0.2509208680063644
C7	HBE1	0.29964342235157915
C7	LPA	0.28158447455164737
C7	ITIH4	0.4783757931693984
APOH	CLU	0.5206574691458625
APOH	KNG1	0.428156923993396
APOH	AMBP	0.47324598024624187
APOH	SERPINA7	0.3946965757714711
APOH	FGG	0.3617071294218315
APOH	C1S	0.37058443065377666
APOH	ERVMER34-1	0.5015645732441483
Total-IGHG	CXCL16	0.09965351583316195
Total-IGHG	IGHG1	0.7127178372416916
Total-IGHG	IGHG2	0.4185027038115523
Total-IGHG	IGHA1	0.391351633593219
Total-IGHG	NGF	0.1045879334631179
Total-IGHG	CPN2	0.28036846172336194
Total-IGHG	STOM	0.24400427045802964
Total-IGHG	GSN	0.3748858396687966
S100A12	SERPINA3	0.18105799120092048
S100A12	OLR1	0.4374247461780172
S100A12	MMP3	0.12547779340361132
S100A12	VEGFA	0.2345159382426143
APOD	CP	0.29934585217750875
APOD	APOA2	0.403302797946
APOD	C1QB	0.30286243973982874
APOD	SAA4	0.28539242411207955
APOD	ABCF1	0.3082937805646351
APOE	C5	0.3827136458328022
APOE	THRB	0.3846136394773767
APOE	CD5L	0.22880123129643337
APOE	APOC3	0.5138499254574063
APOB	LIFR	0.13822732587888087
APOB	CFH	0.38703465627227907
APOB	IGHA1	0.2976152570788848
APOB	AHSG	0.27628427777634545
APOB	APOA4	0.23959415013243568
APOB	GC	0.3401004283011835
APOB	APOC3	0.376796477361637
IGHA1	FBLN1	0.300426269422986
IGHA1	C2	0.3968714416796342
IGHA1	Total-IGHG	0.38480333350386076
IGHA1	APOB	0.28994618592401356
IGHA1	IGHA2	0.4243574301501569
IGHA1	SLAMF1	0.20341703429180846
IGHA1	AMBP	0.379959771006245
IGHA1	SHBG	0.2512863488501287
IGHA1	ORM1	0.2951714453598777
IGHA1	HBD	0.2863425110123643
IGHA1	APOA1	0.3184798145037986
IGHA1	CCL19	0.2373410773300586
IGHA2	CLU	0.3003483456926501
IGHA2	IGHG3	0.34734144181945226
IGHA2	LPA	0.3071473493004344
IGHA2	IGHA1	0.42053359300701665
IGHA2	ITIH4	0.2624364106344492
SLAMF1	CXCL9	0.2919497445183854
SLAMF1	IL15RA	0.33403851161865106
SLAMF1	TGFA	0.3357276382429273
SLAMF1	ITIH1	0.18223890174041912
SLAMF1	IGHA1	0.20775202763481104
SLAMF1	LIF	0.11662288892349881
SLAMF1	IL22RA1	0.06390581893136815
TNFSF14	DNER	0.21621227600295345
TNFSF14	OLR1	0.3248191684569761
TNFSF14	FGA	0.1978409169767179
TNFSF14	MMP1	0.32168924509581664
TNFSF14	CCL19	0.15687424290872443
TNFSF14	EGF	0.5731983601885453
TSLP	NRTN	0.10989375666707879
TNFSF12	IL10RB	0.3135048005169141
TNFSF12	LEP	0.09938356680408234
FN1	HBE1	0.23521935951121087
FN1	TSLP	0.06874746995770842
FN1	FGA	0.5578343844327485
FN1	CD5L	0.24489133304185806
LIF	IL24	0.11039447543193415
CP	A1BG	0.44009854471347154
CP	Total-IGHG	0.28234519459588014
CP	APOD	0.2941095952374786
CP	JCHAIN	0.2745180679899546
CP	ITIH4	0.49050730110162544
CP	LRG1	0.3957614418190154
CP	PF4	0.29490545786300704
IL22RA1	IL4	0.058465654347433116
IL22RA1	IL20RA	0.09772993380688089
IL22RA1	SERPINA7	0.04864517969107496
TF	U6	0.10912431394522848
TF	KNG1	0.39784296226131843
TF	KLKB1	0.4324452356885429
ARTN	TNF	0.1168634621149236
FASN	CXCL16	0.3660710563637144
FASN	TNFRSF1B	0.43573592662337646
FASN	APOM	0.13158147402924225
FASN	CCL2	0.2140356537052961
REN	MMP3	0.20594902304642115
REN	PGF	0.2435468557163194
HRG	KNG1	0.3160699426493636
HRG	SHBG	0.25913774768949605
HRG	THBD	0.14962699537435498
HRG	C1QB	0.36491846360460833
HRG	ITIH4	0.3495497209560705
ADA	DNER	0.4181625388086756
ADA	CCL13	0.24794465730005744
ADA	CCL4	0.12737016256359013
ADA	EIF4EBP1	0.2482252332289221
ADA	LRG1	0.2089169581602217
ADA	CD5	0.3246359789613269
MRS2	CFH	0.5275701328092728
MRS2	C2	0.4604769855789659
MRS2	SERPINA1	0.454226881654642
MRS2	ITIH4	0.4748248683934895
MRS2	NTF3	0.1301247651430577
MRS2	SERPIND1	0.795310241152114
IGHM	PGLYRP2	0.2713286500157297
IGHM	ORM2	0.2670201150806202
IGHM	IGHG4	0.30007867151319
IGHM	HBA1	0.23732167463857223
IGHM	CD5L	1.5648229286249045
IGHM	ABCF1	0.3512562515672828
IGHM	LRG1	0.3382864907480725
SERPINA3	NPPB	0.12369078634601749
SERPINA3	IGHG2	0.27712386858167015
SERPINA3	SERPINF2	0.32788622080547025
SERPINA3	SELENOP	0.2719850301273876
SERPINA3	CFH	0.43137995177545196
SERPINA3	S100A12	0.18105799120092048
SERPINA3	PSPHP1	0.516650988403967
SERPINA3	ORM1	0.4465716419419712
SERPINA3	MMP7	0.15301743907072485
SERPINA3	CLEC3B	0.3036984386777304
U6	GDF15	0.12363717106132022
U6	OSM	0.12731359948758136
U6	TF	0.12974756029379986
U6	PF4	0.13333682776459632
CD40	IKBKG	0.9949777362592114
CD40	PECAM1	0.8128671824969542
CD40	TEK	0.15273341311350652
ORM1	RBP4	0.31108766825961176
ORM1	CFI	0.392075115393947
ORM1	IGHA1	0.2951714453598777
ORM1	ARTN	0.053462852250453885
ORM1	SERPINA3	0.4488733114933039
ORM1	ORM2	0.35542057801817517
ORM1	OSM	0.12735747288482013
ORM1	VEGFD	0.19181304798975063
IL20	IL10RA	0.19908501647119614
IL20	IL13	0.134259599240929
IL20	IL20RA	0.13381688747423315
IL20	PDGFB	0.10708735691272153
IL20	TNF	0.11962683026941967
IL20	IFNG	0.1336534897008379
IL20	NRTN	0.12439218407410291
IL20	PTX3	0.0935801025844345
SERPINA1	MRS2	0.4677719112218517
SERPINA1	CXCL8	0.11081214770561854
SERPINA1	SERPINC1	0.37791517265220076
