Regulator	Target	MI
SPON1	NGF	0.18898841423109136
SPON1	TNFRSF1B	0.3949115292508205
SPON1	KLK6	0.27458759452543635
PGLYRP2	A1BG	0.3700503211932409
PGLYRP2	APOH	0.5340509224648748
PGLYRP2	SERPINA7	0.4277597011869769
PGLYRP2	PLG	0.3310633239585741
C4BPA	SERPINF2	0.47389468575381155
C4BPA	CFI	0.5766051582059477
C4BPA	C2	0.500475645289594
C4BPA	C3	0.5238598539209143
C4BPA	IGHA2	0.2873872420257717
C4BPA	THRB	0.5521390261670458
C4BPA	SERPINA6	0.4252251943985357
C4BPA	ORM2	0.42130108005013067
SLC4A1	SERPING1	0.3538470145843986
SLC4A1	LPA	0.2972493722869327
SLC4A1	A1BG	0.30365358099618067
SLC4A1	APOA2	0.28982357632912414
SLC4A1	APOA4	0.24620881472937217
TNFSF10	TTR	0.12274601703384569
TNFSF10	TSLP	0.06434890368842883
TNFSF10	CMA1	0.30952937513844336
TNFSF10	TNFSF12	0.29526331857792965
TNFSF10	ADA	0.33719133834946646
IL12B	IGHG3	0.15958120239187767
IL12B	IL16	0.16417573023661536
IL12B	CCL19	0.21809758188158312
IL12B	CXCL11	0.2603685438100811
IL12B	FABP4	0.15218943317824785
IL12B	ARTN	0.0561592050911468
IL12B	CD5	0.3122543036505965
TNFSF11	FGF5	0.12470778551370909
TNFSF11	ESM1	0.15217850132445854
TNFSF11	PLG	0.09015037847826868
TNFSF11	AGER	0.09945790678797017
TNFSF11	FGF23	0.16949990620629318
TNFSF11	CMA1	0.31940166616615073
IL15RA	C4BPA	0.10118233770923091
IL15RA	FGF5	0.3727707365587465
IL15RA	TNFRSF1A	0.17562839677291908
IL15RA	LTA	0.21852764818940162
IL15RA	HBEGF	0.12825038380295872
IL15RA	TGFA	0.3038123141134035
IL15RA	IL10RA	0.12828031628360748
IL1R1	PLAT	0.1822491905549617
IL1R1	CFH	0.24706016772432982
IL1R1	FABP4	0.23420894354950583
SERPINF1	VTN	0.41817260952331115
SERPINF1	IL16	0.14244283106780387
SERPINF1	STOM	0.2942870471122685
SERPINF1	ERVMER34-1	0.46842346751091224
SERPINF2	C4BPA	0.4671974974131663
SERPINF2	C6	0.41120037883640137
SERPINF2	APOE	0.439613556684459
SERPINF2	MB	0.12376124439336422
SERPINF2	CCL11	0.14960617170420498
SERPINF2	ITIH2	0.47364904374419314
SERPINF2	PLG	0.43688265674990845
SERPINF2	CCL4	0.11471900220403697
FLT3LG	FGF5	0.21311377614515425
FLT3LG	MMP12	0.15421813270673201
FLT3LG	CDCP1	0.21725488641636037
FLT3LG	TGFB1	0.22542936491289467
FLT3LG	IL10RB	0.27274463992293985
FLT3LG	ADA	0.2646465275506058
RNASE3	U6	0.16484837303173183
RNASE3	OLR1	0.4055302365590592
RNASE3	GDF15	0.1616657714180212
RNASE3	LRG1	0.11042203915641746
DKK1	HBEGF	0.5596107795445739
DKK1	CD274	0.6991131709942744
PRAP1	TIMELESS	0.3357151469677824
PRAP1	MMP10	0.19733161768422924
PRAP1	TNFRSF1A	0.47719782678900113
PRAP1	RETN	0.3407564184086853
PRAP1	LRG1	0.301772877032926
AZGP1	RBP4	0.3208687046086425
AZGP1	VTN	0.3669365940097453
AZGP1	APOH	0.34173964185791394
AZGP1	HBD	0.2626466919354531
AZGP1	APOA4	0.34582370674597396
AZGP1	APOC2	0.3100391863352536
RBP4	FCN3	0.30190231615792484
RBP4	AZGP1	0.3219925231618683
RBP4	SERPING1	0.3540608336253932
RBP4	FGG	0.2954059846762638
RBP4	TTR	0.3279601184169021
