Regulator	Target	MI
SPON1	MPO	0.26687442742610124
SPON1	IL6R	0.3068093956802791
SPON1	PGF	0.38233376120555196
SPON1	FBLN1	0.1570299800670627
SPON1	AGER	0.24862798226004745
SPON1	IL1RL1	0.18292356025925915
SPON1	VEGFA	0.3566482073590551
SPON1	FABP4	0.26391976314976073
PGLYRP2	CLU	0.4674504248526139
PGLYRP2	HPR	0.28194929872605545
PGLYRP2	ALB	0.37673812428275877
PGLYRP2	SERPINC1	0.35269840936987684
C4BPA	CFI	0.5517066184752482
C4BPA	KNG1	0.4609765521255156
C4BPA	C2	0.5293050248600215
C4BPA	SERPINA6	0.45662748820338894
C4BPA	THBD	0.14323812880919284
C4BPA	ERVMER34-1	0.5309806682313987
SLC4A1	IGHG3	0.32758226849369976
SLC4A1	LPA	0.3196144328624815
SLC4A1	HBD	0.29703736807794545
SLC4A1	TTR	0.34394942619149305
SLC4A1	APOC1	0.3668487341367985
SLC4A1	PF4	0.31359364936773026
TNFSF10	DNER	0.305395570576521
TNFSF10	CTSD	0.1178317760538734
TNFSF10	PLAUR	0.2950531656371753
TNFSF10	CCL2	0.16680202995056082
TNFSF10	CMA1	0.2962763204367507
TNFSF10	SHBG	0.1496649960936569
IL12B	BDNF	0.21769684616592055
IL12B	ORM2	0.1386322609355437
IL12B	CCL19	0.3479979032888334
IL12B	CD5	0.40931003215685813
TNFSF11	NT-pro-BNP	0.16825997991611263
TNFSF11	APOH	0.11371779446252006
TNFSF11	CMA1	0.23817264710927688
IL15RA	F2R	0.1611651596917696
IL15RA	PDGFB	0.15136325818272223
IL15RA	TGFA	0.4156140942873714
IL15RA	CCL23	0.36393319270580893
IL1R1	PLAT	0.2038183730465173
IL1R1	CFB	0.18938807092563525
IL1R1	CCL13	0.14252707483474847
IL1R1	CSTB	0.26284196531046344
IL1R1	CXCL10	0.17246830340401953
IL1R1	FABP4	0.3424787025557343
SERPINF1	FCN3	0.35257458122192986
SERPINF1	PGF	0.16753184846310631
SERPINF1	CFI	0.3844255802148995
SERPINF1	APOH	0.39277522328175873
SERPINF1	APOD	0.3446517461001184
SERPINF1	GPX3	0.3594871925777392
SERPINF1	AFM	0.3456129998748825
SERPINF1	IL10RB	0.16375730182895598
SERPINF1	APOC1	0.34045680662367683
SERPINF2	APOM	0.371183217742848
SERPINF2	CX3CL1	0.09253767810325098
SERPINF2	ITIH1	0.5182700410233307
SERPINF2	AGT	0.43293147321924685
SERPINF2	KLKB1	0.49231091597821663
FLT3LG	CXCL9	0.28598167615493786
FLT3LG	CLEC3B	0.19278729053474208
FLT3LG	IL10RB	0.29560061814412286
FLT3LG	ADA	0.4020343553006738
RNASE3	MPO	0.3853877206611358
RNASE3	FGG	0.1293835130855765
RNASE3	PECAM1	0.16357689923541496
RNASE3	CCL28	0.14218529299871907
DKK1	NGF	0.16081871780637602
DKK1	CD274	0.7205545929153976
PRAP1	IGHG2	0.2549195603254999
PRAP1	CX3CL1	0.2771462652010479
PRAP1	OLR1	0.2514831243632214
PRAP1	MMP10	0.15890825419072563
PRAP1	TNFRSF1A	0.4894745040091024
PRAP1	CMA1	0.2416711838622101
PRAP1	VEGFD	0.14714887299358548
AZGP1	IGHG2	0.31184014030329177
AZGP1	RBP4	0.42473492054981055
AZGP1	SELENOP	0.32288395573046813
AZGP1	APOH	0.4875165152705092
AZGP1	IGHA2	0.2953237670304478
