Regulator	Target	MI
SPON1	MPO	0.22427557285729893
SPON1	CTSL	0.2587987866580237
SPON1	TNFRSF11B	0.3997779037506346
SPON1	AGER	0.1871989061673176
SPON1	TEK	0.19990257145226398
PGLYRP2	APOH	0.43328457527217523
PGLYRP2	ALB	0.39576415615821503
PGLYRP2	SERPINA7	0.3317639015697802
PGLYRP2	JCHAIN	0.26267411365430693
PGLYRP2	APOA2	0.32670174553505227
C4BPA	SERPINF1	0.33973211989257024
C4BPA	SERPINF2	0.5320439548712041
C4BPA	CFI	0.5997948938158482
C4BPA	C2	0.5717697885363933
C4BPA	C6	0.4965843515358568
C4BPA	SERPINA6	0.4996636030067112
C4BPA	CPN2	0.4588407240008019
C4BPA	ERVMER34-1	0.6088898860274279
C4BPA	APOC2	0.41729255790345565
C4BPA	KLKB1	0.5141948424609284
SLC4A1	IGHG2	0.2609728940729923
SLC4A1	LPA	0.3118326467281278
SLC4A1	HPR	0.27609396102053996
SLC4A1	FN1	0.2708501992136281
SLC4A1	CXCL11	0.15985610717093923
SLC4A1	REN	0.10008385746683679
SLC4A1	C1QB	0.2790918053964351
SLC4A1	TTR	0.2980940225903712
SLC4A1	CCL23	0.14840269888793145
TNFSF10	SERPINA6	0.16854572583263128
TNFSF10	TNFRSF1B	0.15135762121598262
TNFSF10	TGFA	0.32810344392429247
TNFSF10	CMA1	0.3157830298689781
TNFSF10	CD6	0.2638030458172933
IL12B	TNFRSF9	0.3876899344267608
IL12B	CXCL10	0.24186683323981217
TNFSF11	THBD	0.13534432220893589
TNFSF11	ABCF1	0.0965565130979309
TNFSF11	CCL23	0.16742945166765733
TNFSF11	CMA1	0.17129651940226953
TNFSF11	EGF	0.1474311625346294
IL15RA	SLAMF1	0.41347886219664165
IL15RA	C1R	0.1495696448618764
IL15RA	IL10RB	0.40083302953591815
IL1R1	ESM1	0.21479693540780254
IL1R1	HGF	0.2766859366796419
IL1R1	OSM	0.16563236958655647
IL1R1	FABP4	0.33459947096159937
IL1R1	TEK	0.196662889072293
SERPINF1	C4BPA	0.33271490899802636
SERPINF1	SLC4A1	0.24974443101743926
SERPINF1	AFM	0.3798720154008013
SERPINF1	IL10RB	0.21945437271399282
SERPINF2	C4BPA	0.5316465012577067
SERPINF2	SELENOP	0.39250949271877733
SERPINF2	KNG1	0.41171671994596704
SERPINF2	APOM	0.37345555441371836
SERPINF2	MBL2	0.2756538205451804
SERPINF2	ITIH1	0.5383263505779405
SERPINF2	CST5	0.16913098422686268
FLT3LG	PRL	0.09419702606371949
FLT3LG	MMP7	0.20659912481182374
FLT3LG	CDCP1	0.3327783523018164
FLT3LG	IL10RB	0.3747877170106433
RNASE3	MPO	0.2704714820908629
RNASE3	IL16	0.2209288940287939
RNASE3	CDCP1	0.11510979182896186
RNASE3	CCL25	0.09884642998979576
RNASE3	TNFSF14	0.23423630229548564
RNASE3	IL6	0.1893575596291246
DKK1	CD274	0.6775518373354918
DKK1	PSPHP1	0.1271616060947558
PRAP1	CTSL	0.29830244756503443
PRAP1	OLR1	0.284350955380277
PRAP1	TNFRSF1A	0.6300197867151427
PRAP1	MMP12	0.2433290400509467
PRAP1	CCL2	0.2850825092808389
PRAP1	CCL20	0.19735730043342148
PRAP1	LRG1	0.23767796742800318
AZGP1	APOH	0.4447374226986103
AZGP1	Total-IGHG	0.4005024017335117
AZGP1	FGF23	0.1071395728105804
AZGP1	TNFSF12	0.17673518072527106
AZGP1	C8A	0.34034609182316355
AZGP1	ORM2	0.3235914193981939
AZGP1	CD5L	0.2838411596206516
AZGP1	ITIH1	0.3879692129716048
AZGP1	GSN	0.3379453846726772
RBP4	SERPINF1	0.32973421644382395
RBP4	LPA	0.2788013141228385
RBP4	APOH	0.4582973901799896
RBP4	IGHA1	0.29647378233354527
RBP4	MBL2	0.25902878471889235
RBP4	TTR	0.3735309747124278
RBP4	APOC3	0.459613188148138
PAPPA	ESM1	0.20542142247161443
PAPPA	CTSL	0.18163030917119816
PAPPA	SERPIND1	0.210691923116757
SERPING1	F13A1	0.41078647607303154
SERPING1	APOB	0.35499305902056477
SERPING1	CP	0.4358111050522222
SERPING1	APOA1	0.38791628351745455
SERPING1	C1S	0.30505231048825987
SERPING1	SERPINC1	0.5869940681157724
SERPING1	GC	0.5155496253226923
CFB	MPO	0.13335537131539787
CFB	CFI	0.5100503616288528
CFB	APOM	0.32163422340861114
CFB	C6	0.41095567935941446
CFB	C1S	0.39903112635258253
CFH	PLAT	0.2324023485452198
CFH	IGHG2	0.33535478992034307
CFH	CFI	0.549344707486326
CFH	C3	0.4247190707187123
CFH	VTN	0.5513699352107109
CFH	C5	0.5167456053634085
CFH	C8A	0.3942421942505536
CFH	SERPIND1	0.5163022457101016
CFI	C4BPA	0.6065605582803748
CFI	CLU	0.477622639105312
CFI	CFB	0.4987617589707396
CFI	CFH	0.551723961856819
CFI	APOE	0.4333503334352313
CFI	IL7	0.16646503714430239
CFI	ORM1	0.46294128769123155
CFI	ORM2	0.43912073658032025
CFI	ABCF1	0.31717141338866117
IL20RA	SLAMF1	0.1693486487649576
IL20RA	IL13	0.166058625811786
IL20RA	IL2	0.17195975810109587
IL20RA	IL22RA1	0.13293808172903088
PDGFB	NRTN	0.19055444747995054
PDGFB	SLAMF1	0.1949838691948491
PDGFB	IL13	0.1682592309965356
PDGFB	IL17A	0.18418984656402593
TGFA	DNER	0.3463486253412569
TGFA	TNFSF10	0.32810344392429247
TGFA	IL10	0.4058408376165703
TGFA	PGF	0.1715132282697649
