Regulator	Target	MI
SPON1	IGHM	0.14416303121670282
SPON1	PLAUR	0.16235780561667212
SPON1	TNFRSF1B	0.3927155534935993
SPON1	TEK	0.17646350604801864
PGLYRP2	IGHG4	0.3451695751541122
PGLYRP2	APOM	0.30942315983481095
PGLYRP2	ALB	0.43502574246025194
PGLYRP2	SERPINA3	0.35244204535980206
C4BPA	C2	0.5341154831445802
C4BPA	THRB	0.5897856005749231
C4BPA	C8A	0.5047456663311491
C4BPA	ORM2	0.44378425879027805
C4BPA	ITIH4	0.6191537627915942
C4BPA	C1S	0.4577684132836808
C4BPA	SAA4	0.4827093827111142
C4BPA	ITIH1	0.5734964913815332
C4BPA	CPN2	0.457946986030457
C4BPA	ERVMER34-1	0.5821347956587415
C4BPA	KLKB1	0.5354875670093007
SLC4A1	LPA	0.3200922740303893
SLC4A1	HPR	0.312828294433821
SLC4A1	FN1	0.3702234047745332
SLC4A1	C8A	0.32334990644150885
SLC4A1	GPX3	0.36326436418778485
TNFSF10	CXCL5	0.23933698328521746
TNFSF10	TGFA	0.30660393249361295
TNFSF10	C7	0.09762000500046053
TNFSF10	CMA1	0.22441573343993948
IL12B	TNFSF11	0.17480885817666358
IL12B	CXCL10	0.2988806025540294
IL12B	CD5	0.4316033795772549
TNFSF11	AFM	0.09436605858898872
TNFSF11	ADM	0.10331588402305947
TNFSF11	SULT1A1	0.14173744189328197
TNFSF11	IL12B	0.17480885817666447
TNFSF11	CMA1	0.3262408068583982
IL15RA	FGF5	0.3457428574025476
IL15RA	IL20RA	0.14573278170687676
IL15RA	SLAMF1	0.3622747679389535
IL15RA	IL10RB	0.34839246238548327
IL1R1	HGF	0.3062022154148094
IL1R1	VTN	0.1957216657974783
IL1R1	ADM	0.25683998552577325
IL1R1	CCL19	0.19377473581924942
IL1R1	FABP4	0.33750083655400775
IL1R1	IL18R1	0.15712808339033124
SERPINF1	RBP4	0.3666999227982801
SERPINF1	VTN	0.41571693997587467
SERPINF1	APOB	0.35947370120903255
SERPINF1	APOA1	0.3365839297104287
SERPINF1	CD5L	0.35429829324412854
SERPINF2	IL6R	0.12317871789902846
SERPINF2	AZGP1	0.37268676401814727
SERPINF2	VTN	0.6416699166608133
SERPINF2	APOM	0.40670994124599247
SERPINF2	IGHA1	0.36789232062838906
SERPINF2	C8A	0.4749701971363862
SERPINF2	GAL	0.11547483285772842
SERPINF2	CCL11	0.19686914624940588
SERPINF2	ITIH1	0.5393679147016863
SERPINF2	APOC3	0.4903260599617658
SERPINF2	AGT	0.4596740884876507
FLT3LG	LIFR	0.2795569468743473
FLT3LG	IL10RB	0.31289688488649947
FLT3LG	IL2	0.06640803868333744
FLT3LG	AGRP	0.084394387146145
RNASE3	OLR1	0.4410964346568642
RNASE3	IL16	0.32133374881629084
RNASE3	RETN	0.1890482185662492
DKK1	PRL	0.11523586293744614
DKK1	CD274	0.6392475428931323
PRAP1	NT-pro-BNP	0.23076470483596445
PRAP1	IL27	0.41939350642960527
PRAP1	OLR1	0.33804040319882667
PRAP1	MMP7	0.35140734064373724
PRAP1	TNFRSF1A	0.4780936606943049
PRAP1	LRG1	0.23292270492230127
AZGP1	RBP4	0.3715085296832825
AZGP1	APOH	0.4019355698424789
AZGP1	APOD	0.335263830488123
RBP4	IGHG4	0.29029732260851127
RBP4	SERPINF1	0.3669592809915345
RBP4	LPA	0.3899634868224391
RBP4	CFB	0.3294692658401548
