Regulator	Target	MI
SPON1	CLU	0.0824405220910629
SPON1	TNFRSF1B	0.29526438429810575
SPON1	AGER	0.23144616533444573
SPON1	TEK	0.2547144160505148
PGLYRP2	SERPINA7	0.3738831501449722
PGLYRP2	AZGP1	0.2917908291082183
PGLYRP2	CLEC3B	0.43907111810671484
PGLYRP2	APOH	0.4458284036255291
C4BPA	A1BG	0.43258343742493377
C4BPA	EIF4EBP1	0.20673195174607528
C4BPA	THRB	0.5204205306555707
C4BPA	ORM2	0.4499420155716578
C4BPA	ITIH4	0.516987641045195
C4BPA	CPN2	0.4680179968089284
C4BPA	ERVMER34-1	0.5232890435253301
C4BPA	KLKB1	0.4642936773785351
SLC4A1	APOH	0.30825617454225984
SLC4A1	APOB	0.28358158686379387
SLC4A1	HBD	0.2637131221387161
SLC4A1	C1QB	0.2345690834926364
SLC4A1	APOL1	0.2421974710567909
TNFSF10	PLAUR	0.23733521151329562
TNFSF10	BDNF	0.12797953027180675
TNFSF10	CMA1	0.2719001563385701
IL12B	RETN	0.17887553118521726
IL12B	IL10RB	0.34024641671998257
IL12B	TNFRSF9	0.44037532782590105
IL12B	TNFRSF10B	0.2517128777750193
IL12B	KLKB1	0.09846347322407567
TNFSF11	CXCL5	0.152219455983869
TNFSF11	TNFRSF1A	0.18421439825520114
TNFSF11	CCL11	0.10380798218813325
TNFSF11	SERPIND1	0.12133985790127788
TNFSF11	CMA1	0.19858328217196508
TNFSF11	XPNPEP2	0.0936353177300493
IL15RA	IL20	0.19102006369431468
IL15RA	FGF5	0.337372836618993
IL15RA	CPN2	0.08787149495808855
IL15RA	TNFRSF9	0.31515278998552354
IL15RA	CCL28	0.2865175744377444
IL1R1	IL6R	0.2694488589755277
IL1R1	HGF	0.22979505050494087
IL1R1	VTN	0.2189190016966398
IL1R1	APOD	0.13427243894947605
IL1R1	TNFSF14	0.2669818676073126
IL1R1	SELE	0.29186321887534294
IL1R1	HRG	0.12431574072711626
IL1R1	PRL	0.14224455241913692
IL1R1	CTSL	0.21940364219532782
IL1R1	GAL	0.13025924212416484
IL1R1	CCL4	0.19434879750417355
IL1R1	FABP4	0.2498823235887624
SERPINF1	FCN3	0.28330970356369445
SERPINF1	AZGP1	0.2564979939007177
SERPINF1	SELENOP	0.2135888564931605
SERPINF1	CFH	0.36448003331986634
SERPINF1	C7	0.25237319028463645
SERPINF1	MBL2	0.3100292102526172
SERPINF1	AFM	0.34553543592664493
SERPINF2	CFI	0.3283407714415443
SERPINF2	VTN	0.3815573134019594
SERPINF2	C6	0.3156693098917769
SERPINF2	CHI3L1	0.11274727795391914
SERPINF2	ITIH1	0.37709091024473906
SERPINF2	GC	0.3467407551656452
SERPINF2	APOC1	0.27692927071501217
FLT3LG	CFI	0.10093629980379593
FLT3LG	DNER	0.3071920142775779
FLT3LG	IKBKG	0.12784613659105126
RNASE3	OLR1	0.32566962198482496
RNASE3	MMP3	0.1527223025515756
RNASE3	ITIH4	0.13079931461548
DKK1	CXCL6	0.43481730962871623
DKK1	U6	0.1934343356790702
DKK1	CD274	0.7120649415381655
PRAP1	MPO	0.26275328001965903
PRAP1	TNFRSF1A	0.5039620859584435
PRAP1	CDCP1	0.15570213653428855
PRAP1	TNFRSF11B	0.32402981448657897
PRAP1	KLK6	0.1952258404215783
PRAP1	LRG1	0.11044598464614541
AZGP1	PGLYRP2	0.294832095267485
AZGP1	SERPING1	0.32507454266961844
AZGP1	SERPINA3	0.2689226396454183
AZGP1	APOA4	0.27479567605357236
AZGP1	CCL11	0.091849205644019
RBP4	IGHM	0.24096038053080893
RBP4	SERPINA7	0.2595268511517004
RBP4	IGHG2	0.2629209769038825
RBP4	AFM	0.25372568237240856
RBP4	ITIH1	0.348347825363323
RBP4	CCL19	0.08779069381070137
RBP4	GC	0.28721505035299977
RBP4	IGHA2	0.26607885049741853
RBP4	APOC3	0.3245193975942229
PAPPA	NT-pro-BNP	0.0979034157946721
PAPPA	RETN	0.12368742000696731
PAPPA	CCL2	0.1277026455588519
PAPPA	SERPIND1	0.11113919156594143
SERPING1	ESM1	0.16848902352895667
SERPING1	FST	0.10992519344032381
SERPING1	AZGP1	0.3185379962879047
SERPING1	ITIH4	0.4157544016684538
CFB	CFI	0.5575306308017751
CFB	C2	0.5619385610468015
CFB	FGF23	0.11599434502720651
CFB	TNFSF12	0.12854240406646866
CFB	C8A	0.3872893115695488
CFB	AHSG	0.3140183023847749
CFB	C1S	0.46393767820107534
CFB	APOL1	0.42438169526473857
CFH	PLAT	0.19127360375413982
CFH	SERPINF1	0.3413955797542032
CFH	CFI	0.5462874308442869
CFH	C3	0.5302755593048802
CFH	VTN	0.4170793004215847
CFH	PLG	0.37778412576336073
CFI	FLT3LG	0.09974515545219464
CFI	CFB	0.5575306308017751
CFI	CFH	0.5537484938955544
CFI	C5	0.5166237120762531
CFI	SERPINA6	0.4346404475867489
CFI	C1R	0.47984014217044013
CFI	ERVMER34-1	0.5503663646637502
CFI	SERPIND1	0.40320883188079915
IL20RA	IL20	0.1520377965423183
IL20RA	Total-IGHG	0.05590062503799764
IL20RA	LIF	0.15230078984831863
PDGFB	TGFA	0.15978666705369982
PDGFB	TNF	0.1173616434405762
PDGFB	SULT1A1	0.11517314471566209
TGFA	CXCL9	0.31088447032654454
TGFA	FGF5	0.31863026582040455
TGFA	DNER	0.24673290382977964
TGFA	IL10	0.4154690114313677
TGFA	LIFR	0.3742108776942308
TGFA	CCL11	0.2112070076867063
TGFA	NTF3	0.199620863030451
TGFA	SLAMF1	0.3558810805187571
TGFA	IL10RB	0.30234982878741423
TGFA	IL10RA	0.13806104598945623
TGFA	TNFRSF10B	0.21135665546197124
TGFA	GDNF	0.31316857972244794
A1BG	C4BPA	0.42345905273722284
A1BG	APOA4	0.2430031819929237
A1BG	CST5	0.1387332221259152
A1BG	CCL7	0.13039710979852615
A1BG	LRG1	0.3982042300330173
HPR	CTSL	0.07696892199907612
HPR	APOL1	0.6048639495862762
HPR	SERPIND1	0.3577520914260415
C2	CFB	0.561397228417321
C2	C5	0.4545035816701857
C2	PSPHP1	0.43271229432292024
C2	MRS2	0.37305933693252413
C2	C1QB	0.34436748577134857
C2	CPN2	0.4487385784691593
C2	ABCF1	0.2658919026980673
KLK6	AGER	0.21632430163809246
KLK6	EIF4EBP1	0.08372069144500038
KLK6	PRAP1	0.1952258404215783
KLK6	KLK11	0.3093465337185073
KLK6	GAL	0.18906049935174973
KLK6	FASN	0.30776691311731863
C3	PGF	0.13343130634729228
C3	CFH	0.5205415902168173
C3	APOB	0.45379802569759864
C3	TF	0.32274182012810204
C3	FGG	0.45559599763315184
C3	ITIH4	0.5436847206221804
C3	LEP	0.22988875652090446
SULT1A1	NPPB	0.11254685950897692
SULT1A1	STAMBP	0.7479926055641011
SULT1A1	PDGFB	0.09790104328355298
SULT1A1	CPN2	0.14962001513432632
SULT1A1	CCL20	0.11186189613996511
C5	CFI	0.5183478772074697
C5	C2	0.4560714208315648
C5	C6	0.3771113302813509
C5	FGA	0.4108500430849622
C5	MMP7	0.1727823465977627
C5	HBA1	0.36104415571925763
C5	SAA4	0.3601206860614763
APOM	APOD	0.2654375291468618
APOM	IGHM	0.25857149147632885
