Regulator	Target	MI
SPON1	CSF1	0.3647010915785236
SPON1	SERPINA6	0.12520655894573718
SPON1	ESM1	0.1985484125272805
SPON1	MMP7	0.3832237481006979
SPON1	TNFRSF11B	0.37260099628679644
SPON1	AGER	0.18013035531119304
SPON1	GDF15	0.29563028231403177
SPON1	IL10RB	0.2194141178703184
SPON1	VEGFA	0.3242201716582427
SPON1	KITLG	0.17480386102746692
PGLYRP2	BDNF	0.12721072464702132
PGLYRP2	PSPHP1	0.37828150508397584
PGLYRP2	TF	0.3488127074859122
PGLYRP2	IGHM	0.2986122556521238
PGLYRP2	C8A	0.38304515175527065
PGLYRP2	SERPINC1	0.389946032818135
C4BPA	RNASE3	0.12360858431946387
C4BPA	DKK1	0.15889593729481355
C4BPA	CFI	0.7650719246955857
C4BPA	THRB	0.6736288458707014
C4BPA	SERPINA6	0.5451765497278309
C4BPA	ORM2	0.43311606488023635
SLC4A1	APOA1	0.3260494953573767
SLC4A1	CPN2	0.3721440295071119
SLC4A1	APOC2	0.3595705099846116
TNFSF10	HBD	0.14160249258520707
TNFSF10	RETN	0.11671823987968644
TNFSF10	CMA1	0.2582844657547767
TNFSF10	TNFSF12	0.2666079010789373
TNFSF10	CD5	0.23353270701565787
IL12B	CD5L	0.1135970700898099
IL12B	TNFSF12	0.31924997147619827
IL12B	CXCL11	0.21084466200692553
TNFSF11	MB	0.09755645580565186
TNFSF11	RNASE3	0.15221856374827247
TNFSF11	LTA	0.08877617159299156
TNFSF11	PLG	0.13918521271157402
TNFSF11	CMA1	0.24206091533847296
TNFSF11	GDF15	0.2308262402236423
IL15RA	CSF1	0.16966926425232565
IL15RA	IL24	0.08678564940261246
IL15RA	TNF	0.09986494982645411
IL15RA	IL10RB	0.30655179968642976
IL1R1	CSF1	0.24204782880666897
IL1R1	PLAT	0.17935245678604606
IL1R1	OLR1	0.23598665569822863
IL1R1	CSTB	0.23795482083091102
IL1R1	LEP	0.18549939336977683
SERPINF1	VTN	0.41372266606423924
SERPINF1	APOH	0.3592031003982923
SERPINF1	TNFRSF1A	0.2011673530915452
SERPINF2	SELENOP	0.4766476631076477
SERPINF2	ITIH4	0.4998872512837016
SERPINF2	ITIH2	0.6173602193353052
SERPINF2	PLG	0.49493804857156576
SERPINF2	AGT	0.4235788691079545
FLT3LG	PLAUR	0.24397819458532233
FLT3LG	CDCP1	0.22034292978055792
FLT3LG	EIF4EBP1	0.18575484085991878
FLT3LG	SERPIND1	0.11755868798112701
FLT3LG	CXCL10	0.1597411544306615
FLT3LG	KITLG	0.1324516548098531
RNASE3	IL27	0.22055551266231888
RNASE3	OLR1	0.32093630098330905
RNASE3	TNFSF11	0.15221856374827158
RNASE3	CCL25	0.08196599263792503
DKK1	ESM1	0.15016032352957254
DKK1	CD274	0.7377630302586144
PRAP1	CSF1	0.4853467026442244
PRAP1	OLR1	0.3183392935240219
PRAP1	HGF	0.3158429027431273
PRAP1	TNFRSF1A	0.5331803143566178
PRAP1	REN	0.166926507297128
PRAP1	KLKB1	0.13230778243749164
PRAP1	IL18R1	0.1320877593451364
AZGP1	APOA4	0.3202521635824791
AZGP1	IFNG	0.08808074319411485
AZGP1	AFM	0.28900778819010586
AZGP1	ITIH1	0.4285912174834152
AZGP1	GSN	0.372519226889783
AZGP1	AGT	0.42364440785380264
AZGP1	KITLG	0.14369624407697312
RBP4	TNFSF11	0.09907341277183335
RBP4	SELENOP	0.3704598647269357
RBP4	IL20RA	0.0464566055720983
RBP4	SHBG	0.3278970002565176
RBP4	ORM1	0.36530405584190273
RBP4	CD5L	0.2818713916286022
RBP4	IL10RB	0.1358541159579545
RBP4	APOC3	0.3586539236988733
RBP4	KLKB1	0.34720345940351116
PAPPA	THRB	0.15834061024290502
