Regulator	Target	MI
SPON1	PGF	0.39534855759079335
SPON1	TNFRSF11B	0.45591453285304606
SPON1	AGER	0.30391555730774567
SPON1	CCL4	0.2069303446619175
PGLYRP2	CLU	0.46419519629951367
PGLYRP2	C3	0.4058130577752781
PGLYRP2	APOH	0.4860999455687338
PGLYRP2	CP	0.45609396567656457
PGLYRP2	ALB	0.4428394315407722
PGLYRP2	AFM	0.3247022391274861
PGLYRP2	IL17C	0.08138559964387593
C4BPA	F13A1	0.4381898035826852
C4BPA	CFI	0.5280056326713822
C4BPA	ORM1	0.4080923800711851
C4BPA	THRB	0.469320335644797
C4BPA	ORM2	0.5001007570102427
C4BPA	CCL13	0.13239936796141016
C4BPA	ERVMER34-1	0.5382537310995161
C4BPA	KLKB1	0.47509902300899576
SLC4A1	IGHA2	0.31336730657429523
SLC4A1	C1S	0.34814767916217715
SLC4A1	CD5L	0.3248337299722879
SLC4A1	PF4	0.354639326257419
TNFSF10	DNER	0.3359434803534098
TNFSF10	Total-IGHG	0.1389119051408958
TNFSF10	CMA1	0.19153186406484402
IL12B	C6	0.13442571165304784
IL12B	APOD	0.1769855895465211
IL12B	TNFRSF9	0.4169876672039958
IL12B	TNFSF12	0.34631718116606436
IL12B	CXCL9	0.3167961712867555
TNFSF11	NT-pro-BNP	0.1346848333016082
TNFSF11	FGF23	0.12878729774253905
TNFSF11	IGHA2	0.16603357609531066
TNFSF11	CMA1	0.30507236725841924
TNFSF11	ADA	0.13897948002238358
IL15RA	FGF5	0.3637740937908367
IL15RA	IFNG	0.23877576903688436
IL15RA	PDGFB	0.18385736461799684
IL15RA	TGFA	0.3899118464875828
IL15RA	FGF23	0.15560921877145617
IL1R1	C3	0.19352826137697576
IL1R1	TNFRSF1B	0.22590848438107702
IL1R1	FABP4	0.37180283329742103
SERPINF1	APOH	0.3242793336373344
SERPINF1	SHBG	0.3005843602956535
SERPINF1	TNFRSF1B	0.289103475999255
SERPINF1	ABCF1	0.27456484422112126
SERPINF2	APOH	0.45486358982375386
SERPINF2	THRB	0.4824759172998281
SERPINF2	APOA2	0.44228118806643035
SERPINF2	PLG	0.43699910555469934
SERPINF2	ITIH1	0.5537776648058657
SERPINF2	STOM	0.35368145942799956
SERPINF2	APOL1	0.4662610001394496
SERPINF2	GC	0.41459937349542475
SERPINF2	AGT	0.4477842482198433
FLT3LG	C5	0.14169624347396415
FLT3LG	FGF19	0.3046899335650872
FLT3LG	DNER	0.31161029557243847
FLT3LG	PLAUR	0.3183514169484951
FLT3LG	GAL	0.12768023102215142
FLT3LG	IL10RB	0.37838658465550346
RNASE3	U6	0.12238821454715598
RNASE3	OLR1	0.3585508500488084
RNASE3	IL16	0.30797060600294657
DKK1	CD274	0.6600987696235592
DKK1	GH1	0.17078955181225552
DKK1	CCL4	0.214774007225067
DKK1	LEP	0.13096529732665818
PRAP1	TNFRSF10B	0.46163031577793845
PRAP1	NT-pro-BNP	0.2456660137453568
PRAP1	TNFRSF1A	0.7333032903141268
AZGP1	PGF	0.21547206348229508
AZGP1	RBP4	0.4949596207414304
AZGP1	APOH	0.38165183744265097
AZGP1	IGHA2	0.31177944877016195
AZGP1	ORM2	0.45203597692802244
AZGP1	APOA4	0.36163146378293387
AZGP1	CCL11	0.23919131457379894
RBP4	AZGP1	0.4286264820768979
RBP4	CP	0.3537446327315674
RBP4	SHBG	0.29112663128142113
RBP4	JCHAIN	0.2877851619295324
RBP4	FGA	0.31668716159696686
RBP4	CCL23	0.16339308599056857
RBP4	APOC3	0.4035857994769261
PAPPA	FLT3LG	0.10466712548590351
PAPPA	PGF	0.2298043265019576
PAPPA	CST5	0.1350864515531569
PAPPA	IGHA1	0.08107261333431026
SERPING1	KNG1	0.49502050754019056
SERPING1	Total-IGHG	0.3284253279250571
SERPING1	CP	0.4003268654527279
SERPING1	MRS2	0.46937783583095705
SERPING1	CPN2	0.42182494387412195
CFB	CFH	0.5583130770288705
CFB	APOM	0.3695029366022915
CFB	PSPHP1	0.4437147404409689
CFB	THRB	0.4479082383475044
CFB	AHSG	0.4401639946978575
CFB	MMP3	0.18376733734133577
CFB	CPN2	0.453150484535529
CFB	C1QC	0.35926012103809857
CFH	CFB	0.5476938178417416
CFH	CFI	0.5951635969874696
CFH	A1BG	0.48778675961857676
CFH	IGHM	0.3341961070642778
CFH	C8A	0.4627981471711209
CFH	C1R	0.42511603760601613
CFH	LEP	0.314795904557748
CFI	FCN3	0.4155891378991283
CFI	C4BPA	0.5174129015512028
CFI	CFH	0.5758764766050728
CFI	C2	0.5915975246075842
CFI	C5	0.6041313823296077
CFI	APOE	0.41301800961206414
CFI	JCHAIN	0.32909105462290267
CFI	C1S	0.4357744646888042
CFI	PLG	0.4450992846445647
CFI	SERPIND1	0.5311218179739718
CFI	PF4	0.3395379647598773
IL20RA	IL1A	0.17113851558242388
IL20RA	SLAMF1	0.19309624517777202
IL20RA	IL2	0.207042676935016
IL20RA	ARTN	0.13035748101561584
PDGFB	CCL4L1	0.15266981015848202
PDGFB	IL20RA	0.18116298500565797
PDGFB	NRTN	0.18312590425220066
PDGFB	IL15RA	0.19067560832221897
PDGFB	TSLP	0.1488436799957027
PDGFB	IL2	0.15705604588375977
TGFA	CXCL9	0.32622917372533955
TGFA	NGF	0.1675532649147904
TGFA	CCL8	0.3797255176688257
TGFA	FGF21	0.23522202784959312
TGFA	SLAMF1	0.4646979324169296
TGFA	IL10RB	0.5033925256510905
TGFA	OSM	0.42722128274045357
TGFA	GDNF	0.3631799618552076
TGFA	IL7	0.3836772283388328
TGFA	CCL28	0.367238827835914
A1BG	CFH	0.4747439166140941
A1BG	C2	0.48785801978716226
A1BG	IGHA2	0.37765535663379435
A1BG	CP	0.5477979561383375
A1BG	SERPINA3	0.48129225277553367
A1BG	PLG	0.3808584649857254
A1BG	LRG1	0.41576083691983534
A1BG	KLKB1	0.5155986807037465
HPR	CCL4L1	0.14520931699921213
HPR	APOM	0.3554255290179942
HPR	APOL1	0.696804525824855
C2	CLU	0.4537635250070693
C2	CFI	0.5926380758511618
C2	A1BG	0.48785801978716226
