Regulator	Target	MI
SPON1	TNFRSF11B	0.3893410126231247
SPON1	AGER	0.27829995868880353
SPON1	FASN	0.38994849570435086
PGLYRP2	ALB	0.44389861653853124
PGLYRP2	SERPINA7	0.3918470271925676
PGLYRP2	ITIH2	0.34580475793291754
PGLYRP2	VEGFD	0.1253939473628254
PGLYRP2	CD6	0.16097566577290312
C4BPA	CLU	0.5009394980353621
C4BPA	CFI	0.5847451498167686
C4BPA	KNG1	0.4940419451799478
C4BPA	CXCL11	0.19803873251285165
C4BPA	THRB	0.5949000525323509
C4BPA	SERPINA6	0.43127738680536876
C4BPA	ITIH1	0.5003038107787239
SLC4A1	TNFSF11	0.12355736891306535
SLC4A1	APOH	0.28548544621095484
SLC4A1	APOD	0.26856783972167086
SLC4A1	IGHM	0.3152278978553902
SLC4A1	SERPINA6	0.33866502130811593
TNFSF10	TNF	0.09518293550757218
TNFSF10	MB	0.11135496251591359
TNFSF10	PLAUR	0.3478531592670109
TNFSF10	CHI3L1	0.1159170557031377
TNFSF10	IL33	0.08439421108035905
TNFSF10	CMA1	0.4195138832064105
TNFSF10	SHBG	0.1334383340719585
IL12B	TNFRSF9	0.3478274234296208
TNFSF11	CXCL1	0.10735675786393717
TNFSF11	SLC4A1	0.12804795143141234
TNFSF11	CMA1	0.22977061485181505
IL15RA	FGF5	0.3798003555475562
IL15RA	IL20RA	0.18960643565483704
IL15RA	TGFA	0.3343587210408687
IL15RA	LIF	0.17424854377887744
IL15RA	CCL7	0.2415546605469654
IL15RA	IL10RA	0.1893958508263749
IL1R1	MPO	0.22256127610711296
IL1R1	CCL19	0.15622001864616308
IL1R1	FABP4	0.3287148141662959
IL1R1	C1QC	0.20157858930796912
SERPINF1	RBP4	0.29052160921266434
SERPINF1	CFI	0.35816868650570477
SERPINF1	APOA4	0.30531755049623843
SERPINF1	SELPLG	0.10735650245480066
SERPINF1	C1R	0.34584545039088166
SERPINF1	AFM	0.3529271171667139
SERPINF1	CPN2	0.3522191884263357
SERPINF1	CD5	0.15619082517856953
SERPINF2	PAPPA	0.16656159730662168
SERPINF2	VTN	0.5205722904086505
SERPINF2	THRB	0.511707540495971
SERPINF2	MMP3	0.16286204554867023
SERPINF2	CHI3L1	0.16296459494139892
SERPINF2	ITIH1	0.5383641119004388
FLT3LG	DNER	0.3219442394122014
FLT3LG	TGFA	0.35210522023103064
RNASE3	IL27	0.16735973541233484
RNASE3	OLR1	0.40588718008856883
RNASE3	IL16	0.25912862136319337
DKK1	ESM1	0.22211829881469303
DKK1	CD274	0.6438278532175161
PRAP1	CSF1	0.5349742377792426
PRAP1	MUC16	0.15808411111204812
PRAP1	OLR1	0.31994633222724644
PRAP1	MMP10	0.22045435856886808
PRAP1	TNFRSF1A	0.5886347912446697
PRAP1	MMP12	0.2810369177478549
PRAP1	KLK11	0.296738202410582
PRAP1	LRG1	0.27166366605526093
AZGP1	RBP4	0.36241656133392297
AZGP1	SERPING1	0.3807832398771298
AZGP1	FGA	0.3854537387624104
AZGP1	APOA4	0.3394484684264345
AZGP1	TNFRSF1A	0.22086415698055895
AZGP1	ABCF1	0.32414751820225884
