Regulator	Target	MI
SPON1	NT-pro-BNP	0.17732054269829245
SPON1	HBD	0.16963271231810584
SPON1	ESM1	0.202894194297512
SPON1	PGF	0.2830134185279345
SPON1	TNFRSF11B	0.27855988879757554
SPON1	AGER	0.20297544995850458
SPON1	FGF23	0.26870879468065745
SPON1	CMA1	0.1828297101649401
SPON1	VEGFD	0.1860047168531107
SPON1	TEK	0.22929495969341307
PGLYRP2	IGHG4	0.26264101706952836
PGLYRP2	C6	0.44961005897224116
PGLYRP2	APOH	0.4511721165960383
PGLYRP2	TF	0.3076291664165183
PGLYRP2	ALB	0.4588234796634332
PGLYRP2	SERPINA7	0.436105100679967
PGLYRP2	CLEC3B	0.4045814421751217
C4BPA	CFI	0.5765595753094424
C4BPA	C2	0.5459873511911519
C4BPA	SAA4	0.3312905954821428
C4BPA	ERVMER34-1	0.5900587769270658
C4BPA	APOC2	0.39132430007849184
SLC4A1	HBD	0.27614388133685264
SLC4A1	APOC2	0.24556594430820766
SLC4A1	FASN	0.09952048902737243
SLC4A1	HRG	0.25254253232716284
SLC4A1	C1QC	0.2559767598021052
TNFSF10	DNER	0.21456081981799358
TNFSF10	FGF21	0.23586837638799452
TNFSF10	CMA1	0.25870188110663417
TNFSF10	CD6	0.276452183536648
TNFSF10	GDNF	0.27035279680809765
IL12B	CSF1	0.17584894528438522
IL12B	IL10	0.3136249390259378
IL12B	SERPINF2	0.15381622990163368
IL12B	CXCL11	0.21688804880628876
IL12B	CD5	0.3322734407627328
TNFSF11	CCL8	0.096870907435604
TNFSF11	BDNF	0.07820901367778355
TNFSF11	CMA1	0.3073213023623902
TNFSF11	GDF15	0.1271552003041121
TNFSF11	APOA2	0.1663582663773644
TNFSF11	KITLG	0.14383515132002955
TNFSF11	LTA	0.19579794208845414
IL15RA	RBP4	0.10098140936402444
IL15RA	IL10RB	0.3533126263800712
IL15RA	TNFSF12	0.2895206131025949
IL1R1	CSF1	0.2647527361297417
IL1R1	HGF	0.31645765333718145
IL1R1	LTA	0.18683798142670227
IL1R1	CFI	0.17286723666185821
IL1R1	CCL7	0.251044075398255
IL1R1	EIF4EBP1	0.1323913304624611
IL1R1	S100A12	0.1991022665548119
IL1R1	CXCL10	0.17685147563897363
IL1R1	LEP	0.238369123791224
SERPINF1	C1QB	0.3412961550912268
SERPINF1	AFM	0.310123070756287
SERPINF1	ERVMER34-1	0.3748501551765422
SERPINF1	FASN	0.1718106371640351
SERPINF2	IL12B	0.14822534530868126
SERPINF2	FBLN1	0.2499179113972918
SERPINF2	VTN	0.529201299421433
SERPINF2	SLAMF1	0.15012444714579232
SERPINF2	CXCL8	0.10053236421332912
SERPINF2	THRB	0.46059305112104987
SERPINF2	C8A	0.4651156713210165
SERPINF2	PLG	0.46470376819076
SERPINF2	ITIH1	0.5893171674430073
SERPINF2	AGT	0.4488505382171297
SERPINF2	APOC1	0.2675475829933527
FLT3LG	CXCL9	0.2879869918195981
FLT3LG	CCL4L1	0.2534202243985151
FLT3LG	GAL	0.11860829198347034
FLT3LG	FBLN1	0.1284559276099646
FLT3LG	MUC16	0.14309438375162742
FLT3LG	IL10RB	0.36487078323081956
FLT3LG	TNFSF12	0.2844887538934806
FLT3LG	IL6	0.15374706959042062
FLT3LG	CCL28	0.24792991506050743
RNASE3	CXCL6	0.15680290665247565
RNASE3	OLR1	0.47616688363496085
RNASE3	HGF	0.30733740358590644
RNASE3	CLEC3B	0.1330340270198791
DKK1	NGF	0.14309359502549235
DKK1	CD274	0.6546454652614999
PRAP1	IL27	0.3256305261806496
PRAP1	OLR1	0.23767493453114685
PRAP1	TNFRSF1B	0.537463745163751
PRAP1	TNFRSF11B	0.27096800408691557
AZGP1	RBP4	0.4451795730825401
AZGP1	HBD	0.2995538752580229
AZGP1	APOA4	0.3706053095252768
AZGP1	CCL23	0.12304432357474582
AZGP1	GSN	0.27831481211909903
RBP4	IGHG4	0.26215751175832036
RBP4	AZGP1	0.44590792145788605
RBP4	FN1	0.25520460923374966
RBP4	MBL2	0.24697817619487417
RBP4	AFM	0.2846806548152889
RBP4	CPN2	0.4402306713104256
RBP4	APOC3	0.34588411709526845
RBP4	IL2RB	0.05868633108011867
PAPPA	CDCP1	0.1101940778871624
PAPPA	SAA4	0.21717128565692168
PAPPA	CCL2	0.12314821715873858
PAPPA	IL18R1	0.11733707373471702
SERPING1	APOB	0.3595720075409359
SERPING1	APOA1	0.3437847631177666
SERPING1	SERPINC1	0.39373012065561674
SERPING1	GC	0.49866401789726034
CFB	LPA	0.22297087818307837
CFB	CFH	0.5161643591812028
CFB	C2	0.5314315088276382
CFB	PSPHP1	0.5844635391987651
CFB	SERPINA6	0.46859340759639334
CFB	SERPINA7	0.5036618715239909
CFB	FGA	0.4552223103357038
CFB	CCL11	0.11382283457043041
CFB	C1R	0.3840447245062588
CFH	PLAT	0.17062725938389445
CFH	FST	0.12965629867715123
CFH	CFB	0.5161643591812028
CFH	CFI	0.5030603215554947
CFH	ITIH1	0.5063618137486561
CFH	LEP	0.2396317912199839
CFH	KLKB1	0.33874135690428275
CFI	FCN3	0.37910465637065105
CFI	C4BPA	0.5825411999756325
CFI	IL1R1	0.17286723666185821
CFI	CFH	0.5030603215554947
CFI	C3	0.3878700963716737
CFI	C5	0.47954709768903214
CFI	C6	0.43966770066806404
CFI	U6	0.11710250751684015
CFI	THRB	0.5036239364915325
IL20RA	ORM1	0.060524166666009016
IL20RA	IL20	0.09518929408547017
IL20RA	LIFR	0.08098443471426897
IL20RA	IL2	0.08515220326172113
IL20RA	IL22RA1	0.08947945534413027
PDGFB	IL10RA	0.14195263392972723
PDGFB	LTA	0.08922790186159801
PDGFB	PTX3	0.054576076111474414
TGFA	FGF5	0.2675221366908991
TGFA	IL10	0.381637937697187
TGFA	CCL13	0.2600305469352371
TGFA	CCL11	0.2872680344779619
TGFA	KLK6	0.1744400669858983
TGFA	CCL8	0.24306904410088137
TGFA	NTF3	0.24588898190588804
TGFA	SLAMF1	0.36565899178258654
TGFA	CCL25	0.2887032552826758
TGFA	CCL23	0.27962758488824324
TGFA	IL10RB	0.3852153649400609
TGFA	GDNF	0.3100199984474985
TGFA	IL17A	0.20350517738018237
A1BG	HBE1	0.3093806783897426
A1BG	KNG1	0.363569600213145
A1BG	C2	0.6064236439428283
A1BG	AMBP	0.5030298705713863
A1BG	MRS2	0.44291543341965056
A1BG	NT-pro-BNP	0.09558785255867619
A1BG	C8A	0.3904283567716016
A1BG	SERPINA7	0.43732697597586956
A1BG	ITIH4	0.49699968457877386
A1BG	CD5L	0.3129747960975182
A1BG	PLG	0.37309919540571634
A1BG	CPN2	0.49534194916716956
A1BG	CCL3	0.1263486934762268
A1BG	IL10RA	0.11292026712556158
A1BG	KLKB1	0.40500939171344363
HPR	FN1	0.2712533692585559
HPR	IL5	0.04740988088764819
HPR	APOL1	0.6529427081663979
HPR	APOC3	0.2621272819145002
C2	C4BPA	0.5412663763628274
C2	CFB	0.5146349875615606
C2	A1BG	0.5926415121891226
C2	SERPINA3	0.513001237507428
C2	CCL25	0.12366444928935572
KLK6	APOA2	0.15764494697744968
KLK6	PGF	0.22241403640398527
KLK6	GAL	0.24932917487307904
KLK6	TGFA	0.17444006698589742
C3	CFI	0.3878700963716737
C3	VTN	0.43974370382161965
C3	ITIH4	0.5114856497537765
SULT1A1	HSPB1	0.5381408657715934
SULT1A1	STAMBP	0.7591227528291409
SULT1A1	FABP4	0.08914417975778566
SULT1A1	IL7	0.38183646434648466
SULT1A1	IL18R1	0.09942019511577715
C5	CLU	0.39856265585314254
C5	CFI	0.4719948143461714
C5	C8A	0.379987322769475
C5	FGG	0.47072181450684614
APOM	APOD	0.2858016509754373
APOM	MBL2	0.28086730204075927
APOM	STOM	0.23409630289842465
APOM	APOL1	0.3035064528394624
APOM	GC	0.29930150958006063
APOM	APOC1	0.4579539648400095
C6	PGLYRP2	0.44961005897224293
C6	MPO	0.15399920093510744
C6	IGHG2	0.3967726548889443
C6	IL6R	0.23299751315425166
C6	CFI	0.43790117726286404
C6	IGHA2	0.3101576550083358
C6	AMBP	0.4249489534531605
C6	BDNF	0.10327657478728547
C6	SERPINA3	0.48259888699291587
C6	ERVMER34-1	0.43005647883774234
C7	F13A1	0.34345053496208156
C7	HGF	0.20405161088805457
C7	APOD	0.3193897491376214
C7	APOA2	0.28410824623778286
C7	CCL13	0.13227354609316855
C7	ITIH4	0.5972834606556683
APOH	PGLYRP2	0.4502040309162929
APOH	VTN	0.36633881001682767
APOH	APOA4	0.38614489034431365
APOH	ERVMER34-1	0.45083362011362293
Total-IGHG	IGHG3	0.3299656715654544
Total-IGHG	IGHG1	0.7439385291062521
Total-IGHG	IGHG2	0.3837738976507481
Total-IGHG	IGHA2	0.24956993322610277
Total-IGHG	APOL1	0.2700938780444888
Total-IGHG	APOC3	0.24738028002902723
Total-IGHG	CD5	0.11603375437247543
S100A12	OLR1	0.3067368468625489
S100A12	IKBKG	0.1354552596902785
S100A12	IL1R1	0.1991022665548119
S100A12	ITIH2	0.13390966745101984
S100A12	RETN	0.17496533955183313
S100A12	NTF3	0.07552056031241161
APOD	APOM	0.29273424567812345
APOD	C7	0.32329475871061053
APOD	DNER	0.17271610923339598
APOD	MMP3	0.175739156849124
APOD	HBA1	0.32196702184201786
APOD	GAL	0.10941557235064003
APOD	AFM	0.28521088424943564
APOE	HBE1	0.2534540028426866
APOE	CD5L	0.27253998319425854
APOE	AFM	0.3740661543051189
APOE	APOC3	0.4911213679067199
APOB	F13A1	0.3476888686751831
APOB	IGHG1	0.3068375409133619
APOB	SERPING1	0.3856181244625301
APOB	CTSD	0.10640115349846901
APOB	ITIH4	0.4263612230027869
APOB	CCL19	0.11444078639608968
APOB	AGT	0.37185095153646763
APOB	APOC2	0.42773860733914226
IGHA1	IGHG1	0.29438157042277435
IGHA1	IGHG2	0.2780108027684065
IGHA1	FBLN1	0.2678464937468421
IGHA1	IGHA2	0.6292700969934879
IGHA1	SLAMF1	0.1729065027745209
IGHA1	SERPINA3	0.30702384606302857
IGHA1	APOC3	0.27584552327910306
IGHA1	PF4	0.2825718737862255
IGHA2	HBE1	0.24287287815506353
IGHA2	C6	0.3079370242016646
IGHA2	Total-IGHG	0.24179317509363862
IGHA2	IGHA1	0.6390225859410723
IGHA2	SERPINA1	0.2521468799311295
SLAMF1	NRTN	0.05939287848336594
SLAMF1	IL15RA	0.33732168508860116
SLAMF1	SERPINF2	0.13565344765289833
SLAMF1	LIFR	0.26095442867781937
SLAMF1	IL20RA	0.0962421650758456
SLAMF1	TGFA	0.36565899178258654
SLAMF1	IGHA1	0.16028695950412608
