Regulator	Target	MI
SPON1	ESM1	0.24678576943979902
SPON1	CTSD	0.2373448675110934
SPON1	PRAP1	0.3505656665555321
SPON1	PGF	0.3396973972661277
SPON1	TEK	0.17770390861186147
SPON1	C1QC	0.1774451040941658
PGLYRP2	SERPINA7	0.3463043622998345
PGLYRP2	HBA1	0.2718936724701875
PGLYRP2	SERPINC1	0.3824150151796335
PGLYRP2	ALB	0.3339711950209967
C4BPA	CLU	0.45991057388790946
C4BPA	KNG1	0.4519751025337575
C4BPA	C2	0.5282417626171423
C4BPA	C6	0.47025346865420303
C4BPA	THRB	0.45207294071946436
C4BPA	SERPIND1	0.5006629222104539
C4BPA	APOC2	0.5016237727508388
SLC4A1	SERPINF1	0.2554535752397955
SLC4A1	HPR	0.27096715974040286
SLC4A1	APOD	0.24344180338874732
SLC4A1	CP	0.2734393924097871
SLC4A1	APOC2	0.2662137215099696
SLC4A1	PF4	0.21277513811304338
TNFSF10	IL27	0.17667961552746547
TNFSF10	IGHG3	0.14643787458226498
TNFSF10	DNER	0.3124792836823014
TNFSF10	PLAUR	0.30853317498157296
TNFSF10	CMA1	0.31224726165157524
TNFSF10	GDNF	0.16052230338002982
TNFSF10	KLKB1	0.13504605858067809
TNFSF10	CD244	0.22951922228988142
IL12B	FGG	0.1194907411679722
IL12B	CDCP1	0.19605445984603342
IL12B	LTA	0.2704511439477546
IL12B	TNFRSF9	0.35422990829393797
IL12B	CXCL11	0.2820843600532017
TNFSF11	CXCL8	0.08852020222646839
TNFSF11	AGER	0.10727946422312407
TNFSF11	MB	0.10943374908367165
TNFSF11	FGF23	0.19004932982586276
TNFSF11	SERPIND1	0.14599444060240252
TNFSF11	CMA1	0.21632018917243823
TNFSF11	KITLG	0.08973808244473513
TNFSF11	IL7	0.09368564937686319
IL15RA	FGF5	0.20598888559056583
IL15RA	PRAP1	0.16776994483839225
IL15RA	IL10RB	0.3548289933093365
IL1R1	PRAP1	0.28141752680454335
IL1R1	CFI	0.24543170963694472
IL1R1	CCL19	0.13504222326052595
IL1R1	FABP4	0.31169474193941404
SERPINF1	AZGP1	0.3645857316035723
SERPINF1	CFI	0.45342310713515044
SERPINF1	APOH	0.4145076482975911
SERPINF1	CSTB	0.24808041118027635
SERPINF2	MPO	0.13027855200942096
SERPINF2	SELENOP	0.3122357784383656
SERPINF2	IGHA2	0.25907670669012095
SERPINF2	THRB	0.5057530897387528
SERPINF2	CCL11	0.10317245358957372
SERPINF2	ITIH1	0.5586186592611897
SERPINF2	ERVMER34-1	0.44217963420978545
FLT3LG	CTSL	0.11963759457714929
FLT3LG	DNER	0.2283043370378257
FLT3LG	PLAUR	0.2089150229666954
FLT3LG	LIFR	0.2519348518355642
FLT3LG	TNFRSF9	0.26558928222113387
FLT3LG	ARTN	0.0718263255762368
RNASE3	U6	0.10387238904267715
RNASE3	PGLYRP2	0.10215265201975576
RNASE3	MPO	0.3873933429122074
RNASE3	FST	0.12028525741267071
RNASE3	IL16	0.2543110870758678
DKK1	CXCL1	0.5910645783433166
DKK1	C1R	0.19107210771185645
DKK1	BDNF	0.10650940568878653
PRAP1	SPON1	0.3505656665555321
PRAP1	CSF1	0.5599876381199991
PRAP1	IL15RA	0.15879305324865634
PRAP1	IL1R1	0.2814175268045416
PRAP1	TNFRSF11B	0.37703939231481787
PRAP1	GDNF	0.15881760897339703
PRAP1	IL27	0.2999938788024483
PRAP1	OLR1	0.39304526966547826
PRAP1	TNFRSF1B	0.5249263545488532
PRAP1	LRG1	0.16017240091606766
AZGP1	FCN3	0.3378064472068356
AZGP1	SERPINF1	0.3676793795622517
AZGP1	PGF	0.15247909894535372
AZGP1	APOD	0.3399049505230112
AZGP1	APOA4	0.24249429796204502
RBP4	SLC4A1	0.2591184923300647
RBP4	APOH	0.32838604160914375
RBP4	TTR	0.34675188948824864
RBP4	APOC3	0.32397216049126687
RBP4	LRG1	0.2855091516987329
PAPPA	ESM1	0.16766405256344097
PAPPA	MB	0.13177325299229636
PAPPA	CDCP1	0.15086623773948826
PAPPA	REN	0.10409865634363413
PAPPA	KLKB1	0.1427366113774733
SERPING1	C2	0.40360840126407727
SERPING1	APOM	0.33552342232936905
SERPING1	SERPINC1	0.40364592855521675
SERPING1	GC	0.418454506846035
CFB	CFI	0.6337746849769967
CFB	C2	0.5850317374280554
CFB	KLK6	0.1536615364880083
CFB	C5	0.5331660611620199
CFB	PSPHP1	0.47919143751148496
CFB	FN1	0.3388549303980293
CFB	CD5	0.160142106723697
CFH	FCN3	0.31385087139831214
CFH	CCL4L1	0.10878612045037617
CFH	HBE1	0.34059925275215797
CFH	CFI	0.7393544732191186
CFH	TNFSF14	0.19418191547549402
CFH	SERPINA3	0.5325247925824632
CFH	C1R	0.43995051690221487
CFH	LEP	0.2726364357888853
CFI	PLAT	0.2021700305321712
CFI	IL1R1	0.23710584341790675
CFI	SERPINF1	0.4623165863601226
CFI	CFB	0.6400844566121933
CFI	CFH	0.7481501187564614
CFI	C6	0.47799136245711527
CFI	APOE	0.4516730846535495
CFI	SERPINA6	0.5000769235979554
CFI	PLG	0.43435353076251637
CFI	ERVMER34-1	0.5518028250087283
CFI	IL10RA	0.08593980762972997
IL20RA	CCL23	0.1229747298720758
IL20RA	IL13	0.14021071924312345
IL20RA	PDGFB	0.13110475184231074
IL20RA	IL2	0.14446691064716255
IL20RA	IL22RA1	0.10723382280530913
IL20RA	IL1A	0.10757074549577172
IL20RA	IL2RB	0.1099433639562637
IL20RA	LTA	0.08860787652201996
IL20RA	NRTN	0.10208145990971484
IL20RA	APOE	0.057796870196161976
PDGFB	IL10RA	0.13177410694576697
PDGFB	IL20RA	0.15354546317677986
PDGFB	IL17A	0.12886344532524596
TGFA	IL10	0.37852123011421046
TGFA	LIFR	0.2751317488181195
TGFA	SLAMF1	0.34709619532952907
TGFA	IL10RB	0.34897064360483565
TGFA	TNFRSF9	0.4071058459795829
TGFA	OSM	0.2825943590463105
TGFA	IL5	0.0705514353257044
TGFA	GDNF	0.3506640661958569
TGFA	CD5	0.3292753196312894
TGFA	IL7	0.27283904075485665
TGFA	IL17C	0.23074391288464557
A1BG	HBE1	0.3863328382598912
A1BG	C2	0.5290973339031684
A1BG	PSPHP1	0.4774713719490613
A1BG	CP	0.5009344118230894
A1BG	KLKB1	0.4268354641930756
A1BG	PF4	0.2984628388426227
HPR	SLC4A1	0.27096715974040286
HPR	HBE1	0.26302384214657604
HPR	APOM	0.3339135916396847
HPR	APOH	0.32342160947833953
HPR	Total-IGHG	0.30587317355446153
HPR	CD5L	0.2605444295333301
HPR	APOL1	0.7536505174414048
C2	C4BPA	0.5192228876880716
C2	SERPING1	0.405014993701732
C2	CFB	0.5850317374280536
C2	A1BG	0.5290973339031702
C2	C3	0.4674790702949556
C2	SERPINA7	0.4457646505603359
C2	ITIH4	0.4815801463055731
C2	C1S	0.42917941627091505
