Regulator	Target	MI
SPON1	DKK1	0.17254668109836935
SPON1	LTA	0.11116212290673921
SPON1	TNFRSF11B	0.3247014559934911
SPON1	AGER	0.20878182921414457
SPON1	CCL3	0.22878454367602163
SPON1	TNFRSF10B	0.32600553933508625
PGLYRP2	CLU	0.39499512433883766
PGLYRP2	IGHG3	0.28506927583048736
PGLYRP2	C5	0.3686297327930568
PGLYRP2	IGHA2	0.28907930424766715
PGLYRP2	TF	0.3605681158950018
PGLYRP2	ALB	0.48803757958866445
PGLYRP2	APOA1	0.3674127694683351
C4BPA	CLU	0.48612006058933943
C4BPA	SERPINF1	0.4128242486203195
C4BPA	CFI	0.5654883685250613
C4BPA	C2	0.5763627796968178
C4BPA	IL2	0.07329113351234984
C4BPA	THRB	0.5449880708730062
C4BPA	ORM2	0.5404324118236303
C4BPA	AHSG	0.4079327965280406
C4BPA	CPN2	0.4478149796054991
C4BPA	CCL2	0.10137744224989298
C4BPA	ERVMER34-1	0.5264285047139525
C4BPA	APOC3	0.4460428546704094
C4BPA	KLKB1	0.4710184477790742
SLC4A1	LPA	0.29005692179877673
SLC4A1	HBA1	0.345707025846135
SLC4A1	SAA4	0.302607915427461
SLC4A1	GC	0.3384625516292017
SLC4A1	PF4	0.30869882556904216
TNFSF10	DNER	0.27404862986549894
TNFSF10	PLAUR	0.21999933318985132
TNFSF10	C1QB	0.0951757502484627
TNFSF10	CMA1	0.20203504327843458
IL12B	IL10	0.29813314197812524
IL12B	HGF	0.21807837556894416
IL12B	APOA1	0.0765800705322901
IL12B	BDNF	0.13002703490294643
IL12B	TNFRSF9	0.43712941934072624
TNFSF11	NT-pro-BNP	0.0821738674003969
TNFSF11	THBD	0.11433015510259281
TNFSF11	C7	0.09781764417984284
TNFSF11	CMA1	0.20521865573428677
TNFSF11	CD6	0.15873624145783882
IL15RA	FGF5	0.2912388346070385
IL15RA	TGFA	0.422361247766581
IL15RA	APOM	0.12279767195013847
IL15RA	CCL7	0.2517145155277829
IL15RA	SLAMF1	0.33962047931933714
IL15RA	LIF	0.20072598773729755
IL15RA	IL2RB	0.17866101138585666
IL1R1	HGF	0.24742584397838296
IL1R1	GAL	0.12095622915359971
IL1R1	CCL20	0.1770917633400808
IL1R1	FABP4	0.34533977468496957
SERPINF1	C4BPA	0.4029570170961341
SERPINF1	FGF5	0.10227904941533339
SERPINF1	Total-IGHG	0.2617548633868738
SERPINF1	IL5	0.06863887686601533
SERPINF1	TNFRSF1A	0.2026744072067972
SERPINF2	VTN	0.39848936069749996
SERPINF2	ITIH1	0.5308499386892587
SERPINF2	ERVMER34-1	0.48528371199549447
FLT3LG	MMP7	0.0853429354160653
FLT3LG	PLAUR	0.2565799040949326
FLT3LG	CLEC3B	0.15080259483491076
FLT3LG	SERPIND1	0.12691968357027594
RNASE3	OLR1	0.3610650698058535
RNASE3	IL16	0.2283071642436152
RNASE3	KLK11	0.1611360611403274
DKK1	SPON1	0.17254668109836935
DKK1	MMP10	0.0860502640432399
DKK1	CD274	0.7536462411792373
DKK1	IL18R1	0.1257248544772116
PRAP1	PSPHP1	0.11806551680392285
PRAP1	TNFRSF10B	0.45363362524097006
PRAP1	OLR1	0.2513565826086861
PRAP1	TNFRSF1A	0.4691420671595372
PRAP1	CCL20	0.18515579519443115
AZGP1	RBP4	0.35480398139461844
AZGP1	ERVMER34-1	0.3874037437813067
