Regulator	Target	MI
SPON1	NT-pro-BNP	0.19725214137207914
SPON1	OLR1	0.22741031834949688
SPON1	MMP12	0.2924417726141568
SPON1	FBLN1	0.13820812196514254
SPON1	TNFRSF11B	0.3682940932307659
SPON1	AGER	0.2820302848945033
SPON1	TNFRSF10B	0.3325870389071879
PGLYRP2	ALB	0.3865910395373202
PGLYRP2	SERPINA7	0.4248533907975185
PGLYRP2	ITIH4	0.4635668398730104
C4BPA	CFI	0.5406278831957527
C4BPA	KNG1	0.42872602592715037
C4BPA	MRS2	0.51431107102038
C4BPA	THRB	0.5835208130834175
C4BPA	ORM2	0.4615182058078835
C4BPA	ITIH4	0.47722488474074254
C4BPA	C1S	0.4437457883334579
C4BPA	PLG	0.44436126687417676
SLC4A1	HRG	0.2771065215359112
SLC4A1	FGA	0.3003817494641172
SLC4A1	CD5L	0.31251651845218387
SLC4A1	AFM	0.27881785499434564
SLC4A1	PF4	0.23841715213941406
TNFSF10	DNER	0.2978877618207827
TNFSF10	TGFA	0.3454128032149155
TNFSF10	C5	0.1622400460344089
TNFSF10	CCL25	0.21795875119924268
TNFSF10	CMA1	0.23531603592422634
IL12B	CCL25	0.30435874525380857
IL12B	TNFRSF9	0.43680440248241403
IL12B	OSM	0.2893555237994123
IL12B	TNFRSF10B	0.26353483452189774
IL12B	CXCL10	0.28074406751436687
IL12B	LRG1	0.21126988450699447
TNFSF11	CD5L	0.08386161216822341
TNFSF11	RETN	0.1279743442012311
TNFSF11	CMA1	0.2923204770085377
IL15RA	NRTN	0.07864197943328843
IL15RA	TGFA	0.4563279362373649
IL15RA	CX3CL1	0.17800492106639965
IL15RA	ESM1	0.15566371104554655
IL15RA	ITIH2	0.165946020160618
IL15RA	CCL28	0.31722099644088964
IL1R1	TGFA	0.13255412008884537
IL1R1	IL1RL1	0.17691306802085194
IL1R1	CCL20	0.22736719228875568
IL1R1	SELE	0.22755499456294004
IL1R1	LEP	0.29192121762892054
SERPINF1	FCN3	0.37599072573184955
SERPINF1	RBP4	0.3245207890544908
SERPINF1	VTN	0.3970022293747695
SERPINF1	GPX3	0.2712568787656586
SERPINF1	TNFRSF1A	0.18772100388320467
SERPINF1	C1R	0.3709430545395218
SERPINF1	ABCF1	0.304419521861111
SERPINF2	NPPB	0.12925511069645523
SERPINF2	TF	0.31082661688324276
SERPINF2	APOA2	0.3367193474368362
SERPINF2	ITIH1	0.42735930516943466
SERPINF2	ERVMER34-1	0.4455999061611715
SERPINF2	APOC2	0.31572063503813563
FLT3LG	ADM	0.1463916614203109
FLT3LG	PLAUR	0.3508802450416395
FLT3LG	GAL	0.1416122446610908
FLT3LG	BDNF	0.15257734649691024
FLT3LG	TNFSF12	0.3312135521952282
RNASE3	CASP8	0.1902166939675798
RNASE3	OLR1	0.3982994859705693
RNASE3	IL16	0.2246045706132449
RNASE3	PAPPA	0.15562625951211118
DKK1	CD274	0.7327231921641646
PRAP1	NPPB	0.16450033449511103
PRAP1	HGF	0.35526620310890955
PRAP1	FGF23	0.27760833168678367
PRAP1	TNFRSF9	0.2886974866015404
PRAP1	REN	0.2198983546252249
PRAP1	IL27	0.321867139088317
PRAP1	MMP7	0.35084546154993745
PRAP1	TNFRSF1A	0.5930362850958897
AZGP1	RBP4	0.3213594004561431
AZGP1	APOM	0.30493559399413783
AZGP1	Total-IGHG	0.2765625444834434
AZGP1	APOD	0.28280838684883847
AZGP1	CCL25	0.2063257303502759
AZGP1	ERVMER34-1	0.3259169522731984
AZGP1	VEGFA	0.16102489061009884
RBP4	IGHG4	0.38788148241363096
RBP4	AZGP1	0.32135940045614486
RBP4	SELENOP	0.27540077059807455
RBP4	CFB	0.32013408516024544
RBP4	APOH	0.4480009496459889
RBP4	IGHA2	0.3159309803115109
RBP4	IGHM	0.2885285882776891
RBP4	MBL2	0.3352602636267408
RBP4	ITIH1	0.3832502677156322
RBP4	APOC3	0.41579966557904235
PAPPA	ESM1	0.1857325730932411
PAPPA	HGF	0.15137968411451475
PAPPA	MMP3	0.09582250192844022
PAPPA	RNASE3	0.16104305458480717
PAPPA	CDCP1	0.1227499731204027
PAPPA	SERPIND1	0.2043705496154704
SERPING1	IGHG3	0.3339110252235207
SERPING1	IGHG4	0.31812699811709955
SERPING1	LPA	0.33753404796165576
SERPING1	APOM	0.3411891684949486
SERPING1	CP	0.409282189385328
SERPING1	APOA1	0.3772447716698988
SERPING1	CCL13	0.15842195487351507
SERPING1	SERPINC1	0.475888272572611
SERPING1	GC	0.5743153021747212
CFB	RBP4	0.33679011737638564
CFB	CFI	0.5415307224710846
CFB	C2	0.5661254737744681
CFB	PSPHP1	0.4470081061939615
CFB	SAA4	0.40466257213957046
CFH	FCN3	0.424796073002323
CFH	CFI	0.5425693838035182
CFH	HPR	0.33041324827081553
CFH	VTN	0.4811441932037335
CFH	CX3CL1	0.1825106585172982
CFH	FGG	0.4853825989303866
CFH	ERVMER34-1	0.5494221394370857
CFH	SERPIND1	0.49590570848374327
CFI	C4BPA	0.540627883195751
CFI	PLAT	0.23789853188314058
CFI	CFB	0.5410053633395631
CFI	CFH	0.5354797510846785
CFI	C3	0.4854332740130918
CFI	C5	0.5049789474622086
CFI	SERPINA6	0.49451450029636046
CFI	MBL2	0.36418683536837193
CFI	AHSG	0.3750123556838867
CFI	C1QB	0.4335614562685448
CFI	LEP	0.28973037462325824
IL20RA	IL20	0.137541608076857
IL20RA	IGHA1	0.09537734320159963
IL20RA	IL10RA	0.12863705079190169
IL20RA	IL1A	0.12875399966043766
IL20RA	GDNF	0.08022975857834425
PDGFB	IL20	0.1470091848823989
PDGFB	TNF	0.1397091533580186
PDGFB	IL15RA	0.1803120584173845
PDGFB	IL2	0.11388478403621072
PDGFB	IL22RA1	0.1117810441787368
PDGFB	CXCL11	0.18147085390709972
PDGFB	IL7	0.19981496344710337
TGFA	TNFSF10	0.3482115250236344
TGFA	IL15RA	0.44945151225774715
TGFA	IL1R1	0.12699920681679178
TGFA	SLAMF1	0.46658312089271003
TGFA	TNFSF12	0.3600150777258495
TGFA	GDNF	0.3976314050979086
TGFA	CXCL9	0.3925711311997073
TGFA	IL10	0.39349737330190315
TGFA	NGF	0.1980111194378038
TGFA	SAA4	0.20056662073410703
TGFA	NTF3	0.28246317831677636
TGFA	CCL23	0.2607084570817326
TGFA	IL10RB	0.41147774000018256
TGFA	IL10RA	0.1738068971740825
