Regulator	Target	MI
SPON1	MPO	0.25229246113512804
SPON1	MB	0.19294092397075957
SPON1	PGF	0.46156021338418274
SPON1	FBLN1	0.17029926187823197
SPON1	TNFRSF11B	0.28649326270651887
SPON1	AGER	0.2380573602990399
SPON1	KITLG	0.13855957726527013
PGLYRP2	CLU	0.4288188647165114
PGLYRP2	ALB	0.4027107318803891
PGLYRP2	SHBG	0.3188148780816151
C4BPA	CLU	0.5533112408794656
C4BPA	SERPINF2	0.4923374709196935
C4BPA	CFI	0.5752997942262157
C4BPA	THRB	0.6049261941556807
C4BPA	ORM2	0.48329412237034575
C4BPA	STOM	0.2577962507036631
C4BPA	KLKB1	0.48842639968345924
SLC4A1	SERPINA3	0.26017555764749734
SLC4A1	C1R	0.2976244466709739
SLC4A1	TTR	0.2803081117368693
TNFSF10	DNER	0.2942625732309736
TNFSF10	PLAUR	0.3546207742411447
TNFSF10	CMA1	0.36467940585801717
TNFSF10	IL10RB	0.3340573945640495
TNFSF10	GDNF	0.269805565814516
IL12B	FBLN1	0.17868737393694278
IL12B	TNFRSF9	0.45682957795326384
IL12B	CXCL9	0.3649255338726922
IL12B	MBL2	0.1754273493035008
TNFSF11	NT-pro-BNP	0.11628116311460879
TNFSF11	SERPINA6	0.17402067762870388
TNFSF11	IL16	0.12476618490501501
TNFSF11	CCL13	0.1561828963956593
TNFSF11	CMA1	0.27170129410833255
TNFSF11	EGF	0.11721254817633397
TNFSF11	PTX3	0.06912212812916874
IL15RA	IL24	0.07490502335333904
IL15RA	LIFR	0.2915327477768752
IL15RA	PRAP1	0.14660605918478176
IL15RA	IL10RB	0.34368580221259837
IL1R1	HGF	0.26517886294618
IL1R1	C2	0.20636680182573652
IL1R1	APOD	0.19177692941936364
IL1R1	CCL8	0.15276666781087656
IL1R1	CCL20	0.2305061762388556
IL1R1	LEP	0.28226411566426624
SERPINF1	FCN3	0.30127703888147117
SERPINF1	RBP4	0.285290154901479
SERPINF1	CFH	0.2875130189034163
SERPINF1	TGFA	0.1365611519378911
SERPINF1	APOH	0.30972884097426956
SERPINF1	CSTB	0.22319950676078282
SERPINF2	C4BPA	0.5127085454426599
SERPINF2	AZGP1	0.34786471412478726
SERPINF2	VTN	0.4878288732859657
SERPINF2	APOB	0.42271436508873705
SERPINF2	IGHA1	0.2636135124091732
SERPINF2	HSPB1	0.15871672210978627
SERPINF2	THBD	0.14321135001587315
SERPINF2	SAA4	0.46590610056864
SERPINF2	ITIH1	0.5092499655164158
FLT3LG	PLAUR	0.38388845809357
FLT3LG	NTF3	0.2765760297435884
FLT3LG	CCL25	0.34346638382239725
FLT3LG	IL10RB	0.2851483188640005
FLT3LG	TNFSF12	0.2964036145443645
FLT3LG	GDNF	0.29930963339264416
FLT3LG	ARTN	0.05996492524262553
FLT3LG	CCL28	0.2737925866306945
RNASE3	MPO	0.31891669977702275
RNASE3	HGF	0.3183346192219769
RNASE3	C1S	0.15250314455328162
RNASE3	FGF23	0.14789643420996157
DKK1	CXCL1	0.642587770775986
DKK1	CXCL11	0.22792990461476226
DKK1	IL2RB	0.050375359001767706
PRAP1	IL15RA	0.14258284805602894
PRAP1	HGF	0.35648085966042675
PRAP1	CFI	0.19700719150464607
PRAP1	TNFRSF11B	0.44691499444224725
PRAP1	DNER	0.19861144137814968
PRAP1	MMP10	0.29265118304079696
PRAP1	TNFRSF1A	0.47008857086723577
PRAP1	RETN	0.3186391757702909
PRAP1	KLK11	0.3531205654088394
PRAP1	FABP4	0.3240533552653524
AZGP1	SERPINF2	0.34792882684856075
AZGP1	SERPING1	0.28973415300940264
AZGP1	APOD	0.2753978958874752
AZGP1	ORM1	0.3636131730553336
AZGP1	APOA4	0.2788033605441891
AZGP1	AFM	0.3215532644937298
RBP4	SERPINF1	0.28529015490147724
RBP4	SELENOP	0.3036747419960317
RBP4	KNG1	0.36389611007471956
RBP4	C6	0.2932053111419055
RBP4	FN1	0.32041800764539285
RBP4	SHBG	0.2990816434486101
RBP4	TTR	0.3303279475796712
PAPPA	CXCL8	0.2765962291626476
PAPPA	PGF	0.19987194827123567
PAPPA	SRC	0.1034454848147206
PAPPA	SAA4	0.2189326357872936
PAPPA	CCL25	0.1098681831658368
PAPPA	MUC16	0.1402283533162736
SERPING1	AZGP1	0.28973415300940264
SERPING1	APOB	0.44572718959042223
SERPING1	SERPINC1	0.4674129759141188
SERPING1	CPN2	0.40906014483002995
SERPING1	CCL19	0.13730706839044693
CFB	C2	0.6190045855286899
CFB	C6	0.4478352298888
CFB	ITIH4	0.45467348759401016
CFB	C1S	0.430024498204979
CFB	PF4	0.36521131926007566
CFH	CLU	0.48865020556855665
CFH	SERPINF1	0.2875638653992265
CFH	CFI	0.6367696493461015
CFH	C5	0.5363055376084471
CFH	C6	0.5068951239686701
CFH	IGHA2	0.24971162775278266
CFH	REN	0.16569456226718682
CFH	FGG	0.394067760730473
CFH	ITIH2	0.4238176654933534
CFH	AFM	0.45975384366574623
CFH	PLG	0.5036839744073243
CFI	C4BPA	0.5657665111659913
CFI	PRAP1	0.17182726620199062
CFI	CFH	0.6370151637318138
CFI	C2	0.6233436979041898
CFI	APOE	0.31847762865605667
CFI	SAA4	0.49729022371986176
CFI	CLEC3B	0.2994771542355936
CFI	SERPIND1	0.5365213529858446
CFI	C1QC	0.44945704252374075
IL20RA	IL20	0.1373414710224985
IL20RA	IL2	0.14198486208692795
IL20RA	IL1A	0.11932253832266682
PDGFB	SLAMF1	0.15950473537304344
PDGFB	IL22RA1	0.0851456191480997
PDGFB	CXCL11	0.1725109984440234
PDGFB	IL17A	0.17663282168653893
TGFA	FGF5	0.30863185137221105
TGFA	THBD	0.15135974872140245
TGFA	IL10	0.4423344032553107
TGFA	CST5	0.2671720792597796
TGFA	NTF3	0.2903063119479041
TGFA	SLAMF1	0.3614340344523681
TGFA	IL10RB	0.42579584519043223
TGFA	OSM	0.34247773333239806
TGFA	GDNF	0.34678820097280205
TGFA	CD5	0.4872751551514023
TGFA	IL17A	0.25347080784198806
A1BG	TNFSF11	0.17337737949004328
A1BG	HBE1	0.2950219976228228
A1BG	C2	0.6015336861900895
A1BG	TF	0.3806929429479764
A1BG	IL5	0.07035759445252587
A1BG	CPN2	0.40861143408621725
A1BG	KLKB1	0.4024594232210754
HPR	SERPINF1	0.22333577092899048
HPR	FBLN1	0.26958234996447494
HPR	APOM	0.3695889792243996
HPR	IGHA2	0.22393880374636232
HPR	HRG	0.306382013236032
HPR	APOL1	0.618584311092155
C2	CLU	0.5176047975656299
C2	IL1R1	0.22467755329179706
C2	CFB	0.6184547664589504
C2	CFI	0.6555476194522241
C2	A1BG	0.6015336861900895
C2	C3	0.4414675123351106
C2	MRS2	0.5231732517634624
C2	THRB	0.5047326653908524
C2	SERPINC1	0.40661872904240415
C2	ERVMER34-1	0.5896129121136724
KLK6	CCL4L1	0.08546445106305178
KLK6	HSPB1	0.11550954608398456
KLK6	MB	0.20002624108026978
KLK6	TNFRSF1B	0.39201560542487623
KLK6	GAL	0.21000094046569995
KLK6	FN1	0.09285442769668784
C3	IGHG2	0.2905374170263544
C3	C2	0.44267242641528703
C3	APOD	0.3502210613037091
C3	APOB	0.5506135283315947
C3	SHBG	0.3499591587984554
C3	ORM2	0.4703657376611776
C3	HBA1	0.2991611915978831
C3	ITIH4	0.5877681524328846
C3	CCL11	0.14910428598217074
C3	C1S	0.38600708060016764
C3	AFM	0.5287547586121697
C3	PLG	0.4078950018382663
SULT1A1	HSPB1	0.5259276740698962
SULT1A1	MBL2	0.16544759598313963
SULT1A1	STAMBP	0.803569805532125
SULT1A1	EIF4EBP1	0.537587071287029
