Regulator	Target	MI
SPON1	PRL	0.108712817984979
SPON1	MPO	0.27148675648781584
SPON1	PRAP1	0.329814969306077
SPON1	TNFRSF11B	0.39723799244095215
SPON1	AGER	0.23375134232197947
SPON1	CP	0.14933372384630594
SPON1	FASN	0.3756169778559295
PGLYRP2	SERPINA7	0.3912531587553367
PGLYRP2	HBE1	0.32279969697385535
PGLYRP2	HBA1	0.29487125893403654
PGLYRP2	KNG1	0.3835200695594967
PGLYRP2	AGT	0.33761528623903114
PGLYRP2	TF	0.35260227971630886
PGLYRP2	ALB	0.4456864602226629
C4BPA	CFI	0.5815696395602412
C4BPA	C2	0.5551369260311674
C4BPA	C3	0.47145790427528844
C4BPA	APOH	0.492122449215481
C4BPA	ORM2	0.4046536120259683
C4BPA	APOA2	0.41940221066003325
C4BPA	ERVMER34-1	0.6326160551546582
C4BPA	SERPIND1	0.4730391310524551
C4BPA	APOC3	0.4006955102610563
SLC4A1	IGHA1	0.23733468998629803
SLC4A1	CP	0.30608672158619576
SLC4A1	HRG	0.24892699486066405
SLC4A1	APOA2	0.26964577391542033
SLC4A1	PF4	0.26330081331299215
TNFSF10	DNER	0.31350109231886236
TNFSF10	PLAUR	0.31590514277465154
TNFSF10	APOA4	0.14009628098572335
TNFSF10	C6	0.12453116098993267
TNFSF10	CMA1	0.29041403193714643
TNFSF10	XPNPEP2	0.047679904561045205
IL12B	MBL2	0.1450063025728321
IL12B	RETN	0.1943416075063329
IL12B	TNFRSF9	0.35285022751651773
IL12B	CXCL10	0.23415124193506465
IL12B	KITLG	0.1021848710111275
TNFSF11	ITIH4	0.12018917421746877
TNFSF11	CMA1	0.2756072909776677
TNFSF11	PECAM1	0.11193675214820509
TNFSF11	CHI3L1	0.14451054463581947
IL15RA	PDGFB	0.16565666724452033
IL15RA	TGFA	0.3308911397615999
IL15RA	SLAMF1	0.28689448570854026
IL15RA	IL10RA	0.17282834247598355
IL15RA	CXCL11	0.21653815676598853
IL15RA	IL5	0.11119492507278483
IL15RA	IL17A	0.1712465746244547
IL1R1	HGF	0.2755578015440232
IL1R1	CFH	0.16209752657534082
IL1R1	CXCL10	0.19563498298589277
IL1R1	FABP4	0.371083427444872
SERPINF1	F13A1	0.2967682213145988
SERPINF1	RBP4	0.33304185421077204
SERPINF1	KNG1	0.3757456872612588
SERPINF1	Total-IGHG	0.27979979679438305
SERPINF1	PSPHP1	0.3618091896509652
SERPINF1	JCHAIN	0.3435476531826849
SERPINF1	TNFRSF1A	0.19432521507306788
SERPINF1	ITIH1	0.30332392203562186
SERPINF2	C6	0.48899235237555416
