Regulator	Target	MI
SPON1	ESM1	0.231915156057652
SPON1	NGF	0.20017537580427192
SPON1	TNFRSF1B	0.37953065232975813
SPON1	GAL	0.11466306364446943
SPON1	PECAM1	0.1890627978713315
SPON1	FBLN1	0.1388185855985027
SPON1	TNFRSF11B	0.4331067941393991
PGLYRP2	C2	0.49307596862934755
PGLYRP2	APOH	0.4717190237554174
PGLYRP2	Total-IGHG	0.32205201950729734
PGLYRP2	ALB	0.3853075174440832
C4BPA	SERPING1	0.41810451985096986
C4BPA	CFH	0.4914056444852939
C4BPA	C2	0.5748637203999598
C4BPA	APOH	0.480379618277504
C4BPA	APOE	0.4199718281273608
C4BPA	THRB	0.47565436378946835
C4BPA	ORM2	0.3806988314833113
C4BPA	ERVMER34-1	0.5652508245436509
SLC4A1	KLK6	0.11020931185541638
SLC4A1	APOA4	0.2529042127843315
SLC4A1	CLEC3B	0.2693064525290563
SLC4A1	STOM	0.26047022600554026
TNFSF10	CMA1	0.19960259614913944
TNFSF10	CD5	0.34463046227551164
TNFSF10	IL7	0.21822258883475776
IL12B	CTSL	0.15857782640298268
IL12B	CD5L	0.14273533317394982
IL12B	CCL8	0.2239320764745214
IL12B	TNFRSF9	0.42292526201376734
TNFSF11	ADM	0.16264549474247314
TNFSF11	THBD	0.16667270203465723
TNFSF11	TTR	0.11468088057913572
TNFSF11	CMA1	0.21175683432953374
TNFSF11	CD5	0.10413257569666357
IL15RA	CXCL9	0.3589535381635267
IL15RA	FGF5	0.38558853871391907
IL15RA	CCL7	0.2851681864372644
IL15RA	IL10RB	0.3689490152394228
IL1R1	DNER	0.15144875695990567
IL1R1	PRAP1	0.21432721065383653
IL1R1	IFNG	0.11199693030290714
IL1R1	CFH	0.19321942922745539
IL1R1	FABP4	0.2730562916887527
SERPINF1	RBP4	0.2961864809291219
SERPINF1	APOD	0.26070895331526245
SERPINF1	IGHA2	0.26723879833580444
SERPINF1	TNFRSF1A	0.13627122427464844
SERPINF2	FCN3	0.32214935448862647
SERPINF2	APOM	0.3791497966875941
SERPINF2	AHSG	0.30272510366793526
SERPINF2	IL16	0.1094456111015294
SERPINF2	C1R	0.41863028064210006
SERPINF2	SERPINC1	0.3441281611556768
SERPINF2	ITIH1	0.5374020618381525
SERPINF2	ERVMER34-1	0.5256047404776627
SERPINF2	APOC3	0.4136739187569116
FLT3LG	NTF3	0.2767250576953044
FLT3LG	BDNF	0.17962685971720926
FLT3LG	IL10RB	0.3724657375895779
FLT3LG	ADA	0.3184352411846332
RNASE3	IGHG1	0.08927000905212967
RNASE3	OLR1	0.3927873161365598
RNASE3	IL16	0.24058017301619028
RNASE3	TGFA	0.12911846663500182
DKK1	MMP1	0.3615861665108584
DKK1	CD274	0.7302622108954395
PRAP1	IL1R1	0.21432721065383653
PRAP1	TNFRSF10B	0.46980123283832675
PRAP1	GH1	0.11091335830808013
PRAP1	TNFRSF1A	0.5345660641623144
AZGP1	RBP4	0.4804339308069876
AZGP1	SERPING1	0.34077597717315555
AZGP1	HPR	0.33262613278979636
AZGP1	ORM1	0.3482376914427894
AZGP1	ORM2	0.32466474375901555
AZGP1	APOA4	0.35710109535893597
AZGP1	RETN	0.1234484277179968
AZGP1	ERVMER34-1	0.37482252493413526
AZGP1	APOC2	0.3094694662647157
RBP4	AZGP1	0.45811411103342436
RBP4	FBLN1	0.29111572185424794
RBP4	ADA	0.137031820711635
RBP4	SERPINA1	0.31776937602079247
RBP4	MBL2	0.25857452148398163
RBP4	GC	0.39148428713297
RBP4	ABCF1	0.2536347700764745
RBP4	SERPIND1	0.408934309932933
RBP4	IL17A	0.10968888503661312
PAPPA	ESM1	0.1654658958432238
PAPPA	MMP3	0.11839379818540063
PAPPA	SAA4	0.10399524544203675
PAPPA	VEGFA	0.15100498869859535
PAPPA	XPNPEP2	0.05061830851262261
SERPING1	C4BPA	0.4150857894476099
SERPING1	AZGP1	0.3354586548634879
SERPING1	KNG1	0.5459168472703899
SERPING1	Total-IGHG	0.30643257099939625
SERPING1	IGHM	0.34748780641880117
SERPING1	PLG	0.3814235426221302
SERPING1	GC	0.5167662134272692
SERPING1	KLKB1	0.40698439825211796
CFB	CFH	0.5306549393677562
CFB	C2	0.5708488987382294
CFB	C8A	0.4626572241729683
CFB	C1S	0.521595956543166
CFH	C4BPA	0.4977271698281358
CFH	IL1R1	0.20432499144394178
CFH	CFB	0.5370115945188996
CFH	CFI	0.5796063680591796
CFH	C3	0.5137332659784324
CFH	FGG	0.4188207305521585
CFH	SERPIND1	0.49000440336039564
CFI	SELENOP	0.3190311496472633
CFI	CFH	0.5796063680591805
CFI	C2	0.5671804388540798
CFI	C5	0.4902627369684076
CFI	APOB	0.36294310601503543
CFI	ORM1	0.46457648720519895
CFI	C1QB	0.3890576471759992
CFI	CD5L	0.400719652375777
CFI	PLG	0.42156935847012633
CFI	ERVMER34-1	0.5535679515521252
IL20RA	A1BG	0.08826114523690087
IL20RA	SLAMF1	0.11827396566701776
IL20RA	IL13	0.14859511326761599
PDGFB	TNF	0.17481367834532868
PDGFB	APOA1	0.09897673494679893
PDGFB	SLAMF1	0.20719756291510105
PDGFB	IL33	0.06464043415676457
PDGFB	IL2	0.1293038271957041
PDGFB	IL17A	0.2185084211860362
TGFA	IL15RA	0.3806768605327733
TGFA	RNASE3	0.12911846663500182
TGFA	C1S	0.10019129027177076
TGFA	CST5	0.30361548727845555
TGFA	NTF3	0.24833261486828828
TGFA	CCL25	0.23409872507806373
TGFA	IL10RB	0.4281887519324412
TGFA	OSM	0.2623990541365693
TGFA	GDNF	0.3855733892309221
TGFA	FGF19	0.21900433190674384
TGFA	PTX3	0.0852870149528071
TGFA	CCL28	0.36022403919359025
A1BG	FST	0.10996469824418575
A1BG	ITIH2	0.4278637369699334
A1BG	SERPINC1	0.34970994189173243
HPR	CCL4L1	0.14997698173912521
HPR	AZGP1	0.31905921149848737
HPR	APOM	0.24363529425499308
HPR	SHBG	0.26578328714788935
HPR	MRS2	0.37150885838433734
HPR	CD5L	0.3076197428569767
HPR	APOL1	0.6041217470196854
HPR	CCL25	0.07676753125377367
C2	PGLYRP2	0.4861392805860927
C2	C4BPA	0.5893384690006487
C2	CFB	0.5682073285102414
C2	CFI	0.56689360817672
C2	C3	0.42504332574986936
C2	PSPHP1	0.4419236159818869
C2	MRS2	0.4142114495390272
C2	SERPINA7	0.3932268010027844
C2	ITIH4	0.5281455718871104
C2	ITIH2	0.49969344641642355
C2	CD6	0.13999881894116317
KLK6	SLC4A1	0.11065203840364202
KLK6	CXCL16	0.23825906585700363
KLK6	MMP3	0.15311202631379128
KLK6	TNFRSF1B	0.22905759206217535
KLK6	GAL	0.28468883130772404
KLK6	AGER	0.20791353452776296
C3	CFH	0.5057355467284026
C3	C2	0.4636272929963239
C3	ORM2	0.37303861389405313
C3	AHSG	0.30900464078754286
C3	APOC2	0.3320838150742347
SULT1A1	STAMBP	0.8305199685109246
SULT1A1	PDGFB	0.1623362843850753
C5	FLT3LG	0.11042899837023601
C5	CFI	0.4887635150758287
C5	THRB	0.42395194949180937
C5	LRG1	0.4114995815410527
APOM	IGHG2	0.29849966373721415
APOM	SERPINF2	0.3796751558191165
APOM	HPR	0.24363529425499308
APOM	AMBP	0.35851252820176427
