Regulator	Target	MI
SPON1	HGF	0.30199666735154285
SPON1	PGF	0.3588311025456594
SPON1	AGER	0.27258037436512694
SPON1	KLK6	0.18598357581521707
SPON1	FGF23	0.2753567632782383
SPON1	XPNPEP2	0.11455489955502163
PGLYRP2	SERPINA7	0.44566791737518674
PGLYRP2	APOH	0.45026590093757957
PGLYRP2	ALB	0.48851915876861085
C4BPA	IL1R1	0.1454725587707797
C4BPA	CFI	0.5799381223045073
C4BPA	C2	0.5563969222464316
C4BPA	SAA4	0.4255981518903704
C4BPA	CCL19	0.22427492850944475
SLC4A1	IGHG4	0.3729178159499744
SLC4A1	MBL2	0.31011835352445694
SLC4A1	HBA1	0.30122917815666295
SLC4A1	ABCF1	0.36280416656960135
SLC4A1	APOC2	0.3425017214154513
TNFSF10	DNER	0.2766337626237725
TNFSF10	MMP3	0.10708565257493241
TNFSF10	PLAUR	0.2785681755278038
TNFSF10	VTN	0.1247207257446501
TNFSF10	CMA1	0.17761662605500295
IL12B	CSF1	0.16226503002459491
IL12B	TNFRSF9	0.5178878112186149
IL12B	FGG	0.16435053599012317
TNFSF11	SLC4A1	0.13060839657731282
TNFSF11	IL1RL1	0.1353889364370655
TNFSF11	FGF23	0.14799989939785885
TNFSF11	CMA1	0.3737066830749285
TNFSF11	ALB	0.09466755912695479
IL15RA	SERPINF2	0.15069275020566408
IL15RA	PDGFB	0.20070102828997172
IL15RA	TGFA	0.375021601683005
IL15RA	GDF15	0.19664493118275672
IL15RA	IL10RB	0.3972028191292285
IL1R1	HGF	0.2798555281472499
IL1R1	FABP4	0.3160428233546506
SERPINF1	IGHG1	0.3723432583876498
SERPINF1	KNG1	0.4238271086717518
SERPINF1	C2	0.4601508038492561
SERPINF1	APOA4	0.37815904625864327
SERPINF1	TNFRSF1A	0.22801184695690146
SERPINF1	SERPIND1	0.44351482223314687
SERPINF2	FCN3	0.3736024810431422
SERPINF2	PGLYRP2	0.3814035994990883
SERPINF2	IL15RA	0.16908267252644293
SERPINF2	ITIH1	0.7019337597493367
