Regulator	Target	MI
SPON1	CXCL16	0.31564771976470496
SPON1	TNFRSF10B	0.4104902582239509
SPON1	HRG	0.1341207133312663
SPON1	NT-pro-BNP	0.2606022332245077
SPON1	ESM1	0.274600313620061
PGLYRP2	LPA	0.2635750320365391
PGLYRP2	KNG1	0.39627612370486087
PGLYRP2	IGHA2	0.2644309974366319
PGLYRP2	MUC16	0.08879549187842084
PGLYRP2	ALB	0.3348014166707225
PGLYRP2	SERPINA7	0.33357076719398826
PGLYRP2	CCL8	0.16777241878417204
C4BPA	SERPINF2	0.4863754848247481
C4BPA	PRAP1	0.13149073552091828
C4BPA	PAPPA	0.17266444474547527
C4BPA	CFI	0.6091196052090897
C4BPA	C2	0.49320917971067235
C4BPA	SLAMF1	0.1460709168645069
C4BPA	ORM2	0.4601314579486946
C4BPA	MMP3	0.1510135181910517
C4BPA	SERPIND1	0.51509991517604
SLC4A1	MRS2	0.3259326882940128
SLC4A1	APOC1	0.22980487275326578
TNFSF10	DNER	0.24840206540180088
TNFSF10	PLAUR	0.3107449991555873
TNFSF10	CST5	0.13278121375434804
TNFSF10	APOM	0.12042685460337577
TNFSF10	CMA1	0.24653824663505386
TNFSF10	CD6	0.24588909830246575
IL12B	FGG	0.23487224413206143
IL12B	RETN	0.13838546640547644
IL12B	TNFRSF9	0.3633129183105046
IL12B	LRG1	0.1888706120333934
TNFSF11	DNER	0.09209402995499438
TNFSF11	CMA1	0.2159802670529647
TNFSF11	EGF	0.1046490481816198
TNFSF11	APOA2	0.10875785914523117
TNFSF11	KLK11	0.1300922355260017
IL15RA	C2	0.13627310022498484
IL15RA	SLAMF1	0.34085039431179354
IL15RA	IL10RB	0.30509414524321343
IL1R1	CSF1	0.22811547069334814
IL1R1	SERPINA6	0.16091715807158735
IL1R1	CD6	0.13145969485211673
IL1R1	LEP	0.305523101842085
SERPINF1	APOH	0.3258826666091075
SERPINF1	GPX3	0.2874459893287815
SERPINF1	APOA4	0.25782515335667
SERPINF1	TNFRSF1A	0.17345300398480656
SERPINF1	C1QB	0.3098202983678906
SERPINF1	APOL1	0.28215117078966845
SERPINF2	C4BPA	0.4754018618943743
SERPINF2	VTN	0.4467283357516214
SERPINF2	IGHA1	0.3392499352962526
SERPINF2	C8A	0.4469636645942332
SERPINF2	MBL2	0.3202299529206085
SERPINF2	PLG	0.4898573644303177
SERPINF2	ITIH1	0.5290646930463723
SERPINF2	IL1RL1	0.16208220002115414
SERPINF2	CCL7	0.1947428156963822
FLT3LG	CDCP1	0.25291744061618004
FLT3LG	TNFRSF11B	0.17568800611116586
FLT3LG	CCL19	0.24173218399679453
FLT3LG	CCL25	0.3472634977791067
FLT3LG	IL10RB	0.30853619834410306
FLT3LG	TF	0.1293517683547325
RNASE3	IGHM	0.09805180138957237
RNASE3	U6	0.1707818889070971
RNASE3	OLR1	0.3350341208779861
DKK1	HBEGF	0.5046551018197469
DKK1	CD274	0.8257134993265653
PRAP1	C4BPA	0.13149073552091828
PRAP1	TNFRSF10B	0.48232891474742257
PRAP1	REN	0.19413385281308138
PRAP1	CD40	0.21261216263061478
PRAP1	CCL7	0.15141324497671693
AZGP1	SERPING1	0.34051732947182956
AZGP1	ADM	0.14739985170542713
AZGP1	HBA1	0.2630482324124337
AZGP1	ITIH1	0.37127082319022087
AZGP1	GSN	0.28027670401160965
RBP4	VTN	0.39182831745597646
RBP4	CXCL5	0.19492041894117396
RBP4	TTR	0.39812305365984635
RBP4	APOC3	0.32116266321725284
PAPPA	C4BPA	0.16443588325832703
PAPPA	CXCL5	0.10654116078273912
PAPPA	ESM1	0.20267520613604173
PAPPA	CTSL	0.17050939240000496
PAPPA	TTR	0.1586355917546607
SERPING1	F13A1	0.3598364883390479
SERPING1	AZGP1	0.3420080649241495
SERPING1	Total-IGHG	0.3481460309194446
SERPING1	ORM2	0.3650584959056564
SERPING1	GC	0.47219846456045644
SERPING1	SERPIND1	0.31424508071458845
CFB	CSF1	0.24544605220035987
CFB	CFI	0.47218522790708306
CFB	C2	0.5247994141737768
CFB	C6	0.3923123273798028
CFB	C8A	0.3970319493622716
CFB	SAA4	0.41121686784213995
CFH	CFI	0.5228073178421919
CFH	VTN	0.5544411872382504
CFH	PLG	0.49797385971635943
CFI	C4BPA	0.598060328832684
CFI	CFB	0.48004302478420957
CFI	CFH	0.5221860619883607
CFI	C3	0.41943502859880955
CFI	C5	0.5036951649534283
CFI	SERPINA6	0.4016846910111651
CFI	SELPLG	0.15964444005746703
CFI	C1S	0.4066431071651806
CFI	ERVMER34-1	0.5568014573953199
CFI	LEP	0.23009987526136122
IL20RA	IL10RA	0.14619079936386292
IL20RA	PDGFB	0.1550400417978155
IL20RA	VTN	0.10339613047564278
IL20RA	NRTN	0.11818521847367336
PDGFB	TGFB1	0.1576268606044673
PDGFB	TSLP	0.127313447127003
PDGFB	IL1A	0.15453121785273094
PDGFB	CXCL11	0.15893529356009228
PDGFB	TF	0.1042633327701763
PDGFB	ARTN	0.09075610254959265
PDGFB	IL17A	0.21324195803948331
TGFA	CCL4L1	0.32827123651540546
TGFA	NRTN	0.08551090241106252
TGFA	IL10	0.3484846441026477
TGFA	PLAUR	0.30061077270520364
TGFA	CCL19	0.2914846474941637
TGFA	SLAMF1	0.3957055248930379
TGFA	OSM	0.42476063603633385
TGFA	CXCL11	0.2498133670972429
TGFA	GDNF	0.2673050192055326
TGFA	CD5	0.3627818476295488
TGFA	FGF19	0.2582098760443845
TGFA	CCL28	0.2905618734491551
A1BG	IGHG2	0.2867275806217142
A1BG	C2	0.4428572300503699
A1BG	AMBP	0.4266555713905449
A1BG	IL5	0.09455204008341589
A1BG	SERPINA1	0.4058555689039691
A1BG	RETN	0.13447418903015063
HPR	FBLN1	0.25530040153862554
HPR	APOM	0.4029049231389408
HPR	Total-IGHG	0.269553789986146
HPR	SHBG	0.31846578176853146
HPR	C1R	0.3325204880404682
HPR	ITIH1	0.40151510407970026
HPR	APOL1	0.75825940620991
C2	C4BPA	0.487392983208462
C2	CLU	0.5356703591335004
C2	IL15RA	0.12989100251964736
C2	CFB	0.5389669826860999
C2	A1BG	0.44390794831341207
C2	APOE	0.48521403888027326
C2	PSPHP1	0.4572745945501069
C2	SERPINA7	0.5311952652346701
C2	ITIH4	0.5658779587032949
C2	C1R	0.3464613258213731
KLK6	APOB	0.11521587045661974
KLK6	PGF	0.14803288485807897
KLK6	GAL	0.0809669683149652
C3	CFI	0.4242285589906132
C3	HRG	0.3258567361912599
C3	ORM2	0.41642278523049114
C3	ESM1	0.15956635210360925
C3	ITIH4	0.5398275879652461
C3	AFM	0.4291483057357839
SULT1A1	STAMBP	0.7036595830209063
SULT1A1	CCL8	0.24221852317478554
SULT1A1	IL33	0.04897959957644993
SULT1A1	IL7	0.4702039261675308
SULT1A1	XPNPEP2	0.06263820731959413
C5	CFI	0.5036951649534283
C5	SERPINA3	0.5020830922683484
C5	FGA	0.4293323807935039
C5	CPN2	0.4294108163252064
APOM	TNF	0.06276998680821233
APOM	TNFSF10	0.12042685460337488
APOM	HPR	0.4029049231389408
APOM	APOD	0.36086032400017665
APOM	APOA2	0.3874930683193796
APOM	CD5L	0.27736770144001177
APOM	APOC1	0.4768731388669236
C6	LPA	0.2768666011612586
C6	CFB	0.4037114476505739
C6	SERPINA3	0.4453082006524278
C6	THRB	0.4501220782622015
C6	FGA	0.40825814365434177
C6	STOM	0.36591986030056756
C6	FABP4	0.221981305769682
C6	LRG1	0.4344909646353363
C7	IGHG2	0.29048650147384336
C7	HGF	0.2529835104304583
C7	HBE1	0.3291894804823716
C7	IGHA1	0.2529701400262736
C7	ITIH4	0.5614196361069297
C7	TTR	0.47800119561330146
APOH	KNG1	0.45879728186956115
APOH	AMBP	0.49363448177752467
APOH	ALB	0.37394256487363187
APOH	C8A	0.37683325380775834
APOH	APOA1	0.3142482817782781
APOH	IL16	0.12980322066110528
APOH	C1S	0.3817001799087745
APOH	CPN2	0.40330651799402695
APOH	ERVMER34-1	0.5066446310524029
APOH	AGT	0.5445049724658304
APOH	KLKB1	0.48284259707038935
Total-IGHG	IGHG3	0.22620303652133256
Total-IGHG	IGHG1	0.6855183237842075
Total-IGHG	IGHG2	0.4226204150095816
Total-IGHG	SERPING1	0.34771505807886705
Total-IGHG	HPR	0.2745781519173951
Total-IGHG	IGHA2	0.23610132115378057
Total-IGHG	FGG	0.2518638552371151
Total-IGHG	MMP10	0.0964237845740028
S100A12	HBD	0.14942992835959146
S100A12	OLR1	0.3206543615404138
S100A12	MMP3	0.13541157297973871
S100A12	IL16	0.18506877013788703
S100A12	SIRT2	0.189783231641937
S100A12	IL6	0.244544689204635
APOD	APOM	0.3599507838199081
APOD	HRG	0.2356480967329917
APOD	C1QB	0.22850891235011872
APOD	GSN	0.30777224530729086
APOD	CD5	0.15092005486239213
APOE	IL1R1	0.18471066341987008
APOE	C2	0.4862585344323094
