Regulator	Target	MI
SPON1	NT-pro-BNP	0.1829750146712632
SPON1	IGHM	0.11207255787442794
SPON1	CXCL8	0.20592916261870187
SPON1	HSPB1	0.16096936299820985
SPON1	CX3CL1	0.3505873833302493
SPON1	CXCL16	0.21399227957185474
SPON1	TNFRSF11B	0.2689643077945094
SPON1	FGF19	0.07292874180285036
SPON1	TEK	0.19022217928613028
PGLYRP2	C2	0.3486075517211198
PGLYRP2	APOH	0.38331704321470816
PGLYRP2	IGHA2	0.2812512728920611
PGLYRP2	ALB	0.41980458340596893
PGLYRP2	SERPINA7	0.35093603585679833
C4BPA	CLU	0.5199316438300308
C4BPA	CFH	0.5466521203182575
C4BPA	CFI	0.6490989365742639
C4BPA	C2	0.47785085677947947
C4BPA	SERPINA3	0.5358063015689876
C4BPA	SERPINA6	0.45006549446229904
C4BPA	ORM2	0.49751056300678265
SLC4A1	CLU	0.3532809608192595
SLC4A1	Total-IGHG	0.28837022340548746
SLC4A1	HBD	0.2502639705913712
SLC4A1	APOA2	0.2617117761872816
TNFSF10	DNER	0.2891463959717697
TNFSF10	PLAUR	0.3568371817984852
TNFSF10	TGFA	0.34634390536106263
TNFSF10	NTF3	0.23616138831502909
TNFSF10	FGF21	0.23537586209407557
TNFSF10	TGFB1	0.2549575356243139
TNFSF10	CMA1	0.27253531124669195
IL12B	TNFSF11	0.12132640275180684
IL12B	ITIH2	0.1556308845632044
IL12B	CCL19	0.28603920295382146
IL12B	TNFRSF9	0.4362249143519614
TNFSF11	TTR	0.1770095005513186
TNFSF11	IL12B	0.12132640275180684
TNFSF11	CMA1	0.25038268680553255
TNFSF11	TNFRSF1A	0.14534741277511376
IL15RA	IL27	0.18532713397491207
IL15RA	PRL	0.0762873728346074
IL15RA	FGF5	0.32249738705250497
IL15RA	IFNG	0.15752619846111493
IL15RA	FGF23	0.1968934426919633
IL15RA	SLAMF1	0.33067953937924965
IL1R1	IL6R	0.2681235817781946
IL1R1	CSTB	0.25443315850151293
IL1R1	CCL20	0.25920369701501667
SERPINF1	IGHG2	0.28571174468511096
SERPINF1	AZGP1	0.2905573749882837
SERPINF1	APOE	0.3399718102250553
SERPINF1	IGHA1	0.21649416419008904
SERPINF1	TNFRSF1A	0.2602623477277053
SERPINF1	C1R	0.38431585242812094
SERPINF2	CLU	0.47707279355065246
SERPINF2	THRB	0.5307755868800168
SERPINF2	CHI3L1	0.20206589690310306
SERPINF2	PLG	0.4249758792225782
FLT3LG	TGFA	0.34750576508808173
FLT3LG	APOD	0.16711555358538632
