Regulator	Target	MI
SPON1	TNFRSF11B	0.36619029064765307
SPON1	AGER	0.20339946201246217
SPON1	PECAM1	0.22355338230965938
SPON1	GDF15	0.4237306224344435
SPON1	TEK	0.22057810872302497
SPON1	C1QC	0.20058648223964237
PGLYRP2	C2	0.3605421267499054
PGLYRP2	IGHA2	0.2671492802851594
PGLYRP2	CP	0.32030504654156466
PGLYRP2	ALB	0.3593034596758313
PGLYRP2	SERPINA7	0.3559497318155689
PGLYRP2	JCHAIN	0.2604468763127352
PGLYRP2	AHSG	0.27901270200608064
PGLYRP2	ITIH1	0.3046444446437935
C4BPA	CFI	0.558791831007432
C4BPA	C3	0.4504117367728533
C4BPA	THRB	0.5901203892680389
C4BPA	SERPINA6	0.5181444787144232
C4BPA	ORM2	0.4879378482266521
C4BPA	SAA4	0.3284314862955249
C4BPA	ERVMER34-1	0.6009562930776466
SLC4A1	Total-IGHG	0.24613581174694854
SLC4A1	HRG	0.318538828626612
SLC4A1	HBD	0.2998500108501112
SLC4A1	APOA1	0.28199486454111966
TNFSF10	FCN3	0.13587303213433355
TNFSF10	DNER	0.39530422912249463
TNFSF10	CTSD	0.11196694089487824
TNFSF10	TGFA	0.2858497181435542
TNFSF10	IGHA2	0.139787027463675
TNFSF10	CMA1	0.17024362767809542
TNFSF10	CXCL11	0.21765923144399313
TNFSF10	CD5	0.3423952250434592
IL12B	CD40	0.1536608243143629
IL12B	TNFRSF9	0.5270231529270921
IL12B	CXCL10	0.27466415512810727
IL12B	CD5	0.39997679038097456
TNFSF11	TNFRSF1A	0.1255532622917972
TNFSF11	C1R	0.16402526156318675
TNFSF11	CMA1	0.27270816176313506
IL15RA	MUC16	0.12992418666634808
IL15RA	IL10RB	0.3465093961709895
IL1R1	CTSL	0.21937620796102486
IL1R1	TNFRSF1A	0.2329513541474304
IL1R1	CFI	0.13184875648305905
IL1R1	TNFSF14	0.2250121523820363
IL1R1	FABP4	0.23318122398290342
IL1R1	CD6	0.09239002342830904
SERPINF1	VTN	0.3300866723533531
SERPINF1	C1R	0.33405859896705437
SERPINF2	VTN	0.49145863766665077
SERPINF2	AMBP	0.42541558571367055
SERPINF2	ITIH4	0.4449795930003084
SERPINF2	ERVMER34-1	0.5103242712551843
SERPINF2	KLKB1	0.4133233332167707
FLT3LG	C8A	0.1314956647332446
FLT3LG	PLAUR	0.3737095142332274
FLT3LG	CMA1	0.13671802659996146
FLT3LG	IL10RB	0.3029028967396261
FLT3LG	OSM	0.1979373926455521
FLT3LG	VEGFD	0.14428906131881636
FLT3LG	ADA	0.34825081190864804
RNASE3	HBD	0.18005853680442652
RNASE3	OLR1	0.48588017451727694
RNASE3	FGG	0.1316731791727781
DKK1	IL6R	0.24879132854330166
DKK1	F2R	0.5020594836899912
DKK1	CD274	0.7109591230574193
PRAP1	CSF1	0.5231987842636521
PRAP1	GH1	0.1540306119696062
PRAP1	REN	0.20207216067504952
PRAP1	OLR1	0.40925601177683646
PRAP1	TNFRSF1A	0.60739305788824
PRAP1	ITIH1	0.16386025873789567
AZGP1	APOD	0.3147493114248361
AZGP1	SERPINA3	0.37272949682128687
AZGP1	APOA4	0.30926903511648884
AZGP1	ERVMER34-1	0.37284635782902864
RBP4	IGHG3	0.3178396350487862
RBP4	SERPING1	0.3322839846795329
RBP4	C7	0.3335633998291563
RBP4	APOH	0.291459436212989
RBP4	APOE	0.3353208888142465
RBP4	FN1	0.2794278718335237
RBP4	SHBG	0.2859249881235666
RBP4	SERPINA7	0.3142383840746099
RBP4	ITIH1	0.3087247459687976
PAPPA	NT-pro-BNP	0.14920904298046533
PAPPA	KLK6	0.21785117221533934
PAPPA	C6	0.16245345370794517
PAPPA	SLAMF1	0.1110093323003456
SERPING1	RBP4	0.331268606081804
SERPING1	KNG1	0.47644723803674527
SERPING1	IGHM	0.2962212065886467
SERPING1	IFNG	0.1057315701430257
CFB	CFI	0.5254180191000728
CFB	FGF23	0.14826007462410473
CFB	ITIH4	0.4348346942145014
CFH	CFI	0.5366485732588657
CFH	KNG1	0.40896446997754143
CFH	APOE	0.36000344048706623
CFH	SHBG	0.3268558143725553
CFH	SERPINA3	0.4134833059064231
CFH	CXCL1	0.1776726377261273
CFH	SERPIND1	0.4155661594842801
CFH	LEP	0.21901378309675845
CFI	C4BPA	0.5748318398847916
CFI	IL1R1	0.14999137290540254
CFI	CFB	0.5285480618152611
