Regulator	Target	MI
SPON1	PGF	0.33540311473085094
SPON1	FBLN1	0.1888556208831469
SPON1	TNFRSF11B	0.33833439954312006
SPON1	AGER	0.22730622455717953
PGLYRP2	A1BG	0.4021128402249339
PGLYRP2	APOH	0.36221636925458967
PGLYRP2	Total-IGHG	0.3103646156717046
PGLYRP2	ALB	0.4346440376446523
PGLYRP2	APOA4	0.25998665186790326
C4BPA	CFI	0.48992003313629606
C4BPA	ORM2	0.4677707362100545
C4BPA	CSTB	0.14251392281466657
C4BPA	CPN2	0.5030370037135974
C4BPA	ERVMER34-1	0.502316885065734
SLC4A1	LPA	0.3078617715116838
SLC4A1	STOM	0.2615551097570554
TNFSF10	AZGP1	0.1277963719087598
TNFSF10	CCL13	0.25215269137568797
TNFSF10	CMA1	0.2852816575595911
TNFSF10	CCL28	0.27755147602018937
IL12B	TNFSF11	0.13028575156945443
IL12B	ITIH4	0.11354811549027222
IL12B	IL2	0.06444555774321259
IL12B	CXCL10	0.30888393508160306
IL12B	FABP4	0.20613634628587896
IL12B	CD5	0.4551230930624772
TNFSF11	IL1RL1	0.10164995988418202
TNFSF11	IL12B	0.13028575156945355
TNFSF11	CMA1	0.21637863096509413
TNFSF11	APOA2	0.1443463439522059
TNFSF11	VEGFD	0.15036279019191934
TNFSF11	CHI3L1	0.1614824652267517
IL15RA	IFNG	0.20410983134184946
IL15RA	TGFA	0.3788999703252669
IL15RA	IL10RB	0.4956730403132168
IL15RA	TNFSF12	0.28711236969938003
IL15RA	LIF	0.1336195691710298
IL15RA	IL7	0.24607707096324205
IL15RA	CCL28	0.3641884778469544
IL1R1	CD274	0.21633967016044586
IL1R1	PRL	0.12902963888493169
IL1R1	CCL3	0.31410681787909756
IL1R1	FABP4	0.30126645014764275
SERPINF1	SLC4A1	0.25025341354123576
SERPINF1	HBE1	0.34642274272762386
SERPINF1	APOH	0.514776008969533
SERPINF1	SHBG	0.37579294452038514
SERPINF1	PRL	0.10798119651180205
SERPINF1	GPX3	0.29501473890145746
SERPINF1	AFM	0.39933987734160503
SERPINF1	STOM	0.2575345494061754
SERPINF1	ABCF1	0.252898373336774
SERPINF1	IL10RB	0.24974391464441137
SERPINF1	IL18R1	0.22300343814614365
SERPINF2	VTN	0.4743634573745359
SERPINF2	APOM	0.3741530935502473
SERPINF2	C6	0.49943434912690776
SERPINF2	APOE	0.38115843555277173
SERPINF2	THRB	0.44853085819335803
SERPINF2	PLG	0.3841760057644006
SERPINF2	ITIH1	0.47007392301759054
SERPINF2	IL1RL1	0.14628901932995575
SERPINF2	CCL25	0.1452691943941149
SERPINF2	ERVMER34-1	0.45677666080752566
FLT3LG	PLAUR	0.28970544205277005
FLT3LG	C3	0.2301893869835574
FLT3LG	IL10RB	0.33643877375578946
FLT3LG	ADA	0.23680574992245518
RNASE3	F2R	0.20835691320833227
RNASE3	S100A12	0.4192980326390563
DKK1	GAL	0.08895032906379807
DKK1	CD274	0.6969781808093529
