Regulator	Target	MI
SPON1	IL6R	0.23531809591601238
SPON1	PLAUR	0.1865656032446772
SPON1	PRAP1	0.2973167980296685
SPON1	C1QB	0.12994746026886883
SPON1	AGER	0.18418633809252327
SPON1	TEK	0.2078687257563807
PGLYRP2	AFM	0.2579405489807609
PGLYRP2	CLEC3B	0.3786744969826126
PGLYRP2	APOH	0.41661540061539526
C4BPA	CFI	0.5396023178540119
C4BPA	ORM2	0.4043277222904731
C4BPA	GAL	0.12102870612772065
SLC4A1	IGHA2	0.27656129324422896
SLC4A1	CP	0.28818070864224055
SLC4A1	HBD	0.3420723388965312
TNFSF10	APOA2	0.10258965083806793
TNFSF10	CCL11	0.24044171468001085
TNFSF10	CMA1	0.2715649063208021
TNFSF10	CD5	0.24296196650373592
TNFSF10	ADA	0.22941619244205924
IL12B	THRB	0.15354845745502121
IL12B	IGHG2	0.16971695866051384
IL12B	LTA	0.24625341165587322
IL12B	GSN	0.1287178824876456
IL12B	TNFRSF9	0.35964553621352024
IL12B	CXCL10	0.44908680883862395
TNFSF11	HPR	0.15345822822845
TNFSF11	CCL4	0.1452124183942347
TNFSF11	CMA1	0.21922246166905346
TNFSF11	LTA	0.06263880347986284
IL15RA	IL20RA	0.11032953247982302
IL15RA	IL10RB	0.29075254493217617
IL1R1	PLAT	0.24588905601778066
IL1R1	MPO	0.1452980087104514
IL1R1	CFI	0.15145767364468998
IL1R1	FGF19	0.09127885978021233
IL1R1	DNER	0.2348456469406397
IL1R1	CSTB	0.29753155751555926
IL1R1	SELPLG	0.09457267458650698
SERPINF1	GPX3	0.2813100880497901
SERPINF1	TNFRSF1A	0.1249018762810632
SERPINF1	AZGP1	0.25421710832822875
SERPINF1	CFH	0.41256339598408953
SERPINF1	VTN	0.4238074985599427
SERPINF1	SELE	0.10730607913378165
SERPINF2	VTN	0.4307006886106235
SERPINF2	THRB	0.43816211522030724
SERPINF2	ITIH1	0.5514278469363099
SERPINF2	IL1RL1	0.152396634191299
SERPINF2	KITLG	0.1348540552282138
SERPINF2	PTX3	0.048150530194317476
FLT3LG	ORM2	0.09893927715744599
FLT3LG	PLAUR	0.3746497379048179
FLT3LG	NTF3	0.22838444893838972
FLT3LG	CCL2	0.13096539472671154
