Regulator	Target	MI
SPON1	FBLN1	0.1417990062687915
SPON1	TNFRSF11B	0.34026313313882284
SPON1	FGF23	0.2800619755618099
SPON1	THRB	0.15117486914819445
SPON1	TNFRSF1B	0.4545755585538558
PGLYRP2	IGHG2	0.29235669715717005
PGLYRP2	APOH	0.42987941413738273
PGLYRP2	PSPHP1	0.40959160233496394
PGLYRP2	ALB	0.4281162438208037
PGLYRP2	APOA1	0.36133781414086474
C4BPA	CLU	0.4915131535293158
C4BPA	CFI	0.6027221677839076
C4BPA	KNG1	0.5531785162712115
C4BPA	THRB	0.5728914898101722
C4BPA	SERPINA6	0.46724476240841284
C4BPA	C8A	0.4523062367773054
C4BPA	CHI3L1	0.15649131920130976
SLC4A1	SERPINA6	0.32734650359584627
SLC4A1	ITIH1	0.43623401381200466
SLC4A1	STOM	0.2696978427980703
SLC4A1	GSN	0.3465680498219097
TNFSF10	THRB	0.15207238153680525
TNFSF10	CXCL5	0.1739179810480289
TNFSF10	MB	0.11608244483833285
TNFSF10	PAPPA	0.1618001612697082
TNFSF10	TGFA	0.2956286227427034
TNFSF10	CMA1	0.27119366754341456
TNFSF10	ADA	0.36312625084184535
IL12B	TNFRSF9	0.4389742095285003
IL12B	CXCL9	0.4924790178586642
IL12B	RETN	0.20231437987397616
TNFSF11	HSPB1	0.22582906751796017
TNFSF11	ADM	0.1317164862267255
TNFSF11	C8A	0.12464489528532763
TNFSF11	LTA	0.15848344830817407
TNFSF11	SELPLG	0.12142862810339938
TNFSF11	CMA1	0.19012119868696953
TNFSF11	KITLG	0.12164823725473717
IL15RA	FGF5	0.3957630050610472
IL15RA	PRAP1	0.2501811477919009
IL15RA	TGFA	0.38447399817696315
IL15RA	JCHAIN	0.15653182509570485
IL15RA	IL17A	0.23328225439958317
IL1R1	OLR1	0.24967304524821454
IL1R1	GAL	0.15536632356290703
IL1R1	FABP4	0.3523147905947992
SERPINF1	HPR	0.32996183126499723
SERPINF1	APOD	0.38281711311808575
SERPINF1	AMBP	0.44734390107229594
SERPINF1	MBL2	0.39356268839777275
SERPINF1	GPX3	0.33807354585293226
SERPINF1	TNFRSF1B	0.17243018688048117
SERPINF1	ABCF1	0.34325631961626346
SERPINF2	SELPLG	0.13675206770682635
SERPINF2	ITIH1	0.6004631190035283
SERPINF2	CST5	0.10474061907058552
SERPINF2	ERVMER34-1	0.48877929968675105
SERPINF2	C1QC	0.370374006809401
FLT3LG	LIFR	0.286521374281687
FLT3LG	CCL13	0.2727917901701469
FLT3LG	IL20RA	0.1295215262432352
FLT3LG	CPN2	0.20739464263678276
FLT3LG	TGFB1	0.20615516606182016
FLT3LG	ADA	0.2802900785127811
RNASE3	CXCL8	0.15492435505133795
RNASE3	OLR1	0.47085097403135023
RNASE3	C7	0.14458693830432878
DKK1	HBEGF	0.5125939678901341
DKK1	CD274	0.6261461905710721
DKK1	VEGFA	0.2819768801275693
PRAP1	CSF1	0.5724885506655966
PRAP1	MPO	0.3459227668893785
PRAP1	IL15RA	0.2592701737276073
PRAP1	APOD	0.15342436590343134
PRAP1	TNFRSF1A	0.6442302325755005
PRAP1	RETN	0.38799007303808075
PRAP1	GDF15	0.4683965689983527
PRAP1	OSM	0.3012634548868389
AZGP1	IGHG1	0.35202450204153735
AZGP1	HBE1	0.3750535431174171
AZGP1	RBP4	0.4342948781059839
AZGP1	APOD	0.3880874831348855
AZGP1	ALB	0.35552715939275625
AZGP1	ITIH4	0.3739721011028916
AZGP1	GSN	0.3477544847491867
AZGP1	LRG1	0.39440400880200155
AZGP1	APOC1	0.49294657797431984
AZGP1	IL17C	0.1830621254676883
RBP4	HGF	0.16301068358255133
RBP4	AZGP1	0.4348822715977496
RBP4	FN1	0.3564915940772826
RBP4	TF	0.33755595699877894
PAPPA	ESM1	0.19704435309944657
PAPPA	CTSL	0.25869391210457504
PAPPA	TNFSF10	0.16504566641958363
PAPPA	MMP3	0.17820083767209205
PAPPA	CDCP1	0.1960599325997201
PAPPA	STAMBP	0.11641320314615822
PAPPA	SERPIND1	0.19602120957165425
PAPPA	TNFRSF10B	0.2721497533918429
PAPPA	IL17C	0.0911966934639441
SERPING1	REN	0.10716902123504823
SERPING1	SERPINC1	0.4848626598325714
SERPING1	GC	0.4871688515963344
SERPING1	PF4	0.3586269100213304
CFB	CFH	0.5959027469333602
CFB	C2	0.5425343304917467
CFB	TF	0.38251939006841873
CFB	MRS2	0.4160110672525974
CFB	SERPINA1	0.4165500204687884
CFB	C1R	0.42451522644637674
CFB	AGT	0.392082000273307
CFB	IL2RB	0.07900563853860731
CFH	IGHG3	0.37429106712463334
CFH	CFB	0.6029924596399461
CFH	CFI	0.6302217780814567
CFH	VTN	0.5030363022053645
CFH	APOE	0.4364427324958893
CFH	FGG	0.48919072505250494
CFH	ERVMER34-1	0.5199504291539858
CFH	LEP	0.23389783377704543
CFH	PF4	0.4289316537937946
CFI	C4BPA	0.5978937055230116
CFI	CFH	0.6315725911608725
CFI	C2	0.544417736202135
CFI	C5	0.570223095448589
CFI	C6	0.48841593013013984
CFI	CXCL11	0.21262718771117672
CFI	SERPINA3	0.48863071426514715
CFI	AHSG	0.4072610305747144
CFI	SAA4	0.4345240842919198
CFI	SERPIND1	0.5503958184557902
IL20RA	IL15RA	0.2056846573293134
IL20RA	FLT3LG	0.1415960666024736
IL20RA	PDGFB	0.16252673709540044
IL20RA	HRG	0.10390091965729642
PDGFB	IL24	0.15504055933768335
PDGFB	IL20RA	0.1599414874402738
PDGFB	FGF5	0.19657015854736581
PDGFB	IL13	0.18611164863649243
PDGFB	IL2	0.15549776936731607
PDGFB	IFNG	0.138573869201295
TGFA	CCL4L1	0.3660959969006594
TGFA	TNFSF10	0.2956286227427043
TGFA	IL15RA	0.4061707327122255
TGFA	LIFR	0.40734356138263017
TGFA	SLAMF1	0.3828259826096154
TGFA	TNFRSF9	0.4430908660199453
TGFA	SHBG	0.14805386148244715
TGFA	CCL13	0.33125274749967915
TGFA	NTF3	0.2446707742789247
TGFA	CCL3	0.28915299001141825
TGFA	CCL23	0.3306887670650873
TGFA	OSM	0.4795047268928041
TGFA	IL17C	0.23129322516560435
A1BG	C5	0.414061893978638
A1BG	AMBP	0.43605643108535475
A1BG	DNER	0.15184116162281924
A1BG	ITIH4	0.46992237100653966
A1BG	CD5L	0.34945387485194335
A1BG	SAA4	0.3764288926163948
A1BG	CPN2	0.4422654829750101
HPR	F13A1	0.3077538648982028
HPR	TNF	0.08845158660540786
HPR	SERPINF1	0.34611576877977424
HPR	AZGP1	0.3311271389279007
HPR	APOM	0.42430253663064743
HPR	Total-IGHG	0.32573217045876657
HPR	APOL1	0.7397441163148599
HPR	SERPIND1	0.38763044295234916
C2	CLU	0.5713357190586228
C2	SELENOP	0.3880878499864133
C2	CFB	0.5408465458742979
C2	CFI	0.5636656657836223
C2	C3	0.5142921695606724
C2	FGG	0.5526477952962701
C2	IL18R1	0.13494379746103036
KLK6	GAL	0.2222241646336478
KLK6	BDNF	0.12368676639969856
KLK6	FASN	0.3621743855982551
C3	C2	0.5166451511161441
C3	APOB	0.47864358144652197
C3	HRG	0.36064339064579976
C3	ORM2	0.5336242024653508
C3	LTA	0.0997580832428051
C3	ITIH4	0.43680300369066405
SULT1A1	TNF	0.09304123802283915
SULT1A1	STAMBP	0.8103124835773565
C5	CFI	0.5763656093683265
C5	A1BG	0.41745919725801617
C5	ADA	0.16663431373045512
C5	FGA	0.5630644015016735
APOM	HPR	0.43791113970495577
APOM	APOC2	0.5175335324429922
C6	CFI	0.4925367401440379
C6	C7	0.40405805508713577
C6	AMBP	0.4755426806346419
C6	FGG	0.42275568830574173
C6	C1S	0.43541427940264743
C7	CLU	0.35179342489610743
C7	HBE1	0.3126136369799788
C7	RNASE3	0.14308922927755496
C7	FBLN1	0.31165804140108033
C7	TNFRSF11B	0.2234744993492246
C7	C6	0.40556572837839866
C7	APOB	0.43523877705786074
C7	ITIH4	0.5388683582815368
APOH	PGLYRP2	0.4267401682446117
APOH	AMBP	0.6632325953679015
APOH	CP	0.4149314932147288
APOH	MRS2	0.39686347401565936
APOH	APOA4	0.398935438207932
APOH	C1S	0.443088813631908
APOH	AFM	0.41987193580195026
APOH	ERVMER34-1	0.5073091136865973
Total-IGHG	IGHG1	0.7927402382353872
Total-IGHG	IGHG2	0.4527729567602199
Total-IGHG	LPA	0.30927584984111345
Total-IGHG	HPR	0.31507277941658884
Total-IGHG	APOB	0.35436851183222196
Total-IGHG	STOM	0.37043181315540874
Total-IGHG	PF4	0.3203246353756217
S100A12	C8A	0.13866233534732153
S100A12	OLR1	0.40803639538870495
APOD	FGF5	0.152628564032236
APOD	FST	0.1196007679453297
APOD	SERPINF1	0.38049673886937985
APOD	PRAP1	0.15003893838065085
APOD	AZGP1	0.39374432439188656
APOD	DNER	0.13894723784064844
APOD	FGG	0.3818374996516063
APOD	MMP3	0.23832165686865636
APOD	APOA1	0.34631884648789946
APOD	GAL	0.12870599141055106
APOD	STOM	0.33778110147780094
APOD	PF4	0.30864173555660557
APOE	CFH	0.46692543329691016
APOE	CPN2	0.44891696693510497
APOE	GSN	0.313169984147752
APOE	APOC2	0.5486258431183044
APOB	F13A1	0.4824769066122565
APOB	IGHG1	0.3605551310082875
APOB	C3	0.47813035646613233
APOB	C7	0.42535187617938064
APOB	Total-IGHG	0.3695602469636601
APOB	GC	0.47733192940282887
APOB	AGT	0.4058745438747504
APOB	APOC2	0.5325881980074634
IGHA1	IGHA2	0.38762334146038135
IGHA1	APOA2	0.3283604021111932
IGHA1	IL1A	0.07694244772875525
IGHA2	PLAT	0.22972928866251774
IGHA2	AGER	0.1151176695845395
IGHA2	IGHA1	0.38762334146038135
IGHA2	CXCL10	0.239099719809019
IGHA2	IGHM	0.2974064540554533
IGHA2	SERPINA1	0.3347170507961392
IGHA2	HBA1	0.3129669728547553
SLAMF1	IL20	0.20165015227659744
SLAMF1	HGF	0.23199164579829912
SLAMF1	PLAUR	0.31378540871629124
SLAMF1	TGFA	0.3647513815079426
SLAMF1	ITIH1	0.12027695422759876
TNFSF14	OLR1	0.29254266823836605
TNFSF14	TTR	0.1607613212241379
TNFSF14	EGF	0.5210921665363264
TSLP	IL24	0.10243562528553163
TSLP	ARTN	0.08525428134660373
TNFSF12	TNFRSF9	0.31938607013099585
TNFSF12	ADA	0.33387700875298965
FN1	SERPINF2	0.37055467357792793
FN1	RBP4	0.3546489300237834
FN1	FGG	0.5245170379219832
FN1	GSN	0.3292850944870924
LIF	IL20	0.208270414732878
LIF	PDGFB	0.17632981186577368
LIF	NRTN	0.16899455670598584
CP	APOH	0.41612075509929625
CP	SHBG	0.46321744577849966
CP	NT-pro-BNP	0.17427841706681502
CP	IL13	0.09033174662424681
CP	ITIH4	0.5025756867727909
CP	LRG1	0.5044374355838528
IL22RA1	IL1A	0.13103659338540918
TF	RBP4	0.33740093510846414
TF	CFB	0.3767457882598153
TF	MBL2	0.3133820565763168
TF	AFM	0.3069935816470588
TF	KLKB1	0.30643208304048297
TF	CD244	0.14681067523810132
ARTN	CDCP1	0.08039618464576215
ARTN	IL20	0.1545109075985085
FASN	TNFRSF1B	0.5598725615539069
FASN	TIMELESS	0.3111071101486882
FASN	AGER	0.22612032427555295
FASN	KLK6	0.362174385598256
FASN	IL1RL1	0.2509140987193783
FASN	FGF19	0.11236003631138658
FASN	LEP	0.12586624929729773
REN	ADM	0.22454061550386228
REN	SERPING1	0.10021248795494753
HRG	HBE1	0.30759089759683533
HRG	KNG1	0.3869486108426168
HRG	C3	0.3549100991984391
HRG	MUC16	0.11409322788822518
HRG	HBA1	0.29828940452252173
HRG	PLG	0.36410287375879413
HRG	STOM	0.3294484892900167
HRG	IL17A	0.1341004026704189
ADA	DNER	0.49733740684772254
ADA	TNFSF10	0.36814548055393637
ADA	PLAUR	0.3647468395380198
ADA	FLT3LG	0.28029007851278287
ADA	LTA	0.29509524138294285
ADA	C5	0.16448084313527112
ADA	EIF4EBP1	0.35249490010776174
ADA	IL10RB	0.2940380452348137
ADA	TNFSF12	0.3387397328586186
ADA	IL7	0.36236541883364737
MRS2	CFB	0.4160110672525974
MRS2	APOH	0.3941863981119216
MRS2	SERPINA3	0.40897426169108986
MRS2	OLR1	0.22063367014728374
MRS2	MBL2	0.31450822951099777
MRS2	ITIH4	0.41741978805754876
MRS2	SERPIND1	0.6581333669338028
IGHM	IGHG2	0.39047365524537625
IGHM	HBE1	0.33005649405238824
IGHM	MRS2	0.33704616740723736
IGHM	JCHAIN	0.7802444682886618
IGHM	APOA4	0.34748092043717094
IGHM	CD5L	1.6784124085805425
IGHM	AGT	0.2963092358867687
IGHM	C1QC	0.30146948525787653
SERPINA3	CFI	0.48792438789288806
SERPINA3	PSPHP1	0.6418099297719344
SERPINA3	MRS2	0.4105680367425153
SERPINA3	ORM1	0.5454364280422208
SERPINA3	C8A	0.4499854447769902
SERPINA3	LRG1	0.6855838087088237
U6	ORM1	0.22689574938722767
