Regulator	Target	MI
SPON1	ESM1	0.1898087121505707
SPON1	MMP12	0.258269159431328
SPON1	TNFRSF11B	0.31214398010929223
SPON1	AGER	0.18423093960599246
SPON1	APOE	0.1619384750616577
SPON1	GDF15	0.31966910772070634
SPON1	VEGFA	0.3298391277113497
PGLYRP2	C2	0.2888253406224566
PGLYRP2	IGHM	0.2635768133529668
PGLYRP2	APOA4	0.27101405465086437
PGLYRP2	AGT	0.3443376914411802
C4BPA	PAPPA	0.14805299244061754
C4BPA	CFI	0.6744625073036383
C4BPA	APOH	0.4785000953623735
C4BPA	SERPINA6	0.4337498228919854
C4BPA	C8A	0.41829080766979043
C4BPA	ORM2	0.4731555613971583
C4BPA	C1S	0.39770175915958017
C4BPA	GC	0.41828701376622934
C4BPA	ERVMER34-1	0.5132270966611374
C4BPA	GSN	0.2537708280879931
C4BPA	CMA1	0.14280700508062516
SLC4A1	CFH	0.2876440782713061
SLC4A1	CXCL5	0.170402468017949
SLC4A1	DNER	0.12221413104244938
SLC4A1	APOA2	0.29428370964061923
SLC4A1	HBA1	0.29318009197851236
SLC4A1	STOM	0.22328459476143614
SLC4A1	CCL19	0.18910878422901956
TNFSF10	DNER	0.29447460742739384
TNFSF10	PLAUR	0.2566180531397215
TNFSF10	NGF	0.11229971261506311
TNFSF10	KNG1	0.14473161277808977
TNFSF10	NTF3	0.19317398321514556
TNFSF10	CMA1	0.2698281003475085
IL12B	TNFSF11	0.08950482206064603
IL12B	TNFRSF9	0.40770131736919435
IL12B	CD6	0.23080105129091777
TNFSF11	VTN	0.08692196685469789
TNFSF11	IL12B	0.08950482206064603
TNFSF11	CMA1	0.2641889235989048
TNFSF11	IL16	0.15424715237235365
IL15RA	HRG	0.13855722237449797
IL15RA	NTF3	0.18918224044808873
IL15RA	CCL25	0.24241632949919278
IL15RA	IL10RB	0.3851067443816989
IL15RA	OSM	0.28727078225609315
IL1R1	OLR1	0.26818010549896076
IL1R1	IL6R	0.29292029950984144
IL1R1	C2	0.18070987704930364
IL1R1	CCL20	0.19475951778472478
IL1R1	CD40LG	0.15755860534180766
IL1R1	APOC1	0.10187857677686907
SERPINF1	APOH	0.3296269821153972
SERPINF1	APOD	0.26038107001901345
SERPINF1	GPX3	0.2323875786991172
SERPINF1	APOA4	0.3595836000620789
SERPINF1	TNFRSF1B	0.12076474816208549
SERPINF2	CXCL9	0.17828164447252615
SERPINF2	MBL2	0.31302270114295094
SERPINF2	C1S	0.3425134608275151
SERPINF2	ITIH1	0.47882794954529384
SERPINF2	ERVMER34-1	0.4751183833784651
FLT3LG	CD5L	0.10896449021019361
FLT3LG	NTF3	0.19633314307781458
FLT3LG	IL10RB	0.2745414524749519
FLT3LG	GH1	0.09330052872143568
RNASE3	MPO	0.4338990029881771
RNASE3	IL16	0.2385017203397073
RNASE3	TNFSF14	0.33372571424516906
DKK1	CD274	0.6485763547504462
PRAP1	CSF1	0.45571410620618025
PRAP1	OLR1	0.37894957621488423
PRAP1	AGRP	0.1122506898558937
AZGP1	RBP4	0.4247490596554231
AZGP1	SELENOP	0.37558447990409416
AZGP1	APOH	0.34708715526435796
